postal_cd,ben,name,org_address1,org_address2,org_city,org_state,org_zipcode,organization_entity_type_name,location.coordinates
AK,17011643,Pribilof School District Consortium,930 Tolstoi,NA,St Paul Island,AK,99660,Consortium,"-170.275697, 57.148058"
AK,17013790,Cordova City Consortium,675 Second St,NA,Cordova,AK,99574,Consortium,"-145.172684, 60.552162"
AL,127998,HALEYVILLE PUBLIC LIBRARY,913 20TH ST,NA,HALEYVILLE,AL,35565,Library,"-87.602724, 34.217678"
AL,127995,DOUBLE SPRINGS PUBLIC LIBRARY,PO BOX 555,NA,DOUBLE SPRINGS,AL,35553,Library,"-87.390262, 34.14205"
AL,127944,SUMITON PUBLIC LIBRARY,PO BOX 10,NA,SUMITON,AL,35148,Library,"-87.045451, 33.752775"
AL,127988,JASPER PUBLIC LIBRARY,20 18TH ST E,NA,JASPER,AL,35501,Library,"-87.27972, 33.827205"
AR,17012249,Northwest Arkansas Childrens Shelter On-Site School,14100 VAUGHN RD,NA,BENTONVILLE,AR,72712,School,"-94.236067, 36.358326"
AR,17012855,City of Turrell,PO Box 249,NA,Turrell,AR,72384,Library System,"-90.255281, 35.362591"
AR,17012853,City of Marion,PO Box 717,NA,Marion,AR,72364,Library System,"-90.198152, 35.20473"
AR,17012073,William F. Laman Public Library ,2801 Orange Street,NA,North Little Rock,AR,72114,Library System,"-92.263551, 34.765841"
AR,139446,COUNTY OF CLARK,609 CADDO ST,NA,ARKADELPHIA,AR,71923,Library System,"-93.065193, 34.096164"
AZ,97575,ST ANTHONY ELEMENTARY SCHOOL,501 EAST 2ND STREET,NA,CASA GRANDE,AZ,85122,School,"-111.744834, 32.916273"
AZ,17011571,Metropolitan Arts Institute ,1700 N 7TH AVE,NA,PHOENIX,AZ,85007,School,"-112.090565, 33.450221"
AZ,97266,SCOTTSDALE CHRISTIAN ACADEMY,14400 N TATUM BLVD,NA,PHOENIX,AZ,85032,School,"-112.00395, 33.624865"
AZ,17002491,Vista College Prep Maryvale ,4520 W. McDowell Rd,NA,PHOENIX,AZ,85035,School,"-112.193368, 33.472298"
AZ,17011960,Camelback Christian School,3900 E STANFORD DR,NA,PARADISE VALLEY,AZ,85253,School,"-111.957857, 33.546232"
AZ,17005831,Colegio Petite,850 N MORLEY AVE,NA,NOGALES,AZ,85621,School,"-110.941821, 31.405065"
CA,17014059,Diego Grande Charter,4585 COLLEGE AVE STE 4A,NA,SAN DIEGO,CA,92115,School,"-117.070447, 32.760391"
CA,17014162,Community Preparatory Academy,7511 RAYMOND AVE,NA,LOS ANGELES,CA,90044,School,"-118.291781, 33.952658"
CA,17012360,Raymond-Knowles Union Elementary,31828 ROAD 600,NA,RAYMOND,CA,93653,School District,"-119.927484, 37.254846"
CA,17007426,Sequoyah School,535 South Pasadena Ave.,535 S. Pasadena Ave,Pasedena,CA,91105,School,"-118.166094, 34.138699"
CA,102421,ST JOSEPH THE WORKER SCHOOL,19812 CANTLAY ST,NA,Winnetka,CA,91306,School,"-118.575768, 34.209245"
CA,102191,ST FRANCIS HIGH SCHOOL,200 FOOTHILL BLVD,NA,LA CANADA,CA,91011,School,"-118.171447, 34.217407"
CA,17014976,Julian Charter School,1704 CAPE HORN avenue,NA,Julian,CA,92036,School,"-116.469191, 32.988277"
CA,17011616,Orange County Workforce Innovation High School,505 N Euclid St.,Ste. 100,Anaheim,CA,92805,School District,"-117.907515, 33.831505"
CA,17014112,New Millennium Secondary School,1301 W 182ND ST STE B,NA,GARDENA,CA,90248,School,"-118.286071, 33.87676"
CA,17014061,Diego View Charter,312 W 7TH ST STE 102,NA,HANFORD,CA,93230,School,"-119.633421, 36.316101"
CA,17012669,Roseville Interconnect to PCOE Consortium (RIPCOE Consortium),1050 Main Street,NA,Roseville,CA,95678,Consortium,"-121.28833, 38.762846"
CA,17014060,Kings Valley II Charter,312 W 7TH ST STE 102,NA,HANFORD,CA,93230,School,"-119.633421, 36.316101"
CA,17012042,Pacific Southwest District  Lutheran Church Missouri Synod,1540 Concordia Dr. East,NA,Irvine,CA,92612,Consortium,"-117.826486, 33.662262"
CA,17014056,Alta Vista South II Charter,242 - 250 E BASE LINE RD,NA,RIALTO,CA,92376,School,"-117.376892, 34.111411"
CA,102328,INCARNATION SCHOOL,123 W GLENOAKS BLVD,NA,GLENDALE,CA,91202,School,"-118.268335, 34.167175"
CA,101897,ST MARGARET MARY ALACOQUE SCH,25515 ESHELMAN AVE,NA,LOMITA,CA,90717,School,"-118.316294, 33.793519"
CA,17005177,Greenacre Homes & School,7590 ATKINSON RD,NA,SEBASTOPOL,CA,95472,School,"-122.850998, 38.394388"
CA,17014013,SAN BERNARDINO INNOVATION HIGH SCHOOL,3505 HIGHLAND AVE,NA,HIGHLAND,CA,92346,School,"-117.193375, 34.123358"
CA,17011782,Upper Lake Unified School District,"675 Clover Valley Road,",NA,Upper Lake,CA,95485,School District,"-122.912221, 39.20336"
CA,17014058,Crescent View South II Charter,4348 W SHAW AVE,NA,FRESNO,CA,93722,School,"-119.878101, 36.804703"
CA,17014057,Crescent Valley II Charter,116 E MAIN ST STE 200,NA,VISALIA,CA,93291,School,"-119.354121, 36.356493"
CA,17011614,San Diego Workforce Innovation High School,2 Euclid Avenue,Suites A-D,National City,CA,91950,School District,"-117.090683, 32.67159"
CA,17014012,ALTA VISTA INNOVATION HIGH SCHOOL ,11988 HESPERIA RD STE B,NA,HESPERIA,CA,92345,School,"-117.306687, 34.415572"
CA,17012736,Girls Athletic Leadership School Los Angeles,15040 Roscoe Blvd,NA,Panorama City,CA,91402,School,"-118.44426, 34.223883"
CA,102122,ST JOSEPH ELEMENTARY SCHOOL,6200 E WILLOW ST,NA,LONG BEACH,CA,90815,School,"-118.117913, 33.795998"
CA,17003391,VistaMar School,737 HAWAII ST,NA,EL SEGUNDO,CA,90245,School,"-118.403388, 33.918775"
CA,17001496,Equitas Academy Charter School 4,2723 W 8TH ST,NA,LOS ANGELES,CA,90005,School,"-118.308884, 34.059746"
CO,17012954,PUEBLO SCHOOL FOR ARTS AND SCIENCES ,2415 JONES AVE,NA,PUEBLO,CO,81004,Consortium,"-104.704821, 38.105804"
CO,17014939,KIPP Colorado Consortium,1390 Lawrence Street,NA,Denver,CO,80204,Consortium,"-105.020783, 39.7345"
CO,17012398,Great Work Montessori School,5300 W CENTER AVE,NA,LAKEWOOD,CO,80226,School,"-105.087292, 39.710156"
CO,17013632,ACCO Consortia,801 Yosemite St,NA,Denver,CO,80230,Consortium,"-104.893247, 39.722274"
CO,17012306,Colorado Early Colleges ,4800 Wheaton Drive,NA,Fort Collins,CO,80525,Consortium,"-105.050849, 40.528581"
CO,17011539,Salida Regional ,405 E St.,NA,Salida,CO,81201,Library,"-106.075804, 38.549874"
CO,93439,CHERRY CREEK ACADEMY,6260 S DAYTON ST,NA,ENGLEWOOD,CO,80111,School,"-104.881366, 39.612472"
CT,17012170,Marlborough School District,25 SCHOOL DR MARLBOROUGH,NA,HARTFORD,CT,6447,School District,"-72.457635, 41.63732"
CT,122303,UNION FREE PUBLIC LIBRARY,979 BUCKLEY HWY,NA,UNION,CT,6076,Library,"-72.270077, 41.983819"
CT,17007263,Trumbull Library System,33 Quality Street,NA,Trumbull,CT,6611,Library System,"-73.208258, 41.256687"
CT,17009641,BEN BRONZ ACADEMY,141 N MAIN ST,NA,WEST HARTFORD,CT,6107,School,"-72.756303, 41.754771"
CT,17013256,Trailblazers Academy Charter School, 83 Lockwood Avenue,NA,Stamford,CT,6902,School,"-73.543154, 41.056693"
CT,122466,KILLINGWORTH LIBRARY,301 ROUTE 81,NA,KILLINGWORTH,CT,6419,Library,"-72.575043, 41.372887"
CT,17013255,Stamford Academy Charter School,229 NORTH ST,NA,STAMFORD,CT,6901,School,"-73.538592, 41.053813"
CT,17013954,Faith Preparatory School,600 DANBURY RD,NA,NEW MILFORD,CT,6776,School,"-73.41278, 41.589109"
FL,17013940,Pinecrest Lakes,14012 OLD HIGHWAY 50,NA,CLERMONT,FL,34711,School,"-81.739693, 28.529943"
FL,35829,STETSON BAPTIST CHRISTIAN SCH,1025 W MINNESOTA AVE,NA,DELAND,FL,32720,School,"-81.344851, 29.02782"
FL,17013952,Somerset St. Lucie (Imagine),4402 SW YAMADA DR,NA,PORT ST LUCIE,FL,34953,School,"-80.382823, 27.248733"
FL,17012602,Victory Christian Academy   ,1401 GRIFFIN RD,NA,LAKELAND,FL,33810,School,"-82.012711, 28.116519"
FL,17012456,ICAN LIGHTHOUSE CHARTER SCHOOL,29140 CHAPEL PARK DR,NA,WESLEY CHAPEL,FL,33543,School,"-82.304851, 28.202021"
FL,17004881,Divine Savior Lutheran Academy,10311 NW 58TH ST,NA,DORAL,FL,33178,School,"-80.386363, 25.843659"
FL,17008334,Putnam County Libraries,601 College Ave. Rd,NA,palatka,FL,32177,Library System,"-81.681133, 29.686327"
FL,17013937,Bright Futures - Lighthouse Campus,757 LIGHTHOUSE DR,NA,NORTH PALM BEACH,FL,33408,School,"-80.06041, 26.842318"
