new_ben_type,postal_cd,ben,name,usac_type,usac_attributes,street_address,city,zip_code,applicant_ben,applicant_name,applicant_usac_type,applicant_usac_attributes,applicant_esh_type,applicant_esh_id
recipient,AK,117238,CLARK'S POINT SCHOOL,School,Public School;,Not Yet Known,CLARKS POINT,AK,145573,SOUTHWEST REGION SCHOOL DIST,School District,Public School District;,District,882778
recipient,AK,17010559,STREAM  ACADEMY ,School,Charter School;Public School;,7801 E. 32 Ave,Anchorage ,AK,145553,ANCHORAGE SCHOOL DISTRICT,School District,Charter School District;Public School District;,District,882642
recipient,AK,17011718,June Elementary School,School,Public School;,PO BOX 264,KOTZEBUE,AK,145645,NORTHWEST ARCTIC BORO SCH DIST,School District,Public School District;,District,882747
recipient,AK,17013013,DELTA JUNCTION JUNIOR HIGH SCHOOL,School,Public School;,1655 N Clearwater Ave,Delta Junction,AK,145633,DELTA/GREELY SCHOOL DISTRICT,School District,Public School District;,District,882618
recipient,AK,17013427,Alaska Middle College,School,Public School;,10928 Eagle River Rd,Eagle River,AK,145553,ANCHORAGE SCHOOL DISTRICT,School District,Charter School District;Public School District;,District,882642
recipient,AL,17011506,Robert Brown Middle School,School,Public School;,623 MESOPOTAMIA ST,EUTAW,AL,127980,GREENE COUNTY SCHOOL DISTRICT,School District,Public School District;,District,881962
recipient,AL,17012772,Creekside Elementary,School,Public School;,16049 SANDERSON RD,HARVEST,AL,128009,LIMESTONE COUNTY SCHOOL DIST,School District,Public School District;,District,882062
recipient,AL,17012773,Sugar Creek Elementary ,School,New Construction School;Public School;,26595 Salem Minor Hill Rd,Lester,AL,128009,LIMESTONE COUNTY SCHOOL DIST,School District,Public School District;,District,882062
recipient,AL,17012778,Tanner Elementary K-5 ,School,Public School;,12060 SOMMERS RD,TANNER,AL,128009,LIMESTONE COUNTY SCHOOL DIST,School District,Public School District;,District,882062
recipient,AL,17012779,Elkmont Elementary  ,School,Public School;,25630 EVANS AVE,ELKMONT,AL,128009,LIMESTONE COUNTY SCHOOL DIST,School District,Public School District;,District,882062
recipient,AL,17012861, Center for Advanced Academics and Accelerated Learning,School,Public School;,102 Mockingbird Lane,Troy,AL,128079,PIKE COUNTY SCHOOL DISTRICT,School District,Public School District;,District,882203
recipient,AL,17013151,JEMISON HIGH SCHOOL,School,Public School;,5000 PULASKI PIKE NW,HUNTSVILLE,AL,128038,HUNTSVILLE CITY SCHOOL DIST,School District,Public School District;,District,882000
recipient,AL,17013159,SONNIE HEREFORD ELEMENTARY SCHOOL,School,Public School;,2755 WILSON DR NW,HUNTSVILLE,AL,128038,HUNTSVILLE CITY SCHOOL DIST,School District,Public School District;,District,882000
recipient,AL,17013254,GENEVA REGIONAL CAREER TECH CTR,School,New Construction School;Public School;,1308 WEST MAPLE AVENUE,GENEVA,AL,128121,GENEVA COUNTY SCHOOL DISTRICT,School District,Public School District;,District,881958
recipient,AL,17013352,AUSTIN HIGH SCHOOL NEW CONSTRUCTION,School,New Construction School;Public School;,3004 MODAUS RD SW,DECATUR,AL,128005,DECATUR CITY SCHOOL DISTRICT,School District,Public School District;,District,881871
recipient,AL,17013353,DECATUR HIGH SCHOOL NEW CONSTRUCTION ,School,New Construction School;Public School;,910 SOMERVILLE ROAD ,DECATUR,AL,128005,DECATUR CITY SCHOOL DISTRICT,School District,Public School District;,District,881871
recipient,AL,17013453,Jefferson County IB Middle School,School,Public School;,805 7TH AVE,PLEASANT GROVE,AL,127957,JEFFERSON COUNTY SCHOOL DIST,School District,Public School District;,District,882026
recipient,AL,17013456,SAFE CARE ,School,Public School;,201 W GREEN ST,ATHENS,AL,128010,ATHENS CITY SCHOOL DISTRICT,School District,Public School District;,District,881588
applicant,AR,17012249,Northwest Arkansas Childrens Shelter On-Site School,School,Public School;,14100 VAUGHN RD,BENTONVILLE,AR,17012249,Northwest Arkansas Childrens Shelter On-Site School,School,Public School;,,
recipient,AR,17012689,Lonoke Alternative School,School,Public School;,401 W HOLLY ST,LONOKE,AR,139507,LONOKE PUBLIC SCHOOL DISTRICT,School District,Public School District;,District,882474
recipient,AR,17012696,Umpire K-12 School,School,Public School;,142 School Street,Umpire,AR,139448,COSSATOT RIVER SCHOOL DISTRICT,School District,Public School District;,District,881838
recipient,AR,17012798,Yellville-Summit Alternative School,School,Public School;,1124 N PANTHER AVE,YELLVILLE,AR,139666,YELLVILLE-SUMMIT SCHOOL DISTRICT,School District,Public School District;,District,882842
recipient,AR,17012848,ESTEM ELEMENTARY EAST VILLAGE,School,Public School;,400 SHALL ST,LITTLE ROCK,AR,16050850,ESTEM PUBLIC CHARTER SCHOOLS,School District,Public School District;,OtherLocation,1006126
recipient,AR,17012849,ESTEM JUNIOR HIGH EAST VILLAGE,School,Public School;,400 SHALL ST,LITTLE ROCK,AR,16050850,ESTEM PUBLIC CHARTER SCHOOLS,School District,Public School District;,OtherLocation,1006126
recipient,AR,17013215,CENTERPOINT ELEMENTARY,School,Public School;,637 HWY 8 E ,AMITY,AR,139451,CENTERPOINT SCHOOL DISTRICT,School District,Public School District;,District,882259
recipient,AR,17013398,FARMINGTON FRESHMAN ACADEMY,School,Public School;,278 West Main Street,Farmington,AR,139673,FARMINGTON SCHOOL DISTRICT,School District,Public School District;,District,882202
recipient,AR,17013476,Creekside Middle School,School,Public School;,2901 SW 28TH ST,Bentonville,AR,139669,BENTONVILLE PUBLIC SCHOOLS,School District,Public School District;,District,881948
recipient,AZ,16052113,BLUE RIDGE INTERMEDIATE SCHOOL,School,New Construction School;Public School;,1200 WEST WHITE MT BLVD,PINETOP LAKESIDE,AZ,143137,BLUE RIDGE UNIF SCHOOL DIST 32,School District,Public School District;,District,883290
applicant,AZ,17002491,Vista College Prep Maryvale ,School,Charter School;Public School;,4520 W. McDowell Rd,PHOENIX,AZ,17002491,Vista College Prep Maryvale ,School,Charter School;Public School;,,
applicant,AZ,17005831,Colegio Petite,School,Charter School;Public School;,850 N MORLEY AVE,NOGALES,AZ,17005831,Colegio Petite,School,Charter School;Public School;,,
applicant,AZ,17006567,LEADING EDGE ACADEMY MARICOPA,School,Charter School;Public School;,#N/A,#N/A,#N/A,17006567,LEADING EDGE ACADEMY MARICOPA,School,Charter School;Public School;,,
applicant,AZ,17009406,Northstar ,School District,Charter School District;Public School District;,#N/A,#N/A,#N/A,17009406,Northstar ,School District,Charter School District;Public School District;,,
applicant,AZ,17011571,Metropolitan Arts Institute ,School,Charter School;Public School;,1700 N 7TH AVE,PHOENIX,AZ,17011571,Metropolitan Arts Institute ,School,Charter School;Public School;,,
recipient,AZ,17011664,Chandler Early College High School,School,Public School;,"2626 E. Pecos Rd, BLDG JAV",Chandler,AZ,142926,CHANDLER UNIF SCHOOL DIST 80,School District,Public School District;,District,883088
recipient,AZ,17011665,Chandler Online Academy,School,Public School;,650 E. Morelos St ,Chandler,AZ,142926,CHANDLER UNIF SCHOOL DIST 80,School District,Public School District;,District,883088
recipient,AZ,17011666,Elite Performance Academy,School,Public School;,1825 S Alma School Rd,Chandler,AZ,142926,CHANDLER UNIF SCHOOL DIST 80,School District,Public School District;,District,883088
recipient,AZ,17011667,ICAN,School,Public School;,650 E. Morelos St. ,Chandler,AZ,142926,CHANDLER UNIF SCHOOL DIST 80,School District,Public School District;,District,883088
applicant,AZ,17011960,Camelback Christian School,School,Charter School;Public School;,3900 E STANFORD DR,PARADISE VALLEY,AZ,17011960,Camelback Christian School,School,Charter School;Public School;,,
