school_esh_id,campus_id
884173,campus_9166
884187,campus_9169
884200,campus_9170
884208,campus_9171
884215,campus_9174
884223,campus_9176
884315,campus_12597
884329,campus_1381
884359,campus_9179
884361,campus_9182
884363,campus_9188
884364,campus_9191
884366,campus_10578
884367,campus_12598
884368,campus_21592
884369,campus_1387
884371,campus_9201
884372,campus_442
884373,campus_9203
884375,campus_9240
884376,campus_1
884377,campus_9327
884378,campus_12599
884379,campus_21593
884380,campus_1380
884381,campus_21594
884382,campus_21595
884383,campus_1388
884384,campus_21596
884385,campus_1387
884387,campus_9209
884388,campus_9213
884389,campus_9214
884391,campus_9217
884392,campus_9221
884393,campus_9223
884394,campus_9224
884395,campus_1
884396,campus_9234
884397,campus_9237
884398,campus_9243
884399,campus_13257
884400,campus_9244
884401,campus_9246
884402,campus_12600
884403,campus_8701
884405,campus_9254
884406,campus_12601
884407,campus_9255
884408,campus_1388
884409,campus_1389
884410,campus_1387
884412,campus_1390
884413,campus_21597
884415,campus_13258
884416,campus_12602
884417,campus_9261
884418,campus_9264
884419,campus_9265
884420,campus_9266
884421,campus_9272
884422,campus_9275
884424,campus_21598
884425,campus_1391
884426,campus_1390
884427,campus_1390
884429,campus_21599
884430,campus_21600
884431,campus_1385
884432,campus_21601
884433,campus_10579
884434,campus_21602
884435,campus_13259
884436,campus_12603
884438,campus_12604
884439,campus_9278
884440,campus_9281
884442,campus_9285
884443,campus_437
884444,campus_9290
884445,campus_9292
884446,campus_9296
884448,campus_9299
884449,campus_9300
884450,campus_9301
884451,campus_9302
884452,campus_1392
884453,campus_9306
884454,campus_10580
884455,campus_1383
884456,campus_10581
884457,campus_10582
884458,campus_9311
884459,campus_1392
884460,campus_9313
884461,campus_21603
884462,campus_9317
884463,campus_1386
884464,campus_9322
884465,campus_21604
884466,campus_13260
884467,campus_9323
884468,campus_1387
884469,campus_10967
884470,campus_1382
884471,campus_1382
884472,campus_1379
884473,campus_1389
884474,campus_12606
884475,campus_1392
884476,campus_1387
884477,campus_1378
884478,campus_1391
884479,campus_1384
884483,campus_10558
884484,campus_13261
884485,campus_10968
884486,campus_10969
884487,campus_12607
884493,campus_10583
884495,campus_10970
884496,campus_12608
884497,campus_10971
884498,campus_10972
884500,campus_1394
884502,campus_9338
884505,campus_10584
884506,campus_12609
884507,campus_13263
884508,campus_1394
884510,campus_9339
884512,campus_2
884513,campus_2
884514,campus_12610
884515,campus_10973
884516,campus_1394
884518,campus_13264
884519,campus_9340
884521,campus_13265
884522,campus_10585
884523,campus_12611
884524,campus_10974
884526,campus_10975
884528,campus_10976
884529,campus_21610
884530,campus_10977
884531,campus_10978
884532,campus_46
884534,campus_10979
884535,campus_10980
884537,campus_386
884538,campus_13266
884539,campus_10981
884540,campus_10982
884541,campus_3
884542,campus_10983
884543,campus_4
884544,campus_386
884545,campus_10984
884546,campus_201
884547,campus_10985
884548,campus_10986
884550,campus_21611
884551,campus_21612
884552,campus_9341
884554,campus_13267
884555,campus_10586
884556,campus_12612
884558,campus_387
884559,campus_387
884560,campus_387
884562,campus_10987
884564,campus_388
884565,campus_509
884566,campus_388
884567,campus_21613
884568,campus_46
884570,campus_76569
884571,campus_12613
884573,campus_509
884574,campus_388
884575,campus_21614
884576,campus_47
884578,campus_79167
884579,campus_12614
884580,campus_12615
884582,campus_13268
884583,campus_10988
884584,campus_48
884585,campus_510
884586,campus_21615
884588,campus_201
884589,campus_1
884591,campus_49
884592,campus_21616
884593,campus_510
884595,campus_10587
884596,campus_12616
884603,campus_10989
884606,campus_10990
884609,campus_9342
884612,campus_510
884613,campus_21617
884623,campus_12617
884624,campus_50
884625,campus_10991
884626,campus_21618
884627,campus_10992
884628,campus_511
884629,campus_10993
884631,campus_22484
884632,campus_13269
884633,campus_22485
884634,campus_22486
884635,campus_22487
884636,campus_5
884637,campus_22488
884638,campus_202
884639,campus_22489
884640,campus_22490
884641,campus_22491
884642,campus_22492
884643,campus_22493
884644,campus_22494
884652,campus_8800
884653,campus_22495
884654,campus_22496
884655,campus_8800
884656,campus_9343
884657,campus_21619
884658,campus_10994
884660,campus_511
884661,campus_12618
884662,campus_10588
884663,campus_22497
884664,campus_47
884665,campus_10995
884666,campus_21620
884667,campus_10996
884668,campus_10997
884669,campus_10998
884674,campus_13270
884675,campus_12619
884676,campus_10999
884677,campus_4
884678,campus_11000
884679,campus_8700
884680,campus_11001
884681,campus_8701
884682,campus_22498
884683,campus_9344
884684,campus_49
884685,campus_21621
884687,campus_202
884688,campus_512
884689,campus_10589
884691,campus_512
884692,campus_22499
884693,campus_22500
884694,campus_9345
884696,campus_203
884697,campus_5
884698,campus_8702
884699,campus_13271
884701,campus_9346
884702,campus_21622
884704,campus_203
884705,campus_10590
884707,campus_3
884709,campus_11002
884710,campus_11004
884711,campus_13272
884719,campus_22501
884720,campus_51
884722,campus_12621
884723,campus_2
884724,campus_11005
884725,campus_11006
884726,campus_13273
884727,campus_22502
884728,campus_1395
884729,campus_51
884738,campus_12622
884747,campus_12623
884750,campus_10591
884780,campus_11007
884787,campus_11008
884792,campus_513
884798,campus_11009
884799,campus_11010
884800,campus_11011
884801,campus_11012
884802,campus_22503
884803,campus_11013
884804,campus_513
884805,campus_21623
884806,campus_11015
884807,campus_11016
884808,campus_47
884809,campus_10592
884810,campus_12624
884811,campus_21624
884812,campus_22504
884813,campus_13274
884814,campus_11017
884815,campus_50
884816,campus_11018
884817,campus_11019
884818,campus_11020
