"service_provider_2015","service_provider_2016","same"
"Time Warner Cable","Time Warner Cable Business LLC",1
"Winstream","Windstream",1
"TW Telecom Holdings","Time Warner Cable",1
"Citizens Tel","Frontier",1
"Shentel Comm","Shenandoah Tele Co",1
"CenturyTel","CenturyLink",1
"CenturyLink","CenturyLink Qwest",1
"Chickasaw Long","Chickasaw Holding",1
"Metropolitan Dayton","Metropolitan Ed",1
"Panhandle Telephone","Panhandle Tele Coop",1
"Northern Illinois","Illinois Fiber",1
"Valley Connections","Valley Telecom",1
"Line Systems","Block Line Systems, LLC",1
"Adams NetWorks Inc","Adams TelSystems",1
"Shenandoah Cable","Shenandoah Tele Co",1
"Comcast","Comcast Cable Communications, LLC	",1
"Shenandoah Telephone","Shenandoah Tele Co",1
"TW Telecom Holdings","Time Warner Cable Business LLC",1
