postal_cd,State Match Fund (millions),state_action_or_state_match,gov_last_name,gov_quote
AK,,State leaders provide up to $5 million annually to upgrade broadband speeds to 10 Mbps through the School Broadband Assistance Grant.,Walker,Governor Walker has the opportunity to continue to support Alaska_„_s students as they take advantage of digital learning.
AL,,"State leaders supported $12 million for Wi-Fi upgrades through the Wireless Infrastructure Renovation for Education Act and the AL Research and Education Network for broadband in all schools.

https://www.asc.edu/",Ivey,"Broadband internet is to the modern day what the interstate system was to the 1950s. Ensuring students at all levels have access to high-speed internet is not just an education issue, but an economic development one as well. In order to succeed in the 21st century, Alabama_„_s children must have access to 21st century tools."
AR,,State leaders doubled bandwidth to 200 kbps/student for every school district at one third the cost through the Arkansas Public School Computer Network.,Hutchinson,"Our children are our future, and if they don_„_t have the connectivity they need to use digital learning tools, we all lose out. That is why I am taking action to get high-speed Internet in every classroom and unleash our students_„_ potential to compete in tomorrow_„_s workforce."
AZ,11,"Governor Ducey and state leaders launched the Arizona Broadband for Education Initiative and worked together to fund an $11 million state matching fund for broadband upgrades.

http://www.azed.gov/erate/arizona-broadband-initiative/",Ducey,High-speed Internet is the necessary foundation for taking advantage of technology in the classroom. I support expanding broadband connectivity in every classroom in our state to ensure our students have the tools and skills they need to succeed in school and beyond.
CA,27,State leaders provided an additional $50 million for broadband upgrades through the Broadband Infrastructure Improvement Grant (BIIG) program,Brown,Connecting the classrooms of America to high-speed broadband throws open the doors to the world and enriches our children_„_s education in so many wonderful ways.
CO,,State leaders established a regional broadband purchasing consortia which helped reduce Internet access costs to $0.82 per Mbps for up to 39 school districts through the Kids Link Colorado initiative.,Hickenlooper,"A 21st century Colorado must include a Colorado that is committed to getting high-speed connectivity to all of our K-12 schools, which will ensure growth in our economy and educational opportunities for all students across the state."
CT,,"State leaders leveraged E-rate funding to ensure all schools have fiber and the minimum bandwidth needed for digital learning through the Connecticut Education Network (CEN).

http://www.ct.gov/cen",Malloy,"In Connecticut, we are working to deliver on our promise to prepare all our students for success in college and careers in a 21st century economy. That_„_s why we have been committed to connecting every classroom to high-speed Internet. Technology and broadband connectivity can help provide enriching learning experiences that expand beyond the four walls of a classroom, and in turn help to reduce isolation. Connecticut is proud to have made significant gains and continues to prioritize expanding broadband connectivity."
DE,,[Please suggest 1-2 one-sentence state actions to include in this section. Ex: The state network increased bandwidth to schools by 50%],Carney,"All Delaware families, and especially students, need access to quality broadband service to foster creativity and develop digital skills needed to compete in an economy that is more connected than ever. Delaware is already making progress on this issue, and I am committed to working with local government officials and the business community to expand access to broadband in schools and across Delaware, particularly in our rural communities."
FL,Unknown,[Please suggest 1-2 one-sentence state actions to include in this section],Scott,Governor Scott has the opportunity to continue to support Florida_„_s students as they take advantage of digital learning.
GA,,"State leaders continue to provide broadband to all schools, supported Wi-Fi upgrades, and held statewide K-12 technology summits through PeachNet and the Connections for Classrooms program",Deal,"Digital literacy skills are becoming increasingly necessary to remain competitive in a global marketplace. My administration is committed to providing students with a foundation for future innovation and academic success. As technology becomes more integrated in the learning process, we are committed to providing students with the connectivity and tools necessary to take full advantage of digital learning opportunities."
