"","postal_cd","district_esh_id","pct_scalable"
"1","AK",882526,1
"2","AK",882604,1
"3","AK",882613,0.666666666666667
"4","AK",882618,0.833333333333333
"5","AK",882632,1
"6","AK",882637,1
"7","AK",882642,1
"8","AK",882674,1
"9","AK",882695,1
"10","AK",882700,1
"11","AK",882721,1
"12","AK",882732,0.333333333333333
"13","AK",882737,1
"14","AK",882742,1
"15","AK",882752,0
"16","AK",882756,0.333333333333333
"17","AK",882771,1
"18","AK",882778,1
"19","AK",882783,1
"20","AK",882787,1
"21","AK",882790,1
"22","AK",882811,0.75
"23","AK",882824,1
"24","AK",882828,1
"25","AL",881421,1
"26","AL",881427,1
"27","AL",881431,1
"28","AL",881509,1
"29","AL",881573,1
"30","AL",881578,1
"31","AL",881584,1
"32","AL",881588,1
"33","AL",881623,1
"34","AL",881640,1
"35","AL",881671,1
"36","AL",881677,1
"37","AL",881694,1
"38","AL",881705,0.878378378378378
"39","AL",881725,1
"40","AL",881737,1
"41","AL",881743,0.5
"42","AL",881750,1
"43","AL",881759,1
"44","AL",881769,1
"45","AL",881782,1
"46","AL",881798,1
"47","AL",881806,0.777777777777778
"48","AL",881811,1
"49","AL",881824,1
"50","AL",881836,1
"51","AL",881842,1
"52","AL",881847,0.882352941176471
"53","AL",881851,1
"54","AL",881854,1
"55","AL",881860,1
"56","AL",881871,1
"57","AL",881876,1
"58","AL",881881,1
"59","AL",881886,1
"60","AL",881892,1
"61","AL",881897,1
"62","AL",881902,1
"63","AL",881920,1
"64","AL",881925,1
"65","AL",881931,1
"66","AL",881941,1
"67","AL",881946,1
"68","AL",881954,1
"69","AL",881962,1
"70","AL",881966,1
"71","AL",881971,0.75
"72","AL",881976,0.5
"73","AL",881981,1
"74","AL",881991,1
"75","AL",881995,1
"76","AL",882000,1
"77","AL",882015,0.5
"78","AL",882020,1
"79","AL",882026,1
"80","AL",882036,1
"81","AL",882041,1
"82","AL",882050,1
"83","AL",882057,1
"84","AL",882062,1
"85","AL",882068,1
