line_item_id,service_provider_name,postal_cd,bandwidth_in_mbps,num_students,connect_category,cost_per_line,frn_complete
885688,"Conterra Ultra Broadband, LLC",VA,500.0,8391,Fiber,27343.174736842106,2751379-1
885692,"CenturyLink United Telephone-Southeast, Inc. (FKA Embarq)",VA,10.0,4845,Other / Uncategorized,6480.0,2751530-1
885693,"CenturyLink United Telephone-Southeast, Inc. (FKA Embarq)",VA,50.0,4845,Other / Uncategorized,9024.0,2751608-1
885694,"CenturyLink United Telephone-Southeast, Inc. (FKA Embarq)",VA,50.0,4845,Other / Uncategorized,9060.0,2751685-1
885695,"CenturyLink United Telephone-Southeast, Inc. (FKA Embarq)",VA,100.0,4845,Fiber,10140.0,2751724-1
885696,"CenturyLink United Telephone-Southeast, Inc. (FKA Embarq)",VA,100.0,4845,Fiber,10140.0,2751741-1
885697,"CenturyLink United Telephone-Southeast, Inc. (FKA Embarq)",VA,50.0,4845,Other / Uncategorized,9024.0,2751762-1
885698,"CenturyLink United Telephone-Southeast, Inc. (FKA Embarq)",VA,50.0,4845,Other / Uncategorized,9024.0,2751777-1
885699,"CenturyLink United Telephone-Southeast, Inc. (FKA Embarq)",VA,100.0,4845,Fiber,10140.0,2751797-1
885700,"CenturyLink United Telephone-Southeast, Inc. (FKA Embarq)",VA,50.0,4845,Other / Uncategorized,11004.0,2752379-1
885701,"CenturyLink United Telephone-Southeast, Inc. (FKA Embarq)",VA,50.0,4845,Other / Uncategorized,9024.0,2752403-1
885702,"CenturyLink United Telephone-Southeast, Inc. (FKA Embarq)",VA,10.0,4845,Other / Uncategorized,6480.0,2752424-1
885703,"CenturyLink United Telephone-Southeast, Inc. (FKA Embarq)",VA,10.0,4845,Other / Uncategorized,6480.0,2752437-1
885704,"CenturyLink United Telephone-Southeast, Inc. (FKA Embarq)",VA,500.0,4845,Fiber,13878.0,2752462-1
885705,"CenturyLink United Telephone-Southeast, Inc. (FKA Embarq)",VA,10.0,4845,Other / Uncategorized,6480.0,2752509-1
885706,"CenturyLink United Telephone-Southeast, Inc. (FKA Embarq)",VA,200.0,4845,Fiber,32353.2,2752535-1
885718,"Comcast Cable Communications, LLC",VA,10.0,1893,Other / Uncategorized,1500.0,2751895-1
885743,Verizon Virginia LLC,VA,1000.0,22543,Fiber,235902.0,2753900-1
885744,Verizon Virginia LLC,VA,300.0,22543,Fiber,99300.36,2753900-2
885775,"CenturyLink United Telephone-Southeast, Inc. (FKA Embarq)",VA,500.0,2645,Fiber,21540.0,2840583-1
885776,"CenturyLink United Telephone-Southeast, Inc. (FKA Embarq)",VA,500.0,2645,Fiber,21540.0,2840583-2
885777,"CenturyLink United Telephone-Southeast, Inc. (FKA Embarq)",VA,500.0,2645,Fiber,45420.0,2840583-3
