"","verified_category","predicted_category","raw_category","test_data.frn_complete","guessed_correctly","clean_the_line_item"
"8","Fiber","Fiber","Fiber","2718083-1",TRUE,FALSE
"9","Fiber","Fiber","Fiber","2718083-2",TRUE,FALSE
"11","Other / Uncategorized","Cable / DSL","Other / Uncategorized","2718105-1",FALSE,FALSE
"14","Fiber","Fiber","Fiber","2718263-1",TRUE,FALSE
"20","Cable / DSL","Cable / DSL","Other / Uncategorized","2718433-1",TRUE,TRUE
"23","Fiber","Fiber","Fiber","2718490-1",TRUE,FALSE
"28","Cable / DSL","Cable / DSL","Other / Uncategorized","2718661-1",TRUE,TRUE
"35","Fiber","Fiber","Other / Uncategorized","2718844-1",TRUE,TRUE
"52","Fiber","Fiber","Fiber","2719781-1",TRUE,FALSE
"55","Other / Uncategorized","Fiber","Other / Uncategorized","2720097-1",FALSE,FALSE
"57","Fiber","Fiber","Other / Uncategorized","2720310-1",TRUE,TRUE
"80","Fiber","Fiber","Fiber","2721095-1",TRUE,FALSE
"83","Fiber","Fiber","Fiber","2721188-1",TRUE,FALSE
"85","Fiber","Fiber","Cable / DSL","2721296-1",TRUE,TRUE
"88","Fiber","Fiber","Fiber","2721444-1",TRUE,FALSE
"89","Cable / DSL","Cable / DSL","Other / Uncategorized","2721481-1",TRUE,TRUE
"91","Fiber","Fiber","Fiber","2721628-1",TRUE,FALSE
"107","Fiber","Fiber","Fiber","2722354-1",TRUE,FALSE
"111","Fiber","Fiber","Fiber","2722489-1",TRUE,FALSE
"116","Fiber","Fiber","Fiber","2722618-1",TRUE,FALSE
"118","Fiber","Fiber","Other / Uncategorized","2722628-1",TRUE,TRUE
"141","Fiber","Fiber","Fiber","2723018-2",TRUE,FALSE
"153","Fiber","Fiber","Other / Uncategorized","2723340-1",TRUE,TRUE
"158","Fiber","Fiber","Fiber","2723613-1",TRUE,FALSE
"169","Fiber","Fiber","Fiber","2724157-1",TRUE,FALSE
"176","Fixed Wireless","Fixed Wireless","Fixed Wireless","2724183-2",TRUE,FALSE
"194","Fiber","Fiber","Fiber","2725308-1",TRUE,FALSE
"200","Fiber","Fiber","Fiber","2725889-1",TRUE,FALSE
"201","Cable / DSL","Cable / DSL","Cable / DSL","2725983-1",TRUE,FALSE
"203","Cable / DSL","Cable / DSL","Cable / DSL","2726032-1",TRUE,FALSE
"212","Fiber","Fiber","Fiber","2726203-3",TRUE,FALSE
"213","Fiber","Fiber","Other / Uncategorized","2726205-1",TRUE,TRUE
"218","Fiber","Fiber","Fiber","2726539-1",TRUE,FALSE
"229","Other / Uncategorized","Fiber","Fiber","2726792-1",FALSE,FALSE
"230","Cable / DSL","Cable / DSL","Other / Uncategorized","2726806-1",TRUE,TRUE
"232","Fiber","Fiber","Other / Uncategorized","2726832-1",TRUE,TRUE
"237","Fiber","Fiber","Fiber","2727391-1",TRUE,FALSE
"247","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2727863-1",TRUE,FALSE
"249","Fiber","Fiber","Fiber","2728120-4",TRUE,FALSE
"251","Fiber","Fiber","Other / Uncategorized","2728314-1",TRUE,TRUE
"254","Fiber","Fiber","Fiber","2728464-1",TRUE,FALSE
"255","Fiber","Fiber","Fiber","2728547-1",TRUE,FALSE
"274","Fiber","Fiber","Fiber","2729324-1",TRUE,FALSE
"275","Fiber","Fiber","Other / Uncategorized","2729333-1",TRUE,TRUE
"276","Fiber","Fiber","Other / Uncategorized","2729376-1",TRUE,TRUE
"279","Fiber","Fiber","Fiber","2729846-1",TRUE,FALSE
"280","Fiber","Fiber","Other / Uncategorized","2729901-1",TRUE,TRUE
"289","Fiber","Fiber","Other / Uncategorized","2730229-1",TRUE,TRUE
"296","Fiber","Fiber","Fiber","2730820-1",TRUE,FALSE
"297","Fiber","Fiber","Other / Uncategorized","2730844-1",TRUE,TRUE
"303","Fiber","Fiber","Other / Uncategorized","2731902-1",TRUE,TRUE
"305","Fiber","Fiber","Other / Uncategorized","2731985-1",TRUE,TRUE
"311","Fiber","Fiber","Other / Uncategorized","2732209-1",TRUE,TRUE
"313","Fiber","Fiber","Other / Uncategorized","2732209-3",TRUE,TRUE
"322","Fiber","Fiber","Fiber","2732431-1",TRUE,FALSE
"324","Fiber","Fiber","Fiber","2732527-1",TRUE,FALSE
"328","Fiber","Fiber","Other / Uncategorized","2732625-1",TRUE,TRUE
"335","Cable / DSL","Cable / DSL","Cable / DSL","2733236-1",TRUE,FALSE
"336","Fiber","Fiber","Other / Uncategorized","2733327-1",TRUE,TRUE
"349","Cable / DSL","Cable / DSL","Cable / DSL","2734163-1",TRUE,FALSE
"354","Fiber","Fiber","Fiber","2734395-1",TRUE,FALSE
"355","Fiber","Fiber","Fiber","2734401-1",TRUE,FALSE
"358","Copper","Copper","Other / Uncategorized","2734474-1",TRUE,TRUE
"368","Fiber","Fiber","Fiber","2734912-1",TRUE,FALSE
"369","Fiber","Fiber","Other / Uncategorized","2734916-1",TRUE,TRUE
"371","Fiber","Fiber","Other / Uncategorized","2734951-2",TRUE,TRUE
"374","Fiber","Fiber","Fiber","2735087-1",TRUE,FALSE
"375","Fiber","Fiber","Fiber","2735114-1",TRUE,FALSE
"378","Fiber","Fiber","Fiber","2735126-1",TRUE,FALSE
"381","Fiber","Fiber","Fiber","2735332-1",TRUE,FALSE
"383","Fiber","Fiber","Fiber","2735354-1",TRUE,FALSE
"390","Cable / DSL","Cable / DSL","Other / Uncategorized","2735650-1",TRUE,TRUE
"394","Other / Uncategorized","Fiber","Fiber","2735722-1",FALSE,FALSE
"405","Fiber","Fiber","Fiber","2736214-1",TRUE,FALSE
"408","Fiber","Fiber","Fiber","2736227-1",TRUE,FALSE
"412","Fiber","Fiber","Fiber","2736564-1",TRUE,FALSE
"417","Fiber","Fiber","Other / Uncategorized","2736638-1",TRUE,TRUE
"419","Fiber","Fiber","Fiber","2736728-1",TRUE,FALSE
"427","Fiber","Fiber","Other / Uncategorized","2737294-1",TRUE,TRUE
"428","Fiber","Fiber","Other / Uncategorized","2737310-2",TRUE,TRUE
"431","Fiber","Fiber","Fiber","2737360-1",TRUE,FALSE
"440","Fiber","Fiber","Fiber","2738174-1",TRUE,FALSE
"442","Fiber","Fiber","Fiber","2738385-2",TRUE,FALSE
"450","Fiber","Fiber","Other / Uncategorized","2738696-1",TRUE,TRUE
"452","Fiber","Fiber","Fiber","2738759-1",TRUE,FALSE
"455","Fiber","Fiber","Fiber","2738822-1",TRUE,FALSE
"464","Other / Uncategorized","Other / Uncategorized","Other / Uncategorized","2739122-1",TRUE,FALSE
"465","Fiber","Other / Uncategorized","Fiber","2739232-1",FALSE,FALSE
"466","Fiber","Other / Uncategorized","Fiber","2739232-2",FALSE,FALSE
"468","Fiber","Fiber","Cable / DSL","2739336-1",TRUE,TRUE
"469","Other / Uncategorized","Other / Uncategorized","Copper","2739531-1",TRUE,TRUE
"479","Cable / DSL","Cable / DSL","Cable / DSL","2739708-1",TRUE,FALSE
