postal_cd,consultant_names,consultant_num,num_districts_served,num_clean_districts_served,num_dirty_districts_served,num_fiber_target_districts_served,num_potential_fiber_target_districts_served,num_not_fiber_target_districts_served,num_no_data_fiber_districts_served,num_bw_target_districts_served,num_potential_bw_target_districts_served,num_not_bw_target_districts_served,num_no_data_bw_districts_served,num_meeting_affordability_districts_served,num_not_meeting_affordability_districts_served,num_unknown_affordability_districts_served,num_fiber_or_bw_target_districts_served,num_fiber_or_bw_potential_target_districts_served,num_applications
AK,"ADS Advanced Data Services, Inc.",16049151,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
AK,"Alaska Education & Business Services, Inc.",17001521,3,0,3,1,2,0,0,0,2,1,0,0,0,3,1,3,3
AK,E-Rate Central,16060891,6,5,1,4,1,1,0,2,1,3,0,0,5,1,4,1,6
AK,E-Rate Complete,16043592,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
AK,Jim White,17004810,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
AK,Southeast Regional Resource Center (SERRC),16062991,9,8,1,6,1,2,0,3,1,5,0,0,8,1,6,1,9
AK,Valerie Oliver,17002356,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1
AL,Dynamic Strategies LLC,16043580,3,3,0,0,0,3,0,1,0,2,0,0,3,0,1,0,3
AL,Epic Communications,16048924,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3
AL,"E-Rate 360 Solutions, LLC",16048893,13,12,1,1,1,11,0,2,1,10,0,0,12,1,2,1,14
AL,Funds for Learning,16024808,2,2,0,0,0,2,0,1,0,1,0,0,2,0,1,0,3
AR,Allen & Allen Consulting LLC,16060634,4,4,0,1,3,0,0,0,0,4,0,0,4,0,1,3,7
AR,Charles Hudson,16076735,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,2
AR,COLLECT-ED LLC,16062522,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
AR,CRW Consulting,16024800,30,26,4,2,8,20,0,2,0,28,0,3,23,4,3,8,32
AR,Educational Consortium for Telecom Savings,16024807,2,1,1,0,1,1,0,0,0,2,0,0,1,1,0,1,2
AR,"E-Rate 360 Solutions, LLC",16048893,3,1,2,0,3,0,0,1,1,1,0,0,1,2,1,3,5
AR,E-Rate Central,16060891,6,6,0,2,1,3,0,1,0,5,0,2,4,0,2,1,9
AR,E-RATE ONLINE LLC,16048791,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
AR,Funds for Learning,16024808,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1
AR,GETFUNDED,16057463,2,2,0,0,0,2,0,0,0,2,0,1,1,0,0,0,2
AR,"Kellogg & Sovereign Consulting, LLC",16024809,7,6,1,1,0,6,0,0,1,6,0,0,6,1,1,1,12
AR,"My E-Rate Guy, LLC",16043637,2,2,0,0,2,0,0,1,0,1,0,0,2,0,1,2,3
AR,Sharon Dowdy,16062339,5,5,0,0,1,4,0,1,0,4,0,3,2,0,1,1,6
AZ,"ADS Advanced Data Services, Inc.",16049151,5,5,0,1,0,4,0,1,0,4,0,2,3,0,2,0,5
AZ,BIA Erate Team,17001438,2,0,2,1,0,1,0,0,2,0,0,0,1,1,1,2,2
AZ,Complete Technology Solutions LLC,16067743,4,4,0,1,0,3,0,0,0,4,0,4,0,0,1,0,5
AZ,"e2e Exchange, LLC",16043595,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,2
AZ,Edgewater IT,16075523,2,0,2,2,0,0,0,0,2,0,0,0,2,0,2,2,3
AZ,Educational Funding Group,16043587,2,1,1,1,0,1,0,1,1,0,0,0,2,0,2,1,2
AZ,Education TEAM Partners LLC,16049460,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2
AZ,"E-Rate 360 Solutions, LLC",16048893,14,13,1,1,1,12,0,0,1,13,0,0,13,1,1,1,17
AZ,E-Rate Central,16060891,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1
AZ,E-Rate Consulting LLC,16062128,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2
AZ,E-Rate Consulting Specialists Inc,16049024,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2
AZ,"E-Rate Elite Services, Inc.",16024803,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
AZ,E-Rate First,16065884,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2
AZ,"E-Rate Funding Services, LLC",16082747,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2
AZ,E-RATE ONLINE LLC,16048791,3,2,1,1,1,1,0,0,1,2,0,1,1,1,1,1,9
AZ,"ERateProgram, LLC",16048902,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
AZ,ETECHCO INC,16061978,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
AZ,Funds for Learning,16024808,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
AZ,GETFUNDED,16057463,7,5,2,1,0,6,0,1,2,4,0,2,4,1,2,2,8
AZ,Jack Sterling,16062215,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
AZ,My Angel Grant LLC,16062047,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1
AZ,Nicely Done Consulting,16043643,93,84,9,27,8,58,0,16,2,74,1,14,70,9,37,8,106
AZ,"NvLS Professional Services, LLC",16024810,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1
AZ,Sherri Martinez,16075152,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,2
AZ,Small Business Tech Solutions,16076351,2,2,0,2,0,0,0,1,0,1,0,0,2,0,2,0,2
AZ,Tatonka Education Service,17002253,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1
AZ,Tech Funds Inc,16043671,20,15,5,8,3,9,0,2,3,15,0,4,11,5,8,6,22
AZ,TELETECH ASSOCIATES INC,16062022,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,2
AZ,The Miller Institute for Learning With Technology (dba Learningtech.org),16043681,3,2,1,1,0,2,0,0,1,2,0,1,2,0,1,1,4
AZ,Triple R Consultants,16055924,3,2,1,1,0,2,0,0,1,2,0,2,0,1,1,1,5
AZ,Yavapai County Educational Service Agency,16071819,36,31,5,11,4,20,1,3,3,29,1,6,25,5,13,5,43
CA,AARRESTAD-GJERVIK CONSULTING,16062621,21,16,5,1,8,12,0,2,2,17,0,11,5,5,3,8,21
CA,"ADS Advanced Data Services, Inc.",16049151,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1
CA,ATG,16065304,27,22,5,3,4,19,1,3,4,20,0,11,11,5,5,5,30
CA,BTU Consultants,16049611,3,1,2,0,1,2,0,0,1,2,0,1,0,2,0,1,3
CA,CSM Consulting Inc.,16043564,255,223,32,27,41,186,1,49,24,180,2,99,124,32,65,44,298
CA,David Goldsmith,16071686,5,5,0,5,0,0,0,0,0,5,0,0,5,0,5,0,5
CA,David Sonderegger,16071142,5,5,0,1,0,4,0,0,0,5,0,3,2,0,1,0,9
