"esh_id","nces_cd","name","union_code","state_senate_district","state_assembly_district","ulocal","locale","district_size","ia_oversub_ratio","district_type","num_schools","num_campuses","num_students","num_teachers","num_aides","num_other_staff","frl_percent","discount_rate_c1","discount_rate_c2","address","city","zip","county","postal_cd","latitude","longitude","exclude_from_ia_analysis","exclude_from_ia_cost_analysis","exclude_from_wan_analysis","exclude_from_wan_cost_analysis","exclude_from_current_fiber_analysis","fiber_metric_calc_group","fiber_metric_status","include_in_universe_of_districts","flag_array","tag_array","num_open_district_flags","clean_categorization","ia_bandwidth_per_student_kbps","meeting_2014_goal_no_oversub","meeting_2014_goal_oversub","meeting_2014_goal_no_oversub_fcc_25","meeting_2018_goal_no_oversub","meeting_2018_goal_oversub","meeting_2018_goal_no_oversub_fcc_25","at_least_one_line_not_meeting_broadband_goal","bw_upgrade_indicator","ia_monthly_cost_per_mbps","ia_bw_mbps_total","ia_monthly_cost_total","ia_monthly_cost_direct_to_district","ia_monthly_cost_shared","wan_monthly_cost_per_line","wan_monthly_cost_total","meeting_3_per_mbps_affordability_target","hierarchy_ia_connect_category","all_ia_connectcat","current_known_scalable_campuses","current_assumed_scalable_campuses","current_known_unscalable_campuses","current_assumed_unscalable_campuses","sots_known_scalable_campuses","sots_assumed_scalable_campuses","sots_known_unscalable_campuses","sots_assumed_unscalable_campuses","fiber_internet_upstream_lines","fixed_wireless_internet_upstream_lines","cable_internet_upstream_lines","copper_internet_upstream_lines","satellite_lte_internet_upstream_lines","uncategorized_internet_upstream_lines","wan_lines","wan_bandwidth_low","wan_bandwidth_high","gt_1g_wan_lines","lt_1g_fiber_wan_lines","lt_1g_nonfiber_wan_lines","consortium_affiliation","ia_procurement_type","ia_applicants","dedicated_isp_sp","dedicated_isp_services","dedicated_isp_contract_expiration","bundled_internet_sp","bundled_internet_services","bundled_internet_contract_expiration","upstream_sp","upstream_services","upstream_contract_expiration","wan_applicants","wan_sp","wan_services","wan_contract_expiration","non_fiber_lines","non_fiber_lines_w_dirty","non_fiber_internet_upstream_lines_w_dirty","fiber_internet_upstream_lines_w_dirty","fiber_wan_lines_w_dirty","lines_w_dirty","line_items_w_dirty","fiber_wan_lines","most_recent_ia_contract_end_date","wan_lines_w_dirty","ia_monthly_cost_no_backbone","backbone_monthly_cost","needs_wifi","c2_prediscount_budget_15","c2_prediscount_remaining_15","c2_prediscount_remaining_16","c2_postdiscount_remaining_15","c2_postdiscount_remaining_16","received_c2_15","received_c2_16","budget_used_c2_15","budget_used_c2_16","fiber_target_status","bw_target_status","upgrade_indicator","ia_monthly_cost_district_applied","ia_monthly_cost_other_applied","ia_monthly_funding_total","target_bandwidth","affordability_goal_sots","affordability_goal_knapsack","knapsack_bw","knapsack_bw_per_student","knapsack_meeting_goal_2014","knapsack_meeting_goal_2018","num_students_knapsack_meeting_goal_2014","num_students_knapsack_meeting_goal_2018","currently_meeting_connectivity_2014","currently_meeting_connectivity_2018","students_currently_meeting_2014","students_currently_meeting_2018"
881424,400001,"CAVE CREEK UNIFIED DISTRICT","000",NA,NA,12,"Urban","Medium",1.5,"Traditional",8,8,5379,265.94,87.75,258.93,0.108198549916341,0.4,0.4,"33016 NORTH 60TH ST","SCOTTSDALE",85266,"MARICOPA COUNTY","AZ",33.785,-111.952,FALSE,FALSE,TRUE,TRUE,FALSE,"metric_extrapolation","clean_not_target",TRUE,"{missing_wan_large}","{outlier_approved}",1,"dirty",37.1816322736568,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,10.41,200,2082,2082,0,531,2124,FALSE,"Fiber","Lit Fiber",0,8,0,0,5,0,0,3,1,0,0,0,0,0,4,100,100,0,4,0,"","Self-procured","CAVE CREEK UN SCHOOL DIST 93 (dedicated Internet)","","","","Cox Arizona Telcom, LLC","1 Lit Fiber line(s) at 200 Mbps from Cox Arizona Telcom, LLC for $2082.00/mth","Cox Arizona Telcom, LLC - 6/2019","","","","CAVE CREEK UN SCHOOL DIST 93","Cox Arizona Telcom, LLC","4 Lit Fiber line(s) at 100 Mbps from Cox Arizona Telcom, LLC for $2124.00/mth","Cox Arizona Telcom, LLC - 6/2019",0,0,0,1,4,5,5,4,"2019-06-30",4,2082,0,FALSE,816050,736444.82,736444.82,625978.097,625978.097,TRUE,FALSE,FALSE,FALSE,"Not Target","Target",FALSE,2082,0,832.8,200,0,1,200,37.1816322736568,0,0,0,0,0,0,0,0
881485,600013,"ROCKLIN UNIFIED","000",NA,NA,21,"Suburban","Large",1.75,"Traditional",21,17,12153,513.15,167,335.5,0.186702871718917,0.5,0.5,"2615 SIERRA MEADOWS DR","ROCKLIN",95677,"PLACER COUNTY","CA",38.7918,-121.2225,FALSE,FALSE,FALSE,FALSE,FALSE,"metric_extrapolation","clean_not_target",TRUE,NA,NA,NA,"natively_clean",82.2842096601662,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3,1000,3000,3000,0,750,12750,TRUE,"Fiber","Lit Fiber",0,17,0,0,17,0,0,0,1,0,0,0,0,0,17,1000,1000,17,0,0,"","Self-procured","ROCKLIN UNIF SCHOOL DISTRICT (dedicated Internet)","","","","WAVEDIVISION HOLDINGS, LLC","1 Lit Fiber line(s) at 1000 Mbps from WAVEDIVISION HOLDINGS, LLC for $3000.00/mth","WAVEDIVISION HOLDINGS, LLC - 6/2018","","","","ROCKLIN UNIF SCHOOL DISTRICT","WAVEDIVISION HOLDINGS, LLC","17 Lit Fiber line(s) at 1000 Mbps from WAVEDIVISION HOLDINGS, LLC for $12750.00/mth","WAVEDIVISION HOLDINGS, LLC - 6/2018",0,0,0,1,17,18,18,17,"2018-06-30",17,3000,0,FALSE,1832150,1832150,1175070.71,916075,587535.355,FALSE,TRUE,FALSE,FALSE,"Not Target","Target",FALSE,3000,0,1500,1000,1,1,1000,82.2842096601662,0,0,0,0,0,0,0,0
881501,600016,"UPLAND UNIFIED","000",NA,NA,21,"Suburban","Medium",1.5,"Traditional",14,14,11663,442.09,76,311.4,0.554145588613564,0.8,0.8,"390 NORTH EUCLID AVE","UPLAND",91786,"SAN BERNARDINO COUNTY","CA",34.0982,-117.651,FALSE,FALSE,FALSE,FALSE,FALSE,"metric_extrapolation","clean_not_target",TRUE,NA,NA,NA,"natively_clean",85.74123295893,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3.09978114382727,1000,3099.78114382727,1697.76,1402.02114382727,1237.95,17331.3,FALSE,"Fiber","Lit Fiber",0,14,0,0,14,0,0,0,1,0,0,0,0,0,14,10000,10000,14,0,0,"CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA","Consortium+District","CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA (shared) | UPLAND UNIF SCHOOL DISTRICT (dedicated Upstream)","","","","","","","Sunesys, LLC","1 Lit Fiber line(s) at 1000 Mbps from Sunesys, LLC for $1697.76/mth","Sunesys, LLC - 6/2018","UPLAND UNIF SCHOOL DISTRICT","Sunesys, LLC","14 Lit Fiber line(s) at 10000 Mbps from Sunesys, LLC for $17331.30/mth","Sunesys, LLC - 6/2018",0,0,0,1,14,15,26,14,"2018-06-30",14,1697.76,1402.02114382727,FALSE,1749450,1749450,1749450,1224615,1224615,FALSE,FALSE,FALSE,FALSE,"Not Target","Target",FALSE,1697.76,1402.02114382727,2441.45581034526,1000,0,1,1000,85.74123295893,0,0,0,0,0,0,0,0
881533,600020,"PLEASANTON UNIFIED","000",NA,NA,13,"Urban","Medium",1.5,"Traditional",15,15,14724,589.35,129.5,410.43,0.0529068187992393,0.4,0.4,"4665 BERNAL AVE","PLEASANTON",94566,"ALAMEDA COUNTY","CA",37.6545,-121.8842,FALSE,FALSE,FALSE,FALSE,FALSE,"metric_extrapolation","clean_not_target",TRUE,NA,NA,NA,"machine_cleaned",67.9163270850312,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3.48068504005526,1000,3480.68504005526,3028.73,451.955040055258,801.492857142857,11220.9,FALSE,"Fiber","Lit Fiber",0,15,0,0,15,0,0,0,1,0,0,0,0,0,14,500,1000,2,12,0,"","Self-procured","PLEASANTON UNIF SCHOOL DIST (dedicated ISP only) | PLEASANTON UNIF SCHOOL DIST (dedicated Upstream)","Alameda County Office of Education","1 line(s) at 1000 Mbps from Alameda County Office of Education for $2125.00/mth","Alameda County Office of Education - 6/2017","","","","Pacific Bell Telephone Company","1 Lit Fiber line(s) at 1000 Mbps from Pacific Bell Telephone Company for $903.73/mth","Pacific Bell Telephone Company - 6/2018","PLEASANTON UNIF SCHOOL DIST","Pacific Bell Telephone Company","12 Lit Fiber line(s) at 500 Mbps from Pacific Bell Telephone Company for $9183.48/mth | 2 Lit Fiber line(s) at 1000 Mbps from Pacific Bell Telephone Company for $2037.42/mth","Pacific Bell Telephone Company - 6/2017 | Pacific Bell Telephone Company - 6/2017",0,0,0,1,14,15,21,14,"2017-06-30",14,3028.73,451.955040055258,FALSE,2208600,1311469.65,1311469.65,524587.86,524587.86,TRUE,FALSE,FALSE,FALSE,"Not Target","Target",FALSE,3028.73,451.955040055258,1523.34097763813,1000,0,1,1000,67.9163270850312,0,0,0,0,0,0,0,0
881577,600028,"TEMECULA VALLEY UNIFIED","000",NA,NA,12,"Urban","Large",1.75,"Traditional",30,28,30030,1159.82,350,862.76,0.198268398268398,0.5,0.5,"31350 RANCHO VISTA RD","TEMECULA",92592,"RIVERSIDE COUNTY","CA",33.5041,-117.1131,FALSE,FALSE,FALSE,FALSE,FALSE,"metric_extrapolation","clean_not_target",TRUE,NA,NA,NA,"natively_clean",33.3000333000333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2.07189590220572,1000,2071.89590220572,1548.18,523.715902205718,198.85,5766.65,TRUE,"Fiber","Lit Fiber",0,28,0,0,28,0,0,0,1,0,0,0,0,0,29,1000,1000,29,0,0,"CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA","Consortium+District","CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA (shared) | TEMECULA VALLEY UNIF SCH DIST (dedicated Upstream)","","","","","","","Sunesys, LLC","1 Lit Fiber line(s) at 1000 Mbps from Sunesys, LLC for $1548.18/mth","Sunesys, LLC - 7/2018","TEMECULA VALLEY UNIF SCH DIST","Sunesys, LLC","29 Lit Fiber line(s) at 1000 Mbps from Sunesys, LLC for $5766.65/mth","Sunesys, LLC - 1/2018",0,0,0,1,29,30,34,29,"2018-07-31",29,1548.18,523.715902205718,FALSE,4504500,4504500,4504500,3153150,3153150,FALSE,FALSE,FALSE,FALSE,"Not Target","Target",FALSE,1548.18,523.715902205718,1156.40260861017,200,1,1,1000,6.66000666000666,0,0,0,0,0,0,0,0
881583,600029,"MURRIETA VALLEY UNIFIED","000",NA,NA,21,"Suburban","Large",1.75,"Traditional",20,17,22999,817.41,387.5,678.71,0.331144832384017,0.5,0.5,"41870 MCALBY CT.","MURRIETA",92562,"RIVERSIDE COUNTY","CA",33.5303,-117.1852,FALSE,FALSE,FALSE,FALSE,FALSE,"metric_extrapolation","clean_not_target",TRUE,NA,"{fiber_not_target}",NA,"natively_clean",43.4801513109266,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2.40109697085679,1000,2401.09697085679,2000,401.096970856787,1115.12315789474,21187.34,TRUE,"Fiber","Lit Fiber",0,17,0,0,17,0,0,0,1,0,0,0,0,0,19,1000,1000,19,0,0,"CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA","Consortium+District","CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA (shared) | MURRIETA VALLEY UNIFIED SCHOOL DISTRICT (dedicated Upstream)","","","","","","","Sunesys, LLC","1 Lit Fiber line(s) at 1000 Mbps from Sunesys, LLC for $2000.00/mth","Sunesys, LLC - 9/2018","MURRIETA VALLEY UNIFIED SCHOOL DISTRICT","Sunesys, LLC","17 Lit Fiber line(s) at 1000 Mbps from Sunesys, LLC for $15386.70/mth | 2 Lit Fiber line(s) at 1000 Mbps from Sunesys, LLC for $5800.64/mth","Sunesys, LLC - 7/2017 | Sunesys, LLC - 6/2017",0,0,0,1,19,20,24,19,"2018-09-30",19,2000,401.096970856787,FALSE,3449850,3449850,2885279.53,1724925,1442639.765,FALSE,TRUE,FALSE,FALSE,"Not Target","Target",FALSE,2000,401.096970856787,1292.80078872545,200,1,1,1000,8.69603026218531,0,0,0,0,0,0,0,0
881601,600034,"WINDSOR UNIFIED","000",NA,NA,21,"Suburban","Medium",1.5,"Traditional",9,9,5394,220.69,46,149.47,0.398405635891732,0.6,0.6,"9291 OLD REDWOOD HWY","WINDSOR",95492,"SONOMA COUNTY","CA",38.5495,-122.8134,FALSE,FALSE,FALSE,FALSE,FALSE,"metric_extrapolation","clean_not_target",TRUE,NA,NA,NA,"machine_cleaned",46.347793845013,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,5.12955319909063,250,1282.38829977266,1032.11,250.278299772656,595.375,4763,FALSE,"Fiber","Lit Fiber",0,9,0,0,9,0,0,0,1,0,0,0,0,0,8,100,100,0,8,0,"CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA | Sonoma County Office of Education, Schools Connect Consortium","Consortium-provided","CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA (shared) | Sonoma County Office of Education, Schools Connect Consortium (dedicated Upstream)","","","","","","","Pacific Bell Telephone Company","1 Lit Fiber line(s) at 250 Mbps from Pacific Bell Telephone Company for $1032.11/mth","Pacific Bell Telephone Company - 2/2018","WINDSOR UNIF SCHOOL DISTRICT","Pacific Bell Telephone Company","8 Lit Fiber line(s) at 100 Mbps from Pacific Bell Telephone Company for $4763.00/mth","Pacific Bell Telephone Company - 6/2017",0,0,0,1,8,9,27,8,"2018-02-10",8,1032.11,250.278299772656,FALSE,812150,812150,581959.91,487290,349175.946,FALSE,TRUE,FALSE,FALSE,"Not Target","Target",TRUE,0,1282.38829977266,766.233299541607,100,0,1,250,18.5391175380052,0,0,0,0,0,0,0,0
881663,600043,"SCOTTS VALLEY UNIFIED","000",NA,NA,22,"Suburban","Small",1,"Traditional",4,4,2471,104.84,20,57.09,0.094293808174828,0.4,0.4,"4444 SCOTTS VALLEY DR","SCOTTS VALLEY",95066,"SANTA CRUZ COUNTY","CA",37.0469,-122.0186,FALSE,FALSE,FALSE,FALSE,FALSE,"metric_extrapolation","clean_not_target",TRUE,NA,NA,NA,"natively_clean",40.4694455685957,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,20.0591849049012,100,2005.91849049012,1930.07083333333,75.8476571567877,1111.2,6667.2,FALSE,"Fiber","Lit Fiber",0,4,0,0,4,0,0,0,1,0,0,0,0,0,6,100,100,0,6,0,"","Self-procured","SCOTTS VALLEY UNIFIED SCH DIST (dedicated ISP only) | SCOTTS VALLEY UNIFIED SCH DIST (dedicated Upstream)","Santa Cruz County Office of Education","1 line(s) at 100 Mbps from Santa Cruz County Office of Education for $802.98/mth","Santa Cruz County Office of Education - 6/2017","","","","Pacific Bell Telephone Company","1 Lit Fiber line(s) at 1000 Mbps from Pacific Bell Telephone Company for $1127.09/mth","Pacific Bell Telephone Company - 3/2019","SCOTTS VALLEY UNIFIED SCH DIST","Pacific Bell Telephone Company","6 Lit Fiber line(s) at 100 Mbps from Pacific Bell Telephone Company for $6667.20/mth","Pacific Bell Telephone Company - 3/2019",0,0,0,1,6,7,15,6,"2017-06-30",6,1930.07083333333,75.8476571567877,TRUE,370650,370650,370650,259455,259455,FALSE,FALSE,FALSE,FALSE,"Not Target","Target",FALSE,1930.07083333333,75.8476571567877,824.363216771517,200,0,0,200,80.9388911371914,0,0,0,0,0,0,0,0
881717,801920,"ACADEMY, SCHOOL DISTRICT NO. 20, IN THE COUNTY OF EL PASO AN","000",NA,NA,11,"Urban","Large",1.75,"Traditional",31,29,24086,1447.73,460.69,1102.7,0.131931088104104,0.4,0.4,"1110 CHAPEL HILLS DR","COLORADO SPRINGS",80920,"EL PASO COUNTY","CO",38.9538,-104.7906,FALSE,FALSE,FALSE,TRUE,FALSE,"metric_extrapolation","clean_not_target",TRUE,NA,"{dqt_reviewed}",NA,"dqt_reviewed",83.0357884248111,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2.99917,2000,5998.34,5998.34,0,NA,0,TRUE,"Fiber","Lit Fiber",0,29,0,0,1,28,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,"","Self-procured","ACADEMY SCHOOL DISTRICT 20 (dedicated Internet)","","","","Level 3 Communications, LLC","1 Lit Fiber line(s) at 2000 Mbps from Level 3 Communications, LLC for $5998.34/mth","Level 3 Communications, LLC - 6/2017","","","","","","","",0,0,0,1,0,1,1,0,"2017-06-30",0,5998.34,0,FALSE,3612900,3612900,3612900,2565159,2565159,FALSE,FALSE,FALSE,FALSE,"Not Target","Target",FALSE,5998.34,0,2399.336,1500,1,1,2000,62.2768413186083,0,0,0,0,0,0,0,0
881741,802070,"ALAMOSA SCHOOL DISTRICT, NO. RE-11J","000",NA,NA,33,"Town","Small",1,"Traditional",4,4,2046,118.4,18.13,110.38,0.733137829912023,0.8,0.8,"209 VICTORIA AVE","ALAMOSA",81101,"ALAMOSA COUNTY","CO",37.4741,-105.8881,FALSE,FALSE,FALSE,FALSE,FALSE,"metric_extrapolation","clean_not_target",TRUE,NA,"{dqt_reviewed,outlier_approved}",NA,"dqt_reviewed",48.8758553274682,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,23.5,100,2350,2350,0,1725,3450,FALSE,"Fiber","Lit Fiber",0,4,0,0,3,0,0,1,1,0,0,0,0,0,2,100,100,0,2,0,"","Self-procured","ALAMOSA SCHOOL DIST RE 11 J (dedicated Internet)","","","","CenturyLink Qwest Communications Company, LLC","1 Lit Fiber line(s) at 100 Mbps from CenturyLink Qwest Communications Company, LLC for $2350.00/mth","CenturyLink Qwest Communications Company, LLC - 11/2017","","","","ALAMOSA SCHOOL DIST RE 11 J","CenturyLink Qwest Communications Company, LLC","2 Lit Fiber line(s) at 100 Mbps from CenturyLink Qwest Communications Company, LLC for $3450.00/mth","CenturyLink Qwest Communications Company, LLC - 11/2017",0,0,0,1,2,3,3,2,"2017-11-12",2,2350,0,FALSE,309950,210124.56,210124.56,168099.648,168099.648,TRUE,FALSE,FALSE,FALSE,"Not Target","Target",FALSE,2350,0,1880,200,0,0,200,97.7517106549365,0,0,0,0,0,0,0,0
