"esh_id","service_provider_2015","bandwidth_in_mbps_2015","contract_end_date_2015","purpose_2015","percent_bw_2015","total_monthly_cost_2015","predominant_sp_2015","exclude_from_analysis"
881421,"Computer Sciences",800,"2016-06-30","Upstream",1,2779.24,TRUE,FALSE
881423,"CenturyLink",174,"2016-06-30","Internet",1,6032.8,TRUE,FALSE
881427,"Computer Sciences",3000,"2016-06-30","Upstream",1,3914.99,TRUE,FALSE
881428,"CenturyLink",1000,"2020-06-29","Internet",1,6835,TRUE,FALSE
881431,"Computer Sciences",980,"2016-06-30","Upstream",1,3681.09,TRUE,FALSE
881439,"Computer Sciences",400,"2016-06-30","Upstream",1,2253.84,TRUE,FALSE
881443,"Computer Sciences",400,"2016-06-30","Upstream",0.59,2256.96,TRUE,FALSE
881443,"CONTACT NETWORK, LLC",200,"2017-06-30","Internet",0.29,3600,FALSE,FALSE
881443,"Charter",80,"2016-06-30","Internet",0.12,165,FALSE,FALSE
881445,"AT&T",300,"2017-05-07","Internet",1,950,TRUE,FALSE
881446,"CenturyTel",130,"2016-06-30","Internet",1,2851.32,TRUE,FALSE
881447,"EAGLE-Net Alliance",100,"2016-06-30","Internet",0.91,870.2,TRUE,FALSE
881447,"CenturyLink",10,"2016-06-30","Internet",0.09,1888.41,FALSE,FALSE
881450,"Tek-Hut, Inc",200,"2017-06-30","Internet",1,2694.97,TRUE,FALSE
881451,"CenturyLink",50,"2016-06-30","Internet",1,2145,TRUE,FALSE
881452,"Michael R. Limotta",4.5,"2017-06-30","Internet",1,2850,TRUE,FALSE
881453,"E. Ritter",100,"2019-06-30","Internet",1,1500,TRUE,FALSE
881454,"Affiniti",1000,"2016-06-30","Upstream",0.96,1693.06,TRUE,FALSE
881454,"Plains Cooperative",40,"2016-06-30","Internet",0.04,102.43,FALSE,FALSE
881455,"GovNET Inc.",20,"2020-06-30","Internet",0.8,600,TRUE,FALSE
881455,"TDS Metrocom",5,"2016-06-30","Internet",0.2,850,FALSE,FALSE
881456,"Citizens Tel",200,"2019-06-30","Upstream",1,1768,TRUE,FALSE
881458,"Affiniti",1000,"2016-06-30","Upstream",1,1693.06,TRUE,FALSE
881458,"Plains Cooperative",1,"2016-06-30","Internet",0,40,FALSE,FALSE
881462,"Windstream",400,"2018-06-30","Internet",0.67,3750,TRUE,FALSE
881462,"AT&T",200,"2018-06-30","Internet",0.33,1755,FALSE,FALSE
881464,"CenturyTel",20,"2019-06-30","Internet",1,1379,TRUE,FALSE
881466,"AT&T",300,"2017-06-30","Internet",1,2476,TRUE,FALSE
881468,"SC UT Tele",100,"2016-06-28","Internet",1,2113.15,TRUE,FALSE
881470,"TCA Communications",100,"2018-06-30","Internet",1,1800,TRUE,FALSE
881473,"Apache Co",25,"2017-06-30","Upstream",1,3060,TRUE,FALSE
881477,"NTUA Wireless, LLC",50,"2017-06-30","Internet",0.5,6563,FALSE,FALSE
881477,"Smith Bagley, Inc.",50,"2017-06-30","Internet",0.5,5200,FALSE,FALSE
881480,"Citizens Utilities",40,"2020-06-30","Internet",1,2427.57,TRUE,FALSE
881483,"TCA Communications",260,"2016-06-30","Internet",1,11457,TRUE,FALSE
881483,"AT&T",1,"2016-06-30","Internet",0,82,FALSE,FALSE
881485,"WAVEDIVISION",1000,"2018-06-30","Internet",1,3000,TRUE,FALSE
881501,"Sunesys, LLC",1000,"2019-06-30","Internet",1,1500,TRUE,FALSE
881509,"Computer Sciences",1000,"2016-06-30","Upstream",1,3061.19,TRUE,FALSE
881522,"SkyRider Comm",1200,"2017-06-30","Internet",1,11119,TRUE,FALSE
881532,"Nexus Systems, Inc.",250,"2019-06-30","Internet",1,2650,TRUE,FALSE
881533,"AT&T",1000,"2018-06-30","Upstream",1,903.73,TRUE,FALSE
881539,"E. Ritter",150,"2018-06-30","Internet",1,2250,TRUE,FALSE
881542,"AT&T",10,"2018-06-30","Upstream",1,954.06,TRUE,FALSE
881545,"AireArk Inc",100,"2016-06-30","Internet",1,1199.99,TRUE,FALSE
881554,"LACOE",1000,"2016-06-30","Internet",0.77,0,TRUE,FALSE
881554,"Time Warner Cable",300,"2015-11-01","Internet",0.23,7200,FALSE,FALSE
881560,"Winstream",200,"2016-06-30","Internet",1,2999,TRUE,FALSE
881573,"Computer Sciences",400,"2016-06-30","Upstream",1,3440.49,TRUE,FALSE
881574,"Time Warner Cable",1000,"2018-06-30","Internet",1,6642,TRUE,FALSE
881577,"Sunesys, LLC",1000,"2016-06-30","Upstream",1,1545,TRUE,FALSE
881578,"Computer Sciences",400,"2016-06-30","Upstream",1,2340.18,TRUE,FALSE
881584,"Computer Sciences",800,"2016-06-30","Upstream",1,5533.6,TRUE,FALSE
881588,"Computer Sciences",800,"2016-06-30","Upstream",1,1498.65,TRUE,FALSE
881591,"LACOE",1000,"2016-06-30","Internet",1,0,TRUE,FALSE
881597,"Conterra, LLC",1000,"2018-07-31","Upstream",1,1650.41,TRUE,FALSE
881601,"AT&T",100,"2018-02-10","Upstream",1,755.47,TRUE,FALSE
881602,"Arkwest",70,"2016-06-30","Internet",1,239.85,TRUE,FALSE
881605,"CVIN, LLC",200,"2017-06-30","Upstream",1,2809.2,TRUE,FALSE
881606,"Nexus Systems, Inc.",200,"2019-06-30","Internet",1,2960,TRUE,FALSE
881616,"South AR Tele",100,"2017-03-16","Internet",1,1199.99,TRUE,FALSE
881622,"E. Ritter",250,"2020-06-30","Internet",1,0,TRUE,FALSE
881623,"Computer Sciences",400,"2016-06-30","Upstream",1,1214.65,TRUE,FALSE
881626,"E. Ritter",100,"2016-06-30","Internet",1,1500,TRUE,FALSE
881634,"E. Ritter",200,"2020-06-30","Internet",1,3800,TRUE,FALSE
881639,"E. Ritter",75,"2016-06-30","Internet",1,1287.5,TRUE,FALSE
881640,"Computer Sciences",400,"2016-06-30","Upstream",1,1861.68,TRUE,FALSE
881644,"CVIN, LLC",1000,"2020-06-30","Upstream",0.77,16664,TRUE,FALSE
881644,"Charter",300,"2016-06-30","Internet",0.23,3931,FALSE,FALSE
881645,"Winstream",500,"2016-06-30","Internet",1,4500,TRUE,FALSE
881650,"AT&T",100,"2017-06-30","Internet",1,5500.4,TRUE,FALSE
881656,"AT&T",45,"2016-06-30","Internet",1,1037.76,TRUE,FALSE
881663,"AT&T",1000,"2019-03-19","Upstream",1,1128.17,TRUE,FALSE
881669,"AT&T",190,"2018-02-10","Upstream",1,2688.28,TRUE,FALSE
881671,"Computer Sciences",1000,"2016-06-30","Upstream",1,3060.92,TRUE,FALSE
881674,"Comcast",900,"2017-06-30","Internet",1,2490,TRUE,FALSE
881677,"Computer Sciences",800,"2016-06-30","Upstream",1,1647.15,TRUE,FALSE
881681,"AT&T",1000,"2018-06-30","Upstream",1,1598.65,TRUE,FALSE
881684,"Southern Light, LLC",4000,"2017-06-30","Internet",1,26037.74,TRUE,FALSE
881684,"Computer Sciences",20,"2016-06-30","Upstream",0,709.73,FALSE,FALSE
881688,"Computer Sciences",200,"2016-06-30","Upstream",1,2012.58,TRUE,FALSE
881694,"Computer Sciences",500,"2016-06-30","Upstream",1,2123.76,TRUE,FALSE
881696,"AT&T",2000,"2016-06-30","Internet",1,14179.59,TRUE,FALSE
881699,"Computer Sciences",400,"2016-06-30","Upstream",1,2375.1,TRUE,FALSE
881701,"Charter",1000,"2019-06-30","Upstream",1,1461.17,TRUE,FALSE
881705,"Computer Sciences",3000,"2016-06-30","Upstream",1,3912.82,TRUE,FALSE
881708,"Walnut Hill",100,"2016-06-30","Internet",0.66,1685.65,TRUE,FALSE
881708,"AT&T",52,"2016-06-30","Internet",0.34,1120.78,FALSE,FALSE
881712,"Butte County",2000,"2019-06-30","Internet",1,0,TRUE,FALSE
881712,"AT&T",1.5,"2017-06-30","Internet",0,167.676666666667,FALSE,FALSE
881716,"Cleveland County",100,"2017-06-30","Internet",1,3500,TRUE,FALSE
881717,"Level 3",2000,"2018-07-01","Internet",1,5998.34,TRUE,FALSE
881719,"AT&T",1000,"2018-06-30","Internet",1,4236.22,TRUE,FALSE
881720,"Computer Sciences",800,"2016-06-30","Upstream",1,6264.16,TRUE,FALSE
881722,"EAGLE-Net Alliance",500,"2017-06-30","Internet",1,2863,TRUE,FALSE
881724,"Agate Mutual",20,"2018-06-30","Internet",1,312,TRUE,FALSE
881725,"Computer Sciences",200,"2016-06-30","Upstream",0.67,3206.86,TRUE,FALSE
881725,"MCC Telephony",100,"2016-06-30","Internet",0.33,1200,FALSE,FALSE
881730,"SECOM,Inc",50,"2017-06-30","Internet",1,500,TRUE,FALSE
881732,"Computer Sciences",400,"2016-06-30","Upstream",1,5674.62,TRUE,FALSE
881734,"Indco.net LCC",100,"2016-06-30","Internet",0.91,1235,TRUE,FALSE
881734,"Frontier",10,"2016-06-30","Internet",0.09,400,FALSE,FALSE
881735,"Charter",1000,"2018-06-30","Internet",1,3650,TRUE,FALSE
881736,"EAGLE-Net Alliance",60,"2016-06-30","Internet",0.86,870.2,TRUE,FALSE
881736,"CenturyLink",10,"2016-06-30","Internet",0.14,1374,FALSE,FALSE
881737,"CenturyLink",1000,"2018-06-30","Internet",0.71,800,TRUE,FALSE
881737,"Computer Sciences",400,"2016-06-30","Upstream",0.29,2542.37,FALSE,FALSE
881739,"CenturyTel",50,"2016-06-30","Internet",1,3545.05,TRUE,FALSE
881740,"Charter",1000,"2016-06-30","Upstream",1,1014.62,TRUE,FALSE
881743,"Computer Sciences",1000,"2016-06-30","Upstream",1,4180.14,TRUE,FALSE
881744,"Tri-County Tele",240,"2016-06-30","Internet",1,3283.22,TRUE,FALSE
881747,"Jade Communications",100,"2017-06-30","Internet",1,1295,TRUE,FALSE
881750,"Computer Sciences",400,"2016-06-30","Upstream",1,1204.56,TRUE,FALSE
881752,"SkyWerx Industries",125,"2016-06-30","Internet",0.68,2000,TRUE,FALSE
881752,"Zippytech",60,"2016-06-30","Internet",0.32,120,FALSE,FALSE
881755,"Charter",2000,"2016-06-30","Internet",0.8,6501,TRUE,FALSE
881755,"AT&T",500,"2018-06-30","Internet",0.2,3617.43,FALSE,FALSE
881758,"CVIN, LLC",1000,"2019-06-30","Upstream",1,4551,TRUE,FALSE
881759,"Computer Sciences",800,"2016-06-30","Upstream",1,5004.18,TRUE,FALSE
881760,"Tri-County Tele",200,"2018-06-30","Internet",0.67,3400,TRUE,FALSE
881760,"Northern Arkansas",100,"2016-06-30","Internet",0.33,995.95,FALSE,FALSE
881763,"Computer Sciences",1000,"2016-06-30","Upstream",1,6626.03,TRUE,FALSE
881769,"Computer Sciences",400,"2016-06-30","Upstream",1,5141.65,TRUE,FALSE
881771,"Affiniti",1000,"2016-06-30","Upstream",1,1693.06,TRUE,FALSE
881775,"Comcast",100,"2017-06-30","Internet",0.5,1300,FALSE,FALSE
881775,"Zippytech",100,"2017-06-30","Internet",0.5,2040,FALSE,FALSE
881780,"E. Ritter",70,"2019-06-30","Internet",0.7,1050,TRUE,FALSE
881780,"TCA Communications",30,"2016-06-30","Internet",0.3,1400.1,FALSE,FALSE
881782,"Computer Sciences",400,"2016-06-30","Upstream",1,3367.21,TRUE,FALSE
881787,"Computer Sciences",400,"2016-06-30","Upstream",1,2056.49,TRUE,FALSE
881792,"Computer Sciences",500,"2016-06-30","Upstream",1,3012.53,TRUE,FALSE
881795,"EAGLE-Net Alliance",160,"2017-06-30","Internet",1,950,TRUE,FALSE
881798,"Computer Sciences",400,"2016-06-30","Upstream",1,2456.36,TRUE,FALSE
881806,"Computer Sciences",500,"2016-06-30","Upstream",1,1204.41,TRUE,FALSE
881811,"Computer Sciences",400,"2016-06-30","Upstream",1,3755.9,TRUE,FALSE
881812,"LP Broadband",140,"2018-06-30","Internet",1,3890,TRUE,FALSE
881816,"FastTrack Comm",100,"2016-06-30","Internet",0.62,660,TRUE,FALSE
881816,"Zippytech",60,"2016-06-30","Internet",0.38,120,FALSE,FALSE
881821,"Affiniti",1000,"2016-06-30","Upstream",0.95,1693.06,TRUE,FALSE
881821,"Comcast",50,"2016-06-30","Internet",0.05,147.85,FALSE,FALSE
881824,"Computer Sciences",400,"2016-06-30","Upstream",1,2256.96,TRUE,FALSE
881825,"Affiniti",1000,"2016-06-30","Upstream",1,1693.06,TRUE,FALSE
881831,"EAGLE-Net Alliance",2000,"2016-06-30","Internet",1,7344,TRUE,FALSE
881836,"Computer Sciences",800,"2016-06-30","Upstream",1,4742.57,TRUE,FALSE
881837,"Sierra Comm",20,"2016-06-30","Internet",1,1499.95,TRUE,FALSE
881841,"Wiggins Tele Asso",50,"2016-06-30","Internet",1,1165,TRUE,FALSE
881842,"Computer Sciences",800,"2016-06-30","Upstream",1,1499.46,TRUE,FALSE
881847,"Computer Sciences",800,"2016-06-30","Upstream",1,1499.46,TRUE,FALSE
881851,"Computer Sciences",800,"2016-06-30","Upstream",0.99,3838.65,TRUE,FALSE
881851,"CenturyLink",10,"2016-06-30","Internet",0.01,78,FALSE,FALSE
881854,"Computer Sciences",400,"2016-06-30","Upstream",1,2832.29,TRUE,FALSE
881856,"CenturyLink",300,"2017-06-30","Internet",0.75,4320,TRUE,FALSE
881856,"EAGLE-Net Alliance",100,"2018-06-30","Internet",0.25,1170,FALSE,FALSE
881860,"Computer Sciences",400,"2016-06-30","Upstream",1,1215.14,TRUE,FALSE
881861,"EAGLE-Net Alliance",100,"2016-06-30","Internet",1,870.2,TRUE,FALSE
881862,"Cox",400,"2016-06-30","Internet",1,3660,TRUE,FALSE
881867,"Tri-County Tele",65,"2016-06-30","Internet",1,1022.79,TRUE,FALSE
881871,"Charter",1000,"2018-06-30","Internet",0.56,3650,TRUE,FALSE
881871,"Computer Sciences",800,"2016-06-30","Upstream",0.44,2788.2,FALSE,FALSE
881876,"Computer Sciences",800,"2016-06-30","Upstream",1,1507.94,TRUE,FALSE
881877,"Affiniti",1000,"2016-06-30","Upstream",0.93,1693.06,TRUE,FALSE
881877,"Comcast",75,"2016-06-30","Internet",0.07,160.17,FALSE,FALSE
881878,"Windstream",500,"2018-06-30","Internet",1,3445.98,TRUE,FALSE
881881,"Computer Sciences",2500,"2016-06-30","Upstream",1,7149.53,TRUE,FALSE
881883,"EAGLE-Net Alliance",50,"2016-06-30","Internet",1,613.3,TRUE,FALSE
881884,"E. Ritter",50,"2017-06-30","Internet",1,979.2,TRUE,FALSE
881886,"Computer Sciences",200,"2016-06-30","Upstream",1,1656.73,TRUE,FALSE
881890,"AT&T",300,"2018-06-30","Internet",1,2041,TRUE,FALSE
881892,"Computer Sciences",100,"2016-06-30","Upstream",1,780.5,TRUE,FALSE
881894,"SECOM,Inc",200,"2018-06-30","Internet",1,1400,TRUE,FALSE
881896,"CenturyLink",100,"2018-03-13","Internet",1,2494.83,TRUE,FALSE
881897,"Computer Sciences",800,"2016-06-30","Upstream",1,3500.55,TRUE,FALSE
881901,"CenturyLink",200,"2018-06-30","Internet, Upstream",1,3247,TRUE,FALSE
881902,"Computer Sciences",400,"2016-06-30","Upstream",1,3120.73,TRUE,FALSE
881905,"SECOM,Inc",100,"2018-06-30","Internet",1,900,TRUE,FALSE
881907,"Computer Sciences",800,"2016-06-30","Upstream",1,1508.17,TRUE,FALSE
881909,"CenturyLink",2000,"2017-06-30","Internet",0.67,7400,TRUE,FALSE
881909,"Winstream",1000,"2017-06-30","Internet",0.33,3496.01,FALSE,FALSE
881910,"CenturyLink",150,"2018-06-30","Internet",1,7155,TRUE,FALSE
881913,"CenturyLink",300,"2016-06-30","Internet",1,4237,TRUE,FALSE
881918,"EAGLE-Net Alliance",100,"2016-06-30","Internet",1,905.2,TRUE,FALSE
881920,"Computer Sciences",500,"2016-06-30","Upstream",0.62,1751.52,TRUE,FALSE
881920,"AT&T",300,"2016-06-30","Internet",0.38,2100,FALSE,FALSE
881921,"AT&T",100,"2017-06-30","Internet",1,1876.4,TRUE,FALSE
881924,"CenturyLink",49.5,"2018-06-30","Internet",1,4610.5,TRUE,FALSE
881925,"Computer Sciences",400,"2016-06-30","Upstream",1,1214.1,TRUE,FALSE
881927,"E. Ritter",100,"2019-06-30","Internet",1,1965,TRUE,FALSE
881930,"TW Telecom Holdings",2000,"2017-06-30","Internet",1,8545.6,TRUE,FALSE
881931,"Computer Sciences",400,"2016-06-30","Upstream",1,2761.43,TRUE,FALSE
881932,"Fidelity",400,"2016-06-30","Internet",1,2495,TRUE,FALSE
881936,"Computer Sciences",1000,"2016-06-30","Upstream",0.87,1499.46,TRUE,FALSE
881936,"CONTACT NETWORK, LLC",150,"2018-06-30","Internet",0.13,2684,FALSE,FALSE
881937,"AT&T",500,"2017-06-30","Internet",0.77,4176.8,TRUE,FALSE
