"esh_id","service_provider_2016","bandwidth_in_mbps_2016","contract_end_date_2016","purpose_2016","percent_bw_2016","total_monthly_cost_2016","predominant_sp_2016","exclude_from_ia_analysis"
881421,"Computer Sciences",750,"2021-06-30","Internet",1,3843.67,TRUE,FALSE
881422,"Affiniti",100,"2019-06-30","Upstream",1,1599,TRUE,FALSE
881423,"CenturyLink",1000,"2017-06-30","Upstream",1,1972,TRUE,FALSE
881424,"Cox",200,"2019-06-30","Internet",1,2082,TRUE,FALSE
881427,"Computer Sciences",2500,"2021-06-30","Internet",1,10671.14,TRUE,FALSE
881428,"CenturyLink",1000,"2020-06-30","Internet",1,6835,TRUE,FALSE
881430,"E. Ritter",100,"2017-06-30","Upstream",1,174,TRUE,NA
881431,"Computer Sciences",2000,"2021-06-30","Internet",1,9400.53,TRUE,FALSE
881433,"Charter",2100,"2017-06-30","Internet",0.93,8892.45,TRUE,FALSE
881433,"LACOE",150,"2019-06-30","Internet",0.07,0,FALSE,FALSE
881435,"South AR Tele",500,"2017-06-30","Upstream",1,580,TRUE,FALSE
881439,"Computer Sciences",500,"2021-06-30","Internet",1,3170.9,TRUE,FALSE
881440,"AT&T",100,"2017-06-30","Upstream",1,761,TRUE,NA
881443,"Computer Sciences",500,"2021-06-30","Internet",1,3127.46,TRUE,FALSE
881445,"AT&T",1000,"2018-06-30","Internet",1,925,TRUE,FALSE
881446,"CenturyLink",250,"2017-06-30","Upstream",1,1682,TRUE,FALSE
881447,"EAGLE-Net Alliance",100,"2017-06-30","Internet",1,870.2,TRUE,TRUE
881449,"AT&T",110,"2017-06-30","Internet, Upstream",1,3484.24,TRUE,NA
881450,"Tek-Hut, Inc",200,"2017-06-30","Internet",1,2694.97,TRUE,FALSE
881451,"CenturyLink",100,"2020-06-30","Internet",1,1870,TRUE,FALSE
881452,"Michael R. Limotta",3.088,"2017-06-30","Internet",1,1055.55555555556,TRUE,FALSE
881453,"E. Ritter",250,"2017-06-30","Upstream",1,232,TRUE,FALSE
881454,"Affiniti",1000,"2019-06-30","Upstream",0.98,1599,TRUE,FALSE
881454,"Plains Cooperative",20,"2017-06-30","Internet",0.02,102.43,FALSE,FALSE
881455,"GovNET Inc.",20,"2020-06-30","Internet",1,554.52,TRUE,FALSE
881456,"Frontier",200,"2019-06-30","Upstream",1,1977.98,TRUE,FALSE
881457,"South AR Tele",500,"2017-06-30","Upstream",1,580,TRUE,NA
881458,"Affiniti",1000,"2019-06-30","Upstream",1,1599,TRUE,FALSE
881460,"CenturyLink",200,"2017-06-30","Internet",1,3200,TRUE,FALSE
881462,"Windstream",520,"2017-06-30","Internet, Upstream",0.72,5427.6,TRUE,FALSE
881462,"AT&T",200,"2018-06-30","Internet",0.28,1755,FALSE,FALSE
881464,"CenturyLink",250,"2017-06-30","Upstream",1,928,TRUE,FALSE
881466,"AT&T",420,"2017-06-30","Internet, Upstream",1,3883.39,TRUE,FALSE
881468,"SC UT Tele",200,"2019-05-17","Internet",1,2860.42,TRUE,FALSE
881469,"AT&T",83,"2017-06-30","Internet, Upstream",1,2084.93,TRUE,NA
881470,"TCA Communications",100,"2018-06-30","Internet",0.99,1800,TRUE,FALSE
881470,"AT&T",1.5,"2017-06-30","Upstream",0.01,604.91,FALSE,FALSE
881471,"Computer Sciences",1000,"2021-06-30","Internet",1,4789.25,TRUE,FALSE
881472,"CenturyLink",6,"2017-06-30","Upstream",1,1398,TRUE,TRUE
881473,"Apache Co",30,"2017-06-30","Upstream",1,3060,TRUE,FALSE
881476,"CenturyLink",6,"2017-06-30","Upstream",1,1398,TRUE,TRUE
