"esh_id","name","num_students","ia_bw_mbps_total","district_bw_per_student","district_meeting_goals_2014","service_provider_2016","bandwidth_in_mbps_2016","sp_bw_per_student","sp_meeting_goals_2014","contract_end_date_2016","purpose_2016","percent_bw_2016","total_monthly_cost_2016","predominant_sp_2016","exclude_from_ia_analysis","locale","district_size","city","postal_cd","zip"
881421,"MARSHALL COUNTY",5498,750,136.41324117861,1,"Computer Sciences",750,136.41324117861,1,"2021-06-30","Internet",1,3843.67,TRUE,FALSE,"Rural","Large","GUNTERSVILLE","AL",35976
881423,"DEWITT SCHOOL DISTRICT",1264,1000,791.139240506329,1,"CenturyLink",1000,791.139240506329,1,"2017-06-30","Upstream",1,1972,TRUE,FALSE,"Rural","Small","DEWITT","AR",72042
881424,"CAVE CREEK UNIFIED DISTRICT",5379,200,37.1816322736568,0,"Cox",200,37.1816322736568,0,"2019-06-30","Internet",1,2082,TRUE,FALSE,"Urban","Medium","SCOTTSDALE","AZ",85266
881427,"HOOVER CITY",13882,2500,180.089324304855,1,"Computer Sciences",2500,180.089324304855,1,"2021-06-30","Internet",1,10671.14,TRUE,FALSE,"Urban","Large","HOOVER","AL",35243
881428,"CHINO VALLEY UNIFIED DISTRICT",2260,1000,442.477876106195,1,"CenturyLink",1000,442.477876106195,1,"2020-06-30","Internet",1,6835,TRUE,FALSE,"Town","Small","CHINO VALLEY","AZ",86323
881431,"MADISON CITY",9433,2000,212.021626205873,1,"Computer Sciences",2000,212.021626205873,1,"2021-06-30","Internet",1,9400.53,TRUE,FALSE,"Suburban","Medium","MADISON","AL",35758
881433,"ACTON-AGUA DULCE UNIFIED",1885,2250,1193.63395225464,1,"Charter",2100,1114.05835543767,1,"2017-06-30","Internet",0.93,8892.45,TRUE,FALSE,"Rural","Small","ACTON","CA",93510
881439,"LEEDS CITY",1851,500,270.124257158293,1,"Computer Sciences",500,270.124257158293,1,"2021-06-30","Internet",1,3170.9,TRUE,FALSE,"Suburban","Small","LEEDS","AL",35094
881443,"BOAZ CITY",2133,500,234.41162681669,1,"Computer Sciences",500,234.41162681669,1,"2021-06-30","Internet",1,3127.46,TRUE,FALSE,"Town","Small","BOAZ","AL",35957
881445,"ROSS VALLEY ELEMENTARY",2290,1000,436.681222707424,1,"AT&T",1000,436.681222707424,1,"2018-06-30","Internet",1,925,TRUE,FALSE,"Suburban","Small","SAN ANSELMO","CA",94960
881446,"CORNING SCHOOL DISTRICT",969,250,257.997936016512,1,"CenturyLink",250,257.997936016512,1,"2017-06-30","Upstream",1,1682,TRUE,FALSE,"Town","Small","CORNING","AR",72422
881451,"CLARKDALE-JEROME ELEMENTARY DISTRICT",452,100,221.238938053097,1,"CenturyLink",100,221.238938053097,1,"2020-06-30","Internet",1,1870,TRUE,FALSE,"Town","Tiny","CLARKDALE","AZ",86324
881456,"FORT SAGE UNIFIED",295,100,338.983050847458,1,"Frontier",200,677.966101694915,1,"2019-06-30","Upstream",1,1977.98,TRUE,FALSE,"Rural","Small","HERLONG","CA",96113
881462,"SHERIDAN SCHOOL DISTRICT",4210,720,171.021377672209,1,"Windstream",520,123.515439429929,1,"2017-06-30","Internet, Upstream",0.72,5427.6,TRUE,FALSE,"Town","Medium","SHERIDAN","AR",72150
881464,"MARMADUKE SCHOOL DISTRICT",733,250,341.06412005457,1,"CenturyLink",250,341.06412005457,1,"2017-06-30","Upstream",1,928,TRUE,FALSE,"Rural","Small","MARMADUKE","AR",72443
881466,"PARAGOULD SCHOOL DISTRICT",2919,420,143.884892086331,1,"AT&T",420,143.884892086331,1,"2017-06-30","Internet, Upstream",1,3883.39,TRUE,FALSE,"Town","Medium","PARAGOULD","AR",72450
881471,"TRUSSVILLE CITY",4269,1000,234.246896228625,1,"Computer Sciences",1000,234.246896228625,1,"2021-06-30","Internet",1,4789.25,TRUE,FALSE,"Suburban","Small","TRUSSVILLE","AL",35173
881472,"MIDLAND SCHOOL DISTRICT",503,6,11.9284294234592,0,"CenturyLink",6,11.9284294234592,0,"2017-06-30","Upstream",1,1398,TRUE,TRUE,"Rural","Small","PLEASANT PLAINS","AR",72568
881476,"IZARD CO. CONS. SCHOOL DIST.",478,6,12.5523012552301,0,"CenturyLink",6,12.5523012552301,0,"2017-06-30","Upstream",1,1398,TRUE,TRUE,"Rural","Small","BROCKWELL","AR",72517
881480,"HEBER-OVERGAARD UNIFIED DISTRICT",475,40,84.2105263157895,0,"Frontier",40,84.2105263157895,0,"2020-06-30","Internet",1,1987.79,TRUE,FALSE,"Rural","Small","HEBER","AZ",85928
881490,"HESPERIA UNIFIED",22839,30000,1313.54262445816,1,"Charter",20000,875.695082972109,1,"2017-06-30","Upstream",0.67,3416.66666666667,TRUE,FALSE,"Suburban","Large","HESPERIA","CA",92345
881494,"LUCERNE VALLEY UNIFIED",2805,10000,3565.0623885918,1,"Charter",10000,3565.0623885918,1,"2017-06-30","Upstream",1,1708.33333333333,TRUE,FALSE,"Town","Medium","LUCERNE VALLEY","CA",92356
881501,"UPLAND UNIFIED",11663,1000,85.74123295893,0,"Sunesys, LLC",1000,85.74123295893,0,"2018-06-30","Upstream",1,1697.76,TRUE,FALSE,"Suburban","Medium","UPLAND","CA",91786
881509,"ALEXANDER CITY",3087,1000,323.939099449304,1,"Computer Sciences",1000,323.939099449304,1,"2021-06-30","Internet",1,4546.76,TRUE,FALSE,"Town","Small","ALEXANDER CITY","AL",35010
881515,"APPLE VALLEY UNIFIED",13092,12000,916.590284142988,1,"Charter",10000,763.825236785823,1,"2017-06-30","Upstream",0.83,1708.33333333333,TRUE,TRUE,"Suburban","Medium","APPLE VALLEY","CA",92308
881526,"DUBLIN UNIFIED",8191,1000,122.085215480405,1,"Comcast",10000,1220.85215480405,1,"2020-06-30","Upstream",1,2181.82,TRUE,FALSE,"Suburban","Medium","DUBLIN","CA",94568
881533,"PLEASANTON UNIFIED",14724,1000,67.9163270850312,0,"AT&T",1000,67.9163270850312,0,"2018-06-30","Upstream",1,903.73,TRUE,FALSE,"Urban","Medium","PLEASANTON","CA",94566
881542,"SUNOL GLEN UNIFIED",269,50,185.873605947955,1,"AT&T",50,185.873605947955,1,"2018-06-30","Upstream",1,1006.37,TRUE,FALSE,"Rural","Tiny","SUNOL","CA",94586
881548,"MENDOTA UNIFIED",3009,1000,332.336324360253,1,"Comcast",1000,332.336324360253,1,"2021-06-30","Upstream",1,2939.52,TRUE,FALSE,"Rural","Small","MENDOTA","CA",93640
881558,"EL TEJON UNIFIED",776,3010,3878.86597938144,1,"AT&T",3000,3865.9793814433,1,"2020-06-30","Upstream",1,10284.36,TRUE,TRUE,"Rural","Small","LEBEC","CA",93243
881560,"BEARDEN SCHOOL DISTRICT",561,150,267.379679144385,1,"Windstream",150,267.379679144385,1,"2017-06-30","Upstream",1,1891.1,TRUE,FALSE,"Rural","Small","BEARDEN","AR",71720
881573,"ANDALUSIA CITY",1754,500,285.062713797035,1,"Computer Sciences",500,285.062713797035,1,"2021-06-30","Internet",1,3698.02,TRUE,FALSE,"Town","Small","ANDALUSIA","AL",36420
881574,"LAKE ELSINORE UNIFIED",21965,5000,227.634873662645,1,"Charter",5000,227.634873662645,1,"2018-06-30","Internet",1,12144.6,TRUE,FALSE,"Suburban","Large","LAKE ELSINORE","CA",92530
881577,"TEMECULA VALLEY UNIFIED",30030,1000,33.3000333000333,0,"Sunesys, LLC",1000,33.3000333000333,0,"2018-07-31","Upstream",1,1548.18,TRUE,FALSE,"Urban","Large","TEMECULA","CA",92592
881578,"ANNISTON CITY",1996,250,125.250501002004,1,"Computer Sciences",250,125.250501002004,1,"2021-06-30","Internet",1,2891.08,TRUE,FALSE,"Urban","Medium","ANNISTON","AL",36206
