"esh_id","postal_cd","service_provider_2015","service_provider_2016","bandwidth_in_mbps_2015","contract_end_date_2015","purpose_2015","percent_bw_2015","total_monthly_cost_2015","predominant_sp_2015","exclude_from_analysis","bandwidth_in_mbps_2016","contract_end_date_2016","purpose_2016","percent_bw_2016","total_monthly_cost_2016","predominant_sp_2016","exclude_from_ia_analysis","district_name","locale","num_students_2015","num_students_2016","upgrade","meeting_goals_2015","meeting_goals_2016","sp_bw_per_student_2015","sp_bw_per_student_2016","sp_meeting_goals_2015","sp_meeting_goals_2016","sp_change","Freq","same","override","contract_ended_between_years","affordability_goal_knapsack_2015","district_ia_monthly_cost_per_mbps_2015","affordability_goal_knapsack_2016","district_ia_monthly_cost_per_mbps_2016","district_size","purpose2_2015","purpose2_2016","eligible_for_cost_per_mbps","sp_ia_monthly_cost_per_mbps_2015","sp_ia_monthly_cost_per_mbps_2016","bw.change","bw.change.perc","total.cost.change","total.cost.change.perc","cost.per.mbps.change","cost.per.mbps.change.perc"
881421,"AL","Computer Sciences","Computer Sciences",800,"2016-06-30","Upstream",1,2779.24,TRUE,FALSE,750,"2021-06-30","Internet",1,3843.67,TRUE,FALSE,"MARSHALL COUNTY","Rural",5598,5498,FALSE,TRUE,TRUE,142.90818149339,136.41324117861,TRUE,TRUE,0,NA,NA,NA,TRUE,FALSE,6.01583333333333,FALSE,5.12489333333333,"Large","Upstream","Internet",NA,NA,NA,-50,-0.06,1064.43,0.38,NA,NA
881423,"AR","CenturyLink","CenturyLink",174,"2016-06-30","Internet",1,6032.8,TRUE,FALSE,1000,"2017-06-30","Upstream",1,1972,TRUE,FALSE,"DEWITT SCHOOL DISTRICT","Rural",1295,1264,TRUE,TRUE,TRUE,134.362934362934,791.139240506329,TRUE,TRUE,0,NA,NA,NA,TRUE,FALSE,34.6716666666667,TRUE,2.55238293010933,"Small","Internet","Upstream",NA,NA,NA,826,4.75,-4060.8,-0.67,NA,NA
881427,"AL","Computer Sciences","Computer Sciences",3000,"2016-06-30","Upstream",1,3914.99,TRUE,FALSE,2500,"2021-06-30","Internet",1,10671.14,TRUE,FALSE,"HOOVER CITY","Urban",13697,13882,FALSE,TRUE,TRUE,219.026064101628,180.089324304855,TRUE,TRUE,0,NA,NA,NA,TRUE,FALSE,2.96333333333333,FALSE,4.268456,"Large","Upstream","Internet",NA,NA,NA,-500,-0.17,6756.15,1.73,NA,NA
881428,"AZ","CenturyLink","CenturyLink",1000,"2020-06-29","Internet",1,6835,TRUE,FALSE,1000,"2020-06-30","Internet",1,6835,TRUE,FALSE,"CHINO VALLEY UNIFIED DISTRICT","Small Town",2269,2260,FALSE,TRUE,TRUE,440.722785368004,442.477876106195,TRUE,TRUE,0,NA,NA,NA,FALSE,FALSE,7.14,FALSE,6.835,"Small","Internet","Internet",1,6.84,6.84,0,0,0,0,0,0
881431,"AL","Computer Sciences","Computer Sciences",980,"2016-06-30","Upstream",1,3681.09,TRUE,FALSE,2000,"2021-06-30","Internet",1,9400.53,TRUE,FALSE,"MADISON CITY","Suburban",9299,9433,TRUE,TRUE,TRUE,105.387676094204,212.021626205873,TRUE,TRUE,0,NA,NA,NA,TRUE,FALSE,7.20333333333333,FALSE,4.700265,"Medium","Upstream","Internet",NA,NA,NA,1020,1.04,5719.44,1.55,NA,NA
881439,"AL","Computer Sciences","Computer Sciences",400,"2016-06-30","Upstream",1,2253.84,TRUE,FALSE,500,"2021-06-30","Internet",1,3170.9,TRUE,FALSE,"LEEDS CITY","Suburban",1776,1851,TRUE,TRUE,TRUE,225.225225225225,270.124257158293,TRUE,TRUE,0,NA,NA,NA,TRUE,FALSE,7.2475,FALSE,6.3418,"Small","Upstream","Internet",NA,NA,NA,100,0.25,917.06,0.41,NA,NA
881443,"AL","Computer Sciences","Computer Sciences",400,"2016-06-30","Upstream",0.59,2256.96,TRUE,FALSE,500,"2021-06-30","Internet",1,3127.46,TRUE,FALSE,"BOAZ CITY","Small Town",2134,2133,FALSE,TRUE,TRUE,187.441424554827,234.41162681669,TRUE,TRUE,0,NA,NA,NA,TRUE,FALSE,9.99583333333333,FALSE,6.25492,"Small","Upstream","Internet",NA,NA,NA,100,0.25,870.5,0.39,NA,NA
881445,"CA","AT&T","AT&T",300,"2017-05-07","Internet",1,950,TRUE,FALSE,1000,"2018-06-30","Internet",1,925,TRUE,FALSE,"ROSS VALLEY ELEM","Suburban",2226,2290,TRUE,TRUE,TRUE,134.770889487871,436.681222707424,TRUE,TRUE,0,NA,NA,NA,FALSE,TRUE,4.75666666666667,TRUE,0.925,"Small","Internet","Internet",1,3.17,0.92,700,2.33,-25,-0.03,-2.25,-0.71
881446,"AR","CenturyTel","CenturyLink",130,"2016-06-30","Internet",1,2851.32,TRUE,FALSE,250,"2017-06-30","Upstream",1,1682,TRUE,FALSE,"CORNING SCHOOL DISTRICT","Small Town",989,969,TRUE,TRUE,TRUE,131.445904954499,257.997936016512,TRUE,TRUE,0,9,1,NA,TRUE,FALSE,21.9333333333333,TRUE,8.50771854201247,"Small","Internet","Upstream",NA,NA,NA,120,0.92,-1169.32,-0.41,NA,NA
881450,"CO","Tek-Hut, Inc","Tek-Hut, Inc",200,"2017-06-30","Internet",1,2694.97,TRUE,FALSE,200,"2017-06-30","Internet",1,2694.97,TRUE,FALSE,"WRAY RD-2 SCHOOL DISTRICT","Rural",692,671,FALSE,TRUE,TRUE,289.017341040462,298.06259314456,TRUE,TRUE,0,NA,NA,NA,FALSE,FALSE,13.475,FALSE,13.47485,"Small","Internet","Internet",1,13.47,13.47,0,0,0,0,0,0
