"service_provider","extrapolated_num_students_not_meeting_goal","extrapolated_num_students_meeting_goal","extrapolated_percentage"
"AT&T",1270183,5046174,20
"Charter",849932,2730834,24
"CenturyLink",809473,960105,46
"Comcast",659130,2425076,21
"Cox",592511,1186995,33
"Level 3",355172,82484,81
"ENA Services, LLC",331412,1330285,20
"Windstream",312854,393907,44
"Sunesys, LLC",215675,449814,32
"Cogent",163785,282522,37
"Computer Sciences",136281,384847,26
"Frontier",106962,248793,30
"PHONOSCOPE LIGHT",97344,313360,24
"Zayo Group, LLC",85223,658886,11
"Cablevision",71886,524057,12
"Verizon",68283,273120,20
"Grande Comm",65560,92109,42
"Cebridge",61975,92910,40
"Hunt Telecomm",61524,85891,42
"Southern Light, LLC",57577,36733,61
