"distict_name","target_status","postal_cd"
"Attalla City Schools",,"AL"
"Birmingham City Schools",,"AL"
"Calhoun County Schools",,"AL"
"Scottsboro City Board of Education",,"AL"
"Walker County Board of Education",,"AL"
"Deer Valley Unified School District",,"AZ"
"Dysart Unified School District",,"AZ"
"Santa Ana Unified School District",,"CA"
"Santa Clara County Office of Education",,"CA"
"Platte Valley School District, WELD Re-7",,"CO"
"Marion County School System",,"FL"
"Miami-Dade County Public Schools",,"FL"
"St. Lucie County School Board",,"FL"
"Calhoun City Schools",,"GA"
"Clayton County Public Schools",,"GA"
"Dawson County Board of Education",,"GA"
"Echols County Schools",,"GA"
"Floyd County Schools",,"GA"
"Hall County School System",,"GA"
"Madison County School District",,"GA"
"Newton County School System",,"GA"
"Richmond County School System",,"GA"
"Community Consolidated School District 89",,"IL"
"Community Consolidated School District 93",,"IL"
"Community High School District 99",,"IL"
"Community Unit School District 300",,"IL"
"Consolidated School District 158",,"IL"
"East Alton-Wood River H.S.",,"IL"
"Gurnee School District 56",,"IL"
"La Grange Highlands School District 106",,"IL"
"LaGrange School District 102",,"IL"
"Maercker School District 60",1,"IL"
"Oak Lawn-Hometown School District 123",,"IL"
"Prospect Heights School District 23",,"IL"
"School District 45, DuPage County",,"IL"
"Skokie School District 68",,"IL"
"South Holland School District 151",,"IL"
"Thornton Fractional HSD 215",,"IL"
"Township High School District 113",,"IL"
"Township High School District 214",,"IL"
"West Aurora School District 129",,"IL"
"Center Grove Community School Corporation",,"IN"
"East Noble School Corporation",,"IN"
"Kokomo School Corporation",,"IN"
"MSD of Decatur Township",,"IN"
"MSD of Martinsville",,"IN"
"MSD of Mt. Vernon",,"IN"
"MSD of Steuben County",,"IN"
"MSD of Warren Township",,"IN"
"MSD of Washington Township",1,"IN"
"MSD of Wayne Township",,"IN"
"Richmond Community School Corporation",,"IN"
"School City of Hammond",,"IN"
"School City of Mishawaka",,"IN"
"South Bend Community School Corp.",,"IN"
"Warsaw Community Schools",,"IN"
"Wawasee Community School Corporation",,"IN"
"Des Moines Public Schools",,"IA"
"Keokuk Community School District",,"IA"
"Carroll County Schools",,"KY"
"Ascension Parish Schools",,"LA"
"Lafayette Parish School System",,"LA"
"St. Mary Parish School Board",,"LA"
"Webster Parish School District",,"LA"
"West Feliciana School System",,"LA"
"Worcester Public Schools",,"MA"
"Becker Public Schools",,"MN"
"Hopkins School District 270",,"MN"
"School District 197 (West St. Paul-Mendota Heights-Eagan)",,"MN"
"School District of Clayton",,"MO"
"School District of Washington",,"MO"
"Carson City School District",,"NV"
"Concord School District",,"NH"
"River Dell Regional Schools",,"NJ"
"Rockaway Township Public Schools",,"NJ"
"West New York Board of Education",,"NJ"
"Bradford Central School District",,"NY"
"East Irondequoit CSD",,"NY"
"Genesee Valley Educational Partnership",,"NY"
"Glen Cove CSD",,"NY"
"Mount Pleasant Cottage School",1,"NY"
"Mount Vernon City School District",,"NY"
"New Hyde Park-Garden City PK",,"NY"
"Newburgh Enlarged School District",1,"NY"
"Odessa Montour",,"NY"
"Plainedge UFSD",,"NY"
"Plainview - Old Bethpage Central School District",,"NY"
"Spencer Van Etten Central District",1,"NY"
"Bladen County Schools",,"NC"
"Burke County Public Schools",,"NC"
"Orange County Schools",,"NC"
"Wilson County Schools",,"NC"
"Bedford City Schools",,"OH"
"Norman Public Schools",,"OK"
"Portland Public Schools",,"OR"
"Sisters School District",,"OR"
"East Stroudsburg Area School District",,"PA"
"Hampton Township School District",,"PA"
"Lower Merion School District",,"PA"
"Beaufort County School District",,"SC"
"Richland County School District One",,"SC"
"Greeneville City Schools",,"TN"
"Bay City ISD",,"TX"
"Chapel Hill ISD",,"TX"
"Cross Roads ISD",,"TX"
"El Paso ISD",,"TX"
"Fort Bend ISD",,"TX"
"Goose Creek CISD",,"TX"
"Lubbock ISD",,"TX"
"Lubbock-Cooper ISD",,"TX"
"Round Rock ISD",,"TX"
"San Marcos CISD",,"TX"
"Spring Independent School District",,"TX"
"Fairfax County Public Schools",,"VA"
"Orange County Public Schools",,"VA"
"Shenandoah County Public Schools",,"VA"
"Highline School District",,"WA"
"Mount Adams School District",,"WA"
"Renton School District",,"WA"
"Sequim School District",,"WA"
"Warden School District",1,"WA"
"Eau Claire Area School District",,"WI"
"Fall River School District",,"WI"
"Green Bay Area Public Schools",,"WI"
"Hudson School District",,"WI"
"Milton School District",,"WI"
"Neenah Joint School District",,"WI"
"Oconomowoc Area School District",,"WI"
"Oshkosh Area School District",1,"WI"
"Ripon Area SD",,"WI"
"School District of Holmen",,"WI"
"School District of Janesville",,"WI"
"School District of La Crosse",,"WI"
"School District of New Berlin",,"WI"
"School District of the Menomonie Area",,"WI"
"Stevens Point Area Public Schools",,"WI"
"Two Rivers Public School District",,"WI"
"Fremont Co. School District #21",,"WY"
