"esh_id","name","city","postal_cd","district_size","locale","num_students","discount_rate_c2","outreach_status__c","c2_consultants","c1_consultants"
881423,"Dewitt Public School District","DEWITT","AR","Small","Rural",1257,0.8,"Not a Prospect","CRW Consulting","CRW Consulting"
881435,"Warren Public School Dist 1","WARREN","AR","Tiny","Town",466,0.8,"Not a Prospect",NA,NA
881447,"Yuma School District #1","YUMA","CO","Small","Town",777,0.8,"Not a Prospect","ETECHCO INC","ETECHCO INC"
881450,"Wray School District R D 2","WRAY","CO","Small","Rural",644,0.8,"Not a Prospect",NA,NA
881451,"Clarkdale-Jerome School Dist 3","CLARKDALE","AZ","Tiny","Town",467,0.8,"Upgrade Project",NA,"Nicely Done Consulting"
881455,"Salome School District 30","SALOME","AZ","Tiny","Rural",108,0.85,"Fiber Prospect",NA,"Nicely Done Consulting"
881464,"Marmaduke School District","MARMADUKE","AR","Small","Rural",743,0.8,"Not a Prospect",NA,NA
881470,"Batesville Public School Dist","BATESVILLE","AR","Medium","Rural",3027,0.8,"Not a Prospect","Sharon Dowdy","Sharon Dowdy"
881477,"Pinon Unif School District 4","PINON","AZ","Small","Rural",1243,0.85,"Support Project",NA,"Tech Funds Inc"
881532,"Star City Public School Dist","STAR CITY","AR","Small","Rural",1570,0.8,"Not a Prospect",NA,"Allen & Allen Consulting LLC"
881560,"Bearden Public School District","BEARDEN","AR","Small","Rural",525,0.85,"Potential Fiber Prospect",NA,NA
881584,"Arab City School District","ARAB","AL","Small","Rural",2546,0.7,"Not a Prospect",NA,NA
881616,"Magnolia Public School Dist","MAGNOLIA","AR","Small","Town",2930,0.8,"Not a Prospect","E-Rate Central","E-Rate Central"
881623,"Attalla City School District","ATTALLA","AL","Small","Suburban",1704,0.8,"Not a Prospect",NA,NA
881627,"Natomas Unified School Dist","SACRAMENTO","CA","Medium","Urban",9650,0.8,"Not a Prospect","Mattison Enterprises","Mattison Enterprises"
881639,"East Poinsett Co School Dist","LEPANTO","AR","Small","Rural",706,0.85,"Not a Prospect",NA,NA
881642,"Colorado River Un H S Dist 2","FORT MOHAVE","AZ","Small","Town",1945,0.8,"Potential Bandwidth Prospect",NA,NA
881644,"Delhi Unified School District","DELHI","CA","Small","Suburban",2666,0.85,"Not a Prospect",NA,"Merced County Office of Education"
881651,"Palestine-Wheatley School Dist","PALESTINE","AR","Small","Rural",767,0.85,"Not a Prospect",NA,NA
881654,"Chickasaw City","CHICKASAW","AL","Small","Suburban",938,0.85,"Not a Prospect",NA,NA
