"esh_id","name","postal_cd","c2_prediscount_budget_15","c2_prediscount_remaining_17","c2_postdiscount_remaining_17","needs_wifi"
"882587","Bering Strait School District","AK",296964.37,22352.37,18999.5145,"t"
"882790","Chatham School District","AK",40925.28,5574.79,3747.3645,NA
"882625","Dillingham City School Dist","AK",76018.78,9412.8,6588.96,"f"
"882526","Lower Kuskokwim School Dist","AK",640379.02,60894.03,51759.9255,"t"
"882538","Lower Yukon School District","AK",312209.11,5299.11,4504.2435,"t"
"882700","Matanuska-Sustina Borough School District","AK",2506216.15,292888.53,143076.999,NA
"882727","Nenana City School District","AK",26089.9,0,0,"f"
"882732","Nome City School District","AK",103489.91,11077.35,8003.8275,"f"
"882802","Yukon Flats School District","AK",63945.7,5419.79,4606.8215,"f"
"881584","Arab City School District","AL",384902.76,8669.25,6068.475,"t"
"881623","Attalla City School District","AL",247240.17,0,0,"f"
"881705","Birmingham City School Dist","AL",3450568.27,498738.38,368133.6125,"t"
"881732","Bullock County School District","AL",235781.05,0,0,"f"
"881743","Calhoun County School District","AL",1337644.52,4255.24,3404.192,"f"
"881654","Chickasaw City","AL",156846.34,0,0,"t"
"881769","Choctaw County School District","AL",212249.01,5623.94,4780.349,"t"
"881811","Conecuh County Schools","AL",238645.85,0,0,"t"
"881941","Fort Payne City School Dist","AL",481895.8,46417.33,37133.864,"f"
"881951","Gadsden City School District","AL",775995.45,74703.77,59480.7495,"t"
"881976","Haleyville City School Dist","AL",260438.59,22103.68,17682.944,"f"
"882026","Jefferson County School Dist","AL",5541903.96,726180.25,492932.631,"f"
"882073","Lowndes County School District","AL",237571.56,21823.91,18550.3235,"f"
"882078","Macon County School District","AL",327351.51,0,0,"f"
"882103","Mobile County School District","AL",8374653.06,606411.79,486513.253,"f"
"882109","Monroe County School District","AL",542311.77,25162.25,19602.4075,"t"
"882115","Montgomery County School Dist","AL",4691424.35,35579.28,24905.496,"f"
"882164","Opp City School District","AL",197362.42,204.81,163.848,"f"
"882188","Phenix City School District","AL",1048967.45,29255.93,22716.326,"f"
"882193","Pickens County School District","AL",404086.51,32625.86,24612.52,NA
"882203","Pike County School District","AL",334666.86,14700.12,11776.6995,"f"
"882241","Russellville City Schools","AL",431250.7,223.72,190.162,"f"
"882247","Scottsboro City School Dist","AL",387051.34,0,0,"f"
"882275","Sumter County School District","AL",242943.01,6865.77,5835.9045,"t"
"882287","Talladega City School District","AL",301108.14,8096.68,6882.178,"t"
"882336","Tuscaloosa Co School District","AL",2808756.73,123045.55,87360.0295,"t"
"882355","Walker County School District","AL",1158493.82,128483.47,91992.722,"t"
"881862","Alma Public School Dist 30","AR",487267.25,67967.13,54373.704,"f"
"881916","Barton-Lexa School District","AR",123696.82,0,0,"f"
"881470","Batesville Public School Dist","AR",461944.7,18074.89,14075.727,"f"
"881927","Bay School District 21","AR",88245.25,8664.76,6931.808,"f"
"881560","Bearden Public School District","AR",74739.89,7883.99,6307.192,"f"
"881937","Benton Public School Dist 8","AR",783924.76,14440.71,8664.426,"f"
"881964","Blevins School District","AR",73819.07,1132.24,962.404,"t"
"881983","Bradford Public School Dist","AR",66299.04,5688.09,4834.8765,"f"
"881992","Brinkley School District","AR",82413.39,0,0,"f"
"882198","Camden-Public Schools","AR",385363.17,0,0,"f"
"882042","Cedarville Public School Dist","AR",124771.11,4017.49,3287.572,"f"
"882259","Centerpoint School District","AR",131881.86,18369.06,14712.6135,"f"
"882063","Clarendon Public School Dist","AR",83641.15,0,0,"f"
"882074","Clarksville Public School Dist","AR",408230.2,4474.41,3579.528,"f"
"881716","Cleveland County School District","AR",133518.9,4724.12,3867.856,"f"
"881838","Cossatot River School District","AR",157306.75,7862.92,6683.482,"f"
"882104","Crossett Public School Dist","AR",264428.81,0,0,"f"
"882116","Danville Public School Dist","AR",130296.03,7082.93,5935.856,"f"
"881423","Dewitt Public School District","AR",196134.66,0,0,"f"
"882145","Dollarway Public School Dist","AR",192349.04,0,0,"f"
"881639","East Poinsett Co School Dist","AR",118171.9,4482.25,3624.664,"f"
"882192","Eureka Springs School District","AR",94690.99,3778.65,3022.92,"f"
"882210","Flippin Public School District","AR",123543.35,5792.18,4633.744,"f"
"882225","Forrest City School District 7","AR",360961.44,0,0,"f"
"882235","Fouke School District 15","AR",159455.33,1925.44,1540.352,"f"
"882333","Harrisburg Public School Dist","AR",182936.24,26390.08,22431.568,"f"
"882367","Helena-West Helena School Dist","AR",218694.75,0,0,"f"
"882371","Hermitage Public School Dist","AR",64150.46,0,0,"f"
"881739","Hillcrest Public School District","AR",62615.76,791.22,632.976,NA
