"esh_id","name","postal_cd","c2_prediscount_budget_15","c2_prediscount_remaining_17","c2_postdiscount_remaining_17","needs_wifi"
"882576","Aleutian East Borough Sch Dist","AK",57858.11,55492.13,44160.6245,"t"
"882604","Cordova City School District","AK",60825.25,60825.25,47718.92,NA
"882618","Delta-Greely School District","AK",159864.53,152368.03,109309.716,"f"
"882632","Galena City School District","AK",637156.23,637156.23,447457.1,"f"
"882658","Haines Borough School District","AK",56016.55,56016.55,39211.585,"f"
"882669","Hydaburg City School District","AK",20309.17,17609.17,13555.8745,"t"
"882648","Juneau Borough School District","AK",722332.08,722332.08,435389.233,"f"
"882566","Kashunamiut School District","AK",54174.91,54174.91,46048.6735,"t"
"882686","Klawock City School District","AK",21178.86,21178.86,16943.088,"t"
"882794","Kuspuk School District","AK",87119.59,82575.89,69751.3215,"f"
"882653","Sitka School District","AK",222787.23,222787.23,151474.85,"f"
"882771","Skagway City School District","AK",15347,15347,9208.2,"f"
"882787","Unalaska City School District","AK",63690.05,63690.05,38214.03,NA
"881902","Escambia County School Dist","AL",690717.26,690717.26,558671.688,"f"
"881925","Fairfield City School District","AL",267037.8,267037.8,226982.13,"f"
"881981","Hartselle City Schools","AL",478059.05,478059.05,262003.984,NA
"881427","Hoover City School District","AL",2008513.02,1752488.02,848264.511,"f"
"882000","Huntsville City School Dist","AL",3343241.53,3343241.53,2348556.451,"f"
"882015","Jacksonville City School Dist","AL",117148.74,116140.98,70625.868,NA
"882031","Lamar County School District","AL",350985.89,303590.11,242872.088,"t"
"882041","Lauderdale County School Dist","AL",1258965.54,1258965.54,911847.102,"f"
"882062","Limestone County School Dist","AL",1333807.77,1333807.77,967566.962,"f"
"881431","Madison City Schools","AL",1572914.03,1572914.03,691259.574,"f"
"882140","Mountain Brook City","AL",666520.21,666520.21,133304.042,NA
"882152","Oneonta City School District","AL",228977.24,228977.24,158657.286,"f"
"882199","Piedmont City School District","AL",183550.12,183550.12,146840.096,"f"
"882319","Thomasville City School Dist","AL",187079.93,174641.45,139713.16,"f"
"881471","Trussville City","AL",698748.91,665180.91,284922.673,"f"
"882349","Vestavia Hills City Schools","AL",1089483.53,1062808.13,425123.252,NA
