nces_cd,esh_id,name,district_type,postal_cd,District,Office,ROP,ROC,CHARTER,Should be removed from word search?
601680,NA,NA,NA,NA,Ackerman Charter,0,0,0,10,1
691051,NA,NA,NA,NA,Alameda County Office of Education,16,0,0,0,1
691058,NA,NA,NA,NA,Alpine County Office of Education,15,0,0,0,1
602370,NA,NA,NA,NA,Alvina Elementary,0,0,0,0,0
691001,NA,NA,NA,NA,Amador County Office of Education,15,0,0,0,1
600089,NA,NA,NA,NA,Amador County ROP,0,15,0,0,1
600112,NA,NA,NA,NA,Antelope Valley ROP,0,17,0,0,1
600131,NA,NA,NA,NA,Baldy View ROP,0,12,0,0,1
601426,NA,NA,NA,NA,Bonsall Unified,0,0,0,0,0
691002,NA,NA,NA,NA,Butte County Office of Education,14,0,0,0,1
600090,NA,NA,NA,NA,Butte County ROP,0,14,0,0,1
691003,NA,NA,NA,NA,Calaveras County Office of Education,18,0,0,0,1
601440,NA,NA,NA,NA,California Advancing Pathways for Students in Los Angeles County ROC/P,0,0,66,0,1
601422,NA,NA,NA,NA,California Education Authority (CEA) Headquarters,0,0,0,0,0
600002,NA,NA,NA,NA,California School for the Blind (State Special Schl),0,0,0,0,0
600003,NA,NA,NA,NA,California School for the Deaf-Fremont (State Special Schl),0,0,0,0,0
600007,NA,NA,NA,NA,California School for the Deaf-Riverside (State Special Schl),0,0,0,0,0
600124,NA,NA,NA,NA,Central Orange County CTE Partnership (CTEp),0,0,0,0,0
600096,NA,NA,NA,NA,Central Sierra ROP,0,16,0,0,1
600123,NA,NA,NA,NA,Coastline ROP,0,11,0,0,1
600122,NA,NA,NA,NA,College and Career Advantage,0,0,0,0,0
600130,NA,NA,NA,NA,Colton-Redlands-Yucaipa ROP,0,25,0,0,1
691004,NA,NA,NA,NA,Colusa County Office of Education,15,0,0,0,1
600113,NA,NA,NA,NA,Compton Unified ROP,0,17,0,0,1
691005,NA,NA,NA,NA,Contra Costa County Office of Education,21,0,0,0,1
600092,NA,NA,NA,NA,Contra Costa County ROP,0,21,0,0,1
691063,NA,NA,NA,NA,Del Norte County Office of Education,18,0,0,0,1
600093,NA,NA,NA,NA,Del Norte County ROP,0,18,0,0,1
600105,NA,NA,NA,NA,East San Gabriel Valley ROP,0,25,0,0,1
600085,NA,NA,NA,NA,Eden Area ROP,0,11,0,0,1
691006,NA,NA,NA,NA,El Dorado County Office of Education,18,0,0,0,1
600082,NA,NA,NA,NA,Forty-Niner ROP,0,13,0,0,1
691007,NA,NA,NA,NA,Fresno County Office of Education,15,0,0,0,1
600098,NA,NA,NA,NA,Fresno ROP,0,8,0,0,1
691008,NA,NA,NA,NA,Glenn County Office of Education,14,0,0,0,1
600099,NA,NA,NA,NA,Glenn County ROP,0,14,0,0,1
600111,NA,NA,NA,NA,Hart ROP,0,6,0,0,1
617160,NA,NA,NA,NA,Hickman Community Charter,0,0,0,19,1
691009,NA,NA,NA,NA,Humboldt County Office of Education,17,0,0,0,1
600100,NA,NA,NA,NA,Humboldt County ROP,0,17,0,0,1
691010,NA,NA,NA,NA,Imperial County Office of Education,17,0,0,0,1
600101,NA,NA,NA,NA,Imperial Valley ROP,0,17,0,0,1
691011,NA,NA,NA,NA,Inyo County Office of Education,13,0,0,0,1
618510,NA,NA,NA,NA,Island Union Elementary,0,0,0,0,0
618660,NA,NA,NA,NA,Jacoby Creek Elementary,0,0,0,0,0
691012,NA,NA,NA,NA,Kern County Office of Education,13,0,0,0,1
600075,NA,NA,NA,NA,Kern County ROP,0,13,0,0,1
600076,NA,NA,NA,NA,Kern High ROC,0,0,11,0,1
691013,NA,NA,NA,NA,Kings County Office of Education,14,0,0,0,1
600077,NA,NA,NA,NA,Kings County ROP,0,14,0,0,1
619770,NA,NA,NA,NA,Kings River-Hardwick Union Elementary,0,0,0,0,0
619800,NA,NA,NA,NA,Kingsburg Elementary Charter,0,0,0,22,1
600103,NA,NA,NA,NA,La Puente Valley ROP,0,18,0,0,1
691014,NA,NA,NA,NA,Lake County Office of Education,13,0,0,0,1
600078,NA,NA,NA,NA,Lake County ROP,0,13,0,0,1
691015,NA,NA,NA,NA,Lassen County Office of Education,15,0,0,0,1
600079,NA,NA,NA,NA,Lassen ROP,0,8,0,0,1
600108,NA,NA,NA,NA,Long Beach Unified ROP,0,20,0,0,1
691078,NA,NA,NA,NA,Los Angeles County Office of Education,20,0,0,0,1
600110,NA,NA,NA,NA,Los Angeles County ROP,0,20,0,0,1
600109,NA,NA,NA,NA,Los Angeles Unified ROCP,0,0,21,0,1
691017,NA,NA,NA,NA,Madera County Superintendent of Schools,0,0,0,0,0
691018,NA,NA,NA,NA,Marin County Office of Education,14,0,0,0,1
600117,NA,NA,NA,NA,Marin County ROP,0,14,0,0,1
691090,NA,NA,NA,NA,Mariposa County Office of Education,17,0,0,0,1
691019,NA,NA,NA,NA,Mendocino County Office of Education,18,0,0,0,1
600118,NA,NA,NA,NA,Mendocino County ROC/ROP,0,22,18,0,1
691020,NA,NA,NA,NA,Merced County Office of Education,15,0,0,0,1
600119,NA,NA,NA,NA,Merced County ROP,0,15,0,0,1
600135,NA,NA,NA,NA,Metro Education,0,0,0,0,0
600120,NA,NA,NA,NA,Mission Trails ROP,0,16,0,0,1
600086,NA,NA,NA,NA,Mission Valley ROC/P,0,0,16,0,1
691093,NA,NA,NA,NA,Modoc County Office of Education,14,0,0,0,1
600081,NA,NA,NA,NA,Modoc County ROP,0,14,0,0,1
691052,NA,NA,NA,NA,Mono County Office of Education,13,0,0,0,1
600155,NA,NA,NA,NA,Mono County ROC/P,0,0,13,0,1
691021,NA,NA,NA,NA,Monterey County Office of Education,17,0,0,0,1
691022,NA,NA,NA,NA,Napa County Office of Education,13,0,0,0,1
600080,NA,NA,NA,NA,Napa County ROP,0,13,0,0,1
691023,NA,NA,NA,NA,Nevada County Office of Education,15,0,0,0,1
601343,NA,NA,NA,NA,North County Regional Occupational Center/Program (ROC/P),0,0,52,0,1
600074,NA,NA,NA,NA,North Kern Vocational Training Center,0,0,0,0,0
600121,NA,NA,NA,NA,North Orange County ROP-Adult,0,21,0,0,1
691024,NA,NA,NA,NA,Orange County Department of Education,0,0,0,0,0
630510,NA,NA,NA,NA,Pioneer Union Elementary,0,0,0,0,0
691025,NA,NA,NA,NA,Placer County Office of Education,15,0,0,0,1
