"","postal_cd","min_2017","max_2017","prediction"
"1","AK",3.05527621,33.0736811664,11.2183348163509
"2","AL",0.10906036,0.29995078,0.10906036
"3","AR",0.07199149,0.27379329,0.07199149
"4","AZ",2.28380823,5.80793791,4.01828913057087
"5","CA",5.62585704711,18.56913229,11.2666346372538
"6","CO",1.45767415,2.61257896,2.25968676159846
"7","CT",0.2121197,0.30290296,0.329007935232571
"8","FL",0.07304884,0.1327681,0.07304884
"9","GA",0.09836659,0.11540801,0.133079595623959
"10","IA",0.58869415,1.54703484,0.723532884801641
"11","IL",3.23680585,7.9790875155,5.64719806920201
"12","IN",1.02437117,2.29242362,1.52891327148604
"13","KS",1.46564441,4.19700793,2.53860328651144
"14","LA",0.00730704,0.03971219,0.00730704
"15","MA",2.49395998,4.29026306,3.92516222762407
"16","MD",0.10379908,0.44693555,0.10379908
"17","MI",1.51738502,4.19253968,2.68762075431998
"18","MN",0.83398914,2.19335855,1.20050995610667
"19","MO",0.89718399,4.67896484,1.73696343455289
"20","MS",0.09892175,0.2647345,0.09892175
"21","MT",3.54206223013,15.51085264,8.03634692835466
"22","ND",0.34043711,2.61912258,0.452036966482629
"23","NE",0.97851338,2.03909946,1.45040449309982
"24","NH",1.7138306,3.6832375,2.74004281925099
"25","NJ",1.82460283179,6.1391853,3.53624085327162
"26","NM",0.46796707,1.57684987,0.46796707
"27","NY",0.60002656,3.7739358,0.915828946120771
"28","OH",0.39902089,0.79489415,0.592483259343226
"29","OK",0.15368273,0.63354658,0.15368273
"30","OR",1.55145714,6.16980507,3.19597424772959
"31","PA",1.52866612,2.82632646,2.408381876513
"32","SC",0.03659538,0.07305637,0.03659538
"33","SD",3.26951079,7.90144802,5.69710657085115
"34","TN",0.03728261,0.10312845,0.03728261
"35","TX",2.97031106181,9.14370822,5.65751186717676
"36","UT",0.28934365,0.98383284,0.28934365
"37","VA",0.33175079,0.84493439,0.33175079
"38","VT",0.83608426,1.46551149,1.11894076601763
"39","WA",0.53836316,1.87565489,0.658362673861626
"40","WI",0.47583085,0.8971788,0.649867502978744
"41","WY",2.294684,5.17656667,3.62789820690356
"42","ID",1.44568447,3.53422262,2.44320885877764
"43","ME",0.15847474,0.37650761,0.15847474
"44","NC",0.03341777,0.15148381,0.03341777
"45","NV",1.58616002,17.42135625,2.2996653381467
"46","RI",0.02230085,0.02356889,0.0875689395566624
