,district_postal_cd,min_total_cost,min_total_state_funding,min_total_erate_funding,min_total_district_funding,min_builds,min_build_distance,min_total_cost_per_mile,min_miles_per_build,max_total_cost,max_total_state_funding,max_total_erate_funding,max_total_district_funding,max_builds,max_build_distance,max_total_cost_per_mile,max_miles_per_build,max_total_cost_wan,max_total_state_funding_wan,max_total_erate_funding_wan,max_total_district_funding_wan,max_builds_wan,max_build_distance_wan,min_total_cost_wan,min_total_state_funding_wan,min_total_erate_funding_wan,min_total_district_funding_wan,min_builds_wan,min_build_distance_wan,total_cost_az_wan,total_state_funding_az_wan,total_erate_funding_az_wan,total_district_funding_az_wan,builds_az_wan,build_distance_az_wan,total_cost_az_pop_wan,total_state_funding_az_pop_wan,total_erate_funding_az_pop_wan,total_district_funding_az_pop_wan,builds_az_pop_wan,build_distance_az_pop_wan,min_builds_ia,max_builds_ia,advice_max_cost_per_mile,advice_ia_builds,advice_ratio_miles_per_build,advice_skew
0,AK,36029241.43,2522388.62,32949270.82,557582.0163,239.8861307,462.4072827,77916.6825,1.927611577,489138313.4,34736099.33,447582005.8,6820208.496,230.2119598,8911.525139,54888.28295,38.71008764,488225193.2,34686412.96,446718571.9,6820208.496,225.779799,8895.971955,35149250.29,2474504.927,32117163.35,557582.0163,235.6147739,447.4183866,480773545.4,34180600.63,439802918.7,6790026.159,147.718191,8622.034497,42600898.04,2980317.259,39032816.52,587764.3524,307.5963819,721.3558449,4.271356784,4.432160804,no insight,low - skew towards minimum,high - skew towards minimum,high - skew towards minimum
1,AL,2961102.189,282226.7966,2677637.388,1237.993943,17.39012792,42.59157218,69523.19525,2.449181075,8365322.426,793287.5599,7569407.483,2627.383055,12.04255831,147.9643458,56536.06876,12.28678674,8365322.426,793287.5599,7569407.483,2627.383055,12.04255831,147.9643458,2961102.189,282226.7966,2677637.388,1237.993943,17.39012792,42.59157218,8157461.428,778766.761,7377456.641,1237.993943,9.81089541,145.8895826,3168963.188,296747.5955,2869588.23,2627.383055,19.62179082,44.66633534,0,0,no insight,low - skew towards minimum,high - skew towards minimum,high - skew towards minimum
2,AR,3791658.749,298598.3022,3481744.353,11316.1725,56.09321839,33.58836147,112886.0886,0.598795406,12281070.32,966558.8007,11221358.27,93153.23599,72.40103448,211.3346486,58111.95846,2.918945151,12123213.56,958665.9693,11071394.37,93153.23599,71.31051724,210.8517706,3706166.568,294323.6966,3400526.789,11316.1725,54.96103448,33.08703368,8387464.028,682037.8881,7694109.98,11316.1725,31.71051724,150.1347139,7441916.104,570951.7778,6777811.179,93153.23599,84.18103448,93.80409043,1.132183908,1.090517241,no insight,low - skew towards minimum,high - skew towards minimum,no insight
3,AZ,76677795.46,6085109.456,66777788.18,3814897.695,763.4247164,962.6735878,79650.87693,1.260993477,313408501.7,24359136.49,271404129.8,17645235.51,1099.231373,5198.266214,60290.96796,4.729000956,306932439.1,23943963.05,265555424.7,17433051.46,1089.593313,5070.156837,71426744.1,5748470.18,62035423.44,3642850.36,755.609791,858.7973662,219888724.8,17323308.85,189067368.2,13498047.69,374.0277015,3025.685257,158470458.4,12369124.39,138523480,7577854.134,1230.135403,2903.268946,7.814925373,9.638059701,no insight,low - skew towards minimum,high - skew towards minimum,no insight
4,CA,97061947.46,7975703.912,82085881.64,7000361.756,493.2177022,940.8941994,103159.258,1.907665104,485931219.4,39669902.7,410394284.8,35867031.95,683.5121798,5955.155368,81598.41169,8.7125812,458104096.5,37042578.62,387600136.7,33461381.16,665.4608408,5756.896615,81965488.34,6550357.472,69719855.67,5695275.034,474.7445511,738.0026632,350484817.5,28343859.08,295902714.1,26238244.27,312.388464,3796.172679,189584767.2,15249077.02,161417278.3,12918411.92,760.136928,2698.7266,18.4731511,18.05133898,no insight,no insight,high - skew towards minimum,no insight
5,CO,13464754.48,1263547.307,10936038.19,1265168.986,68.07062736,212.9596816,63226.77784,3.128510635,37748996.82,3457264.732,31127048.7,3164683.461,88.62343159,665.8973353,56688.91408,7.513784146,37196785.73,3402043.617,30630058.71,3164683.461,87.54557823,659.4195637,13177500.25,1234821.882,10677509.38,1265168.986,66.98975057,206.4637396,24345894.28,2261989.601,19888630.14,2195274.544,49.51177627,383.6560808,26028391.7,2374875.899,21418937.96,2234577.903,103.0235525,482.2272225,1.080876795,1.077853364,no insight,low - skew towards minimum,high - skew towards minimum,no insight
6,CT,6185352.358,615369.4107,3926380.8,1643602.137,29.04316514,65.90080256,93858.52855,2.269064072,9696812.061,965290.4366,6067616.161,2663905.474,49.66678899,107.1882722,90465.23343,2.158147815,9696812.061,965290.4366,6067616.161,2663905.474,49.66678899,107.1882722,6185352.358,615369.4107,3926380.8,1643602.137,29.04316514,65.90080256,6238579.89,620692.166,3961996.172,1655891.553,26.23665138,67.759068,9643584.529,959967.6813,6032000.789,2651616.059,52.47330275,105.3300067,0,0,no insight,low - skew towards minimum,no insight,high - skew towards minimum
7,FL,5856056.867,488256.5455,5367800.301,0,22.81647662,87.12241197,67216.42267,3.818399021,21315831.25,1790176.294,19525654.91,0,13.71356823,332.159297,64173.51989,24.22121592,21315831.25,1790176.294,19525654.91,0,13.71356823,332.159297,5856056.867,488256.5455,5367800.301,0,22.81647662,87.12241197,21249923.01,1783874,19466049,0,11.17668161,331.8070813,5921965.107,494558.8398,5427406.205,0,24.35336323,87.47462768,0,0,no insight,low - skew towards minimum,high - skew towards minimum,high - skew towards minimum
8,GA,486008.7811,42694.56714,434126.3073,9187.962359,3.341089371,6.919747159,70235.04904,2.071105077,807482.3529,67698.85678,724838.8925,14944.62593,5.880317292,10.30749247,78339.35897,1.752880323,807482.3529,67698.85678,724838.8925,14944.62593,5.880317292,10.30749247,486008.7811,42694.56714,434126.3073,9187.962359,3.341089371,6.919747159,597448.5451,50230.28285,538030.3444,9187.962359,3.073802221,9.288100349,696042.5889,60163.14108,620934.8553,14944.62593,6.147604442,7.939139284,0,0,no insight,low - skew towards minimum,no insight,no insight
9,IA,7013661.688,681426.4805,5446597.955,885637.2411,83.68986175,58.28592532,120331.9952,0.696451447,19630553.95,1938117.383,15426937.99,2265498.58,116.3404608,320.161516,61314.53336,2.751936117,18677627.1,1842824.708,14656133.34,2178669.05,113.9741014,318.6199511,6814551.466,661515.4656,5278640.592,874395.397,81.26589862,56.70683453,14063509.38,1386411.193,11112841.81,1564256.369,53.08,218.698048,11428669.18,1117928.98,8821932.12,1488808.079,130.16,156.6287376,2.423963134,2.366359447,no insight,low - skew towards minimum,high - skew towards minimum,no insight
