,district_postal_cd,min_total_cost,min_total_state_funding,min_total_erate_funding,min_total_district_funding,builds_wan,min_builds,min_builds_1,min_build_distance,min_total_cost_per_mile,min_miles_per_build,min_miles_per_build_1,max_total_cost,max_total_state_funding,max_total_erate_funding,max_total_district_funding,max_builds,max_builds_1,max_build_distance,max_total_cost_per_mile,max_miles_per_build,max_miles_per_build_1,max_total_cost_wan,max_total_state_funding_wan,max_total_erate_funding_wan,max_total_district_funding_wan,max_builds_wan,max_build_distance_wan,max_total_cost_ia,max_total_state_funding_ia,max_total_erate_funding_ia,max_total_district_funding_ia,max_build_distance_ia,min_total_cost_wan,min_total_state_funding_wan,min_total_erate_funding_wan,min_total_district_funding_wan,min_builds_wan,min_build_distance_wan,min_total_cost_ia,min_total_state_funding_ia,min_total_erate_funding_ia,min_total_district_funding_ia,min_build_distance_ia,total_cost_az_wan,total_state_funding_az_wan,total_erate_funding_az_wan,total_district_funding_az_wan,builds_az_wan,build_distance_az_wan,total_cost_az_pop_wan,total_state_funding_az_pop_wan,total_erate_funding_az_pop_wan,total_district_funding_az_pop_wan,builds_az_pop_wan,build_distance_az_pop_wan,min_builds_ia,max_builds_ia,advice_max_cost_per_mile,advice_ia_builds,advice_ratio_miles_per_build,advice_skew
0,AK,42613183.44,3055276.21,38419151.47,1138755.92,133.66,223.28,135.66,671.295656638,63479.0096117,3.00651942242,4.94836839627,464021108.474,33073681.1664,422945102.889,8002324.45,237.024225352,135.964225352,8966.00214529,51753.4014553,37.8273660929,65.9438328139,463282171.4,33004227.01,422275619.96,8002324.45,234.72,8955.04072393,738937.074085,69454.1564225,669482.929183,0.0,10.9614213528,41971807.74,2994992.04,37838059.93,1138755.92,221.28,661.78146451,641375.7,60284.17,581091.54,0.0,9.51419212773,440216351.97,31572042.24,400686490.07,7957819.73,133.66,8317.24255306,65037627.17,4427176.81,59427189.82,1183260.64,304.0,1299.57963538,2.0,2.30422535211,0,-1,1,1
1,AL,1283714.93,109060.36,1101273.82,73380.71,4.97206812652,8.30413625304,4.97206812652,18.6435259887,68855.8017824,2.24508912433,3.74965215968,3388105.27,299950.78,2853017.41,235137.05,6.64827250608,4.97206812652,71.457405679,47414.3335853,10.7482666533,14.3717672125,3388105.27,299950.78,2853017.41,235137.05,6.64827250608,71.457405679,0.0,0.0,0.0,0.0,0.0,1283714.93,109060.36,1101273.82,73380.71,8.30413625304,18.6435259887,0.0,0.0,0.0,0.0,0.0,3249944.96,290004.72,2730861.76,229078.44,4.97206812652,70.4712597034,1421875.24,119006.42,1223429.47,79439.32,9.96827250608,19.6296719642,0.0,0.0,0,-1,1,1
2,AR,844965.25,71991.49,737377.62,35596.12,4.67770114943,11.0308045977,4.67770114943,8.76856368896,96363.0167919,0.794916056331,1.87454551047,3203838.57,273793.29,2809761.22,120284.08,7.19540229885,4.67770114943,69.3156317624,46221.0108822,9.63332262513,14.8183112918,3203838.57,273793.29,2809761.22,120284.08,7.19540229885,69.3156317624,0.0,0.0,0.0,0.0,0.0,844965.25,71991.49,737377.62,35596.12,11.0308045977,8.76856368896,0.0,0.0,0.0,0.0,0.0,3044074.96,258356.54,2680785.46,104932.94,4.67770114943,67.2163650517,1004728.86,87428.24,866353.38,50947.26,12.1508045977,10.8678303996,0.0,0.0,0,-1,1,1
3,AZ,31495798.54,2283808.23,28852092.16,359898.01,76.0615296367,110.046118547,76.0615296367,511.448055464,61581.6175338,4.64757923512,6.72413581355,82776561.06,5807937.91,75385530.83,1583092.25,155.643059273,76.0615296367,1489.83998137,55560.7059113,9.57215816965,19.5872997623,82776561.06,5807937.91,75385530.83,1583092.25,155.643059273,1489.83998137,0.0,0.0,0.0,0.0,0.0,31495798.54,2283808.23,28852092.16,359898.01,110.046118547,511.448055464,0.0,0.0,0.0,0.0,0.0,56170332.72,4219785.39,50688834.64,1261712.57,76.0615296367,965.78782168,58102026.88,3871960.75,53548788.35,681277.69,177.126118547,1035.50021516,0.0,0.0,0,-1,1,0
4,CA,73274712.6851,5625857.04711,64856740.108,2792115.49,221.221775688,325.524558152,222.291890472,774.234452181,94641.5035893,2.37842102168,3.48296310108,230748002.71,18569132.29,199772249.09,12406621.24,470.596210759,222.221775688,2947.12338398,78296.01026,6.26253105445,13.2620818768,230608883.83,18562176.35,199640086.15,12406621.24,469.596210759,2946.93956315,139118.88,6955.94,132162.94,0.0,0.183820835849,73200276.1,5622135.22,64786025.35,2792115.49,324.454443369,774.037742787,74436.5850809,3721.82711382,70714.7579671,0.0,0.19670939397,127560289.05,10024874.41,112875280.89,4660133.78,221.221775688,1587.133936,176248870.88,14159437.16,151550830.61,10538602.95,529.367102752,2133.84336994,1.07011478357,1.0,0,-1,1,0
5,CO,14744691.62,1457674.15,11445122.44,1841895.12,45.5387868852,67.9024262295,45.5387868852,202.331495681,72873.9318136,2.97973882402,4.44305853361,26973891.16,2612578.96,21088833.41,3272478.79,83.770295082,45.5387868852,385.073388214,70048.7023658,4.59677726857,8.45594304443,26973891.16,2612578.96,21088833.41,3272478.79,83.770295082,385.073388214,0.0,0.0,0.0,0.0,0.0,14744691.62,1457674.15,11445122.44,1841895.12,67.9024262295,202.331495681,0.0,0.0,0.0,0.0,0.0,22476748.72,2172834.01,17321037.71,2982877.06,45.5387868852,331.619279887,19241834.06,1897419.1,15212918.14,2131496.85,101.115147541,255.785604007,0.0,0.0,0,-1,0,0
6,CT,2121196.78,212119.7,1094443.05,814634.03,6.56212664277,7.00425328554,6.56212664277,26.195896776,80974.3906894,3.73999849921,3.9919828132,3029029.71,302902.96,1582027.47,1144099.28,12.8685065711,6.56212664277,36.0894519171,83931.1640686,2.80447864853,5.49965794349,3029029.71,302902.96,1582027.47,1144099.28,12.8685065711,36.0894519171,0.0,0.0,0.0,0.0,0.0,2121196.78,212119.7,1094443.05,814634.03,7.00425328554,26.195896776,0.0,0.0,0.0,0.0,0.0,2123513.64,212351.38,1095601.47,815560.79,6.56212664277,26.5468842522,3026712.85,302671.28,1580869.05,1143172.52,13.2485065711,35.7384644409,0.0,0.0,0,-1,0,1
7,FL,734482.11,73048.84,661433.26,0.0,1.28370707489,2.49482829954,1.28370707489,12.9395952791,56762.3711683,5.18656746096,10.0798659852,1337052.02,132768.1,1204283.93,0.0,1.36741414977,1.28370707489,24.3426119322,54926.3991771,17.8019306998,18.9627465708,1337052.02,132768.1,1204283.93,0.0,1.36741414977,24.3426119322,0.0,0.0,0.0,0.0,0.0,734482.11,73048.84,661433.26,0.0,2.49482829954,12.9395952791,0.0,0.0,0.0,0.0,0.0,1330706.08,132450.81,1198255.29,0.0,1.28370707489,24.3003346546,740828.05,73366.13,667461.9,0.0,2.57482829954,12.9818725566,0.0,0.0,0,-1,1,1
8,GA,1022700.6,98366.59,924295.8,38.21,2.84309536785,3.88619073569,2.84309536785,18.0199219279,56753.8862872,4.63691134931,6.33813488344,1215284.01,115408.01,1099821.58,54.42,4.65238147139,2.84309536785,18.9962130937,63975.0672412,4.08311597202,6.68152511118,1215284.01,115408.01,1099821.58,54.42,4.65238147139,18.9962130937,0.0,0.0,0.0,0.0,0.0,1022700.6,98366.59,924295.8,38.21,3.88619073569,18.0199219279,0.0,0.0,0.0,0.0,0.0,1039359.93,100032.52,939289.2,38.21,2.84309536785,17.6399037725,1198624.68,113742.08,1084828.18,54.42,5.69238147139,19.3762312492,0.0,0.0,0,-1,0,1
9,IA,5921090.55,588694.15,4424498.66,907897.76,38.0981380066,60.9011171961,38.0981380066,54.9806695497,107694.04226,0.902785894268,1.44313272056,15516676.88,1547034.84,11904816.61,2064825.43,76.4877108434,38.0981380066,256.729752693,60439.729783,3.35648367381,6.73864304467,15516676.88,1547034.84,11904816.61,2064825.43,76.4877108434,256.729752693,0.0,0.0,0.0,0.0,0.0,5921090.55,588694.15,4424498.66,907897.76,60.9011171961,54.9806695497,0.0,0.0,0.0,0.0,0.0,11072437.21,1103828.84,8430817.37,1537791.02,38.0981380066,188.184756553,10365330.22,1031900.15,7898497.9,1434932.17,91.5925520263,123.52566569,0.0,0.0,0,-1,1,0
