,district_postal_cd,methodology,value,cut,numbers
0,AK,min,total_cost,overall,36029241.43
1,AK,min,total_cost,wan,35149250.29
2,AK,max,total_cost,overall,489138313.4
3,AK,max,total_cost,wan,488225193.2
4,AK,az,total_cost,wan,480773545.4
5,AK,az_pop,total_cost,wan,42600898.04
6,AK,min,total_state_funding,overall,2522388.62
7,AK,min,total_state_funding,wan,2474504.927
8,AK,max,total_state_funding,overall,34736099.33
9,AK,max,total_state_funding,wan,34686412.96
10,AK,az,total_state_funding,wan,34180600.63
11,AK,az_pop,total_state_funding,wan,2980317.259
12,AK,min,total_erate_funding,overall,32949270.82
13,AK,min,total_erate_funding,wan,32117163.35
14,AK,max,total_erate_funding,overall,447582005.8
15,AK,max,total_erate_funding,wan,446718571.9
16,AK,az,total_erate_funding,wan,439802918.7
17,AK,az_pop,total_erate_funding,wan,39032816.52
18,AK,min,total_district_funding,overall,557582.0163
19,AK,min,total_district_funding,wan,557582.0163
20,AK,max,total_district_funding,overall,6820208.496
21,AK,max,total_district_funding,wan,6820208.496
22,AK,az,total_district_funding,wan,6790026.159
23,AK,az_pop,total_district_funding,wan,587764.3524
24,AK,min,build_distance,overall,462.4072827
25,AK,min,build_distance,wan,447.4183866
26,AK,max,build_distance,overall,8911.525139
27,AK,max,build_distance,wan,8895.971955
28,AK,az,build_distance,wan,8622.034497
29,AK,az_pop,build_distance,wan,721.3558449
30,AK,min,total_cost_per_mile,overall,77916.6825
31,AK,max,total_cost_per_mile,overall,54888.28295
32,AK,min,miles_per_build,overall,1.927611577
33,AK,max,miles_per_build,overall,38.71008764
34,AK,min,builds,overall,239.8861307
35,AK,min,builds,wan,235.6147739
36,AK,min,builds,ia,4.271356784
37,AK,max,builds,overall,230.2119598
38,AK,max,builds,wan,225.779799
39,AK,max,builds,ia,4.432160804
40,AK,az,builds,wan,147.718191
41,AK,az_pop,builds,wan,307.5963819
42,AL,min,total_cost,overall,2961102.189
43,AL,min,total_cost,wan,2961102.189
44,AL,max,total_cost,overall,8365322.426
45,AL,max,total_cost,wan,8365322.426
46,AL,az,total_cost,wan,8157461.428
47,AL,az_pop,total_cost,wan,3168963.188
48,AL,min,total_state_funding,overall,282226.7966
49,AL,min,total_state_funding,wan,282226.7966
50,AL,max,total_state_funding,overall,793287.5599
51,AL,max,total_state_funding,wan,793287.5599
52,AL,az,total_state_funding,wan,778766.761
53,AL,az_pop,total_state_funding,wan,296747.5955
54,AL,min,total_erate_funding,overall,2677637.388
55,AL,min,total_erate_funding,wan,2677637.388
56,AL,max,total_erate_funding,overall,7569407.483
57,AL,max,total_erate_funding,wan,7569407.483
58,AL,az,total_erate_funding,wan,7377456.641
59,AL,az_pop,total_erate_funding,wan,2869588.23
60,AL,min,total_district_funding,overall,1237.993943
61,AL,min,total_district_funding,wan,1237.993943
62,AL,max,total_district_funding,overall,2627.383055
63,AL,max,total_district_funding,wan,2627.383055
64,AL,az,total_district_funding,wan,1237.993943
65,AL,az_pop,total_district_funding,wan,2627.383055
66,AL,min,build_distance,overall,42.59157218
67,AL,min,build_distance,wan,42.59157218
68,AL,max,build_distance,overall,147.9643458
69,AL,max,build_distance,wan,147.9643458
70,AL,az,build_distance,wan,145.8895826
71,AL,az_pop,build_distance,wan,44.66633534
72,AL,min,total_cost_per_mile,overall,69523.19525
73,AL,max,total_cost_per_mile,overall,56536.06876
74,AL,min,miles_per_build,overall,2.449181075
75,AL,max,miles_per_build,overall,12.28678674
76,AL,min,builds,overall,17.39012792
77,AL,min,builds,wan,17.39012792
78,AL,min,builds,ia,0
79,AL,max,builds,overall,12.04255831
80,AL,max,builds,wan,12.04255831
81,AL,max,builds,ia,0
82,AL,az,builds,wan,9.81089541
83,AL,az_pop,builds,wan,19.62179082
84,AR,min,total_cost,overall,3791658.749
85,AR,min,total_cost,wan,3706166.568
86,AR,max,total_cost,overall,12281070.32
87,AR,max,total_cost,wan,12123213.56
88,AR,az,total_cost,wan,8387464.028
89,AR,az_pop,total_cost,wan,7441916.104
90,AR,min,total_state_funding,overall,298598.3022
91,AR,min,total_state_funding,wan,294323.6966
92,AR,max,total_state_funding,overall,966558.8007
93,AR,max,total_state_funding,wan,958665.9693
94,AR,az,total_state_funding,wan,682037.8881
95,AR,az_pop,total_state_funding,wan,570951.7778
96,AR,min,total_erate_funding,overall,3481744.353
97,AR,min,total_erate_funding,wan,3400526.789
98,AR,max,total_erate_funding,overall,11221358.27
99,AR,max,total_erate_funding,wan,11071394.37
100,AR,az,total_erate_funding,wan,7694109.98
101,AR,az_pop,total_erate_funding,wan,6777811.179
102,AR,min,total_district_funding,overall,11316.1725
103,AR,min,total_district_funding,wan,11316.1725
104,AR,max,total_district_funding,overall,93153.23599
105,AR,max,total_district_funding,wan,93153.23599
106,AR,az,total_district_funding,wan,11316.1725
107,AR,az_pop,total_district_funding,wan,93153.23599
108,AR,min,build_distance,overall,33.58836147
109,AR,min,build_distance,wan,33.08703368
110,AR,max,build_distance,overall,211.3346486
111,AR,max,build_distance,wan,210.8517706
112,AR,az,build_distance,wan,150.1347139
113,AR,az_pop,build_distance,wan,93.80409043
114,AR,min,total_cost_per_mile,overall,112886.0886
115,AR,max,total_cost_per_mile,overall,58111.95846
116,AR,min,miles_per_build,overall,0.598795406
117,AR,max,miles_per_build,overall,2.918945151
118,AR,min,builds,overall,56.09321839
119,AR,min,builds,wan,54.96103448
120,AR,min,builds,ia,1.132183908
121,AR,max,builds,overall,72.40103448
122,AR,max,builds,wan,71.31051724
123,AR,max,builds,ia,1.090517241
124,AR,az,builds,wan,31.71051724
125,AR,az_pop,builds,wan,84.18103448
126,AZ,min,total_cost,overall,76677795.46
127,AZ,min,total_cost,wan,71426744.1
128,AZ,max,total_cost,overall,313408501.7
129,AZ,max,total_cost,wan,306932439.1
130,AZ,az,total_cost,wan,219888724.8
131,AZ,az_pop,total_cost,wan,158470458.4
132,AZ,min,total_state_funding,overall,6085109.456
