frn_complete,false,plf
1699000508.0010002,0.8794500,0.1205500
1699011976.0010002,0.9826821,0.0173179
1699011976.0029998,0.9662723,0.0337277
1699011976.0039999,0.9826821,0.0173179
1699024367.0010002,0.9869118,0.0130882
1699024367.0029998,0.9867328,0.0132672
1699024367.0039999,0.9777594,0.0222406
1699011976.0020001,0.7975344,0.2024656
1699011976.0050001,0.9826821,0.0173179
1699011976.0060000,0.9847585,0.0152415
1699011321.0029998,0.9794551,0.0205449
1699004807.0010002,0.9910757,0.0089243
1699014224.0020001,0.9992336,0.0007664
1699014228.0020001,0.9992341,0.0007659
1699011321.0050001,0.6494161,0.3505839
1699014207.0010002,0.0262056,0.9737944
1699033585.0010002,0.0657777,0.9342223
1699074742.0010002,0.0345142,0.9654858
1699012934.0020001,0.0212123,0.9787877
1699012934.0029998,0.0212123,0.9787877
1699012934.0039999,0.0212123,0.9787877
1699012934.0050001,0.0212123,0.9787877
1699012934.0060000,0.0212123,0.9787877
1699012934.0070002,0.0212123,0.9787877
1699012934.0079999,0.0212123,0.9787877
1699013049.0010002,0.0336446,0.9663554
1699013060.0010002,0.0341325,0.9658675
1699013286.0010002,0.9992424,0.0007576
1699015320.0010002,0.9918425,0.0081575
1699015320.0020001,0.9918425,0.0081575
1699015320.0029998,0.9918425,0.0081575
1699015320.0039999,0.9918425,0.0081575
1699015320.0050001,0.9918425,0.0081575
1699015320.0060000,0.9918425,0.0081575
1699015320.0070002,0.9918425,0.0081575
1699015320.0079999,0.9918425,0.0081575
1699015320.0089998,0.9918425,0.0081575
1699015320.0160000,0.0582729,0.9417271
1699022176.0020001,0.9990100,0.0009900
1699049209.0010002,0.9925920,0.0074080
1699025039.0010002,0.7122347,0.2877653
1699067641.0010002,0.9890053,0.0109947
1699028893.0010002,0.0264217,0.9735783
1699028893.0029998,0.9901138,0.0098862
1699028893.0039999,0.9867328,0.0132672
1699028893.0050001,0.1205459,0.8794541
1699028893.0060000,0.9867328,0.0132672
1699028893.0070002,0.9869118,0.0130882
1699032094.0010002,0.9992447,0.0007553
1699032185.0010002,0.9992241,0.0007759
1699028068.0020001,0.9992241,0.0007759
1699028068.0029998,0.9992289,0.0007711
1699028893.0089998,0.9869118,0.0130882
1699028893.0100000,0.9867328,0.0132672
1699033136.0010002,0.9861301,0.0138699
1699033618.0010002,0.9927270,0.0072730
1699052164.0010002,0.0336446,0.9663554
1699036854.0010002,0.0213674,0.9786326
1699036854.0020001,0.0213674,0.9786326
1699036854.0029998,0.0213674,0.9786326
1699036854.0039999,0.0217796,0.9782204
1699036854.0050001,0.0217796,0.9782204
1699036854.0060000,0.0215766,0.9784234
1699036887.0010002,0.0217882,0.9782118
1699036887.0029998,0.0213674,0.9786326
1699036887.0039999,0.9851826,0.0148174
1699036887.0060000,0.9815126,0.0184874
1699036887.0089998,0.0222004,0.9777996
1699036887.0100000,0.0222004,0.9777996
1699036932.0010002,0.0468155,0.9531845
1699036938.0010002,0.9929096,0.0070904
1699036951.0010002,0.9856973,0.0143027
1699036951.0020001,0.9701115,0.0298885
1699038802.0020001,0.2983750,0.7016250
1699038802.0029998,0.9378381,0.0621619
1699038802.0039999,0.9378381,0.0621619
1699038802.0050001,0.9824696,0.0175304
1699038802.0060000,0.9824696,0.0175304
1699038802.0070002,0.9824696,0.0175304
1699039817.0010002,0.0341325,0.9658675
1699039817.0020001,0.0382182,0.9617818
1699039817.0029998,0.0386617,0.9613383
1699039817.0039999,0.0500922,0.9499078
1699044516.0010002,0.0233634,0.9766366
1699042653.0010002,0.0337272,0.9662728
1699049288.0010002,0.0268048,0.9731952
1699049288.0020001,0.0268048,0.9731952
1699049303.0010002,0.0360500,0.9639500
1699049645.0010002,0.0393941,0.9606059
1699049645.0029998,0.9968734,0.0031266
1699049790.0010002,0.9992372,0.0007628
1699049272.0020001,0.9967169,0.0032831
1699049821.0010002,0.9992447,0.0007553
1699049836.0010002,0.9742426,0.0257574
1699054569.0010002,0.0977605,0.9022395
1699054570.0010002,0.0526643,0.9473357
1699054570.0020001,0.0438324,0.9561676
1699058375.0010002,0.9912092,0.0087908
1699059186.0010002,0.0220432,0.9779568
1699059188.0010002,0.9830318,0.0169682
1699059190.0010002,0.0225244,0.9774756
1699058280.0010002,0.9309033,0.0690967
1699097020.0010002,0.0212123,0.9787877
1699061020.0010002,0.9853269,0.0146731
1699061068.0010002,0.9836738,0.0163262
1699067213.0010002,0.9992377,0.0007623
1699063316.0010002,0.6943471,0.3056529
1699111637.0010002,0.0387873,0.9612127
1699067329.0010002,0.9992447,0.0007553
1699071286.0010002,0.9927414,0.0072586
1699067585.0010002,0.9935150,0.0064850
1699098725.0010002,0.0384715,0.9615285
1699098725.0020001,0.9918778,0.0081222
1699098725.0029998,0.9918114,0.0081886
1699098725.0039999,0.9914664,0.0085336
