ID,esh_id,name,postal_cd,geometry,index_right,CD115FP,STATEFP,State and Rep District,KEEP?
777,882794,KUSPUK SCHOOL DISTRICT,AK,POINT (-159.5454 61.5833),216,0,2,AK - 0,no
794,882695,LAKE AND PENINSULA BOROUGH SCHOOL DISTRICT,AK,POINT (-156.6666 58.7028),216,0,2,AK - 0,no
1060,882771,SKAGWAY SCHOOL DISTRICT,AK,POINT (-135.307 59.4626),216,0,2,AK - 0,no
1116,882595,BRISTOL BAY BOROUGH SCHOOL DISTRICT,AK,POINT (-157.0046 58.7333),216,0,2,AK - 0,no
1466,882674,KAKE CITY SCHOOL DISTRICT,AK,POINT (-133.9467 56.9756),216,0,2,AK - 0,no
1936,882783,TANANA CITY SCHOOL DISTRICT,AK,POINT (-152.0901 65.1712),216,0,2,AK - 0,no
2516,882613,CRAIG CITY SCHOOL DISTRICT,AK,POINT (-133.1359 55.4768),216,0,2,AK - 0,no
2993,882767,SAINT MARY'S SCHOOL DISTRICT,AK,POINT (-163.1801 62.0514),216,0,2,AK - 0,no
3069,882787,UNALASKA CITY SCHOOL DISTRICT,AK,POINT (-166.5249 53.8731),216,0,2,AK - 0,no
3341,882538,LOWER YUKON SCHOOL DISTRICT,AK,POINT (-163.8714 62.1695),216,0,2,AK - 0,no
3449,882637,KETCHIKAN GATEWAY BOROUGH SCHOOL DISTRICT,AK,POINT (-131.6774 55.3527),216,0,2,AK - 0,no
4030,882543,YUPIIT SCHOOL DISTRICT,AK,POINT (-161.4205 60.9001),216,0,2,AK - 0,no
4664,882747,NORTHWEST ARCTIC BOROUGH SCHOOL DISTRICT,AK,POINT (-162.5824 66.9014),216,0,2,AK - 0,no
4708,882691,KODIAK ISLAND BOROUGH SCHOOL DISTRICT,AK,POINT (-152.3982 57.7933),216,0,2,AK - 0,no
5267,882721,ANNETTE ISLAND SCHOOL DISTRICT,AK,POINT (-131.575 55.1287),216,0,2,AK - 0,no
5360,882653,SITKA SCHOOL DISTRICT,AK,POINT (-135.3529 57.0644),216,0,2,AK - 0,no
5443,882816,WRANGELL PUBLIC SCHOOL DISTRICT,AK,POINT (-132.3756 56.4726),216,0,2,AK - 0,no
5509,882680,KENAI PENINSULA BOROUGH SCHOOL DISTRICT,AK,POINT (-151.0723 60.49),216,0,2,AK - 0,no
5576,882618,DELTA-GREELY SCHOOL DISTRICT,AK,POINT (-145.7132 64.04349999999999),216,0,2,AK - 0,no
5647,882737,FAIRBANKS NORTH STAR BOROUGH SCHOOL DISTRICT,AK,POINT (-147.7176 64.842),216,0,2,AK - 0,no
6381,882752,PELICAN CITY SCHOOL DISTRICT,AK,POINT (-136.222 57.9572),216,0,2,AK - 0,no
6733,882705,IDITAROD AREA SCHOOL DISTRICT,AK,POINT (-155.5853 62.9485),216,0,2,AK - 0,no
6794,882642,ANCHORAGE SCHOOL DISTRICT,AK,POINT (-149.7759 61.1951),216,0,2,AK - 0,no
6973,882576,ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,AK,POINT (-160.6714 55.2999),216,0,2,AK - 0,no
7810,882802,YUKON FLATS SCHOOL DISTRICT,AK,POINT (-145.2549 66.5645),216,0,2,AK - 0,no
8221,882632,GALENA CITY SCHOOL DISTRICT,AK,POINT (-156.8724 64.748),216,0,2,AK - 0,no
8444,882797,DENALI BOROUGH SCHOOL DISTRICT,AK,POINT (-149.0203 63.8735),216,0,2,AK - 0,no
9246,882775,SOUTHEAST ISLAND SCHOOL DISTRICT,AK,POINT (-132.5266 55.7017),216,0,2,AK - 0,no
9743,882686,KLAWOCK CITY SCHOOL DISTRICT,AK,POINT (-133.0989 55.5528),216,0,2,AK - 0,no
9771,882669,HYDABURG CITY SCHOOL DISTRICT,AK,POINT (-132.8255 55.20399999999999),216,0,2,AK - 0,no
10209,882587,BERING STRAIT SCHOOL DISTRICT,AK,POINT (-160.7892 63.875),216,0,2,AK - 0,no
10526,882732,NOME PUBLIC SCHOOLS,AK,POINT (-165.4138 64.4987),216,0,2,AK - 0,no
10728,882581,ALEUTIAN REGION SCHOOL DISTRICT,AK,POINT (-149.882 61.1736),216,0,2,AK - 0,no
10767,882604,CORDOVA CITY SCHOOL DISTRICT,AK,POINT (-145.7571 60.5448),216,0,2,AK - 0,no
10782,882811,CHUGACH SCHOOL DISTRICT,AK,POINT (-149.8478 61.1366),216,0,2,AK - 0,no
10843,882658,HAINES BOROUGH SCHOOL DISTRICT,AK,POINT (-135.454 59.2342),216,0,2,AK - 0,no
