Applicant Name,Date Screened by Fiber Consultant ,State,Applicant Type,Address ,FCC Form 470 Number,Lit/Dark/Self,Estimated Special construction ,Odds,Num,Overview,Interactions with USAC 
Cordova City Consortium,3/31/17,AK,Consortium,"675 Second StCordova, AK 99574",170074690,"Self Provisoning, Transport Only-No ISP Service Included (100 mbps-1G), Leased Lit Fiber (100 mbps-1G), Leased Dark Fiber, Category1 Network Equipment, Bundled (DIA) (10-100 mbps)","$300,000.00",Likely,3,3 Location WAN ,3/31 - suggested some language tweak to the self provisioning specification
YAVAPAI COUNTY EDUCATIONAL TECHNOLOGY CONSORTIUM,1/10/17,AZ,Consortium,"2970 CENTERPOINTE EAST DRIVEPRESCOTT, YAVAPAI, AZ 86301",170058737,"Self Provisioning, Transport Only-NO ISP Service Included (50 mbps-25G), Leased Dark Fiber, Leased Lit Fiber (50 mbps-25G), Bundled (DIA) (50 mbps-25G), ISP (50 mbps-25G), Category1 Network Equipment, Dark Fiber Maintenance and Operations ","$7,200,000.00",Likely ,144,144 location tribal consortium ,1/10-assisted with filing after first filing did not bid correct options 
YAVAPAI COUNTY EDUCATIONAL TECHNOLOGY CONSORTIUM,12/19/16,AZ,Consortium,"2970 CENTERPOINTE EAST DRIVEPRESCOTT, YAVAPAI, AZ 86301",170051761,"Leased dark fiber, leased lit fiber (50 mbps-25G), self provisioning, Transport Only-No ISP Service Included  (50 mbps-25G); category 1 network equipment ","$4,000,000.00",Likely,,70 district hub locations back to a regional hub ,"12/19-confirmed receipt, sent tips for competitive bid phase from lessons learned"
NavApache Superintendents Association,3/23/17,AZ,Consortium,"8176 North WestoverJoseph City, Navajo, AZ 86032",170074827,"Self Provisioning, Transport Only-NO ISP Service Included (50 mbps-25G), Leased Dark Fiber, Leased Lit Fiber (50 mbps-25G), Bundled (DIA) (50 mbps-25G), ISP (50 mbps-25G), Category1 Network Equipment, Dark Fiber Maintenance and Operations ","$2,400,000.00",Likely ,80,80 tribal location WAN ,3/23-worked with applicant before filing.
CENIC-CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA,3/8/17,CA,Consortium,"16700 VALLEY VIEW AVENUE, SUITE 400LA MIRADA, ORANGE, CA 90638",170070536,"Leased Dark Fiber, Leased Lit Fiber (10 mbps-10G), Transport Only-No ISP Service Included (10 mbps-10G)","$75,000.00",Likely,3,3 library locations to hubs,3/8 confirmed receipt 
Santa Clara County E-Rate Consortium,3/31/17,CA,Consortium,"1290 Ridder Park Drive, MC253San Jose, Santa Clara, CA 95131-2304",170077247,"Leased Dark Fiber, Leased Lit Fiber (10-25G), Category1 network equipment ",$0.00,Likely,,546 location WAN - with lots of existing dark fiber,3/31 confirmed receipt 
"Sonoma County Office of Education, Schools ConnectConsortium",2/16/17,CA,Consortium,"5340 Skylane BoulevardSanta Rosa, CA 95403",170066322,"Leased Dark Fiber, Leased Lit Fiber (1-10G), Category 1 network equipment ","$2,500,000.00",Likely ,,82 locations back to a hub for the region ,2/16 Confirmed receipt; asked about strand count.
EAST CENTRAL BOCES,4/5/17,CO,Consortium,"820 2ND STLIMON, LINCOLN, CO 80828",170078938,"Self Provisioning, Leased Dark Fibr, Leased Lit Fiber (200 mbps-10G), Transport Only-No ISP Service Inlcuded (500 mbps-10G), Bundled (DIA) (500 mbps-5G), Category 1 Network Equipment ","$900,000.00",Likely,18,18 location WAN ,4/5 suggested adding Transport language 
NORTHEAST COLORADO BOCES,1/14/17,CO,Consortium,"301 WEST POWELLHAXTUN, PHILLIPS, CO 80731",170059729,"Self Provisioning, Internet Access:  Bundled Transport Only-No ISP Service Included  and Access  (25 mbps-2G), Leased Lit Service (100 mbps-25G), leased dark fiber, Transport Only-No ISP Service Included  (25 mbps-25G), Category1 network equipment ","$1,200,000.00",Likely,27,27 sites in 17 districts - WAN and Hub to PoP connections ,12/21- did not bid Transport Only-No ISP Service Included  option with self provisioning; and did not bid equipment; 1/3 Refiled with both options;  1/14 Refiled with Category1 network equipment; 1/17 Refiled again
Connecticut Libraries Fiber Consortium ,12/15/16,CT ,Consortium,"231 CAPITOL AVEHARTFORD, HARTFORD, CT 06106",170054771,"Leased Dark fiber, Leased lit fiber, Self provisioning, Transport Only-No ISP Service Included  ","$500,000.00",Likely,256,256 Library Locations ,12/10 repeat bidder from FY16- did not correctly do competitive bid analysis last year.  Have been counseled on the correct methodology and will contrinue to help them. 12/15 filed correctly with respect to gudiance on Transport Only-No ISP Service Included  
State of Delaware-OIS-OTM,4/1/17,DE,Consortium,"801 Silver Lake BlvdDover, DE 19904",170077152,"Leased Dark Fiber, Leased Lit Fiber (1-10G)","$2,000,000.00",Likely,252,252 sites to PoPs in a statewide bid,4/1-confirmed receipt -- there is existing fiber to most sites.  Anticipate Special Construction figure will be less
State of Delaware-OIS-OTM,4/1/17,DE,Consortium,"801 Silver Lake BlvdDover, DE 19904",170077155,Category 1 Network Equipment,$0.00,Likely,,252 sites to PoPs in a statewide bid,4/1-confirmed receipt.  This is affiliated with FCC Form 470 170077152
State of Delaware-OIS-OTM,4/10/17,DE,Consortium,"801 Silver Lake BlvdDover, DE 19904",170080767,Category 1 Network Equipment,$0.00,Likely,,Statewide network switch upgrade ,4/10 confirmed receipt 
Dwight SD Consortium,4/13/17,IL,Consortium,"801 S FRANKLIN STDWIGHT, IL 60420-1339",170082332,Category 1 Network Equipment,$0.00,Likely,2,2 location consortium,4/13-confirmed receipt 
"OAISD Consortium	",3/28/17,MI,Consortium,"13565 Port Sheldon StreetHolland, Holland, MI 49424",170075539,"Leased Dark Fiber, Leased Lit Fiber (1-10G), ISP (2-10G)","$150,000.00",Likely,3,3 Locations to a regional hub ,3/28 confirmed receipt 
Oakland Network for Education Consortium,3/25/17,MI,Consortium,"2111 Pontiac Lake RdWaterford, Oakland, MI 48328",170075261,Fiber Maintenance and Operations ,$0.00,Likely,,324 location self provisioned existing network ,3/25-confirmed receipt 
Berrien RESA,1/5/17,MI,Consortium,"711 Saint Joseph Ave., PO Box 364Berrien Springs, MI 49103",170058003,"Transport Only-No ISP Service Included  (1.5-100 mbps), Leased Lit Fiber (100 - 2G), ISP (750 mbps-2G)","$300,000.00",Unlikely,,42 locations consortium in SW Michigan,1/5 - applicant did not bid correct FCC Form 470 options to consider leased dark fiber - but mention it in the RFP.  Guidance given on re-filing if leased dark fiber is truly being considered.
LITES Consortium,1/14/17,MI,Consortium,"1996 W. Oregon St.Lapeer, MI 48446",170059639,"Self Provisoning, Category1 network equipment ",$0.00,Likely,,Cosortium bid for needed equipment ,1/14 applicant needs to remove the self provisioning option.
Oakland Network for Education Consortium,2/15/17,MI,Consortium,"2111 Pontiac Lake RdWaterford, Oakland, MI 48328",170062794,Fiber Maintenance and Operations ,$0.00,Likely,,Maitenance of existing regional fiber network.  Network serves 324 entities.,2/15-Confirmed receipt 
