bigram,count
"('frn', 'denied')",1644
"('voice', 'services')",1411
"('fcc', 'form')",1125
"('funding', 'year')",876
"('form', '470')",812
"('provided', 'sufficient')",742
"('sufficient', 'documentation')",741
"('fcc', 'order')",740
"('order', '14')",740
"('14', '99')",740
"('applicant', 'provided')",738
"('documentation', 'needed')",736
"('determine', 'eligibility')",730
"('needed', 'determine')",729
"('competitive', 'bidding')",723
"('eligibility', 'following')",702
"('following', 'item')",697
"('program', 'rules')",696
"('dr1', 'applicant')",690
"('service', 'type')",689
"('according', 'fcc')",658
"('0', 'frn')",650
"('year', '2015')",650
"('support', 'beginning')",650
"('99', 'voice')",650
"('beginning', 'funding')",650
"('phase', 'support')",650
"('services', 'subject')",650
"('subject', 'phase')",649
"('discount', 'rate')",647
"('reduced', 'discount')",644
"('frn’s', 'reduced')",644
"('rate', '0')",644
"('therefore', 'frn’s')",644
"('2015', 'therefore')",644
"('type', 'frn')",641
"('services', 'according')",639
"('frn', 'voice')",637
"('dr1', 'service')",623
"('products', 'services')",602
"('dr1', 'frn')",595
"('rules', 'require')",543
"('fcc', 'rules')",505
"('service', 'provider')",505
"('bidding', 'process')",473
"('cost', 'effective')",440
"('documentation', 'provided')",364
"('services', 'requested')",362
"('form', '471')",349
"('funding', 'request')",296
"('prospective', 'bidders')",294
"('vendor', 'documentation')",279
"('therefore', 'frn')",264
"('dr1', 'fcc')",262
"('agree', 'applicant')",252
"('applicant', 'documentation')",250
"('data', 'plans')",245
"('item', 'vendor')",244
"('schools', 'libraries')",231
"('denied', 'mr1')",229
"('specific', 'services')",220
"('chooses', 'service')",214
"('month', 'month')",211
"('applicant', 'failed')",210
"('dark', 'fiber')",203
"('per', 'month')",203
"('require', 'applicants')",197
"('denied', 'applicant')",194
"('individual', 'data')",191
"('frn', 'modified')",188
"('based', 'program')",184
"('eligible', 'support')",184
"('information', 'request')",170
"('470', 'rfp')",170
"('bid', 'evaluation')",170
"('bona', 'fide')",168
"('universal', 'service')",167
"('failed', 'respond')",166
"('failed', 'provide')",164
"('requested', 'frn')",161
"('denied', 'dr2')",160
"('denied', 'since')",158
"('mr1', 'frn')",157
"('e', 'rate')",155
"('must', 'denied')",152
"('frn', 'must')",151
"('competitive', 'bid')",148
"('rfp', 'used')",148
"('requirement', 'frn')",145
"('provide', 'accurate')",144
"('support', 'eligible')",144
"('470', '160029101')",144
"('provide', 'bona')",144
"('accurate', 'bids')",144
"('current', 'needs')",144
"('pertinent', 'information')",144
"('defining', 'specific')",143
"('entity', 'applicants')",143
"('applicant', 'chooses')",143
"('services', 'eligible')",143
"('require', 'competitive')",143
"('provider', 'defining')",143
"('eligible', 'entity')",143
"('process', 'applicant')",143
"('lower', 'prices')",142
"('within', 'frn')",140
"('service', 'within')",139
"('requesting', 'service')",138
"('eligible', 'products')",136
"('fall', 'authority')",135
"('entities', 'fall')",135
"('request', 'products')",135
"('denied', 'request')",135
"('services', 'entities')",135
"('effective', 'option')",134
"('services', 'funding')",133
"('service', 'providers')",131
"('month', 'services')",128
"('tariff', 'month')",127
"('includes', 'request')",127
"('entities', 'requesting')",126
"('selective', 'review')",126
"('provide', 'documentation')",125
"('denied', 'entities')",125
"('thirty', 'percent')",125
"('met', 'program')",125
"('percent', 'frn')",125
"('entity', 'met')",125
"('determine', 'entity')",125
"('requested', 'tariff')",124
"('since', 'services')",123
"('review', 'information')",122
"('potential', 'bidders')",120
"('documentation', 'determine')",116
"('network', 'equipment')",116
"('request', 'provide')",115
"('asked', 'provide')",114
"('respond', 'administrator')",114
"('frn', 'therefore')",113
"('dr2', 'fcc')",112
"('product', 'service')",110
"('frn', 'includes')",109
"('internet', 'access')",107
"('requested', 'fcc')",105
"('request', 'services')",105
"('dr1', 'thirty')",105
"('plans', 'air')",105
"('air', 'cards')",105
"('price', 'eligible')",104
"('evaluation', 'factor')",104
"('fiber', 'solution')",104
"('unless', 'applicants')",102
"('area', 'network')",102
"('network', 'physically')",102
"('wireless', 'local')",102
"('ineligible', 'unless')",102
"('installing', 'wireless')",102
"('possible', 'individual')",102
"('local', 'area')",102
"('plans', 'cost')",102
"('either', 'installing')",102
"('demonstrate', 'either')",102
"('applicants', 'demonstrate')",102
"('physically', 'possible')",102
"('470', 'must')",101
"('respond', 'fcc')",101
"('cards', 'ineligible')",101
"('16049708', 'uncommon')",100
"('authority', '16049708')",100
"('require', 'order')",100
"('uncommon', 'schools')",100
"('legally', 'binding')",99
"('binding', 'agreement')",99
"('bidding', 'fcc')",97
"('bidding', 'program')",96
"('ineligible', 'service')",96
"('fy2016', 'fcc')",96
"('fide', 'request')",96
"('requested', 'ineligible')",96
"('rules', 'competitive')",96
"('service', 'fund')",95
"('amount', 'funding')",95
"('request', 'changed')",95
"('receive', 'universal')",95
"('471', 'certifications')",95
"('fund', 'support')",95
"('new', 'frn')",94
"('violated', 'competitive')",92
"('rules', 'prohibit')",91
"('year', 'frn')",91
"('usac', 'funding')",91
"('location', 'funding')",91
"('cost', 'effectiveness')",91
"('current', 'year')",91
"('services', 'location')",91
"('prohibit', 'usac')",91
"('denied', 'funding')",91
"('funding', 'products')",90
"('frn', 'program')",90
"('per', 'fcc')",90
"('frn', 'line')",90
"('request', 'duplicative')",90
"('funding', 'denied')",89
"('99', 'individual')",89
"('available', 'potential')",89
"('option', 'demonstrated')",88
"('two', 'requirements')",88
"('applies', 'services')",88
"('price', 'primary')",88
"('providers', 'evaluate')",88
"('duplicative', 'current')",88
"('either', 'two')",88
"('libraries', 'nifs')",88
"('requirements', 'applies')",88
"('eligible', 'schools')",88
"('demonstrated', 'either')",88
"('ineligible', 'product')",87
"('service', 'based')",86
"('voice', 'service')",85
"('long', 'distance')",84
"('fair', 'open')",84
"('select', 'cost')",84
"('remove', 'ineligible')",84
"('lit', 'fiber')",83
"('failed', 'demonstrate')",83
"('documentation', 'mr2')",83
"('since', 'failed')",83
"('open', 'competitive')",83
"('connected', 'eligible')",82
"('request', 'denied')",82
"('referenced', 'fcc')",82
"('use', 'based')",79
"('ineligible', 'use')",79
"('modified', '1')",79
"('since', 'requirement')",79
"('funding', 'requests')",78
"('services', 'seek')",77
"('complete', 'description')",77
"('met', 'frn')",77
"('description', 'services')",77
"('posted', 'competing')",77
"('seek', 'may')",77
"('may', 'posted')",77
"('requirement', 'met')",77
"('applicant’s', 'fcc')",77
"('support', 'services')",76
"('review', 'member')",76
"('applicants', 'required')",75
"('based', 'review')",74
"('since', 'meet')",74
"('ysleta', 'order')",74
"('dr1', 'per')",74
"('471', 'certification')",74
"('winning', 'bid')",74
"('schools', 'receive')",73
"('secondary', 'schools')",73
"('years', 'ago')",73
"('potential', 'providers')",73
"('bids', 'fcc')",73
"('met', 'requirement')",73
"('definition', 'elementary')",73
"('dr1', 'documentation')",73
"('elementary', 'secondary')",73
"('statutory', 'definition')",73
"('meet', 'statutory')",73
"('services', 'order')",72
"('services', 'required')",72
"('detail', 'specific')",72
"('violated', 'fcc’s')",72
"('accountability', 'part')",72
"('accurate', 'proposal')",72
"('accurate', 'valid')",72
"('services', 'sought')",72
"('ago', 'changes')",72
"('“', '1')",72
"('160029101', 'failed')",72
"('determined', 'violated')",72
"('“intended', 'require')",72
"('services', 'occurred')",72
"('service', 'order')",72
"('elaborated', 'meaning')",72
"('effectively', 'discounted')",72
"('”', 'therefore')",72
"('”', 'however')",72
"('dr2', 'frn')",72
"('necessary', 'use')",72
"('service', 'potential')",72
"('“bona', 'fide”')",72
"('services', 'bidders')",72
"('services', 'current')",72
"('“was', 'created')",72
"('services', 'mtm')",72
