,bigram,count,phrase_array,category_arrays
0,"('frn', 'denied')",1644,frn denied,"['Competitive Bidding Violation', 'Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation - price not primary factor', 'Voice - no discount remaining', 'Duplicate FRN', 'Competitive Bidding Violation - specified vendor in 470', 'No signed contract in place', 'Competitive Bidding Violation - 28 day failure', 'Fiber review failure', '470 / 471 Mismatch', 'Missing documentation to determin competitive bidding', 'Missing documentation needed to determine eligible service', 'Category 2 budget exceeded', 'c']"
1,"('voice', 'services')",1411,voice services,"['Voice - no discount remaining', 'Competitive Bidding Violation', 'No signed contract in place', 'Missing documentation needed to determine eligible service']"
2,"('fcc', 'form')",1125,fcc form,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Ineligible Service', 'No signed contract in place', 'No 470', 'Competitive Bidding Violation - 28 day failure', 'Missing documentation to determin competitive bidding', 'Missing documentation needed to determine eligible service', 'Competitive Bidding Violation - price not primary factor']"
3,"('funding', 'year')",876,funding year,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Voice - no discount remaining', 'Duplicate FRN', 'No signed contract in place', 'No 470']"
4,"('form', '470')",812,form 470,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Missing form 470', 'Ineligible Service', 'No 470', 'Competitive Bidding Violation - 28 day failure', 'Missing documentation to determin competitive bidding', 'Missing documentation needed to determine eligible service', 'Competitive Bidding Violation - price not primary factor']"
5,"('provided', 'sufficient')",742,provided sufficient,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service']"
6,"('sufficient', 'documentation')",741,sufficient documentation,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service']"
7,"('fcc', 'order')",740,fcc order,"['470 / 471 Mismatch', 'Voice - no discount remaining', 'Ineligible Service']"
8,"('order', '14')",740,order 14,"['470 / 471 Mismatch', 'Voice - no discount remaining', 'Ineligible Service']"
9,"('14', '99')",740,14 99,"['Voice - no discount remaining', 'Ineligible Service']"
10,"('applicant', 'provided')",738,applicant provided,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service']"
11,"('documentation', 'needed')",736,documentation needed,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service']"
12,"('determine', 'eligibility')",730,determine eligibility,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'Fiber review failure', 'No signed contract in place', 'Missing documentation needed to determine eligible service']"
13,"('needed', 'determine')",729,needed determine,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service']"
14,"('competitive', 'bidding')",723,competitive bidding,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Ineligible Service', '470 / 471 Mismatch', 'Missing documentation to determin competitive bidding']"
15,"('eligibility', 'following')",702,eligibility following,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service']"
16,"('following', 'item')",697,following item,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service']"
17,"('program', 'rules')",696,program rules,"['Ineligible Service', 'Competitive Bidding Violation', '470 / 471 Mismatch', 'Voice - no discount remaining', 'Duplicate FRN', 'Competitive Bidding Violation - price not primary factor', 'Applicant ineligible', 'Missing documentation to determin competitive bidding', 'Missing documentation needed to determine eligible service', 'Fiber review failure']"
18,"('dr1', 'applicant')",690,dr1 applicant,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service']"
19,"('service', 'type')",689,service type,"['Voice - no discount remaining', 'Ineligible Service', 'Competitive Bidding Violation', '470 / 471 Mismatch']"
20,"('according', 'fcc')",658,according fcc,"['Voice - no discount remaining', 'Competitive Bidding Violation - specified vendor in 470']"
21,"('0', 'frn')",650,0 frn,"['Voice - no discount remaining', 'Competitive Bidding Violation']"
22,"('year', '2015')",650,year 2015,['Voice - no discount remaining']
23,"('support', 'beginning')",650,support beginning,['Voice - no discount remaining']
24,"('99', 'voice')",650,99 voice,['Voice - no discount remaining']
25,"('beginning', 'funding')",650,beginning funding,['Voice - no discount remaining']
26,"('phase', 'support')",650,phase support,['Voice - no discount remaining']
27,"('services', 'subject')",650,services subject,['Voice - no discount remaining']
28,"('subject', 'phase')",649,subject phase,['Voice - no discount remaining']
29,"('discount', 'rate')",647,discount rate,['Voice - no discount remaining']
30,"('reduced', 'discount')",644,reduced discount,['Voice - no discount remaining']
31,"('frn’s', 'reduced')",644,frn’s reduced,[]
32,"('rate', '0')",644,rate 0,['Voice - no discount remaining']
33,"('therefore', 'frn’s')",644,therefore frn’s,[]
34,"('2015', 'therefore')",644,2015 therefore,['Voice - no discount remaining']
35,"('type', 'frn')",641,type frn,"['Voice - no discount remaining', 'Ineligible Service', 'Competitive Bidding Violation', '470 / 471 Mismatch']"
36,"('services', 'according')",639,services according,['Voice - no discount remaining']
37,"('frn', 'voice')",637,frn voice,['Voice - no discount remaining']
38,"('dr1', 'service')",623,dr1 service,"['Voice - no discount remaining', 'Ineligible Service']"
39,"('products', 'services')",602,products services,"['Ineligible Service', 'Applicant ineligible', '470 / 471 Mismatch', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - price not primary factor', 'Duplicate FRN', 'No signed contract in place', 'Missing documentation needed to determine eligible service']"
40,"('dr1', 'frn')",595,dr1 frn,"['Applicant ineligible', 'Competitive Bidding Violation', 'Ineligible Service', 'Duplicate FRN', 'Competitive Bidding Violation - specified vendor in 470', 'Fiber review failure', 'Missing documentation to determin competitive bidding']"
41,"('rules', 'require')",543,rules require,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'No signed contract in place', 'No 470', 'Fiber review failure']"
42,"('fcc', 'rules')",505,fcc rules,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'No signed contract in place', 'No 470']"
43,"('service', 'provider')",505,service provider,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Voice - no discount remaining', 'Competitive Bidding Violation - 28 day failure', 'Missing documentation to determin competitive bidding', '470 / 471 Mismatch']"
44,"('bidding', 'process')",473,bidding process,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Ineligible Service', '470 / 471 Mismatch']"
45,"('cost', 'effective')",440,cost effective,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470', 'Fiber review failure']"
46,"('documentation', 'provided')",364,documentation provided,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Ineligible Service', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure', 'Fiber review failure']"
47,"('services', 'requested')",362,services requested,"['470 / 471 Mismatch', 'Ineligible Service', 'Competitive Bidding Violation', 'No signed contract in place', 'Missing required fields on 471', 'Missing documentation needed to determine eligible service']"
48,"('form', '471')",349,form 471,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'No signed contract in place', 'Competitive Bidding Violation - 28 day failure', 'Missing documentation to determin competitive bidding', 'Missing documentation needed to determine eligible service']"
49,"('funding', 'request')",296,funding request,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Category 2 budget exceeded', 'Ineligible Service', 'Duplicate FRN', 'Competitive Bidding Violation - specified vendor in 470', 'Applicant ineligible', 'c']"
50,"('prospective', 'bidders')",294,prospective bidders,['Competitive Bidding Violation']
51,"('vendor', 'documentation')",279,vendor documentation,"['Applicant ineligible', 'Missing required fields on 471', 'Ineligible Service', 'Missing documentation needed to determine eligible service']"
52,"('therefore', 'frn')",264,therefore frn,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Voice - no discount remaining', 'Competitive Bidding Violation - 28 day failure', 'Ineligible Service', 'Missing documentation needed to determine eligible service']"
53,"('dr1', 'fcc')",262,dr1 fcc,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'No 470', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470', '470 / 471 Mismatch']"
54,"('agree', 'applicant')",252,agree applicant,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Red light rule violation', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure', 'Category 2 budget exceeded', 'Competitive Bidding Violation - price not primary factor', 'c', 'Missing documentation needed to determine eligible service']"
55,"('applicant', 'documentation')",250,applicant documentation,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Red light rule violation', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure', 'Category 2 budget exceeded', 'Competitive Bidding Violation - price not primary factor', 'c', 'Missing documentation needed to determine eligible service']"
56,"('data', 'plans')",245,data plans,['Ineligible Service']
57,"('item', 'vendor')",244,item vendor,"['Applicant ineligible', 'Missing required fields on 471', 'Ineligible Service', 'Missing documentation needed to determine eligible service']"
58,"('schools', 'libraries')",231,schools libraries,"['Competitive Bidding Violation', 'Missing documentation needed to determine eligible service']"
59,"('denied', 'mr1')",229,denied mr1,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Voice - no discount remaining', 'Category 2 budget exceeded', 'Competitive Bidding Violation - price not primary factor', 'c']"
60,"('specific', 'services')",220,specific services,['Competitive Bidding Violation']
61,"('chooses', 'service')",214,chooses service,['Competitive Bidding Violation']
62,"('month', 'month')",211,month month,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'No 470']"
63,"('applicant', 'failed')",210,applicant failed,"['Competitive Bidding Violation', 'Ineligible Service', 'Fiber review failure', 'Missing required fields on 471', 'Missing documentation to determin competitive bidding', 'Missing documentation needed to determine eligible service']"
64,"('dark', 'fiber')",203,dark fiber,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Fiber review failure']"
65,"('per', 'month')",203,per month,"['Competitive Bidding Violation', 'Missing documentation needed to determine eligible service']"
66,"('require', 'applicants')",197,require applicants,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor']"
67,"('denied', 'applicant')",194,denied applicant,"['Competitive Bidding Violation', 'Ineligible Service', 'Fiber review failure', 'Missing documentation to determin competitive bidding']"
68,"('individual', 'data')",191,individual data,['Ineligible Service']
69,"('frn', 'modified')",188,frn modified,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Competitive Bidding Violation - 28 day failure', 'Ineligible Service', 'Missing documentation to determin competitive bidding', 'Competitive Bidding Violation - price not primary factor', 'Missing documentation needed to determine eligible service']"
70,"('based', 'program')",184,based program,"['Ineligible Service', 'Voice - no discount remaining']"
71,"('eligible', 'support')",184,eligible support,"['Competitive Bidding Violation', 'Missing documentation needed to determine eligible service']"
72,"('information', 'request')",170,information request,"['Competitive Bidding Violation', 'Ineligible Service', 'Fiber review failure', 'Missing documentation to determin competitive bidding']"
73,"('470', 'rfp')",170,470 rfp,"['Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure', 'Missing documentation needed to determine eligible service']"
74,"('bid', 'evaluation')",170,bid evaluation,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470']"
75,"('bona', 'fide')",168,bona fide,"['470 / 471 Mismatch', 'Competitive Bidding Violation']"
76,"('universal', 'service')",167,universal service,"['Applicant ineligible', 'Competitive Bidding Violation']"
77,"('failed', 'respond')",166,failed respond,"['Competitive Bidding Violation', 'Ineligible Service', 'Fiber review failure', 'Missing documentation to determin competitive bidding']"
78,"('failed', 'provide')",164,failed provide,['Competitive Bidding Violation']
79,"('requested', 'frn')",161,requested frn,"['Ineligible Service', 'Missing documentation needed to determine eligible service']"
80,"('denied', 'dr2')",160,denied dr2,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation']"
81,"('denied', 'since')",158,denied since,"['Ineligible Service', 'Competitive Bidding Violation - price not primary factor']"
82,"('mr1', 'frn')",157,mr1 frn,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Voice - no discount remaining', 'Ineligible Service', 'Missing documentation to determin competitive bidding', 'Competitive Bidding Violation - price not primary factor']"
83,"('e', 'rate')",155,e rate,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Competitive Bidding Violation - 28 day failure', 'Ineligible Service', 'Competitive Bidding Violation - price not primary factor']"
