ID,Denial Narratives for FRNs,Denial Narratives for Applicatons,DR1
1,"DR1:Thirty percent or more of this FRN includes a request for NBD AHR, which is an ineligible service(s) based on Program rules.;MR1:This is a new FRN. It was split from FRN 1699060596. The new FRN contains the following product(s)/service(s): NBD AHR.",,Ineligible Service
2,"DR1:FCC Rules require applicants to carefully consider all bids submitted by service providers and to choose the most cost effective solution. Documentation provided demonstrates that the applicant did not consider all of the bids that were submitted. Therefore, the applicant has violated the competitive bidding program rules.;DR2:The winning vendor was not selected in accordance with the vendor evaluation process described in the vendor selection documentation (RFP) provided by you during the Fiber Review. You did not adhere to your own criteria in the vendor selection process. Therefore, this FRN is denied;MR1:This is a new FRN. It was split from FRN 1699122426. The new FRN contains the following product Dark Fiber No Special Construction.",,Competitive Bidding Violation
3,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): eligibility of product or service.;DR2:The FRN will be denied because the request is for products and services to entities that do not fall under the authority of 16072034 - YESHIVADAY SCHOOL OF LAS VEGAS.,MR1:The discount for entity YESHIVADAY SCHOOL OF LAS VEGAS was decreased from 50 to 20. The applicant failed to supply documentation to support the requested discount and student count.,Ineligible Service
4,"DR1:The FRN is denied because the entities requesting service within the FRN, 16072034, do not meet the statutory definition of elementary and secondary schools to receive Universal Service Fund support.;DR2:The FRN will be denied because the request is for products and services to entities that do not fall under the authority of 16072034 - YESHIVADAY SCHOOL OF LAS VEGAS.","MR1:The applicant failed to supply documentation to support the requested discount. As a result of this action, the discount of this FCC Form 471 was decreased from 90% to 20%, minimum discount percentage.",Applicant ineligible
5,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s):vendor documentation,entity eligibility,discount validation and parent/child relationship .;DR2:The FRN is denied because the entities requesting service within the FRN, 16072034, do not meet the statutory definition of elementary and secondary schools to receive Universal Service Fund support.;DR3:The FRN will be denied because the request is for products and services to entities that do not fall under the authority of 16072034 - YESHIVADAY SCHOOL OF LAS VEGAS.","MR1:The applicant failed to supply documentation to support the requested discount. As a result of this action, the discount of this FCC Form 471 was decreased from 90% to 20%, minimum discount percentage.",Applicant ineligible
6,DR1:The FRN is denied because the applicant failed to respond to the Administrator's Special Compliance Review Information Request. You did not provide any documentation to determine if the entity met program rules for competitive bidding and cost effectiveness.,MR1:The applicant did not submit any RAL corrections.,Competitive Bidding Violation
7,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Dark Fiber (No Special Construction).;DR2:The FRN is denied because the applicant failed to respond to the Administratorâ€™s Fiber Review Information Request. Documentation was not provided to determine if the entity met Program rules requirements for competitive bidding and cost effectiveness of the requested fiber solution.,,Competitive Bidding Violation
8,"DR1:The products and services that were requested on your FCC Form 471 (Self-Provisioned Fiber Network) are substantially different than those requested on your FCC Form 470 (Transport Only - No ISP Service Included). Program rules require applicants to make a bona fide request for services by filing an FCC Form 470. The services requested on your FCC Form 470 must describe the planned service requirements requested on your FCC Form 471. Since you did not meet this Program requirement, the FRN must be denied.;MR1:Based on the supporting documentation, the request for E-rate discount match based on the State/Tribal support was modified from â€œYesâ€ to â€œNoâ€ since the discount match is not allowable. ;MR2:The FRN was changed from contractual products and services to month-to-month (MTM) to agree with the documentation provided during the review of your FCC Form 471 application.;MR3:Per FCC Order 14-189, to prevent warehousing of excess fiber capacity, applicants may only receive funding for special construction charges for self-provisioned fiber if it is constructed and used within the same funding year. The amount of the funding request was changed from $18,566.82 to $16,982.82 to remove $1,584 associated with ineligible excess fiber capacity.",,470 / 471 Mismatch
9,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Recipient of services validation, Contract Expiration Date, Parent/Child validation, Spin number.",MR1:The applicant did not submit any RAL corrections.,Missing required fields on 471
10,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Recipient of services validation, Contract Expiration Date, Parent/Child validation, Spin number.",MR1:The applicant did not submit any RAL corrections.,Missing required fields on 471
11,"DR1:FCC Rules require applicants to carefully consider all bids submitted by service providers and to choose the most cost effective solution. Documentation provided demonstrates that the applicant did not consider all of the bids that were submitted. Therefore, the applicant has violated the competitive bidding program rules.",MR1:The applicant did not submit any RAL corrections.,Competitive Bidding Violation
12,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Vendor documentation and Make/Model.,MR1:The Full Time Students Requested for entity 16043097 was decreased from 40 to 35 students that could be validated by third party data.;MR2:The Full Time Students requested for entity 16043101 was decreased from 95 to 91 students that could be validated by third party data.,Missing required fields on 471
13,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation
14,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:The vendor selection documentation created during the bid evaluation period did not clearly demonstrate that the price was the primary evaluation factor considered in selecting the winning service provider's proposal.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation - price not primary factor
15,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:The vendor evaluation sheet/bid evaluation form was not provided during selective review. Without the vendor evaluation sheet/bid evaluation form, USAC is unable to determine that price of the eligible products and services was the primary evaluation factor in the selection of the vendor. Further it is not apparent that the selection of your vendor was in accordance with the evaluation criteria stated in your selective review responses. Therefore, this FRN is denied.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation
16,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:Based on the documentation you provided during the Selective Review, you did not consider all of the bids received in response to the FCC Form 470 and/or RFP during your bid evaluation process. Your bid scoring worksheet did not contain a score for each vendor that provided a response. Therefore, your FRN is being denied because the winning vendor was not selected in accordance with your bid evaluation process.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation
17,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:The Program rules require that a signed contract or a legally binding agreement with the service provider supporting the current funding year be in place at the time of the submission of the FCC Form 471 Certification. Documentation was not provided to demonstrate that a contract or a legally binding agreement was in place when the FCC Form 471 Certification was filed; therefore, your FRN is denied.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation
18,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:The Program rules require that a signed contract or a legally binding agreement with the service provider be in place at the time of the submission of the FCC Form 471 Certification. Documentation was not provided to demonstrate that a contract or a legally binding agreement was in place when the FCC Form 471 Certification was filed; therefore, your FRN is denied. ;DR3:The vendor evaluation sheet/bid evaluation form was not provided during selective review. Without the vendor evaluation sheet/bid evaluation form, USAC is unable to determine that price of the eligible products and services was the primary evaluation factor in the selection of the vendor. Further it is not apparent that the selection of your vendor was in accordance with the evaluation criteria stated in your selective review responses. Therefore, this FRN is denied.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation
19,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:The Program rules require that a signed contract or a legally binding agreement with the service provider be in place at the time of the submission of the FCC Form 471 Certification. Documentation was not provided to demonstrate that a contract or a legally binding agreement was in place when the FCC Form 471 Certification was filed; therefore, your FRN is denied.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation
20,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:The Program rules require that a signed contract or a legally binding agreement with the service provider be in place at the time of the submission of the FCC Form 471 Certification. Documentation was not provided to demonstrate that a contract or a legally binding agreement was in place when the FCC Form 471 Certification was filed; therefore, your FRN is denied.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation
