,ID,Denial Narratives for FRNs,Denial Narratives for Applicatons,DR1,fcdl_comment_cleaned,fcdl_comment_array
0,1,"DR1:Thirty percent or more of this FRN includes a request for NBD AHR, which is an ineligible service(s) based on Program rules.;MR1:This is a new FRN. It was split from FRN 1699060596. The new FRN contains the following product(s)/service(s): NBD AHR.",,Ineligible Service,dr1 thirty percent frn includes request nbd ahr ineligible service based program rules mr1 new frn split frn 1699060596 new frn contains following product service nbd ahr,"['dr1', 'thirty', 'percent', 'frn', 'includes', 'request', 'nbd', 'ahr', 'ineligible', 'service', 'based', 'program', 'rules', 'mr1', 'new', 'frn', 'split', 'frn', '1699060596', 'new', 'frn', 'contains', 'following', 'product', 'service', 'nbd', 'ahr']"
1,2,"DR1:FCC Rules require applicants to carefully consider all bids submitted by service providers and to choose the most cost effective solution. Documentation provided demonstrates that the applicant did not consider all of the bids that were submitted. Therefore, the applicant has violated the competitive bidding program rules.;DR2:The winning vendor was not selected in accordance with the vendor evaluation process described in the vendor selection documentation (RFP) provided by you during the Fiber Review. You did not adhere to your own criteria in the vendor selection process. Therefore, this FRN is denied;MR1:This is a new FRN. It was split from FRN 1699122426. The new FRN contains the following product Dark Fiber No Special Construction.",,Competitive Bidding Violation,dr1 fcc rules require applicants carefully consider bids submitted service providers choose cost effective solution documentation provided demonstrates applicant consider bids submitted therefore applicant violated competitive bidding program rules dr2 winning vendor selected accordance vendor evaluation process described vendor selection documentation rfp provided fiber review adhere criteria vendor selection process therefore frn denied mr1 new frn split frn 1699122426 new frn contains following product dark fiber special construction,"['dr1', 'fcc', 'rules', 'require', 'applicants', 'carefully', 'consider', 'bids', 'submitted', 'service', 'providers', 'choose', 'cost', 'effective', 'solution', 'documentation', 'provided', 'demonstrates', 'applicant', 'consider', 'bids', 'submitted', 'therefore', 'applicant', 'violated', 'competitive', 'bidding', 'program', 'rules', 'dr2', 'winning', 'vendor', 'selected', 'accordance', 'vendor', 'evaluation', 'process', 'described', 'vendor', 'selection', 'documentation', 'rfp', 'provided', 'fiber', 'review', 'adhere', 'criteria', 'vendor', 'selection', 'process', 'therefore', 'frn', 'denied', 'mr1', 'new', 'frn', 'split', 'frn', '1699122426', 'new', 'frn', 'contains', 'following', 'product', 'dark', 'fiber', 'special', 'construction']"
2,3,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): eligibility of product or service.;DR2:The FRN will be denied because the request is for products and services to entities that do not fall under the authority of 16072034 - YESHIVADAY SCHOOL OF LAS VEGAS.,MR1:The discount for entity YESHIVADAY SCHOOL OF LAS VEGAS was decreased from 50 to 20. The applicant failed to supply documentation to support the requested discount and student count.,Ineligible Service,dr1 applicant provided sufficient documentation needed determine eligibility following item eligibility product service dr2 frn denied request products services entities fall authority 16072034 yeshivaday school las vegas,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'eligibility', 'product', 'service', 'dr2', 'frn', 'denied', 'request', 'products', 'services', 'entities', 'fall', 'authority', '16072034', 'yeshivaday', 'school', 'las', 'vegas']"
3,4,"DR1:The FRN is denied because the entities requesting service within the FRN, 16072034, do not meet the statutory definition of elementary and secondary schools to receive Universal Service Fund support.;DR2:The FRN will be denied because the request is for products and services to entities that do not fall under the authority of 16072034 - YESHIVADAY SCHOOL OF LAS VEGAS.","MR1:The applicant failed to supply documentation to support the requested discount. As a result of this action, the discount of this FCC Form 471 was decreased from 90% to 20%, minimum discount percentage.",Applicant ineligible,dr1 frn denied entities requesting service within frn 16072034 meet statutory definition elementary secondary schools receive universal service fund support dr2 frn denied request products services entities fall authority 16072034 yeshivaday school las vegas,"['dr1', 'frn', 'denied', 'entities', 'requesting', 'service', 'within', 'frn', '16072034', 'meet', 'statutory', 'definition', 'elementary', 'secondary', 'schools', 'receive', 'universal', 'service', 'fund', 'support', 'dr2', 'frn', 'denied', 'request', 'products', 'services', 'entities', 'fall', 'authority', '16072034', 'yeshivaday', 'school', 'las', 'vegas']"
4,5,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s):vendor documentation,entity eligibility,discount validation and parent/child relationship .;DR2:The FRN is denied because the entities requesting service within the FRN, 16072034, do not meet the statutory definition of elementary and secondary schools to receive Universal Service Fund support.;DR3:The FRN will be denied because the request is for products and services to entities that do not fall under the authority of 16072034 - YESHIVADAY SCHOOL OF LAS VEGAS.","MR1:The applicant failed to supply documentation to support the requested discount. As a result of this action, the discount of this FCC Form 471 was decreased from 90% to 20%, minimum discount percentage.",Applicant ineligible,dr1 applicant provided sufficient documentation needed determine eligibility following item vendor documentation entity eligibility discount validation parent child relationship dr2 frn denied entities requesting service within frn 16072034 meet statutory definition elementary secondary schools receive universal service fund support dr3 frn denied request products services entities fall authority 16072034 yeshivaday school las vegas,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'vendor', 'documentation', 'entity', 'eligibility', 'discount', 'validation', 'parent', 'child', 'relationship', 'dr2', 'frn', 'denied', 'entities', 'requesting', 'service', 'within', 'frn', '16072034', 'meet', 'statutory', 'definition', 'elementary', 'secondary', 'schools', 'receive', 'universal', 'service', 'fund', 'support', 'dr3', 'frn', 'denied', 'request', 'products', 'services', 'entities', 'fall', 'authority', '16072034', 'yeshivaday', 'school', 'las', 'vegas']"
5,6,DR1:The FRN is denied because the applicant failed to respond to the Administrator's Special Compliance Review Information Request. You did not provide any documentation to determine if the entity met program rules for competitive bidding and cost effectiveness.,MR1:The applicant did not submit any RAL corrections.,Competitive Bidding Violation,dr1 frn denied applicant failed respond administrator special compliance review information request provide documentation determine entity met program rules competitive bidding cost effectiveness,"['dr1', 'frn', 'denied', 'applicant', 'failed', 'respond', 'administrator', 'special', 'compliance', 'review', 'information', 'request', 'provide', 'documentation', 'determine', 'entity', 'met', 'program', 'rules', 'competitive', 'bidding', 'cost', 'effectiveness']"
6,7,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Dark Fiber (No Special Construction).;DR2:The FRN is denied because the applicant failed to respond to the Administratorâ€™s Fiber Review Information Request. Documentation was not provided to determine if the entity met Program rules requirements for competitive bidding and cost effectiveness of the requested fiber solution.,,Competitive Bidding Violation,dr1 applicant provided sufficient documentation needed determine eligibility following item dark fiber special construction dr2 frn denied applicant failed respond administratorâ€™s fiber review information request documentation provided determine entity met program rules requirements competitive bidding cost effectiveness requested fiber solution,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'dark', 'fiber', 'special', 'construction', 'dr2', 'frn', 'denied', 'applicant', 'failed', 'respond', 'administratorâ€™s', 'fiber', 'review', 'information', 'request', 'documentation', 'provided', 'determine', 'entity', 'met', 'program', 'rules', 'requirements', 'competitive', 'bidding', 'cost', 'effectiveness', 'requested', 'fiber', 'solution']"
7,8,"DR1:The products and services that were requested on your FCC Form 471 (Self-Provisioned Fiber Network) are substantially different than those requested on your FCC Form 470 (Transport Only - No ISP Service Included). Program rules require applicants to make a bona fide request for services by filing an FCC Form 470. The services requested on your FCC Form 470 must describe the planned service requirements requested on your FCC Form 471. Since you did not meet this Program requirement, the FRN must be denied.;MR1:Based on the supporting documentation, the request for E-rate discount match based on the State/Tribal support was modified from â€œYesâ€ to â€œNoâ€ since the discount match is not allowable. ;MR2:The FRN was changed from contractual products and services to month-to-month (MTM) to agree with the documentation provided during the review of your FCC Form 471 application.;MR3:Per FCC Order 14-189, to prevent warehousing of excess fiber capacity, applicants may only receive funding for special construction charges for self-provisioned fiber if it is constructed and used within the same funding year. The amount of the funding request was changed from $18,566.82 to $16,982.82 to remove $1,584 associated with ineligible excess fiber capacity.",,470 / 471 Mismatch,dr1 products services requested fcc form 471 self provisioned fiber network substantially different requested fcc form 470 transport isp service included program rules require applicants make bona fide request services filing fcc form 470 services requested fcc form 470 must describe planned service requirements requested fcc form 471 since meet program requirement frn must denied mr1 based supporting documentation request e rate discount match based state tribal support modified â€œyesâ€ â€œnoâ€ since discount match allowable mr2 frn changed contractual products services month month mtm agree documentation provided review fcc form 471 application mr3 per fcc order 14 189 prevent warehousing excess fiber capacity applicants may receive funding special construction charges self provisioned fiber constructed used within funding year amount funding request changed 18 566 82 16 982 82 remove 1 584 associated ineligible excess fiber capacity,"['dr1', 'products', 'services', 'requested', 'fcc', 'form', '471', 'self', 'provisioned', 'fiber', 'network', 'substantially', 'different', 'requested', 'fcc', 'form', '470', 'transport', 'isp', 'service', 'included', 'program', 'rules', 'require', 'applicants', 'make', 'bona', 'fide', 'request', 'services', 'filing', 'fcc', 'form', '470', 'services', 'requested', 'fcc', 'form', '470', 'must', 'describe', 'planned', 'service', 'requirements', 'requested', 'fcc', 'form', '471', 'since', 'meet', 'program', 'requirement', 'frn', 'must', 'denied', 'mr1', 'based', 'supporting', 'documentation', 'request', 'e', 'rate', 'discount', 'match', 'based', 'state', 'tribal', 'support', 'modified', 'â€œyesâ€\x9d', 'â€œnoâ€\x9d', 'since', 'discount', 'match', 'allowable', 'mr2', 'frn', 'changed', 'contractual', 'products', 'services', 'month', 'month', 'mtm', 'agree', 'documentation', 'provided', 'review', 'fcc', 'form', '471', 'application', 'mr3', 'per', 'fcc', 'order', '14', '189', 'prevent', 'warehousing', 'excess', 'fiber', 'capacity', 'applicants', 'may', 'receive', 'funding', 'special', 'construction', 'charges', 'self', 'provisioned', 'fiber', 'constructed', 'used', 'within', 'funding', 'year', 'amount', 'funding', 'request', 'changed', '18', '566', '82', '16', '982', '82', 'remove', '1', '584', 'associated', 'ineligible', 'excess', 'fiber', 'capacity']"
8,9,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Recipient of services validation, Contract Expiration Date, Parent/Child validation, Spin number.",MR1:The applicant did not submit any RAL corrections.,Missing required fields on 471,dr1 applicant provided sufficient documentation needed determine eligibility following item recipient services validation contract expiration date parent child validation spin number,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'recipient', 'services', 'validation', 'contract', 'expiration', 'date', 'parent', 'child', 'validation', 'spin', 'number']"
9,10,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Recipient of services validation, Contract Expiration Date, Parent/Child validation, Spin number.",MR1:The applicant did not submit any RAL corrections.,Missing required fields on 471,dr1 applicant provided sufficient documentation needed determine eligibility following item recipient services validation contract expiration date parent child validation spin number,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'recipient', 'services', 'validation', 'contract', 'expiration', 'date', 'parent', 'child', 'validation', 'spin', 'number']"
