,text,count,category_arrays
0,frn,4643,"['Ineligible Service', 'Competitive Bidding Violation', 'Applicant ineligible', '470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Voice - no discount remaining', 'Duplicate FRN', 'Red light rule violation', 'No signed contract in place', 'Competitive Bidding Violation - 28 day failure', 'Fiber review failure', 'Missing documentation needed to determine eligible service', 'Missing required fields on 471', 'Missing documentation to determin competitive bidding', 'Category 2 budget exceeded', 'c']"
1,services,3513,"['Ineligible Service', 'Applicant ineligible', '470 / 471 Mismatch', 'Missing required fields on 471', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - price not primary factor', 'Voice - no discount remaining', 'Duplicate FRN', 'No signed contract in place', 'No 470', 'Missing documentation needed to determine eligible service']"
2,fcc,2887,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Voice - no discount remaining', 'Ineligible Service', 'Red light rule violation', 'No signed contract in place', 'No 470', 'Competitive Bidding Violation - 28 day failure', 'Missing documentation to determin competitive bidding', 'Missing documentation needed to determine eligible service']"
3,dr1,2726,"['Ineligible Service', 'Competitive Bidding Violation', 'Applicant ineligible', '470 / 471 Mismatch', 'Missing required fields on 471', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Category 2 budget exceeded', 'Voice - no discount remaining', 'Missing form 470', 'Duplicate FRN', 'Red light rule violation', 'No signed contract in place', 'No 470', 'Competitive Bidding Violation - 28 day failure', 'Fiber review failure', 'Missing documentation needed to determine eligible service', 'Missing documentation to determin competitive bidding', 'c']"
4,service,2497,"['Ineligible Service', 'Competitive Bidding Violation', 'Applicant ineligible', '470 / 471 Mismatch', 'Missing required fields on 471', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Voice - no discount remaining', 'Duplicate FRN', 'No signed contract in place', 'No 470', 'Competitive Bidding Violation - 28 day failure', 'Fiber review failure', 'Missing documentation to determin competitive bidding', 'Missing documentation needed to determine eligible service', 'Category 2 budget exceeded', 'c']"
5,denied,2157,"['Competitive Bidding Violation', 'Ineligible Service', 'Applicant ineligible', '470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Category 2 budget exceeded', 'Voice - no discount remaining', 'Duplicate FRN', 'Competitive Bidding Violation - specified vendor in 470', 'Red light rule violation', 'No signed contract in place', 'Competitive Bidding Violation - 28 day failure', 'Fiber review failure', 'Missing required fields on 471', 'Missing documentation to determin competitive bidding', 'Missing documentation needed to determine eligible service', 'c']"
6,documentation,2014,"['Competitive Bidding Violation', 'Ineligible Service', 'Applicant ineligible', '470 / 471 Mismatch', 'Missing required fields on 471', 'Competitive Bidding Violation - price not primary factor', 'Missing form 470', 'Red light rule violation', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure', 'Category 2 budget exceeded', 'Fiber review failure', 'No signed contract in place', 'Missing documentation needed to determine eligible service', 'Missing documentation to determin competitive bidding', 'c']"
7,applicant,1700,"['Competitive Bidding Violation', 'Ineligible Service', 'Applicant ineligible', '470 / 471 Mismatch', 'Missing required fields on 471', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Missing form 470', 'Red light rule violation', 'No signed contract in place', 'Competitive Bidding Violation - 28 day failure', 'Category 2 budget exceeded', 'Fiber review failure', 'Missing documentation needed to determine eligible service', 'Missing documentation to determin competitive bidding', 'c']"
8,voice,1593,"['Competitive Bidding Violation', 'Ineligible Service', 'Voice - no discount remaining', 'No signed contract in place', 'Missing documentation needed to determine eligible service']"
9,funding,1512,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Category 2 budget exceeded', 'Ineligible Service', 'Voice - no discount remaining', 'Duplicate FRN', 'Competitive Bidding Violation - specified vendor in 470', 'No signed contract in place', 'No 470', 'Applicant ineligible', 'Missing documentation needed to determine eligible service', 'c']"
10,rules,1279,"['Ineligible Service', 'Competitive Bidding Violation', '470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Voice - no discount remaining', 'Duplicate FRN', 'Competitive Bidding Violation - specified vendor in 470', 'No signed contract in place', 'No 470', 'Applicant ineligible', 'Missing documentation to determin competitive bidding', 'Missing documentation needed to determine eligible service', 'Fiber review failure']"
11,provided,1206,"['Competitive Bidding Violation', 'Ineligible Service', 'Applicant ineligible', '470 / 471 Mismatch', 'Missing required fields on 471', 'Competitive Bidding Violation - price not primary factor', 'Missing form 470', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure', 'Category 2 budget exceeded', 'Fiber review failure', 'No signed contract in place', 'Missing documentation needed to determine eligible service']"
12,form,1191,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Competitive Bidding Violation - specified vendor in 470', 'Missing form 470', 'Ineligible Service', 'No signed contract in place', 'No 470', 'Competitive Bidding Violation - 28 day failure', 'Fiber review failure', 'Missing documentation to determin competitive bidding', 'Missing documentation needed to determine eligible service', 'Competitive Bidding Violation - price not primary factor']"
13,therefore,1180,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Voice - no discount remaining', 'Ineligible Service', 'Competitive Bidding Violation - 28 day failure', '470 / 471 Mismatch', 'Competitive Bidding Violation - specified vendor in 470', 'Applicant ineligible', 'Missing documentation needed to determine eligible service']"
14,order,1170,"['470 / 471 Mismatch', 'Voice - no discount remaining', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation', 'Ineligible Service']"
