,frn,fcdl_comment_cleaned,fcdl_comment_array,trigram_array,fixed_category
11,1699144742,dr1 new frn split frn 699001259 frn denied product service requested ineligible items cannot receive funding frn contains following ineligible product service toll rest w 800 access allowed key line hunting late payment fee key nonrotary restricted 3rd calls toll rest w 800 access allowed non published non listed bus inside wire mainenance non telecom services surcharge matchmaker 2 95 call return business broadband cost recover fee router equipment fee toll free charge toll free canada minimum commitment charge mr1 new frn split frn 1699001259 new frn contains following product service toll rest w 800 access allowed key line hunting late payment fee key nonrotary restricted 3rd calls toll rest w 800 access allowed non published non listed bus inside wire mainenance non telecom services surcharge matchmaker 2 95 call return business broadband cost recover fee router equipment fee toll free charge toll free canada minimum commitment charge,"['dr1', 'new', 'frn', 'split', 'frn', '699001259', 'frn', 'denied', 'product', 'service', 'requested', 'ineligible', 'items', 'cannot', 'receive', 'funding', 'frn', 'contains', 'following', 'ineligible', 'product', 'service', 'toll', 'rest', 'w', '800', 'access', 'allowed', 'key', 'line', 'hunting', 'late', 'payment', 'fee', 'key', 'nonrotary', 'restricted', '3rd', 'calls', 'toll', 'rest', 'w', '800', 'access', 'allowed', 'non', 'published', 'non', 'listed', 'bus', 'inside', 'wire', 'mainenance', 'non', 'telecom', 'services', 'surcharge', 'matchmaker', '2', '95', 'call', 'return', 'business', 'broadband', 'cost', 'recover', 'fee', 'router', 'equipment', 'fee', 'toll', 'free', 'charge', 'toll', 'free', 'canada', 'minimum', 'commitment', 'charge', 'mr1', 'new', 'frn', 'split', 'frn', '1699001259', 'new', 'frn', 'contains', 'following', 'product', 'service', 'toll', 'rest', 'w', '800', 'access', 'allowed', 'key', 'line', 'hunting', 'late', 'payment', 'fee', 'key', 'nonrotary', 'restricted', '3rd', 'calls', 'toll', 'rest', 'w', '800', 'access', 'allowed', 'non', 'published', 'non', 'listed', 'bus', 'inside', 'wire', 'mainenance', 'non', 'telecom', 'services', 'surcharge', 'matchmaker', '2', '95', 'call', 'return', 'business', 'broadband', 'cost', 'recover', 'fee', 'router', 'equipment', 'fee', 'toll', 'free', 'charge', 'toll', 'free', 'canada', 'minimum', 'commitment', 'charge']","Counter({('toll', 'rest', 'w'): 4, ('rest', 'w', '800'): 4, ('w', '800', 'access'): 4, ('800', 'access', 'allowed'): 4, ('new', 'frn', 'split'): 2, ('frn', 'split', 'frn'): 2, ('frn', 'contains', 'following'): 2, ('product', 'service', 'toll'): 2, ('service', 'toll', 'rest'): 2, ('access', 'allowed', 'key'): 2, ('allowed', 'key', 'line'): 2, ('key', 'line', 'hunting'): 2, ('line', 'hunting', 'late'): 2, ('hunting', 'late', 'payment'): 2, ('late', 'payment', 'fee'): 2, ('payment', 'fee', 'key'): 2, ('fee', 'key', 'nonrotary'): 2, ('key', 'nonrotary', 'restricted'): 2, ('nonrotary', 'restricted', '3rd'): 2, ('restricted', '3rd', 'calls'): 2, ('3rd', 'calls', 'toll'): 2, ('calls', 'toll', 'rest'): 2, ('access', 'allowed', 'non'): 2, ('allowed', 'non', 'published'): 2, ('non', 'published', 'non'): 2, ('published', 'non', 'listed'): 2, ('non', 'listed', 'bus'): 2, ('listed', 'bus', 'inside'): 2, ('bus', 'inside', 'wire'): 2, ('inside', 'wire', 'mainenance'): 2, ('wire', 'mainenance', 'non'): 2, ('mainenance', 'non', 'telecom'): 2, ('non', 'telecom', 'services'): 2, ('telecom', 'services', 'surcharge'): 2, ('services', 'surcharge', 'matchmaker'): 2, ('surcharge', 'matchmaker', '2'): 2, ('matchmaker', '2', '95'): 2, ('2', '95', 'call'): 2, ('95', 'call', 'return'): 2, ('call', 'return', 'business'): 2, ('return', 'business', 'broadband'): 2, ('business', 'broadband', 'cost'): 2, ('broadband', 'cost', 'recover'): 2, ('cost', 'recover', 'fee'): 2, ('recover', 'fee', 'router'): 2, ('fee', 'router', 'equipment'): 2, ('router', 'equipment', 'fee'): 2, ('equipment', 'fee', 'toll'): 2, ('fee', 'toll', 'free'): 2, ('toll', 'free', 'charge'): 2, ('free', 'charge', 'toll'): 2, ('charge', 'toll', 'free'): 2, ('toll', 'free', 'canada'): 2, ('free', 'canada', 'minimum'): 2, ('canada', 'minimum', 'commitment'): 2, ('minimum', 'commitment', 'charge'): 2, ('dr1', 'new', 'frn'): 1, ('split', 'frn', '699001259'): 1, ('frn', '699001259', 'frn'): 1, ('699001259', 'frn', 'denied'): 1, ('frn', 'denied', 'product'): 1, ('denied', 'product', 'service'): 1, ('product', 'service', 'requested'): 1, ('service', 'requested', 'ineligible'): 1, ('requested', 'ineligible', 'items'): 1, ('ineligible', 'items', 'cannot'): 1, ('items', 'cannot', 'receive'): 1, ('cannot', 'receive', 'funding'): 1, ('receive', 'funding', 'frn'): 1, ('funding', 'frn', 'contains'): 1, ('contains', 'following', 'ineligible'): 1, ('following', 'ineligible', 'product'): 1, ('ineligible', 'product', 'service'): 1, ('commitment', 'charge', 'mr1'): 1, ('charge', 'mr1', 'new'): 1, ('mr1', 'new', 'frn'): 1, ('split', 'frn', '1699001259'): 1, ('frn', '1699001259', 'new'): 1, ('1699001259', 'new', 'frn'): 1, ('new', 'frn', 'contains'): 1, ('contains', 'following', 'product'): 1, ('following', 'product', 'service'): 1})",
62,1699030133,dr1 contract new service signed entered prior expiration required 28 day waiting period computed date posting fcc form 470 usac’s web site violates program rules since requirement met frn denied mr1 establishing fcc form 470 application number changed request applicant,"['dr1', 'contract', 'new', 'service', 'signed', 'entered', 'prior', 'expiration', 'required', '28', 'day', 'waiting', 'period', 'computed', 'date', 'posting', 'fcc', 'form', '470', 'usac’s', 'web', 'site', 'violates', 'program', 'rules', 'since', 'requirement', 'met', 'frn', 'denied', 'mr1', 'establishing', 'fcc', 'form', '470', 'application', 'number', 'changed', 'request', 'applicant']","Counter({('fcc', 'form', '470'): 2, ('dr1', 'contract', 'new'): 1, ('contract', 'new', 'service'): 1, ('new', 'service', 'signed'): 1, ('service', 'signed', 'entered'): 1, ('signed', 'entered', 'prior'): 1, ('entered', 'prior', 'expiration'): 1, ('prior', 'expiration', 'required'): 1, ('expiration', 'required', '28'): 1, ('required', '28', 'day'): 1, ('28', 'day', 'waiting'): 1, ('day', 'waiting', 'period'): 1, ('waiting', 'period', 'computed'): 1, ('period', 'computed', 'date'): 1, ('computed', 'date', 'posting'): 1, ('date', 'posting', 'fcc'): 1, ('posting', 'fcc', 'form'): 1, ('form', '470', 'usac’s'): 1, ('470', 'usac’s', 'web'): 1, ('usac’s', 'web', 'site'): 1, ('web', 'site', 'violates'): 1, ('site', 'violates', 'program'): 1, ('violates', 'program', 'rules'): 1, ('program', 'rules', 'since'): 1, ('rules', 'since', 'requirement'): 1, ('since', 'requirement', 'met'): 1, ('requirement', 'met', 'frn'): 1, ('met', 'frn', 'denied'): 1, ('frn', 'denied', 'mr1'): 1, ('denied', 'mr1', 'establishing'): 1, ('mr1', 'establishing', 'fcc'): 1, ('establishing', 'fcc', 'form'): 1, ('form', '470', 'application'): 1, ('470', 'application', 'number'): 1, ('application', 'number', 'changed'): 1, ('number', 'changed', 'request'): 1, ('changed', 'request', 'applicant'): 1})",
64,1699006719,dr1 10 17 2016 application denied based noncompliance fcc’s red light rule implements requirements fcc’s debt collection improvement act 1996 fcc 04 72 april 13 2004 mr1 spin change verizon new jersey inc verizon virginia llc requested request appears operational spin change operational spin changes must postmarked received earlier date funding commitment decision letter fcdl program procedures usac unable process requests pre commitment operational spin changes mr2 frn modified accordance ral request,"['dr1', '10', '17', '2016', 'application', 'denied', 'based', 'noncompliance', 'fcc’s', 'red', 'light', 'rule', 'implements', 'requirements', 'fcc’s', 'debt', 'collection', 'improvement', 'act', '1996', 'fcc', '04', '72', 'april', '13', '2004', 'mr1', 'spin', 'change', 'verizon', 'new', 'jersey', 'inc', 'verizon', 'virginia', 'llc', 'requested', 'request', 'appears', 'operational', 'spin', 'change', 'operational', 'spin', 'changes', 'must', 'postmarked', 'received', 'earlier', 'date', 'funding', 'commitment', 'decision', 'letter', 'fcdl', 'program', 'procedures', 'usac', 'unable', 'process', 'requests', 'pre', 'commitment', 'operational', 'spin', 'changes', 'mr2', 'frn', 'modified', 'accordance', 'ral', 'request']","Counter({('operational', 'spin', 'changes'): 2, ('dr1', '10', '17'): 1, ('10', '17', '2016'): 1, ('17', '2016', 'application'): 1, ('2016', 'application', 'denied'): 1, ('application', 'denied', 'based'): 1, ('denied', 'based', 'noncompliance'): 1, ('based', 'noncompliance', 'fcc’s'): 1, ('noncompliance', 'fcc’s', 'red'): 1, ('fcc’s', 'red', 'light'): 1, ('red', 'light', 'rule'): 1, ('light', 'rule', 'implements'): 1, ('rule', 'implements', 'requirements'): 1, ('implements', 'requirements', 'fcc’s'): 1, ('requirements', 'fcc’s', 'debt'): 1, ('fcc’s', 'debt', 'collection'): 1, ('debt', 'collection', 'improvement'): 1, ('collection', 'improvement', 'act'): 1, ('improvement', 'act', '1996'): 1, ('act', '1996', 'fcc'): 1, ('1996', 'fcc', '04'): 1, ('fcc', '04', '72'): 1, ('04', '72', 'april'): 1, ('72', 'april', '13'): 1, ('april', '13', '2004'): 1, ('13', '2004', 'mr1'): 1, ('2004', 'mr1', 'spin'): 1, ('mr1', 'spin', 'change'): 1, ('spin', 'change', 'verizon'): 1, ('change', 'verizon', 'new'): 1, ('verizon', 'new', 'jersey'): 1, ('new', 'jersey', 'inc'): 1, ('jersey', 'inc', 'verizon'): 1, ('inc', 'verizon', 'virginia'): 1, ('verizon', 'virginia', 'llc'): 1, ('virginia', 'llc', 'requested'): 1, ('llc', 'requested', 'request'): 1, ('requested', 'request', 'appears'): 1, ('request', 'appears', 'operational'): 1, ('appears', 'operational', 'spin'): 1, ('operational', 'spin', 'change'): 1, ('spin', 'change', 'operational'): 1, ('change', 'operational', 'spin'): 1, ('spin', 'changes', 'must'): 1, ('changes', 'must', 'postmarked'): 1, ('must', 'postmarked', 'received'): 1, ('postmarked', 'received', 'earlier'): 1, ('received', 'earlier', 'date'): 1, ('earlier', 'date', 'funding'): 1, ('date', 'funding', 'commitment'): 1, ('funding', 'commitment', 'decision'): 1, ('commitment', 'decision', 'letter'): 1, ('decision', 'letter', 'fcdl'): 1, ('letter', 'fcdl', 'program'): 1, ('fcdl', 'program', 'procedures'): 1, ('program', 'procedures', 'usac'): 1, ('procedures', 'usac', 'unable'): 1, ('usac', 'unable', 'process'): 1, ('unable', 'process', 'requests'): 1, ('process', 'requests', 'pre'): 1, ('requests', 'pre', 'commitment'): 1, ('pre', 'commitment', 'operational'): 1, ('commitment', 'operational', 'spin'): 1, ('spin', 'changes', 'mr2'): 1, ('changes', 'mr2', 'frn'): 1, ('mr2', 'frn', 'modified'): 1, ('frn', 'modified', 'accordance'): 1, ('modified', 'accordance', 'ral'): 1, ('accordance', 'ral', 'request'): 1})",
65,1699006720,dr1 10 17 2016 application denied based noncompliance fcc’s red light rule implements requirements fcc’s debt collection improvement act 1996 fcc 04 72 april 13 2004,"['dr1', '10', '17', '2016', 'application', 'denied', 'based', 'noncompliance', 'fcc’s', 'red', 'light', 'rule', 'implements', 'requirements', 'fcc’s', 'debt', 'collection', 'improvement', 'act', '1996', 'fcc', '04', '72', 'april', '13', '2004']","Counter({('dr1', '10', '17'): 1, ('10', '17', '2016'): 1, ('17', '2016', 'application'): 1, ('2016', 'application', 'denied'): 1, ('application', 'denied', 'based'): 1, ('denied', 'based', 'noncompliance'): 1, ('based', 'noncompliance', 'fcc’s'): 1, ('noncompliance', 'fcc’s', 'red'): 1, ('fcc’s', 'red', 'light'): 1, ('red', 'light', 'rule'): 1, ('light', 'rule', 'implements'): 1, ('rule', 'implements', 'requirements'): 1, ('implements', 'requirements', 'fcc’s'): 1, ('requirements', 'fcc’s', 'debt'): 1, ('fcc’s', 'debt', 'collection'): 1, ('debt', 'collection', 'improvement'): 1, ('collection', 'improvement', 'act'): 1, ('improvement', 'act', '1996'): 1, ('act', '1996', 'fcc'): 1, ('1996', 'fcc', '04'): 1, ('fcc', '04', '72'): 1, ('04', '72', 'april'): 1, ('72', 'april', '13'): 1, ('april', '13', '2004'): 1})",
66,1699006724,dr1 10 17 2016 application denied based noncompliance fcc’s red light rule implements requirements fcc’s debt collection improvement act 1996 fcc 04 72 april 13 2004 mr1 spin change mci communications corp verizon online llc requested request appears operational spin change operational spin changes must postmarked received earlier date funding commitment decision letter fcdl program procedures usac unable process requests pre commitment operational spin changes mr2 frn modified accordance ral request,"['dr1', '10', '17', '2016', 'application', 'denied', 'based', 'noncompliance', 'fcc’s', 'red', 'light', 'rule', 'implements', 'requirements', 'fcc’s', 'debt', 'collection', 'improvement', 'act', '1996', 'fcc', '04', '72', 'april', '13', '2004', 'mr1', 'spin', 'change', 'mci', 'communications', 'corp', 'verizon', 'online', 'llc', 'requested', 'request', 'appears', 'operational', 'spin', 'change', 'operational', 'spin', 'changes', 'must', 'postmarked', 'received', 'earlier', 'date', 'funding', 'commitment', 'decision', 'letter', 'fcdl', 'program', 'procedures', 'usac', 'unable', 'process', 'requests', 'pre', 'commitment', 'operational', 'spin', 'changes', 'mr2', 'frn', 'modified', 'accordance', 'ral', 'request']","Counter({('operational', 'spin', 'changes'): 2, ('dr1', '10', '17'): 1, ('10', '17', '2016'): 1, ('17', '2016', 'application'): 1, ('2016', 'application', 'denied'): 1, ('application', 'denied', 'based'): 1, ('denied', 'based', 'noncompliance'): 1, ('based', 'noncompliance', 'fcc’s'): 1, ('noncompliance', 'fcc’s', 'red'): 1, ('fcc’s', 'red', 'light'): 1, ('red', 'light', 'rule'): 1, ('light', 'rule', 'implements'): 1, ('rule', 'implements', 'requirements'): 1, ('implements', 'requirements', 'fcc’s'): 1, ('requirements', 'fcc’s', 'debt'): 1, ('fcc’s', 'debt', 'collection'): 1, ('debt', 'collection', 'improvement'): 1, ('collection', 'improvement', 'act'): 1, ('improvement', 'act', '1996'): 1, ('act', '1996', 'fcc'): 1, ('1996', 'fcc', '04'): 1, ('fcc', '04', '72'): 1, ('04', '72', 'april'): 1, ('72', 'april', '13'): 1, ('april', '13', '2004'): 1, ('13', '2004', 'mr1'): 1, ('2004', 'mr1', 'spin'): 1, ('mr1', 'spin', 'change'): 1, ('spin', 'change', 'mci'): 1, ('change', 'mci', 'communications'): 1, ('mci', 'communications', 'corp'): 1, ('communications', 'corp', 'verizon'): 1, ('corp', 'verizon', 'online'): 1, ('verizon', 'online', 'llc'): 1, ('online', 'llc', 'requested'): 1, ('llc', 'requested', 'request'): 1, ('requested', 'request', 'appears'): 1, ('request', 'appears', 'operational'): 1, ('appears', 'operational', 'spin'): 1, ('operational', 'spin', 'change'): 1, ('spin', 'change', 'operational'): 1, ('change', 'operational', 'spin'): 1, ('spin', 'changes', 'must'): 1, ('changes', 'must', 'postmarked'): 1, ('must', 'postmarked', 'received'): 1, ('postmarked', 'received', 'earlier'): 1, ('received', 'earlier', 'date'): 1, ('earlier', 'date', 'funding'): 1, ('date', 'funding', 'commitment'): 1, ('funding', 'commitment', 'decision'): 1, ('commitment', 'decision', 'letter'): 1, ('decision', 'letter', 'fcdl'): 1, ('letter', 'fcdl', 'program'): 1, ('fcdl', 'program', 'procedures'): 1, ('program', 'procedures', 'usac'): 1, ('procedures', 'usac', 'unable'): 1, ('usac', 'unable', 'process'): 1, ('unable', 'process', 'requests'): 1, ('process', 'requests', 'pre'): 1, ('requests', 'pre', 'commitment'): 1, ('pre', 'commitment', 'operational'): 1, ('commitment', 'operational', 'spin'): 1, ('spin', 'changes', 'mr2'): 1, ('changes', 'mr2', 'frn'): 1, ('mr2', 'frn', 'modified'): 1, ('frn', 'modified', 'accordance'): 1, ('modified', 'accordance', 'ral'): 1, ('accordance', 'ral', 'request'): 1})",
95,1699013609,dr1 frn denied due failure advise bidders rfp issued rfp issued fcc form 470 indicated rfp existed,"['dr1', 'frn', 'denied', 'due', 'failure', 'advise', 'bidders', 'rfp', 'issued', 'rfp', 'issued', 'fcc', 'form', '470', 'indicated', 'rfp', 'existed']","Counter({('dr1', 'frn', 'denied'): 1, ('frn', 'denied', 'due'): 1, ('denied', 'due', 'failure'): 1, ('due', 'failure', 'advise'): 1, ('failure', 'advise', 'bidders'): 1, ('advise', 'bidders', 'rfp'): 1, ('bidders', 'rfp', 'issued'): 1, ('rfp', 'issued', 'rfp'): 1, ('issued', 'rfp', 'issued'): 1, ('rfp', 'issued', 'fcc'): 1, ('issued', 'fcc', 'form'): 1, ('fcc', 'form', '470'): 1, ('form', '470', 'indicated'): 1, ('470', 'indicated', 'rfp'): 1, ('indicated', 'rfp', 'existed'): 1})",
96,1699013747,dr1 frn denied due failure advise bidders rfp issued rfp issued fcc form 470 indicated rfp existed mr1 funding request modified 21 947 64 per month 8 521 90 per month match specifications outlined monetary agreement section contract,"['dr1', 'frn', 'denied', 'due', 'failure', 'advise', 'bidders', 'rfp', 'issued', 'rfp', 'issued', 'fcc', 'form', '470', 'indicated', 'rfp', 'existed', 'mr1', 'funding', 'request', 'modified', '21', '947', '64', 'per', 'month', '8', '521', '90', 'per', 'month', 'match', 'specifications', 'outlined', 'monetary', 'agreement', 'section', 'contract']","Counter({('dr1', 'frn', 'denied'): 1, ('frn', 'denied', 'due'): 1, ('denied', 'due', 'failure'): 1, ('due', 'failure', 'advise'): 1, ('failure', 'advise', 'bidders'): 1, ('advise', 'bidders', 'rfp'): 1, ('bidders', 'rfp', 'issued'): 1, ('rfp', 'issued', 'rfp'): 1, ('issued', 'rfp', 'issued'): 1, ('rfp', 'issued', 'fcc'): 1, ('issued', 'fcc', 'form'): 1, ('fcc', 'form', '470'): 1, ('form', '470', 'indicated'): 1, ('470', 'indicated', 'rfp'): 1, ('indicated', 'rfp', 'existed'): 1, ('rfp', 'existed', 'mr1'): 1, ('existed', 'mr1', 'funding'): 1, ('mr1', 'funding', 'request'): 1, ('funding', 'request', 'modified'): 1, ('request', 'modified', '21'): 1, ('modified', '21', '947'): 1, ('21', '947', '64'): 1, ('947', '64', 'per'): 1, ('64', 'per', 'month'): 1, ('per', 'month', '8'): 1, ('month', '8', '521'): 1, ('8', '521', '90'): 1, ('521', '90', 'per'): 1, ('90', 'per', 'month'): 1, ('per', 'month', 'match'): 1, ('month', 'match', 'specifications'): 1, ('match', 'specifications', 'outlined'): 1, ('specifications', 'outlined', 'monetary'): 1, ('outlined', 'monetary', 'agreement'): 1, ('monetary', 'agreement', 'section'): 1, ('agreement', 'section', 'contract'): 1})",
98,1699008427,dr1 7 26 2016 application denied based noncompliance fcc’s red light rule implements requirements fcc’s debt collection improvement act 1996 fcc 04 72 april 13 2004,"['dr1', '7', '26', '2016', 'application', 'denied', 'based', 'noncompliance', 'fcc’s', 'red', 'light', 'rule', 'implements', 'requirements', 'fcc’s', 'debt', 'collection', 'improvement', 'act', '1996', 'fcc', '04', '72', 'april', '13', '2004']","Counter({('dr1', '7', '26'): 1, ('7', '26', '2016'): 1, ('26', '2016', 'application'): 1, ('2016', 'application', 'denied'): 1, ('application', 'denied', 'based'): 1, ('denied', 'based', 'noncompliance'): 1, ('based', 'noncompliance', 'fcc’s'): 1, ('noncompliance', 'fcc’s', 'red'): 1, ('fcc’s', 'red', 'light'): 1, ('red', 'light', 'rule'): 1, ('light', 'rule', 'implements'): 1, ('rule', 'implements', 'requirements'): 1, ('implements', 'requirements', 'fcc’s'): 1, ('requirements', 'fcc’s', 'debt'): 1, ('fcc’s', 'debt', 'collection'): 1, ('debt', 'collection', 'improvement'): 1, ('collection', 'improvement', 'act'): 1, ('improvement', 'act', '1996'): 1, ('act', '1996', 'fcc'): 1, ('1996', 'fcc', '04'): 1, ('fcc', '04', '72'): 1, ('04', '72', 'april'): 1, ('72', 'april', '13'): 1, ('april', '13', '2004'): 1})",
186,1699015595,dr1 frn denied funding request duplicative current year frn program rules prohibit usac funding products services location funding year,"['dr1', 'frn', 'denied', 'funding', 'request', 'duplicative', 'current', 'year', 'frn', 'program', 'rules', 'prohibit', 'usac', 'funding', 'products', 'services', 'location', 'funding', 'year']","Counter({('dr1', 'frn', 'denied'): 1, ('frn', 'denied', 'funding'): 1, ('denied', 'funding', 'request'): 1, ('funding', 'request', 'duplicative'): 1, ('request', 'duplicative', 'current'): 1, ('duplicative', 'current', 'year'): 1, ('current', 'year', 'frn'): 1, ('year', 'frn', 'program'): 1, ('frn', 'program', 'rules'): 1, ('program', 'rules', 'prohibit'): 1, ('rules', 'prohibit', 'usac'): 1, ('prohibit', 'usac', 'funding'): 1, ('usac', 'funding', 'products'): 1, ('funding', 'products', 'services'): 1, ('products', 'services', 'location'): 1, ('services', 'location', 'funding'): 1, ('location', 'funding', 'year'): 1})",
189,1699144092,dr1 new frn split frn 1699015699 frn denied product service requested ineligible items cannot receive funding frn contains following ineligible product service unsubstantiated cost 81 37,"['dr1', 'new', 'frn', 'split', 'frn', '1699015699', 'frn', 'denied', 'product', 'service', 'requested', 'ineligible', 'items', 'cannot', 'receive', 'funding', 'frn', 'contains', 'following', 'ineligible', 'product', 'service', 'unsubstantiated', 'cost', '81', '37']","Counter({('dr1', 'new', 'frn'): 1, ('new', 'frn', 'split'): 1, ('frn', 'split', 'frn'): 1, ('split', 'frn', '1699015699'): 1, ('frn', '1699015699', 'frn'): 1, ('1699015699', 'frn', 'denied'): 1, ('frn', 'denied', 'product'): 1, ('denied', 'product', 'service'): 1, ('product', 'service', 'requested'): 1, ('service', 'requested', 'ineligible'): 1, ('requested', 'ineligible', 'items'): 1, ('ineligible', 'items', 'cannot'): 1, ('items', 'cannot', 'receive'): 1, ('cannot', 'receive', 'funding'): 1, ('receive', 'funding', 'frn'): 1, ('funding', 'frn', 'contains'): 1, ('frn', 'contains', 'following'): 1, ('contains', 'following', 'ineligible'): 1, ('following', 'ineligible', 'product'): 1, ('ineligible', 'product', 'service'): 1, ('product', 'service', 'unsubstantiated'): 1, ('service', 'unsubstantiated', 'cost'): 1, ('unsubstantiated', 'cost', '81'): 1, ('cost', '81', '37'): 1})",
