trigram,count
"('fcc', 'form', '470')",778
"('provided', 'sufficient', 'documentation')",741
"('fcc', 'order', '14')",740
"('order', '14', '99')",740
"('applicant', 'provided', 'sufficient')",735
"('sufficient', 'documentation', 'needed')",734
"('documentation', 'needed', 'determine')",729
"('needed', 'determine', 'eligibility')",729
"('determine', 'eligibility', 'following')",702
"('dr1', 'applicant', 'provided')",686
"('eligibility', 'following', 'item')",680
"('voice', 'services', 'subject')",650
"('according', 'fcc', 'order')",650
"('phase', 'support', 'beginning')",650
"('funding', 'year', '2015')",650
"('beginning', 'funding', 'year')",650
"('support', 'beginning', 'funding')",650
"('14', '99', 'voice')",650
"('99', 'voice', 'services')",650
"('subject', 'phase', 'support')",649
"('services', 'subject', 'phase')",649
"('0', 'frn', 'denied')",646
"('reduced', 'discount', 'rate')",644
"('therefore', 'frn’s', 'reduced')",644
"('year', '2015', 'therefore')",644
"('frn’s', 'reduced', 'discount')",644
"('discount', 'rate', '0')",644
"('2015', 'therefore', 'frn’s')",644
"('rate', '0', 'frn')",643
"('service', 'type', 'frn')",640
"('services', 'according', 'fcc')",639
"('voice', 'services', 'according')",639
"('frn', 'voice', 'services')",637
"('type', 'frn', 'voice')",636
"('dr1', 'service', 'type')",622
"('dr1', 'frn', 'denied')",546
"('fcc', 'rules', 'require')",459
"('competitive', 'bidding', 'process')",400
"('fcc', 'form', '471')",346
"('agree', 'applicant', 'documentation')",250
"('following', 'item', 'vendor')",244
"('item', 'vendor', 'documentation')",237
"('therefore', 'frn', 'denied')",231
"('chooses', 'service', 'provider')",214
"('rules', 'require', 'applicants')",194
"('individual', 'data', 'plans')",191
"('denied', 'applicant', 'failed')",190
"('based', 'program', 'rules')",184
"('form', '470', 'rfp')",170
"('dr1', 'fcc', 'rules')",170
"('applicant', 'failed', 'respond')",164
"('frn', 'denied', 'applicant')",163
"('frn', 'denied', 'mr1')",158
"('frn', 'must', 'denied')",151
"('frn', 'denied', 'since')",150
"('provide', 'bona', 'fide')",144
"('provide', 'accurate', 'bids')",144
"('eligible', 'support', 'eligible')",143
"('eligible', 'entity', 'applicants')",143
"('service', 'provider', 'defining')",143
"('defining', 'specific', 'services')",143
"('rules', 'require', 'competitive')",143
"('applicant', 'chooses', 'service')",143
"('support', 'eligible', 'entity')",143
"('process', 'applicant', 'chooses')",143
"('bidding', 'process', 'applicant')",143
"('services', 'eligible', 'support')",143
"('provider', 'defining', 'specific')",143
"('require', 'competitive', 'bidding')",143
"('specific', 'services', 'eligible')",143
"('requirement', 'frn', 'must')",141
"('services', 'requested', 'frn')",140
"('service', 'within', 'frn')",139
"('requesting', 'service', 'within')",136
"('eligible', 'products', 'services')",136
"('services', 'entities', 'fall')",135
"('products', 'services', 'entities')",135
"('frn', 'denied', 'request')",135
"('request', 'products', 'services')",135
"('entities', 'fall', 'authority')",135
"('denied', 'request', 'products')",135
"('cost', 'effective', 'option')",134
"('month', 'month', 'services')",128
"('tariff', 'month', 'month')",127
"('frn', 'denied', 'entities')",125
"('entity', 'met', 'program')",125
"('entities', 'requesting', 'service')",125
"('denied', 'entities', 'requesting')",125
"('determine', 'entity', 'met')",125
"('thirty', 'percent', 'frn')",125
"('requested', 'tariff', 'month')",124
"('met', 'program', 'rules')",124
"('review', 'information', 'request')",122
"('mr1', 'frn', 'modified')",120
"('information', 'request', 'provide')",115
"('failed', 'respond', 'administrator')",114
"('frn', 'therefore', 'frn')",113
"('provide', 'documentation', 'determine')",112
"('documentation', 'determine', 'entity')",112
"('request', 'provide', 'documentation')",112
"('frn', 'includes', 'request')",109
"('percent', 'frn', 'includes')",107
"('requested', 'fcc', 'form')",105
"('data', 'plans', 'air')",105
"('dr1', 'thirty', 'percent')",105
"('dr2', 'fcc', 'rules')",105
"('plans', 'air', 'cards')",105
"('price', 'eligible', 'products')",104
"('denied', 'dr2', 'fcc')",103
"('possible', 'individual', 'data')",102
"('wireless', 'local', 'area')",102
"('ineligible', 'unless', 'applicants')",102
"('applicants', 'demonstrate', 'either')",102
"('local', 'area', 'network')",102
"('either', 'installing', 'wireless')",102
"('unless', 'applicants', 'demonstrate')",102
"('demonstrate', 'either', 'installing')",102
"('plans', 'cost', 'effective')",102
"('physically', 'possible', 'individual')",102
"('installing', 'wireless', 'local')",102
"('area', 'network', 'physically')",102
"('data', 'plans', 'cost')",102
"('network', 'physically', 'possible')",102
"('respond', 'fcc', 'form')",101
"('cards', 'ineligible', 'unless')",101
"('form', '470', 'must')",101
"('air', 'cards', 'ineligible')",101
"('16049708', 'uncommon', 'schools')",100
"('fall', 'authority', '16049708')",100
"('rules', 'require', 'order')",100
"('authority', '16049708', 'uncommon')",100
"('legally', 'binding', 'agreement')",99
"('competitive', 'bidding', 'fcc')",97
"('bidding', 'fcc', 'form')",97
"('rules', 'competitive', 'bidding')",96
"('fide', 'request', 'services')",96
"('bona', 'fide', 'request')",96
"('competitive', 'bidding', 'program')",96
"('denied', 'mr1', 'frn')",96
"('program', 'rules', 'competitive')",96
"('funding', 'request', 'changed')",95
"('universal', 'service', 'fund')",95
"('receive', 'universal', 'service')",95
"('form', '471', 'certifications')",95
"('amount', 'funding', 'request')",95
"('bidding', 'program', 'rules')",95
"('service', 'fund', 'support')",95
"('products', 'services', 'requested')",94
"('violated', 'competitive', 'bidding')",92
"('dr1', 'fcc', 'form')",92
"('prohibit', 'usac', 'funding')",91
"('services', 'location', 'funding')",91
"('program', 'rules', 'prohibit')",91
"('location', 'funding', 'year')",91
"('frn', 'denied', 'funding')",91
"('rules', 'prohibit', 'usac')",91
"('denied', 'funding', 'request')",91
"('usac', 'funding', 'products')",90
"('funding', 'products', 'services')",90
"('funding', 'request', 'duplicative')",90
"('per', 'fcc', 'order')",90
"('year', 'frn', 'program')",90
"('current', 'year', 'frn')",90
"('products', 'services', 'location')",90
"('frn', 'program', 'rules')",90
"('99', 'individual', 'data')",89
"('14', '99', 'individual')",89
"('either', 'two', 'requirements')",88
"('effective', 'option', 'demonstrated')",88
"('duplicative', 'current', 'year')",88
"('option', 'demonstrated', 'either')",88
"('request', 'duplicative', 'current')",88
"('eligible', 'schools', 'libraries')",88
"('demonstrated', 'either', 'two')",88
"('requirements', 'applies', 'services')",88
"('applies', 'services', 'requested')",88
"('schools', 'libraries', 'nifs')",88
"('two', 'requirements', 'applies')",88
"('service', 'based', 'program')",86
"('program', 'rules', 'require')",84
"('select', 'cost', 'effective')",84
"('fair', 'open', 'competitive')",83
"('referenced', 'fcc', 'form')",82
"('denied', 'since', 'services')",82
"('services', 'requested', 'ineligible')",82
"('requested', 'frn', 'therefore')",82
"('since', 'services', 'requested')",82
"('connected', 'eligible', 'schools')",82
"('open', 'competitive', 'bidding')",80
"('use', 'based', 'program')",79
"('ineligible', 'use', 'based')",79
"('applicant', 'documentation', 'mr2')",78
"('applicant’s', 'fcc', 'form')",77
"('description', 'services', 'seek')",77
"('met', 'frn', 'denied')",77
"('seek', 'may', 'posted')",77
"('complete', 'description', 'services')",77
"('since', 'requirement', 'met')",77
"('requirement', 'met', 'frn')",77
"('services', 'seek', 'may')",77
"('may', 'posted', 'competing')",77
"('form', '471', 'certification')",74
"('dr1', 'per', 'fcc')",74
"('based', 'review', 'member')",74
"('definition', 'elementary', 'secondary')",73
"('available', 'potential', 'bidders')",73
"('schools', 'receive', 'universal')",73
"('statutory', 'definition', 'elementary')",73
"('meet', 'statutory', 'definition')",73
"('elementary', 'secondary', 'schools')",73
"('secondary', 'schools', 'receive')",73
"('instance', 'stated', 'rfp')",72
"('bid', '”', 'however')",72
"('bidders', 'answered', 'mr')",72
"('rfp', 'used', 'merely')",72
"('rfp', 'used', 'way')",72
"('bidders', 'choosing', 'winning')",72
"('bidders', 'service', 'providers')",72
"('alone', 'solicitation', 'referenced')",72
"('bidders', 'submit', 'accurate')",72
"('schools', 'libraries', '”')",72
"('bids', 'determined', 'violated')",72
"('winning', 'bid', '”')",72
"('based', 'upon', 'current')",72
"('bidders', 'would', 'deemed')",72
"('part', 'schools', 'libraries')",72
"('bona', 'fide', 'requests')",72
"('deemed', 'essential', 'submitting')",72
"('bids', 'fcc', 'elaborated')",72
"('bidding', 'process', 'funding')",72
"('rfp', 'posted', 'fy2016')",72
"('160029101', 'failed', 'provide')",72
"('pertinent', 'information', 'prospective')",72
"('created', 'years', 'ago')",72
"('current', 'needs', 'must')",72
"('require', 'accountability', 'part')",72
"('current', 'needs', 'failed')",72
"('requests', 'service', 'potential')",72
"('request', 'services', 'current')",72
"('valid', 'proposals', 'failed')",72
"('could', 'provide', 'accurate')",72
"('conduct', 'internal', 'assessments')",72
"('order', '2', 'submit')",72
"('answered', 'mr', 'malavé')",72
"('selective', 'review', 'information')",72
"('order', 'applicant’s', 'fcc')",72
"('order', 'stated', 'congress')",72
"('160029101', '“was', 'created')",72
"('congress', '“intended', 'require')",72
"('components', 'necessary', 'use')",72
"('assessments', 'components', 'necessary')",72
"('requirements', 'fair', 'open')",72
"('pertinent', 'information', 'available')",72
"('changes', 'free', 'services')",72
"('per', 'fcc’s', 'ysleta')",72
"('violated', 'fcc’s', 'requirements')",72
"('choosing', 'winning', 'bid')",72
"('way', 'evaluate', 'prospective')",72
"('required', '“', '1')",72
"('ago', 'changes', 'free')",72
"('internal', 'assessments', 'components')",72
"('required', 'questions', 'prospective')",72
"('required', 'provide', 'bona')",72
"('competing', 'providers', 'evaluate')",72
"('applicants', 'required', 'provide')",72
"('competitive', 'bid', 'rules')",72
"('instructions', 'prospective', 'bidders')",72
