,trigram,count,phrase_array,category_arrays,evan_ids
0,"('fcc', 'form', '470')",778,fcc form 470,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Ineligible Service', 'No 470', 'Competitive Bidding Violation - 28 day failure', 'Missing documentation needed to determine eligible service', 'Competitive Bidding Violation - price not primary factor']","[8, 16, 36, 44, 54, 59, 69, 70, 71, 75, 77, 78, 81, 82, 84, 85, 88, 89, 90, 94, 97, 103, 107, 152, 168, 170, 172, 174, 178]"
1,"('provided', 'sufficient', 'documentation')",741,provided sufficient documentation,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service']","[3, 5, 7, 9, 10, 12, 39, 40, 49, 51, 53, 57, 61, 67, 76, 92, 93, 98, 101, 102, 104, 105, 110, 112, 114, 117, 118, 122, 129, 130, 133, 139, 141, 142, 145, 146, 147, 148, 149, 152, 153, 154, 155, 156, 160, 164, 165, 166, 169, 173, 176, 177, 183, 186, 187, 188, 190, 191, 193, 198]"
2,"('fcc', 'order', '14')",740,fcc order 14,"['470 / 471 Mismatch', 'Voice - no discount remaining', 'Ineligible Service']","[8, 43, 46, 52, 60, 63, 83, 119, 120, 128, 136, 185]"
3,"('order', '14', '99')",740,order 14 99,"['Voice - no discount remaining', 'Ineligible Service']","[43, 46, 52, 60, 63, 83, 119, 120, 128, 136, 185]"
4,"('applicant', 'provided', 'sufficient')",735,applicant provided sufficient,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service']","[3, 5, 7, 9, 10, 12, 39, 40, 49, 51, 53, 57, 61, 67, 76, 92, 93, 98, 101, 102, 104, 105, 110, 112, 114, 117, 118, 122, 129, 130, 133, 139, 141, 142, 145, 146, 147, 148, 149, 152, 153, 154, 155, 156, 160, 164, 165, 166, 169, 173, 176, 177, 183, 186, 187, 188, 190, 191, 193, 198]"
5,"('sufficient', 'documentation', 'needed')",734,sufficient documentation needed,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service']","[3, 5, 7, 9, 10, 12, 39, 40, 49, 51, 53, 57, 61, 67, 76, 92, 93, 98, 101, 102, 104, 105, 110, 112, 114, 117, 118, 122, 129, 130, 133, 139, 141, 142, 145, 146, 147, 148, 149, 152, 153, 154, 155, 156, 160, 164, 165, 166, 169, 173, 176, 177, 183, 186, 187, 188, 190, 191, 193, 198]"
6,"('documentation', 'needed', 'determine')",729,documentation needed determine,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service']","[3, 5, 7, 9, 10, 12, 39, 40, 49, 51, 53, 57, 61, 67, 76, 92, 93, 98, 101, 102, 104, 105, 110, 112, 114, 117, 118, 122, 129, 130, 133, 139, 141, 142, 145, 146, 147, 148, 149, 152, 153, 154, 155, 156, 160, 164, 165, 166, 169, 173, 176, 177, 183, 186, 187, 188, 190, 191, 198]"
7,"('needed', 'determine', 'eligibility')",729,needed determine eligibility,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service']","[3, 5, 7, 9, 10, 12, 39, 40, 49, 51, 53, 57, 61, 67, 76, 92, 93, 98, 101, 102, 104, 105, 110, 112, 114, 117, 118, 122, 129, 130, 133, 139, 141, 142, 145, 146, 147, 148, 149, 152, 153, 154, 155, 156, 160, 164, 165, 166, 169, 173, 176, 177, 183, 186, 187, 188, 190, 191, 198]"
8,"('determine', 'eligibility', 'following')",702,determine eligibility following,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service']","[3, 5, 7, 9, 10, 12, 39, 40, 49, 51, 53, 57, 61, 67, 76, 92, 93, 98, 101, 102, 104, 105, 110, 112, 114, 117, 118, 122, 129, 130, 133, 139, 141, 142, 145, 146, 147, 148, 149, 152, 153, 154, 155, 156, 160, 164, 165, 166, 169, 173, 176, 177, 183, 186, 187, 188, 190, 191, 198]"
9,"('dr1', 'applicant', 'provided')",686,dr1 applicant provided,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service']","[3, 5, 7, 9, 10, 12, 39, 40, 49, 51, 53, 57, 61, 67, 76, 92, 93, 98, 101, 102, 104, 105, 110, 112, 114, 117, 118, 129, 130, 133, 139, 141, 142, 145, 146, 148, 149, 152, 153, 154, 155, 156, 160, 164, 165, 166, 169, 173, 176, 177, 183, 186, 187, 188, 190, 191, 193, 198]"
