trigram,count,phrase_array,category_arrays,evan_ids,CATEGORY,Other Notes,all_categories
"('frn', 'must', 'denied')",151,frn must denied,"['470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation']","[8, 42, 44, 78, 107]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('requirement', 'frn', 'must')",141,requirement frn must,"['470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation']","[8, 42, 44, 78, 107]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('fcc', 'order', '14')",740,fcc order 14,"['470 / 471 Mismatch', 'Voice - no discount remaining', 'Ineligible Service']","[8, 43, 46, 52, 60, 63, 83, 119, 120, 128, 136, 185]",Voice - no discount remaining ,,"['Voice - no discount remaining ', None]"
"('following', 'item', 'vendor')",244,following item vendor,"['Applicant ineligible', 'Missing required fields on 471', 'Ineligible Service', 'Missing documentation needed to determine eligible service']","[5, 12, 40, 49, 53, 57, 67, 104, 105, 117, 118, 122, 130, 139, 141, 142, 145, 146, 147, 148, 164, 173, 176, 190, 198]",Missing documentation needed to determine eligible service,,"['Missing documentation needed to determine eligible service', None]"
"('item', 'vendor', 'documentation')",237,item vendor documentation,"['Applicant ineligible', 'Missing required fields on 471', 'Ineligible Service', 'Missing documentation needed to determine eligible service']","[5, 12, 40, 49, 53, 57, 67, 104, 105, 117, 118, 122, 130, 139, 141, 142, 145, 146, 147, 148, 164, 173, 176, 190, 198]",Missing documentation needed to determine eligible service,,"['Missing documentation needed to determine eligible service', None]"
"('service', 'within', 'frn')",139,service within frn,['Applicant ineligible'],"[4, 5, 55, 108, 121, 122, 124, 132, 140, 143, 144, 147, 158, 159, 163, 167]",Applicant Ineligible,,"['Applicant Ineligible', None]"
"('requesting', 'service', 'within')",136,requesting service within,['Applicant ineligible'],"[4, 5, 55, 108, 121, 122, 143, 144, 147, 158, 159, 163, 167]",Applicant Ineligible,,"['Applicant Ineligible', None]"
"('frn', 'denied', 'entities')",125,frn denied entities,['Applicant ineligible'],"[4, 5, 55, 108, 121, 122, 143, 144, 147, 158, 167]",Applicant Ineligible,,"['Applicant Ineligible', None]"
"('entities', 'requesting', 'service')",125,entities requesting service,['Applicant ineligible'],"[4, 5, 55, 108, 121, 122, 143, 144, 147, 158, 167]",Applicant Ineligible,,"['Applicant Ineligible', None]"
"('denied', 'entities', 'requesting')",125,denied entities requesting,['Applicant ineligible'],"[4, 5, 55, 108, 121, 122, 143, 144, 147, 158, 167]",Applicant Ineligible,,"['Applicant Ineligible', None]"
"('rules', 'require', 'applicants')",194,rules require applicants,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor']","[2, 8, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 42, 44, 45, 56, 87, 95]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('competitive', 'bidding', 'process')",400,competitive bidding process,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Ineligible Service', '470 / 471 Mismatch']","[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 32, 33, 34, 35, 36, 54, 59, 77, 78, 81, 97, 103, 107, 178]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('eligible', 'products', 'services')",136,eligible products services,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Ineligible Service']","[15, 18, 21, 22, 26, 27, 28, 29, 42, 76, 100, 172, 174]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('fcc', 'rules', 'require')",459,fcc rules require,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'No signed contract in place', 'No 470']","[2, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 42, 45, 56, 78, 80, 84, 87, 95, 107, 162, 168, 170]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('dr1', 'fcc', 'rules')",170,dr1 fcc rules,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']","[2, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 45, 56, 78, 87, 95, 107]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('review', 'information', 'request')",122,review information request,"['Competitive Bidding Violation', 'Fiber review failure', 'Missing documentation to determin competitive bidding']","[6, 7, 96, 109, 116, 125, 126, 131, 134, 151, 199, 200]",Missing documentation,,"['Missing documentation', None]"
"('denied', 'applicant', 'failed')",190,denied applicant failed,"['Competitive Bidding Violation', 'Ineligible Service', 'Fiber review failure', 'Missing documentation to determin competitive bidding']","[6, 7, 57, 67, 96, 109, 116, 125, 126, 131, 134, 151, 199, 200]",Missing documentation to determine competitive bidding,Failed to respond to request,"['Missing documentation to determine competitive bidding', 'Failed to respond to request']"
"('applicant', 'failed', 'respond')",164,applicant failed respond,"['Competitive Bidding Violation', 'Ineligible Service', 'Fiber review failure', 'Missing documentation to determin competitive bidding']","[6, 7, 57, 67, 96, 109, 116, 125, 126, 131, 134, 151, 199, 200]",Missing documentation to determine competitive bidding,Failed to respond to request,"['Missing documentation to determine competitive bidding', 'Failed to respond to request']"
"('frn', 'denied', 'applicant')",163,frn denied applicant,"['Competitive Bidding Violation', 'Ineligible Service', 'Fiber review failure', 'Missing documentation to determin competitive bidding']","[6, 7, 57, 67, 96, 109, 116, 125, 126, 131, 134, 151, 199, 200]",Missing documentation to determine competitive bidding,Failed to respond to request,"['Missing documentation to determine competitive bidding', 'Failed to respond to request']"
"('failed', 'respond', 'administrator')",114,failed respond administrator,"['Competitive Bidding Violation', 'Ineligible Service', 'Fiber review failure', 'Missing documentation to determin competitive bidding']","[6, 7, 57, 67, 96, 109, 116, 125, 126, 131, 134, 151, 199, 200]",Missing documentation to determine competitive bidding,Failed to respond to request,"['Missing documentation to determine competitive bidding', 'Failed to respond to request']"
"('met', 'program', 'rules')",124,met program rules,"['Competitive Bidding Violation', 'Missing documentation to determin competitive bidding', 'Fiber review failure']","[6, 7, 116, 125, 126, 131, 134, 151, 199, 200]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('information', 'request', 'provide')",115,information request provide,"['Competitive Bidding Violation', 'Missing documentation to determin competitive bidding', 'Fiber review failure']","[6, 116, 125, 126, 131, 134, 151, 199, 200]",Missing documentation to determine competitive bidding,Failed to respond to request,"['Missing documentation to determine competitive bidding', 'Failed to respond to request']"
"('provide', 'documentation', 'determine')",112,provide documentation determine,"['Competitive Bidding Violation', 'Missing documentation to determin competitive bidding', 'Fiber review failure']","[6, 116, 125, 126, 131, 134, 151, 199, 200]",Missing documentation to determine competitive bidding,Failed to respond to request,"['Missing documentation to determine competitive bidding', 'Failed to respond to request']"
"('request', 'provide', 'documentation')",112,request provide documentation,"['Competitive Bidding Violation', 'Missing documentation to determin competitive bidding', 'Fiber review failure']","[6, 116, 125, 126, 131, 134, 151, 199, 200]",Missing documentation to determine competitive bidding,Failed to respond to request,"['Missing documentation to determine competitive bidding', 'Failed to respond to request']"
"('entity', 'met', 'program')",125,entity met program,"['Competitive Bidding Violation', 'Missing documentation to determin competitive bidding']","[6, 7, 116, 125, 126, 131, 134, 151, 200]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('determine', 'entity', 'met')",125,determine entity met,"['Competitive Bidding Violation', 'Missing documentation to determin competitive bidding']","[6, 7, 116, 125, 126, 131, 134, 151, 200]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('documentation', 'determine', 'entity')",112,documentation determine entity,"['Competitive Bidding Violation', 'Missing documentation to determin competitive bidding']","[6, 116, 125, 126, 131, 134, 151, 200]",Missing documentation to determine competitive bidding,,"['Missing documentation to determine competitive bidding', None]"
"('chooses', 'service', 'provider')",214,chooses service provider,['Competitive Bidding Violation'],"[78, 107]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('provide', 'bona', 'fide')",144,provide bona fide,['Competitive Bidding Violation'],"[78, 107]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('provide', 'accurate', 'bids')",144,provide accurate bids,['Competitive Bidding Violation'],"[78, 107]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('eligible', 'support', 'eligible')",143,eligible support eligible,['Competitive Bidding Violation'],"[78, 107]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('eligible', 'entity', 'applicants')",143,eligible entity applicants,['Competitive Bidding Violation'],"[78, 107]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
