line_item_id,district_esh_id,district_name,ben,free_and_reduced,service_provider_name,providers_typical_category,postal_cd,highest_connect_type,num_of_services,bandwidth_in_mbps,num_students,connect_category,cost_per_line,frn_complete
81432,882778,SOUTHWEST REGION SCHOOL DISTRICT,145573,489,GCI Communication Corp,Other / Uncategorized,AK,Fiber,8,10.0,587,Fixed Wireless,499392.0,2753125-7
81433,882778,SOUTHWEST REGION SCHOOL DISTRICT,145573,489,GCI Communication Corp,Other / Uncategorized,AK,Fiber,8,10.0,587,Fixed Wireless,499392.0,2753125-4
81434,882778,SOUTHWEST REGION SCHOOL DISTRICT,145573,489,GCI Communication Corp,Other / Uncategorized,AK,Fiber,8,10.0,587,Fixed Wireless,13200.0,2753125-6
81435,882778,SOUTHWEST REGION SCHOOL DISTRICT,145573,489,GCI Communication Corp,Other / Uncategorized,AK,Fiber,8,10.0,587,Fixed Wireless,499392.0,2753125-5
81436,882778,SOUTHWEST REGION SCHOOL DISTRICT,145573,489,GCI Communication Corp,Other / Uncategorized,AK,Fiber,8,10.0,587,Fixed Wireless,499392.0,2753125-3
81437,882778,SOUTHWEST REGION SCHOOL DISTRICT,145573,489,GCI Communication Corp,Other / Uncategorized,AK,Fiber,8,10.0,587,Fixed Wireless,499392.0,2753125-2
81438,882778,SOUTHWEST REGION SCHOOL DISTRICT,145573,489,GCI Communication Corp,Other / Uncategorized,AK,Fiber,8,10.0,587,Fiber,13200.0,2753125-1
81439,882700,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,145598,5802,"Matanuska Telephone Association, Inc.",Fiber,AK,Fiber,42,500.0,17484,Fiber,93120.0,2753245-1
81451,882700,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,145598,5802,"Matanuska Telephone Association, Inc.",Fiber,AK,Fiber,42,30.0,17484,Other / Uncategorized,6996.0,2753285-1
81457,882700,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,145598,5802,"Matanuska Telephone Association, Inc.",Fiber,AK,Fiber,42,100.0,17484,Fixed Wireless,13680.0,2753285-3
