verified_category,predicted_category,raw_category,test_data.frn_complete,guessed_correctly,clean_the_line_item
Fiber,Fiber,Fiber,2717919-4,TRUE,FALSE
Copper,Other / Uncategorized,Other / Uncategorized,2718071-1,FALSE,FALSE
Copper,Cable / DSL,Copper,2718159-1,FALSE,FALSE
Cable / DSL,Cable / DSL,Other / Uncategorized,2718647-1,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2718768-1,TRUE,TRUE
Fiber,Fiber,Fiber,2718924-1,TRUE,FALSE
Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2718946-1,TRUE,FALSE
Fiber,Fiber,Fiber,2719315-1,TRUE,FALSE
Fiber,Fiber,Fiber,2719572-1,TRUE,FALSE
Fiber,Fiber,Fiber,2719588-1,TRUE,FALSE
Fiber,Fiber,Fiber,2720055-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2720310-1,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2720654-1,TRUE,TRUE
Fiber,Fiber,Fiber,2720697-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2721044-1,TRUE,TRUE
Cable / DSL,Cable / DSL,Other / Uncategorized,2721825-1,TRUE,TRUE
Fiber,Fiber,Fiber,2722354-1,TRUE,FALSE
Fiber,Fiber,Fiber,2722361-1,TRUE,FALSE
Cable / DSL,Cable / DSL,Cable / DSL,2722415-1,TRUE,FALSE
Fiber,Fiber,Fiber,2722534-1,TRUE,FALSE
Other / Uncategorized,Fiber,Other / Uncategorized,2722661-1,FALSE,FALSE
Copper,Copper,Copper,2722762-1,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2722820-2,TRUE,TRUE
Fiber,Fiber,Fiber,2722820-5,TRUE,FALSE
Fiber,Fiber,Other / Uncategorized,2722850-1,TRUE,TRUE
Fiber,Fiber,Other / Uncategorized,2722965-1,TRUE,TRUE
Fiber,Fiber,Fiber,2723234-1,TRUE,FALSE
Fiber,Fiber,Fiber,2723303-1,TRUE,FALSE
Fiber,Fiber,Fiber,2724157-5,TRUE,FALSE
Fixed Wireless,Fixed Wireless,Fixed Wireless,2724183-2,TRUE,FALSE
