,verified_category,predicted_category,raw_category,test_data.frn_complete,guessed_correctly
21,Fiber,Copper,Copper,2718261-1,FALSE
23,Other / Uncategorized,Fiber,Other / Uncategorized,2718273-1,FALSE
165,Cable / DSL,Fiber,Cable / DSL,2720893-1,FALSE
228,Cable / DSL,Copper,Cable / DSL,2721875-1,FALSE
609,Other / Uncategorized,Fiber,Fiber,2726792-1,FALSE
636,Other / Uncategorized,Cable / DSL,Other / Uncategorized,2727094-1,FALSE
720,Fixed Wireless,Fiber,Fixed Wireless,2728618-1,FALSE
851,Other / Uncategorized,Fiber,Fiber,2730187-1,FALSE
942,Fiber,Other / Uncategorized,Fiber,2732204-1,FALSE
1217,Other / Uncategorized,Fiber,Fiber,2735722-1,FALSE
1555,Fixed Wireless,Cable / DSL,Other / Uncategorized,2740732-1,FALSE
1599,Other / Uncategorized,Fiber,Other / Uncategorized,2741307-1,FALSE
1611,Other / Uncategorized,Fiber,Other / Uncategorized,2741484-2,FALSE
1824,Other / Uncategorized,Fiber,Other / Uncategorized,2744554-1,FALSE
2361,Other / Uncategorized,Fiber,Fiber,2752338-1,FALSE
2435,Cable / DSL,Fixed Wireless,Cable / DSL,2753434-1,FALSE
2515,Other / Uncategorized,Fiber,Other / Uncategorized,2754939-1,FALSE
2586,Cable / DSL,Fiber,Cable / DSL,2755734-1,FALSE
2747,Other / Uncategorized,Cable / DSL,Other / Uncategorized,2759249-1,FALSE
2910,Other / Uncategorized,Fiber,Fiber,2761549-1,FALSE
2941,Other / Uncategorized,Fiber,Fiber,2762140-1,FALSE
3393,Fixed Wireless,Fiber,Other / Uncategorized,2767575-1,FALSE
3411,Cable / DSL,Fiber,Other / Uncategorized,2767701-4,FALSE
3502,Other / Uncategorized,Fiber,Fiber,2768785-1,FALSE
3950,Other / Uncategorized,Fiber,Other / Uncategorized,2776027-2,FALSE
3985,Fiber,Other / Uncategorized,Other / Uncategorized,2776469-1,FALSE
4222,Other / Uncategorized,Fiber,Fiber,2778734-1,FALSE
4264,Other / Uncategorized,Fiber,Fiber,2779832-1,FALSE
4328,Cable / DSL,Fiber,Cable / DSL,2781195-1,FALSE
4409,Cable / DSL,Fiber,Cable / DSL,2782991-1,FALSE
4805,Other / Uncategorized,Fiber,Fiber,2791549-1,FALSE
4822,Fiber,Other / Uncategorized,Fiber,2792041-1,FALSE
4837,Other / Uncategorized,Fiber,Fiber,2792408-1,FALSE
5013,Cable / DSL,Fiber,Cable / DSL,2796321-1,FALSE
5091,Other / Uncategorized,Fiber,Fiber,2797726-1,FALSE
5247,Fixed Wireless,Fiber,Fiber,2801385-1,FALSE
5467,Fiber,Other / Uncategorized,Other / Uncategorized,2807094-1,FALSE
5502,Other / Uncategorized,Fiber,Fiber,2808186-1,FALSE
5628,Fiber,Other / Uncategorized,Other / Uncategorized,2809926-1,FALSE
5794,Cable / DSL,Fiber,Cable / DSL,2810932-1,FALSE
5982,Fiber,Other / Uncategorized,Fiber,2813128-1,FALSE
6304,Other / Uncategorized,Fiber,Other / Uncategorized,2819383-1,FALSE
6351,Fiber,Fixed Wireless,Fiber,2820471-1,FALSE
6398,Other / Uncategorized,Fiber,Other / Uncategorized,2821624-1,FALSE
6807,Cable / DSL,Fiber,Cable / DSL,2829141-1,FALSE
6817,Fiber,Other / Uncategorized,Fiber,2829238-1,FALSE
6853,Other / Uncategorized,Fiber,Other / Uncategorized,2829768-1,FALSE
7425,Other / Uncategorized,Fiber,Fiber,2836882-1,FALSE
7794,Other / Uncategorized,Fiber,Fiber,2843583-1,FALSE
7918,Fiber,Fixed Wireless,Fiber,2846553-4,FALSE
7931,Fiber,Other / Uncategorized,Fiber,2847328-1,FALSE
8222,Other / Uncategorized,Fiber,Other / Uncategorized,2854374-1,FALSE
8223,Cable / DSL,Fiber,Other / Uncategorized,2854393-1,FALSE
8266,Other / Uncategorized,Fiber,Other / Uncategorized,2855242-1,FALSE
8284,Other / Uncategorized,Fiber,Fiber,2855536-1,FALSE
8306,Other / Uncategorized,Fiber,Fiber,2856181-1,FALSE
8322,Fixed Wireless,Fiber,Fixed Wireless,2856491-2,FALSE
8346,Other / Uncategorized,Fiber,Other / Uncategorized,2856845-1,FALSE
8695,Cable / DSL,Fiber,Other / Uncategorized,2866702-1,FALSE
8705,Fiber,Other / Uncategorized,Fiber,2867011-1,FALSE
8785,Other / Uncategorized,Fiber,Other / Uncategorized,2869369-1,FALSE
8825,Other / Uncategorized,Fixed Wireless,Other / Uncategorized,2870337-1,FALSE
3,Fiber,Fiber,Fiber,2717919-3,TRUE
