line_item_id,district_esh_id,district_name,ben,free_and_reduced,service_provider_name,providers_typical_category,consultants_typical_category,consultant_name,postal_cd,highest_connect_type,num_of_services,bandwidth_in_mbps,copper_line,num_students,connect_category,cost_per_line,frn_complete
81432,882778,SOUTHWEST REGION SCHOOL DISTRICT,145573,489,GCI Communication Corp,Other / Uncategorized,No Consultant,No Consultant,AK,Fiber,8,10.0,false,587,Fixed Wireless,499392.0,2753125-7
81433,882778,SOUTHWEST REGION SCHOOL DISTRICT,145573,489,GCI Communication Corp,Other / Uncategorized,No Consultant,No Consultant,AK,Fiber,8,10.0,false,587,Fixed Wireless,499392.0,2753125-4
81434,882778,SOUTHWEST REGION SCHOOL DISTRICT,145573,489,GCI Communication Corp,Other / Uncategorized,No Consultant,No Consultant,AK,Fiber,8,10.0,false,587,Fixed Wireless,13200.0,2753125-6
81435,882778,SOUTHWEST REGION SCHOOL DISTRICT,145573,489,GCI Communication Corp,Other / Uncategorized,No Consultant,No Consultant,AK,Fiber,8,10.0,false,587,Fixed Wireless,499392.0,2753125-5
81436,882778,SOUTHWEST REGION SCHOOL DISTRICT,145573,489,GCI Communication Corp,Other / Uncategorized,No Consultant,No Consultant,AK,Fiber,8,10.0,false,587,Fixed Wireless,499392.0,2753125-3
81437,882778,SOUTHWEST REGION SCHOOL DISTRICT,145573,489,GCI Communication Corp,Other / Uncategorized,No Consultant,No Consultant,AK,Fiber,8,10.0,false,587,Fixed Wireless,499392.0,2753125-2
81438,882778,SOUTHWEST REGION SCHOOL DISTRICT,145573,489,GCI Communication Corp,Other / Uncategorized,No Consultant,No Consultant,AK,Fiber,8,10.0,false,587,Fiber,13200.0,2753125-1
81439,882700,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,145598,5802,"Matanuska Telephone Association, Inc.",Fiber,Fiber,ERIN JOHNSON,AK,Fiber,43,500.0,false,17484,Fiber,93120.0,2753245-1
81451,882700,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,145598,5802,"Matanuska Telephone Association, Inc.",Fiber,Fiber,ERIN JOHNSON,AK,Fiber,43,30.0,false,17484,Other / Uncategorized,6996.0,2753285-1
81457,882700,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,145598,5802,"Matanuska Telephone Association, Inc.",Fiber,Fiber,ERIN JOHNSON,AK,Fiber,43,100.0,false,17484,Fixed Wireless,13680.0,2753285-3
81458,882700,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,145598,5802,"Matanuska Telephone Association, Inc.",Fiber,Fiber,ERIN JOHNSON,AK,Fiber,43,40.0,false,17484,Other / Uncategorized,7644.0,2753285-2
81494,882828,YUKON/KOYUKUK SCHOOL DISTRICT,145628,151,DRS Technical Services Inc.,Other / Uncategorized,No Consultant,No Consultant,AK,Fixed Wireless,11,10.0,false,1474,Fixed Wireless,207000.0,2740044-7
81495,882828,YUKON/KOYUKUK SCHOOL DISTRICT,145628,151,DRS Technical Services Inc.,Other / Uncategorized,No Consultant,No Consultant,AK,Fixed Wireless,11,10.0,false,1474,Fixed Wireless,207000.0,2740044-9
81496,882828,YUKON/KOYUKUK SCHOOL DISTRICT,145628,151,DRS Technical Services Inc.,Other / Uncategorized,No Consultant,No Consultant,AK,Fixed Wireless,11,10.0,false,1474,Fixed Wireless,207000.0,2740044-8
81497,882828,YUKON/KOYUKUK SCHOOL DISTRICT,145628,151,DRS Technical Services Inc.,Other / Uncategorized,No Consultant,No Consultant,AK,Fixed Wireless,11,70.0,false,1474,Fixed Wireless,131520.0,2740044-10
81498,882828,YUKON/KOYUKUK SCHOOL DISTRICT,145628,151,DRS Technical Services Inc.,Other / Uncategorized,No Consultant,No Consultant,AK,Fixed Wireless,11,10.0,false,1474,Fixed Wireless,207000.0,2740044-6
81499,882828,YUKON/KOYUKUK SCHOOL DISTRICT,145628,151,DRS Technical Services Inc.,Other / Uncategorized,No Consultant,No Consultant,AK,Fixed Wireless,11,10.0,false,1474,Fixed Wireless,207000.0,2740044-5
81500,882828,YUKON/KOYUKUK SCHOOL DISTRICT,145628,151,DRS Technical Services Inc.,Other / Uncategorized,No Consultant,No Consultant,AK,Fixed Wireless,11,10.0,false,1474,Fixed Wireless,207000.0,2740044-4
81501,882828,YUKON/KOYUKUK SCHOOL DISTRICT,145628,151,DRS Technical Services Inc.,Other / Uncategorized,No Consultant,No Consultant,AK,Fixed Wireless,11,10.0,false,1474,Fixed Wireless,207000.0,2740044-3
81502,882828,YUKON/KOYUKUK SCHOOL DISTRICT,145628,151,DRS Technical Services Inc.,Other / Uncategorized,No Consultant,No Consultant,AK,Fixed Wireless,11,10.0,false,1474,Fixed Wireless,207000.0,2740044-2
81503,882828,YUKON/KOYUKUK SCHOOL DISTRICT,145628,151,DRS Technical Services Inc.,Other / Uncategorized,No Consultant,No Consultant,AK,Fixed Wireless,11,10.0,false,1474,Fixed Wireless,207000.0,2740044-1
81505,882778,SOUTHWEST REGION SCHOOL DISTRICT,145573,489,GCI Communication Corp,Other / Uncategorized,No Consultant,No Consultant,AK,Fiber,8,30.0,false,587,Fixed Wireless,785436.0,2753154-1
81510,882700,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,145598,5802,"Matanuska Telephone Association, Inc.",Fiber,Fiber,ERIN JOHNSON,AK,Fiber,43,500.0,false,17484,Fiber,88896.0,2753241-1
81515,882581,ALEUTIAN REGION SCHOOL DISTRICT,145618,-2,GCI Communication Corp,Other / Uncategorized,No Consultant,No Consultant,AK,Cable / DSL,4,10.0,false,27,Fixed Wireless,192120.0,2740899-1
81516,882581,ALEUTIAN REGION SCHOOL DISTRICT,145618,-2,GCI Communication Corp,Other / Uncategorized,No Consultant,No Consultant,AK,Cable / DSL,4,22.0,false,27,Cable / DSL,1319.88,2740902-1
81521,882608,COPPER RIVER SCHOOL DISTRICT,145576,115,Copper Valley Telephone Cooperative,Fiber,No Consultant,No Consultant,AK,Fiber,8,50.0,false,492,Other / Uncategorized,8073.24,2723408-4
81522,882608,COPPER RIVER SCHOOL DISTRICT,145576,115,Copper Valley Telephone Cooperative,Fiber,No Consultant,No Consultant,AK,Fiber,8,100.0,false,492,Fiber,8550.48,2723408-3
81523,882608,COPPER RIVER SCHOOL DISTRICT,145576,115,Copper Valley Telephone Cooperative,Fiber,No Consultant,No Consultant,AK,Fiber,8,20.0,false,492,Fiber,7277.04,2723408-2
81524,882608,COPPER RIVER SCHOOL DISTRICT,145576,115,Copper Valley Telephone Cooperative,Fiber,No Consultant,No Consultant,AK,Fiber,8,50.0,false,492,Fiber,8073.24,2723408-1
81539,882581,ALEUTIAN REGION SCHOOL DISTRICT,145618,-2,"Alaska Communications Systems Holdings, Inc.",Fiber,No Consultant,No Consultant,AK,Cable / DSL,4,5.0,false,27,Cable / DSL,1777.8,2740900-1
81596,882732,NOME PUBLIC SCHOOLS,145651,442,GCI Communication Corp,Other / Uncategorized,No Consultant,No Consultant,AK,Fixed Wireless,1,11.0,false,692,Fixed Wireless,400752.0,2734593-1
81764,881946,FRANKLIN COUNTY,128022,2200,Charter Communications,Fiber,No Consultant,No Consultant,AL,Fiber,40,10.0,false,3238,Fiber,6000.0,2722474-1
81779,881847,CULLMAN COUNTY,127923,5455,"BellSouth Telecommunications, LLC",Fiber,No Consultant,No Consultant,AL,Fiber,46,10.0,false,9604,Fiber,5328.0,2733543-10
81780,881847,CULLMAN COUNTY,127923,5455,"BellSouth Telecommunications, LLC",Fiber,No Consultant,No Consultant,AL,Fiber,46,1000.0,false,9604,Fiber,18480.0,2733543-9
81781,881847,CULLMAN COUNTY,127923,5455,"BellSouth Telecommunications, LLC",Fiber,No Consultant,No Consultant,AL,Fiber,46,10.0,false,9604,Fiber,5328.0,2733543-1
81782,881847,CULLMAN COUNTY,127923,5455,"BellSouth Telecommunications, LLC",Fiber,No Consultant,No Consultant,AL,Fiber,46,10.0,false,9604,Fiber,5328.0,2733543-14
81783,881847,CULLMAN COUNTY,127923,5455,"BellSouth Telecommunications, LLC",Fiber,No Consultant,No Consultant,AL,Fiber,46,1000.0,false,9604,Fiber,18480.0,2733543-15
81784,881847,CULLMAN COUNTY,127923,5455,"BellSouth Telecommunications, LLC",Fiber,No Consultant,No Consultant,AL,Fiber,46,1000.0,false,9604,Fiber,18480.0,2733543-13
81785,881847,CULLMAN COUNTY,127923,5455,"BellSouth Telecommunications, LLC",Fiber,No Consultant,No Consultant,AL,Fiber,46,100.0,false,9604,Fiber,8268.0,2733543-12
81786,881847,CULLMAN COUNTY,127923,5455,"BellSouth Telecommunications, LLC",Fiber,No Consultant,No Consultant,AL,Fiber,46,1000.0,false,9604,Fiber,18480.0,2733543-11
81787,881847,CULLMAN COUNTY,127923,5455,"BellSouth Telecommunications, LLC",Fiber,No Consultant,No Consultant,AL,Fiber,46,10.0,false,9604,Fiber,5328.0,2733543-8
81788,881847,CULLMAN COUNTY,127923,5455,"BellSouth Telecommunications, LLC",Fiber,No Consultant,No Consultant,AL,Fiber,46,1000.0,false,9604,Fiber,18480.0,2733543-7
81789,881847,CULLMAN COUNTY,127923,5455,"BellSouth Telecommunications, LLC",Fiber,No Consultant,No Consultant,AL,Fiber,46,10.0,false,9604,Fiber,5328.0,2733543-6
81790,881847,CULLMAN COUNTY,127923,5455,"BellSouth Telecommunications, LLC",Fiber,No Consultant,No Consultant,AL,Fiber,46,1000.0,false,9604,Fiber,18480.0,2733543-5
