line_item_id,ben,bandwidth_in_mbps,num_students,connect_category,providers_typical_category,consultant_app,consultants_cat,total_cost,num_lines,frn_complete,copper_line,exception_not_fiber,likely_other_uncategorized,likely_wan_fiber,wan_fiber_3_lines,wireless_service,ia_circuit_only,isp_conditions_met,upstream_conditions_met,postal_cd,esh_id,district_name,other_location,other_location_no_district,nces_cd,num_of_services,highest_connect_type,free_and_reduced,entity_type,cost_per_line
709441,137504,1.5,931,Other / Uncategorized,Other / Uncategorized,false,N/A,29352.0,7,2717961-4,true,false,false,false,false,false,false,false,false,MO,924485,PLEASANT HOPE R-VI,false,false,2925350,2,Fiber,531,District,4193.142857142857
709443,137504,100.0,931,Fiber,Fiber,false,N/A,21000.0,1,2725906-1,false,false,false,false,false,false,false,false,false,MO,924485,PLEASANT HOPE R-VI,false,false,2925350,2,Fiber,531,District,21000.0
709444,137504,100.0,931,Fiber,Other / Uncategorized,false,N/A,27456.0,1,2725915-1,false,false,true,false,false,false,false,false,false,MO,924485,PLEASANT HOPE R-VI,false,false,2925350,2,Fiber,531,District,27456.0
709450,136948,100.0,1316,Fiber,Fiber,false,N/A,26520.0,1,2717971-1,false,false,true,false,false,false,false,false,false,MO,924401,MONTGOMERY CO. R-II,false,false,2921330,3,Fiber,711,District,26520.0
709451,136948,1000.0,1316,Fiber,Fiber,false,N/A,45720.0,1,2717973-1,false,false,false,false,false,false,false,false,false,MO,924401,MONTGOMERY CO. R-II,false,false,2921330,3,Fiber,711,District,45720.0
709452,136948,1000.0,1316,Fiber,Fiber,false,N/A,45720.0,1,2717976-1,false,false,false,false,false,false,false,false,false,MO,924401,MONTGOMERY CO. R-II,false,false,2921330,3,Fiber,711,District,45720.0
709453,137518,1.0,740,Other / Uncategorized,Other / Uncategorized,false,N/A,12522.24,30,2717987-1,false,false,false,false,false,true,false,false,false,MO,924275,HICKORY CO. R-I,false,false,2914320,40,Fiber,416,District,417.408
709454,137518,1.5,740,Copper,Other / Uncategorized,false,N/A,8523.96,17,2717991-1,true,false,false,false,false,false,false,false,false,MO,924275,HICKORY CO. R-I,false,false,2914320,40,Fiber,416,District,501.4094117647059
709488,,50.0,0,Fiber,Fiber,true,Fiber,12000.0,1,2722096-1,false,false,false,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,12000.0
709492,,50.0,0,Fiber,Fiber,true,Fiber,14000.0,1,2722101-1,false,false,false,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,14000.0
709497,137118,10000.0,14755,Fiber,Fiber,true,Fiber,252000.0,27,2763220-1,false,false,false,true,true,false,false,false,false,MO,924297,INDEPENDENCE 30,false,false,2915480,69,Fiber,9452,District,9333.333333333334
709502,137118,2000.0,14755,Fiber,Fiber,true,Fiber,286000.0,1,2810910-1,false,false,false,false,false,false,false,false,false,MO,924297,INDEPENDENCE 30,false,false,2915480,69,Fiber,9452,District,286000.0
709503,137120,1.5,3587,Copper,Copper,true,Copper,12000.0,36,2763210-1,true,false,false,false,false,false,false,false,false,MO,924311,KEARNEY R-I,false,false,2916450,41,Fiber,579,District,333.3333333333333
709504,137120,10000.0,3587,Fiber,Fiber,true,Fiber,27600.0,1,2763214-1,false,false,false,true,false,false,false,false,false,MO,924311,KEARNEY R-I,false,false,2916450,41,Fiber,579,District,27600.0
709506,137303,11.0,1565,Fiber,Fiber,true,Fiber,2400.0,1,2761484-1,false,false,false,true,false,false,false,false,false,MO,924552,SOUTHERN BOONE CO. R-I,false,false,2928560,42,Fiber,349,District,2400.0
709511,137303,0.768,1565,Cable / DSL,Other / Uncategorized,true,Cable / DSL,1319.4,1,2761510-1,false,false,true,false,false,false,false,false,false,MO,924552,SOUTHERN BOONE CO. R-I,false,false,2928560,42,Fiber,349,District,1319.4
709514,137480,4000.0,285,Fixed Wireless,Fixed Wireless,false,N/A,3180.0,7,2718476-1,false,false,false,false,false,true,false,false,false,MO,924293,HURLEY R-I,false,false,2915390,40,Fiber,163,District,454.2857142857143
709519,137307,100.0,4308,Other / Uncategorized,Fiber,true,Other / Uncategorized,13704.0,2,2718808-1,false,false,true,false,false,false,true,true,false,MO,924134,CAMDENTON R-III,false,false,2906990,44,Fiber,2256,District,6852.0
709521,137307,100.0,4308,Other / Uncategorized,Fiber,true,Other / Uncategorized,11719.92,1,2718829-1,false,false,true,false,false,false,true,true,false,MO,924134,CAMDENTON R-III,false,false,2906990,44,Fiber,2256,District,11719.92
709523,137307,100.0,4308,Other / Uncategorized,Fiber,true,Other / Uncategorized,900.0,1,2718834-1,false,false,true,false,false,false,true,true,false,MO,924134,CAMDENTON R-III,false,false,2906990,44,Fiber,2256,District,900.0
709529,137487,1000.0,739,Fiber,Fiber,false,N/A,8700.0,1,2725061-1,false,false,false,false,false,false,false,false,false,MO,924373,MARIONVILLE R-IX,false,false,2920310,41,Fiber,416,District,8700.0
709538,137424,3.0,1757,Other / Uncategorized,Other / Uncategorized,false,N/A,600.0,1,2728030-1,true,false,true,false,false,false,true,true,false,MO,924567,ST. JAMES R-I,false,false,2929250,3,Fiber,1024,District,600.0
709539,137424,5.0,1757,Other / Uncategorized,Other / Uncategorized,false,N/A,4128.0,11,2728057-1,false,false,true,false,false,true,false,false,false,MO,924567,ST. JAMES R-I,false,false,2929250,3,Fiber,1024,District,375.27272727272725
709545,137196,10.0,138,Other / Uncategorized,Other / Uncategorized,false,N/A,6803.88,1,2723004-1,false,false,false,false,false,false,false,false,false,MO,924604,UNION STAR R-II,false,false,2930600,1,Insufficient data,67,District,6803.88
709548,137372,10000.0,4793,Fiber,Fiber,true,Fiber,72000.0,11,2726201-1,false,false,false,true,true,false,false,false,false,MO,924532,SEDALIA 200,false,false,2927830,48,Fiber,2993,District,6545.454545454545
709551,,6.0,0,Other / Uncategorized,Other / Uncategorized,true,Other / Uncategorized,1800.0,1,2822249-1,false,false,false,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,1800.0
709556,,200.0,375,Fiber,Fiber,true,Fiber,2460.0,1,2720287-1,false,false,true,false,false,false,true,false,false,MO,,,false,false,,0,unknown,0,Consortium,2460.0
709560,136892,1000.0,2167,Fiber,Other / Uncategorized,false,N/A,55212.0,1,2745016-1,false,false,true,false,false,false,false,false,false,MO,924564,ST. CLAIR R-XIII,false,false,2929100,1,Fiber,1180,District,55212.0
709564,,10.0,0,Fiber,Fiber,true,Fiber,8910.0,1,2799109-1,false,false,true,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,8910.0
709576,137108,1000.0,2949,Fiber,Fiber,true,Fiber,48204.0,1,2777123-1,false,false,false,true,false,false,false,false,false,MO,924213,EXCELSIOR SPRINGS 40,false,false,2911650,44,Fiber,1250,District,48204.0
709580,137346,250.0,2241,Fiber,Other / Uncategorized,true,Fiber,47940.0,1,2774948-1,false,false,true,false,false,false,false,false,false,MO,924234,FULTON 58,false,false,2912550,42,Fiber,1162,District,47940.0
709581,137346,100.0,2241,Fiber,Fiber,true,Fiber,44966.28,1,2774960-1,false,false,false,true,false,false,false,false,false,MO,924234,FULTON 58,false,false,2912550,42,Fiber,1162,District,44966.28
709591,137052,50.0,565,Cable / DSL,Other / Uncategorized,false,N/A,8279.4,1,2721641-1,false,false,true,false,false,false,false,false,false,MO,924092,BERNIE R-XIII,false,false,2904950,1,Cable / DSL,321,District,8279.4
709592,,10.0,0,Other / Uncategorized,Fiber,false,N/A,7456.08,1,2721705-1,false,false,false,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,7456.08
709593,,10.0,0,Other / Uncategorized,Fiber,false,N/A,7456.08,1,2721705-2,false,false,false,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,7456.08
709594,,10.0,0,Other / Uncategorized,Fiber,false,N/A,7456.08,1,2721705-3,false,false,false,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,7456.08
709595,,10.0,0,Other / Uncategorized,Fiber,false,N/A,7456.08,1,2721705-4,false,false,false,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,7456.08
709596,,10.0,0,Other / Uncategorized,Fiber,false,N/A,7456.08,1,2721705-5,false,false,false,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,7456.08
709597,,50.0,0,Other / Uncategorized,Fiber,false,N/A,8668.08,1,2721705-6,false,false,false,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,8668.08
709598,,50.0,0,Other / Uncategorized,Fiber,false,N/A,8668.08,1,2721705-7,false,false,false,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,8668.08
709599,,10.0,0,Other / Uncategorized,Fiber,false,N/A,7456.08,1,2721705-8,false,false,false,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,7456.08
709600,,10.0,0,Other / Uncategorized,Fiber,false,N/A,7456.08,1,2721705-9,false,false,false,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,7456.08
709601,,10.0,0,Other / Uncategorized,Fiber,false,N/A,7456.08,1,2721705-10,false,false,false,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,7456.08
709602,,50.0,0,Other / Uncategorized,Fiber,false,N/A,8668.08,1,2721705-11,false,false,false,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,8668.08
709603,,50.0,0,Other / Uncategorized,Fiber,false,N/A,8668.08,1,2721705-12,false,false,false,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,8668.08
709604,,10.0,0,Other / Uncategorized,Fiber,false,N/A,7456.08,1,2721705-13,false,false,false,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,7456.08
709605,,10.0,0,Other / Uncategorized,Fiber,false,N/A,7456.08,1,2721705-14,false,false,false,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,7456.08
709606,,10.0,0,Other / Uncategorized,Fiber,false,N/A,7456.08,1,2721705-15,false,false,false,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,7456.08
709607,,10.0,0,Other / Uncategorized,Fiber,false,N/A,7456.08,1,2721705-16,false,false,false,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,7456.08
709608,,100.0,0,Other / Uncategorized,Fiber,false,N/A,10696.08,1,2721705-17,false,false,false,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,10696.08
709609,,500.0,0,Fiber,Fiber,false,N/A,15352.08,1,2721705-18,false,false,false,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,15352.08
709611,,10.0,0,Fiber,Fiber,true,Fiber,1320.0,2,2818259-1,false,false,false,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,660.0
709619,136929,1000.0,5721,Fiber,Fiber,true,Fiber,238497.96,13,2743624-1,false,false,false,false,false,false,false,false,false,MO,924514,RIVERVIEW GARDENS,false,false,2926670,52,Fiber,5245,District,18345.996923076924
709620,136929,3000.0,5721,Fiber,Fiber,true,Fiber,42240.84,1,2743624-2,false,false,false,false,false,false,false,false,false,MO,924514,RIVERVIEW GARDENS,false,false,2926670,52,Fiber,5245,District,42240.84
709622,136929,1000.0,5721,Fiber,Fiber,true,Fiber,61824.0,1,2743687-1,false,false,false,false,false,false,false,false,false,MO,924514,RIVERVIEW GARDENS,false,false,2926670,52,Fiber,5245,District,61824.0
709623,136922,1000.0,10537,Fiber,Fiber,false,N/A,,13,2722523-1,false,false,false,true,true,false,false,false,false,MO,924384,MEHLVILLE R-IX,false,false,2920670,15,Fiber,2503,District,0
709624,136922,6000.0,10537,Fiber,Fiber,false,N/A,,1,2722523-2,false,false,false,true,false,false,false,false,false,MO,924384,MEHLVILLE R-IX,false,false,2920670,15,Fiber,2503,District,0
