line_item_id,ben,bandwidth_in_mbps,num_students,connect_category,providers_typical_category,consultant_app,consultants_cat,total_cost,num_lines,frn_complete,copper_line,exception_not_fiber,likely_other_uncategorized,likely_wan_fiber,wan_fiber_3_lines,wireless_service,ia_circuit_only,isp_conditions_met,upstream_conditions_met,postal_cd,esh_id,district_name,other_location,other_location_no_district,nces_cd,num_of_services,highest_connect_type,free_and_reduced,entity_type,cost_per_line
100944,137530,100.0,163,Fiber,Other / Uncategorized,true,Fiber,39745.92,1,2728356-1,false,false,true,false,false,false,false,false,false,MO,924173,COUCH R-I,false,false,2910200,1,Fiber,102,District,39745.92
100946,136891,500.0,5751,Fiber,Other / Uncategorized,false,N/A,27900.0,1,2728427-1,false,false,true,false,false,false,false,false,false,MO,924468,PATTONVILLE R-III,false,false,2923700,11,Fiber,2553,District,27900.0
100947,136896,10.0,3103,Fiber,Other / Uncategorized,false,N/A,7622.4,1,2740069-1,false,false,true,false,false,false,false,false,false,MO,924603,UNION R-XI,false,false,2930570,42,Fiber,1474,District,7622.4
100948,137508,45.0,2262,Fiber,Fiber,false,N/A,78708.0,1,2744924-1,true,false,true,false,false,false,false,false,false,MO,924354,LOGAN-ROGERSVILLE R-VIII,false,false,2919170,1,Fiber,838,District,78708.0
100956,,25.0,0,Fiber,Cable / DSL,true,Fiber,2580.0,0,2759963-1,false,false,true,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,0
100960,137084,100.0,661,Fiber,Fiber,true,Fiber,25200.0,1,2747412-1,false,false,true,false,false,false,false,false,false,MO,924551,SOUTH PEMISCOT CO. R-V,false,false,2928530,45,Fiber,440,District,25200.0
100961,137424,250.0,1757,Fiber,Fiber,false,N/A,31032.0,1,2747364-1,false,false,true,false,false,false,false,false,false,MO,924567,ST. JAMES R-I,false,false,2929250,3,Fiber,1024,District,31032.0
100962,,5.0,0,Cable / DSL,Fiber,true,Cable / DSL,540.0,1,2749143-1,false,false,true,false,false,false,false,false,false,MO,,,true,true,,0,unknown,0,OtherLocation,540.0
100964,137014,1000.0,3937,Fiber,Fiber,false,N/A,134400.0,8,2747254-1,false,false,false,true,true,false,false,false,false,MO,924221,FARMINGTON R-VII,false,false,2911910,51,Fiber,1935,District,16800.0
100972,137396,100.0,1359,Fiber,Fiber,false,N/A,61176.0,4,2747822-1,false,false,false,true,true,false,false,false,false,MO,924618,WARSAW R-IX,false,false,2931070,47,Fiber,913,District,15294.0
