,verified_category,predicted_category,raw_category,frn_complete,guessed_correct,cleaned_line_item,made_line_item_dirty,,
2,Fiber,Fiber,Fiber,2717971-1,TRUE,FALSE,FALSE,,cleaned = 237
3,Fiber,Fiber,Fiber,2717973-1,TRUE,FALSE,FALSE,,made_dirty = 70
4,Fiber,Fiber,Fiber,2717976-1,TRUE,FALSE,FALSE,,accuracy = 90%
11,Fiber,Fiber,Fiber,2719106-1,TRUE,FALSE,FALSE,,guessed_correct = 1153 / 1287
14,Cable / DSL,Cable / DSL,Cable / DSL,2721641-1,TRUE,FALSE,FALSE,,
15,Fiber,Fiber,Fiber,2722523-1,TRUE,FALSE,FALSE,,
16,Fiber,Fiber,Fiber,2722523-2,TRUE,FALSE,FALSE,,
17,Fiber,Fiber,Fiber,2722523-3,TRUE,FALSE,FALSE,,
19,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2723054-1,TRUE,FALSE,FALSE,,
20,Fiber,Fiber,Fiber,2723204-1,TRUE,FALSE,FALSE,,
22,Copper,Copper,Other / Uncategorized,2724788-1,TRUE,TRUE,FALSE,,
23,Copper,Copper,Other / Uncategorized,2724794-1,TRUE,TRUE,FALSE,,
24,Copper,Copper,Copper,2725044-1,TRUE,FALSE,FALSE,,
25,Copper,Copper,Copper,2725058-1,TRUE,FALSE,FALSE,,
26,Fiber,Fiber,Fiber,2725061-1,TRUE,FALSE,FALSE,,
28,Copper,Copper,Copper,2725152-1,TRUE,FALSE,FALSE,,
31,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2725252-1,TRUE,FALSE,FALSE,,
33,Cable / DSL,Cable / DSL,Cable / DSL,2725481-1,TRUE,FALSE,FALSE,,
34,Cable / DSL,Cable / DSL,Cable / DSL,2725481-2,TRUE,FALSE,FALSE,,
35,Fiber,Fiber,Fiber,2725482-1,TRUE,FALSE,FALSE,,
37,Fiber,Fiber,Fiber,2725906-1,TRUE,FALSE,FALSE,,
39,Fiber,Fiber,Fiber,2726020-1,TRUE,FALSE,FALSE,,
40,Fiber,Fiber,Fiber,2726024-1,TRUE,FALSE,FALSE,,
41,Fiber,Fiber,Fiber,2726097-1,TRUE,FALSE,FALSE,,
42,Fiber,Fiber,Fiber,2726201-1,TRUE,FALSE,FALSE,,
43,Fiber,Fiber,Other / Uncategorized,2726205-1,TRUE,TRUE,FALSE,,
44,Fiber,Fiber,Other / Uncategorized,2726507-1,TRUE,TRUE,FALSE,,
45,Fiber,Fiber,Fiber,2726868-1,TRUE,FALSE,FALSE,,
46,Fiber,Fiber,Fiber,2726938-1,TRUE,FALSE,FALSE,,
48,Fiber,Fiber,Fiber,2727523-1,TRUE,FALSE,FALSE,,
49,Fiber,Fiber,Fiber,2727523-2,TRUE,FALSE,FALSE,,
50,Fiber,Fiber,Fiber,2727523-3,TRUE,FALSE,FALSE,,
52,Fiber,Fiber,Fiber,2727575-1,TRUE,FALSE,FALSE,,
54,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2728030-1,TRUE,FALSE,FALSE,,
56,Fiber,Fiber,Fiber,2728090-1,TRUE,FALSE,FALSE,,
57,Fiber,Fiber,Fiber,2728302-1,TRUE,FALSE,FALSE,,
58,Fiber,Fiber,Fiber,2728356-1,TRUE,FALSE,FALSE,,
59,Copper,Copper,Copper,2728363-1,TRUE,FALSE,FALSE,,
60,Fiber,Fiber,Fiber,2728372-1,TRUE,FALSE,FALSE,,
63,Fiber,Fiber,Fiber,2728543-1,TRUE,FALSE,FALSE,,
