line_item_id,ben,bandwidth_in_mbps,num_students,connect_category,providers_typical_category,consultant_app,consultants_cat,total_cost,num_lines,frn_complete,copper_line,exception_not_fiber,likely_other_uncategorized,likely_wan_fiber,wan_fiber_3_lines,wireless_service,ia_circuit_only,isp_conditions_met,upstream_conditions_met,postal_cd,esh_id,district_name,other_location,nces_cd,num_of_services,highest_connect_type,free_and_reduced,cost_per_line
117044,140959,6.0,14680,Fiber,Other / Uncategorized,true,Fiber,8400.0,1,2726485-1,false,true,true,false,false,false,false,false,false,TX,970209,WICHITA FALLS ISD,false,4845780,56,Fiber,8433,8400.0
117046,140632,100.0,612,Fiber,Fiber,false,N/A,28800.0,1,2726876-1,false,false,true,false,false,false,false,false,false,TX,970223,WOLFE CITY ISD,false,4846350,28,Fiber,319,28800.0
117047,141799,20.0,307,Other / Uncategorized,Fiber,true,Other / Uncategorized,9000.0,1,2727863-1,false,true,true,false,false,false,true,true,false,TX,970161,WAELDER ISD,false,4844310,25,,283,9000.0
117053,142002,100.0,852,Other / Uncategorized,Other / Uncategorized,true,Other / Uncategorized,45631.92,1,2728666-1,false,true,true,false,false,false,true,true,false,TX,969187,COAHOMA ISD,false,4814490,36,Fiber,350,45631.92
117054,141245,100.0,235,Other / Uncategorized,Fiber,true,Other / Uncategorized,25377.6,1,2727950-1,false,true,true,false,false,false,true,true,false,TX,969405,GOODRICH ISD,false,4821090,25,Insufficient data,193,25377.6
117055,,100.0,982,Fiber,Fiber,true,Fiber,16716.12,2,2727762-1,false,false,false,true,false,false,false,false,false,TX,,,false,,,,0,8358.06
117056,141935,100.0,1691,Fiber,Other / Uncategorized,true,Fiber,28800.0,1,2733735-1,false,false,true,false,false,false,false,false,false,TX,969264,DENVER CITY ISD,false,4816770,1,Fiber,844,28800.0
117057,141949,40.0,326,Other / Uncategorized,Other / Uncategorized,true,Other / Uncategorized,39840.0,1,2733142-1,false,true,true,false,false,false,true,true,false,TX,969704,MEADOW ISD,false,4830000,109,Fiber,239,39840.0
117063,210427,1.5,674,Copper,Copper,true,Copper,11337.0,2,2733015-1,true,false,true,false,false,false,false,false,false,TX,969817,OLTON ISD,false,4833660,9,Fiber,496,5668.5
117072,140972,50.0,887,Fiber,Fiber,false,N/A,14400.0,1,2744835-1,false,false,false,false,false,false,false,false,true,TX,969485,HOLLIDAY ISD,false,4823400,25,Fiber,269,14400.0
117081,140672,100.0,411,Other / Uncategorized,Other / Uncategorized,true,Other / Uncategorized,75792.0,1,2744833-1,false,false,true,false,false,false,true,true,false,TX,969384,GARY ISD,false,4820460,2,Fiber,189,75792.0
117085,140518,100.0,604,Fiber,Copper,true,Fiber,19200.0,1,2746819-1,false,true,true,false,false,false,false,false,false,TX,969233,CROSS ROADS ISD,false,4815840,28,Fiber,320,19200.0
117087,141669,200.0,4760,Fiber,Fiber,false,N/A,17400.0,1,2751014-1,false,false,true,false,false,false,false,false,false,TX,970144,VALLEY VIEW ISD,false,4843800,19,Fiber,4421,17400.0
117088,141669,15.0,4760,Other / Uncategorized,Other / Uncategorized,false,N/A,15600.0,1,2751028-1,false,true,true,false,false,false,true,true,false,TX,970144,VALLEY VIEW ISD,false,4843800,19,Fiber,4421,15600.0
117095,141880,50.0,589,Fiber,Other / Uncategorized,true,Fiber,65199.96,1,2749319-1,false,true,true,false,false,false,false,false,false,TX,970176,WELLINGTON ISD,false,4844890,25,Fiber,387,65199.96
117121,142108,45.0,1355,Copper,Fiber,false,N/A,119880.0,2,2717967-1,true,false,true,false,false,false,false,false,false,TX,970121,TORNILLO ISD,false,4842990,2,Copper,1290,59940.0
117127,,6.0,,Cable / DSL,Fiber,true,Cable / DSL,922.68,2,2723473-1,false,false,true,false,false,false,false,false,false,TX,,,true,,,,0,461.34
117131,140496,100.0,900,Other / Uncategorized,Other / Uncategorized,true,Other / Uncategorized,25226.0,1,2723497-1,false,false,true,false,false,false,true,true,false,TX,969310,EDGEWOOD ISD,false,4818120,13,Fiber,419,25226.0
117132,140753,500.0,1619,Fiber,Other / Uncategorized,true,Fiber,49896.0,1,2723380-1,false,false,true,false,false,false,false,false,false,TX,970129,WESTWOOD ISD,false,4843290,6,Fiber,1002,49896.0
117134,141681,1000.0,11171,Fiber,Fiber,false,N/A,13494.72,2,2722450-1,false,false,false,true,false,false,false,false,false,TX,969976,SAN BENITO CISD,false,4838790,34,Fiber,9353,6747.36
117135,141681,10.0,11171,Other / Uncategorized,Fiber,false,N/A,4788.0,1,2722461-1,false,false,false,false,false,false,false,false,false,TX,969976,SAN BENITO CISD,false,4838790,34,Fiber,9353,4788.0
117136,,1250.0,153,Fiber,Fiber,false,N/A,40454.4,2,2727323-1,false,false,false,false,false,false,false,false,false,TX,,,false,,,,0,20227.2
117138,,50.0,,Cable / DSL,Fiber,false,N/A,4199.4,1,2727372-1,false,false,true,false,false,false,false,false,false,TX,,,true,,,,0,4199.4
117146,,60.0,,Fiber,Fiber,false,N/A,8400.0,1,2728038-1,false,false,true,false,false,false,false,false,false,TX,,,true,,,,0,8400.0
117147,142063,100.0,289,Other / Uncategorized,Other / Uncategorized,true,Other / Uncategorized,36752.0,1,2728246-1,false,true,true,false,false,false,true,true,false,TX,969394,GLASSCOCK COUNTY ISD,false,4820790,35,Fiber,138,36752.0
