line_item_id,applicant_id,applicant_type,applicant_ben,applicant_name,applicant_postal_cd,application_number,frn,frn_line_item_no,purpose,wan,bandwidth_in_mbps,connect_type,connect_category,num_lines,one_time_eligible_cost,rec_elig_cost,total_cost,service_provider_name,exclude,contacted,internet_conditions_met,isp_conditions_met,upstream_conditions_met,wan_conditions_met,contract_end_date
873444,968969,District,141559,AGUA DULCE INDEP SCHOOL DIST,TX,1038005,2831654,1,Transport and Internet,Y,50,Switched Multimegabit Data Service,Other / Uncategorized,1,0,918,11016,"Windstream Communications, LLC",TRUE,n/a,FALSE,FALSE,FALSE,FALSE,6/30/2018 0:00
874055,969884,District,141730,PRAIRIE LEA INDEP SCH DISTRICT,TX,1038447,2850509,1,Transport and Internet,N,40,Ethernet,Other / Uncategorized,1,0,2250,27000,"Education Service Center, Region XIII",TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
874126,969536,District,141713,JOHNSON CITY SCHOOL DISTRICT,TX,1038648,2832179,1,Transport and Internet,N,100,Ethernet,Other / Uncategorized,1,0,3600,43200,"Education Service Center, Region XIII",TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
874925,969242,District,141236,CYPRESS-FAIRBANKS ISD,TX,1039036,2860216,3,Transport,N,30,Ethernet,Other / Uncategorized,1,600,1393.37,17320.44,AT&T Corp.,TRUE,n/a,FALSE,FALSE,FALSE,FALSE,6/30/2017 0:00
875549,970010,District,141965,SHALLOWATER INDEP SCHOOL DIST,TX,1040487,2854182,1,Internet,Y,70,"E.g., Microwave Service",Fixed Wireless,1,0,5390,64680,Education Service Center Region 17,TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
876986,1055036,Consortium,150217,Northeast Texas Regional Education Telecommunications Network (NTxRETN),TX,1043188,2864200,1,Transport and Internet,Y,200,Lit Fiber Service,Fiber,125,0,52770.07,633240.84,"Affiniti, LLC",TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
881138,969748,District,141951,MORTON INDEP SCHOOL DISTRICT,TX,1049718,2869369,1,Internet,Y,50,Data Plan/Air Card Service,Other / Uncategorized,65,0,5325,63900,Education Service Center Region 17,TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
882365,1055594,Consortium,150246,UTAH EDUCATION NETWORK,UT,1003635,2729742,1,Transport,Y,10,Ethernet,Other / Uncategorized,1,,No data,,"Beehive Telephone Co., Inc. - UT",TRUE,n/a,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
882430,972094,District,142791,ALPINE SCHOOL DISTRICT,UT,1006590,2743246,1,Internet,Y,1000,Ethernet,Fiber,12,0,9724,116688,"CentraComm Communications, Ltd.",TRUE,n/a,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
882431,972094,District,142791,ALPINE SCHOOL DISTRICT,UT,1006590,2743270,1,Internet,Y,100,Ethernet,Other / Uncategorized,7,0,5215,62580,Direct Communications Cedar Valley,TRUE,n/a,FALSE,FALSE,FALSE,FALSE,6/30/2016 0:00
