line_item_id,applicant_id,applicant_type,applicant_ben,applicant_name,applicant_postal_cd,application_number,frn,frn_line_item_no,purpose,wan,bandwidth_in_mbps,connect_type,connect_category,num_lines,one_time_eligible_cost,rec_elig_cost,total_cost,service_provider_name,exclude,contacted,internet_conditions_met,isp_conditions_met,upstream_conditions_met,wan_conditions_met,contract_end_date
81432,882778,District,145573,SOUTHWEST REGION SCHOOL DIST,AK,1014170,2753125,7,Transport,Y,10,"E.g., Microwave Service",Fixed Wireless,1,0,41616,499392,GCI Communication Corp,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
81433,882778,District,145573,SOUTHWEST REGION SCHOOL DIST,AK,1014170,2753125,4,Transport,Y,10,"E.g., Microwave Service",Fixed Wireless,1,0,41616,499392,GCI Communication Corp,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
81434,882778,District,145573,SOUTHWEST REGION SCHOOL DIST,AK,1014170,2753125,6,Transport,Y,10,"E.g., Microwave Service",Fixed Wireless,1,0,1100,13200,GCI Communication Corp,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
81435,882778,District,145573,SOUTHWEST REGION SCHOOL DIST,AK,1014170,2753125,5,Transport,Y,10,"E.g., Microwave Service",Fixed Wireless,1,0,41616,499392,GCI Communication Corp,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
81436,882778,District,145573,SOUTHWEST REGION SCHOOL DIST,AK,1014170,2753125,3,Transport,Y,10,"E.g., Microwave Service",Fixed Wireless,1,0,41616,499392,GCI Communication Corp,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
81437,882778,District,145573,SOUTHWEST REGION SCHOOL DIST,AK,1014170,2753125,2,Transport,Y,10,"E.g., Microwave Service",Fixed Wireless,1,0,41616,499392,GCI Communication Corp,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
81438,882778,District,145573,SOUTHWEST REGION SCHOOL DIST,AK,1014170,2753125,1,Transport,Y,10,Lit Fiber Service,Fiber,1,0,1100,13200,GCI Communication Corp,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
81439,882700,District,145598,MATANUSKA-SUSTINA BOROUGH SCHOOL DISTRICT,AK,1014566,2753245,1,Internet,N,500,Lit Fiber Service,Fiber,1,0,7760,93120,"Matanuska Telephone Association, Inc.",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2017 0:00
81451,882700,District,145598,MATANUSKA-SUSTINA BOROUGH SCHOOL DISTRICT,AK,1014566,2753285,1,Transport,Y,30,Ethernet,Other / Uncategorized,1,0,583,6996,"Matanuska Telephone Association, Inc.",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
81457,882700,District,145598,MATANUSKA-SUSTINA BOROUGH SCHOOL DISTRICT,AK,1014566,2753285,3,Transport,Y,100,"E.g., Microwave Service",Fixed Wireless,1,0,1140,13680,"Matanuska Telephone Association, Inc.",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
81458,882700,District,145598,MATANUSKA-SUSTINA BOROUGH SCHOOL DISTRICT,AK,1014566,2753285,2,Transport,Y,40,Ethernet,Other / Uncategorized,1,0,637,7644,"Matanuska Telephone Association, Inc.",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2016 0:00
81494,882828,District,145628,YUKON-KOYUKUK SCHOOL DISTRICT,AK,1009339,2740044,7,Transport,Y,10,"E.g., Microwave Service",Fixed Wireless,1,0,17250,207000,DRS Technical Services Inc.,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2018 0:00
81495,882828,District,145628,YUKON-KOYUKUK SCHOOL DISTRICT,AK,1009339,2740044,9,Transport,Y,10,"E.g., Microwave Service",Fixed Wireless,1,0,17250,207000,DRS Technical Services Inc.,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2018 0:00
81496,882828,District,145628,YUKON-KOYUKUK SCHOOL DISTRICT,AK,1009339,2740044,8,Transport,Y,10,"E.g., Microwave Service",Fixed Wireless,1,0,17250,207000,DRS Technical Services Inc.,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2018 0:00
81497,882828,District,145628,YUKON-KOYUKUK SCHOOL DISTRICT,AK,1009339,2740044,10,Internet,N,70,"E.g., Microwave Service",Fixed Wireless,1,0,10960,131520,DRS Technical Services Inc.,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2018 0:00
81498,882828,District,145628,YUKON-KOYUKUK SCHOOL DISTRICT,AK,1009339,2740044,6,Transport,Y,10,"E.g., Microwave Service",Fixed Wireless,1,0,17250,207000,DRS Technical Services Inc.,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2018 0:00
81499,882828,District,145628,YUKON-KOYUKUK SCHOOL DISTRICT,AK,1009339,2740044,5,Transport,Y,10,"E.g., Microwave Service",Fixed Wireless,1,0,17250,207000,DRS Technical Services Inc.,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2018 0:00
81500,882828,District,145628,YUKON-KOYUKUK SCHOOL DISTRICT,AK,1009339,2740044,4,Transport,Y,10,"E.g., Microwave Service",Fixed Wireless,1,0,17250,207000,DRS Technical Services Inc.,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2018 0:00
81501,882828,District,145628,YUKON-KOYUKUK SCHOOL DISTRICT,AK,1009339,2740044,3,Transport,Y,10,Satellite Service,Fixed Wireless,1,0,17250,207000,DRS Technical Services Inc.,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2018 0:00
81502,882828,District,145628,YUKON-KOYUKUK SCHOOL DISTRICT,AK,1009339,2740044,2,Transport,Y,10,Satellite Service,Fixed Wireless,1,0,17250,207000,DRS Technical Services Inc.,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2018 0:00
81503,882828,District,145628,YUKON-KOYUKUK SCHOOL DISTRICT,AK,1009339,2740044,1,Transport,Y,10,Satellite Service,Fixed Wireless,1,0,17250,207000,DRS Technical Services Inc.,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,6/30/2018 0:00
81505,882778,District,145573,SOUTHWEST REGION SCHOOL DIST,AK,1014170,2753154,1,Internet,N,30,"E.g., Microwave Service",Fixed Wireless,1,0,65453,785436,GCI Communication Corp,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
81510,882700,District,145598,MATANUSKA-SUSTINA BOROUGH SCHOOL DISTRICT,AK,1014566,2753241,1,Internet,N,500,Lit Fiber Service,Fiber,1,0,7408,88896,"Matanuska Telephone Association, Inc.",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2020 0:00
81516,882581,District,145618,ALEUTIAN REGION SCHOOL DIST,AK,1009767,2740902,1,Internet,N,22,Cable Modem,Cable / DSL,1,0,109.99,1319.88,GCI Communication Corp,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
81596,882732,District,145651,NOME CITY SCHOOL DISTRICT,AK,1007085,2734593,1,Internet,N,11,"E.g., Microwave Service",Fixed Wireless,1,0,33396,400752,GCI Communication Corp,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
81945,882336,District,127973,TUSCALOOSA CO SCHOOL DISTRICT,AL,1006744,2734951,2,Internet,N,10000,Lit Fiber Service,Fiber,1,0,3663.41,43960.92,"BellSouth Telecommunications, LLC",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2018 0:00
82000,882210,District,139651,FLIPPIN PUBLIC SCHOOL DISTRICT,AR,996147,2747387,1,Internet,N,100,Lit Fiber Service,Fiber,1,0,1005.95,12071.4,"Northern Arkansas Telephone Company, Inc.",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,6/30/2016 0:00
