"postal_cd","district_size","percent","n_districts_size","n_districts","n_schools","n_students"
"AK","Mega",1.88679245283019,1,53,515,127290
"AK","Large",7.54716981132075,4,53,515,127290
"AK","Medium",35.8490566037736,19,53,515,127290
"AK","Small",41.5094339622642,22,53,515,127290
"AK","Tiny",13.2075471698113,7,53,515,127290
"AK Clean","Medium",25,3,12,48,8115
"AK Clean","Small",33.3333333333333,4,12,48,8115
"AK Clean","Tiny",41.6666666666667,5,12,48,8115
"AL","Mega",2.96296296296296,4,135,1591,733675
"AL","Large",15.5555555555556,21,135,1591,733675
"AL","Medium",49.6296296296296,67,135,1591,733675
"AL","Small",31.8518518518519,43,135,1591,733675
"AL Clean","Mega",2.83018867924528,3,106,1229,573184
"AL Clean","Large",14.1509433962264,15,106,1229,573184
"AL Clean","Medium",57.5471698113208,61,106,1229,573184
"AL Clean","Small",25.4716981132075,27,106,1229,573184
"AR","Large",3.79746835443038,9,237,1045,464279
"AR","Medium",13.9240506329114,33,237,1045,464279
"AR","Small",82.2784810126582,195,237,1045,464279
"AR Clean","Large",4.34782608695652,1,23,121,54292
"AR Clean","Medium",34.7826086956522,8,23,121,54292
"AR Clean","Small",60.8695652173913,14,23,121,54292
"AZ","Mega",0.341296928327645,2,586,2026,1060140
"AZ","Large",3.7542662116041,22,586,2026,1060140
"AZ","Medium",9.38566552901024,55,586,2026,1060140
"AZ","Small",24.9146757679181,146,586,2026,1060140
"AZ","Tiny",61.6040955631399,361,586,2026,1060140
"AZ Clean","Mega",1.25786163522013,2,159,1269,861061
"AZ Clean","Large",12.5786163522013,20,159,1269,861061
"AZ Clean","Medium",25.1572327044025,40,159,1269,861061
"AZ Clean","Small",34.5911949685535,55,159,1269,861061
"AZ Clean","Tiny",26.4150943396226,42,159,1269,861061
"CA","Mega",2.12539851222104,20,941,9715,6061679
"CA","Large",14.240170031881,134,941,9715,6061679
"CA","Medium",30.3931987247609,286,941,9715,6061679
"CA","Small",31.7747077577046,299,941,9715,6061679
"CA","Tiny",21.4665249734325,202,941,9715,6061679
"CA Clean","Mega",2.02020202020202,2,99,817,501993
"CA Clean","Large",13.1313131313131,13,99,817,501993
"CA Clean","Medium",25.2525252525253,25,99,817,501993
"CA Clean","Small",16.1616161616162,16,99,817,501993
"CA Clean","Tiny",43.4343434343434,43,99,817,501993
"CO","Mega",3.93258426966292,7,178,1669,794569
"CO","Large",8.98876404494382,16,178,1669,794569
"CO","Medium",12.3595505617978,22,178,1669,794569
"CO","Small",71.9101123595506,128,178,1669,794569
"CO","Tiny",2.80898876404494,5,178,1669,794569
"CO Clean","Mega",2,1,50,325,146845
"CO Clean","Large",6,3,50,325,146845
"CO Clean","Medium",24,12,50,325,146845
"CO Clean","Small",62,31,50,325,146845
"CO Clean","Tiny",6,3,50,325,146845
"CT","Large",5.91715976331361,10,169,1007,499978
"CT","Medium",27.2189349112426,46,169,1007,499978
"CT","Small",43.7869822485207,74,169,1007,499978
"CT","Tiny",23.0769230769231,39,169,1007,499978
"CT Clean","Large",2.08333333333333,1,48,327,166335
"CT Clean","Medium",47.9166666666667,23,48,327,166335
"CT Clean","Small",39.5833333333333,19,48,327,166335
"CT Clean","Tiny",10.4166666666667,5,48,327,166335
"DC","Mega",100,1,1,115,39377
"DC Clean","Mega",100,1,1,115,39377
"DE","Large",15.7894736842105,3,19,197,119066
"DE","Medium",57.8947368421053,11,19,197,119066
"DE","Small",15.7894736842105,3,19,197,119066
"DE","Tiny",10.5263157894737,2,19,197,119066
"DE Clean","Medium",50,2,4,26,17332
"DE Clean","Tiny",50,2,4,26,17332
"FL","Mega",30,21,70,3967,2610195
"FL","Large",28.5714285714286,20,70,3967,2610195
"FL","Medium",30,21,70,3967,2610195
