"postal_cd","locale","percent","n_districts_locale","n_districts","n_schools","n_students"
"AK","Urban",5.66037735849057,3,53,515,127290
"AK","Suburban",3.77358490566038,2,53,515,127290
"AK","Small Town",11.3207547169811,6,53,515,127290
"AK","Rural",79.2452830188679,42,53,515,127290
"AK Clean","Small Town",16.6666666666667,2,12,48,8115
"AK Clean","Rural",83.3333333333333,10,12,48,8115
"AL","Urban",11.8518518518519,16,135,1591,733675
"AL","Suburban",18.5185185185185,25,135,1591,733675
"AL","Small Town",22.2222222222222,30,135,1591,733675
"AL","Rural",47.4074074074074,64,135,1591,733675
"AL Clean","Urban",11.3207547169811,12,106,1229,573184
"AL Clean","Suburban",18.8679245283019,20,106,1229,573184
"AL Clean","Small Town",20.7547169811321,22,106,1229,573184
"AL Clean","Rural",49.0566037735849,52,106,1229,573184
"AR","Urban",5.90717299578059,14,237,1045,464279
"AR","Suburban",5.90717299578059,14,237,1045,464279
"AR","Small Town",26.1603375527426,62,237,1045,464279
"AR","Rural",62.0253164556962,147,237,1045,464279
"AR Clean","Urban",8.69565217391304,2,23,121,54292
"AR Clean","Suburban",8.69565217391304,2,23,121,54292
"AR Clean","Small Town",30.4347826086957,7,23,121,54292
"AR Clean","Rural",52.1739130434783,12,23,121,54292
"AZ","Urban",45.0511945392491,264,586,2026,1060140
"AZ","Suburban",18.4300341296928,108,586,2026,1060140
"AZ","Small Town",12.7986348122867,75,586,2026,1060140
"AZ","Rural",23.7201365187713,139,586,2026,1060140
"AZ Clean","Urban",20.125786163522,32,159,1269,861061
"AZ Clean","Suburban",14.4654088050314,23,159,1269,861061
"AZ Clean","Small Town",20.7547169811321,33,159,1269,861061
"AZ Clean","Rural",44.6540880503145,71,159,1269,861061
"CA","Urban",15.8342189160468,149,941,9715,6061679
"CA","Suburban",32.731137088204,308,941,9715,6061679
"CA","Small Town",16.5781083953241,156,941,9715,6061679
"CA","Rural",34.8565356004251,328,941,9715,6061679
"CA Clean","Urban",18.1818181818182,18,99,817,501993
"CA Clean","Suburban",24.2424242424242,24,99,817,501993
"CA Clean","Small Town",11.1111111111111,11,99,817,501993
"CA Clean","Rural",46.4646464646465,46,99,817,501993
"CO","Urban",6.74157303370786,12,178,1669,794569
"CO","Suburban",10.6741573033708,19,178,1669,794569
"CO","Small Town",19.6629213483146,35,178,1669,794569
"CO","Rural",62.9213483146067,112,178,1669,794569
"CO Clean","Urban",6,3,50,325,146845
"CO Clean","Suburban",14,7,50,325,146845
"CO Clean","Small Town",28,14,50,325,146845
"CO Clean","Rural",52,26,50,325,146845
"CT","Urban",8.28402366863905,14,169,1007,499978
"CT","Suburban",49.7041420118343,84,169,1007,499978
"CT","Small Town",4.73372781065089,8,169,1007,499978
"CT","Rural",37.2781065088757,63,169,1007,499978
"CT Clean","Urban",12.5,6,48,327,166335
"CT Clean","Suburban",62.5,30,48,327,166335
"CT Clean","Rural",25,12,48,327,166335
"DC","Urban",100,1,1,115,39377
"DC Clean","Urban",100,1,1,115,39377
"DE","Urban",5.26315789473684,1,19,197,119066
"DE","Suburban",47.3684210526316,9,19,197,119066
"DE","Small Town",21.0526315789474,4,19,197,119066
"DE","Rural",26.3157894736842,5,19,197,119066
"DE Clean","Small Town",25,1,4,26,17332
"DE Clean","Rural",75,3,4,26,17332
"FL","Urban",12.8571428571429,9,70,3967,2610195
"FL","Suburban",40,28,70,3967,2610195
"FL","Small Town",18.5714285714286,13,70,3967,2610195
"FL","Rural",28.5714285714286,20,70,3967,2610195
"FL Clean","Suburban",33.3333333333333,3,9,209,124219
"FL Clean","Small Town",22.2222222222222,2,9,209,124219
"FL Clean","Rural",44.4444444444444,4,9,209,124219
"GA","Urban",8.33333333333333,15,180,2312,1650204
"GA","Suburban",12.7777777777778,23,180,2312,1650204
"GA","Small Town",26.6666666666667,48,180,2312,1650204
"GA","Rural",52.2222222222222,94,180,2312,1650204
"GA Clean","Urban",9.43396226415094,10,106,1106,716589
"GA Clean","Suburban",11.3207547169811,12,106,1106,716589
"GA Clean","Small Town",22.6415094339623,24,106,1106,716589
"GA Clean","Rural",56.6037735849057,60,106,1106,716589
"HI","Suburban",100,1,1,289,184648
"IA","Urban",3.76811594202899,13,345,1359,473685
"IA","Suburban",4.05797101449275,14,345,1359,473685
"IA","Small Town",22.3188405797101,77,345,1359,473685
"IA","Rural",69.8550724637681,241,345,1359,473685
"IA Clean","Urban",11.7647058823529,4,34,233,100849
"IA Clean","Suburban",11.7647058823529,4,34,233,100849
"IA Clean","Small Town",23.5294117647059,8,34,233,100849
"IA Clean","Rural",52.9411764705882,18,34,233,100849
"ID","Urban",4.3859649122807,5,114,652,272512
"ID","Suburban",5.26315789473684,6,114,652,272512
"ID","Small Town",25.4385964912281,29,114,652,272512
"ID","Rural",64.9122807017544,74,114,652,272512
"ID Clean","Urban",8.16326530612245,4,49,342,166395
"ID Clean","Suburban",6.12244897959184,3,49,342,166395
"ID Clean","Small Town",16.3265306122449,8,49,342,166395
"ID Clean","Rural",69.3877551020408,34,49,342,166395
"IL","Urban",3.37601862630966,29,859,3878,1951643
"IL","Suburban",39.697322467986,341,859,3878,1951643
"IL","Small Town",19.674039580908,169,859,3878,1951643
"IL","Rural",37.2526193247963,320,859,3878,1951643
"IL Clean","Urban",3.601108033241,13,361,1390,725982
"IL Clean","Suburban",46.5373961218837,168,361,1390,725982
"IL Clean","Small Town",17.1745152354571,62,361,1390,725982
"IL Clean","Rural",32.6869806094183,118,361,1390,725982
"IN","Urban",9.62199312714777,28,291,1809,993475
"IN","Suburban",17.1821305841924,50,291,1809,993475
"IN","Small Town",21.9931271477663,64,291,1809,993475
"IN","Rural",51.2027491408935,149,291,1809,993475
"IN Clean","Urban",19.2771084337349,16,83,733,414357
"IN Clean","Suburban",20.4819277108434,17,83,733,414357
"IN Clean","Small Town",20.4819277108434,17,83,733,414357
"IN Clean","Rural",39.7590361445783,33,83,733,414357
"KS","Urban",2.7972027972028,8,286,1319,465341
"KS","Suburban",4.89510489510489,14,286,1319,465341
"KS","Small Town",24.4755244755245,70,286,1319,465341
"KS","Rural",67.8321678321678,194,286,1319,465341
"KS Clean","Urban",8.19672131147541,5,61,418,184650
"KS Clean","Suburban",13.1147540983607,8,61,418,184650
"KS Clean","Small Town",39.344262295082,24,61,418,184650
"KS Clean","Rural",39.344262295082,24,61,418,184650
"KY","Urban",3.48837209302326,6,172,1474,648461
"KY","Suburban",14.5348837209302,25,172,1474,648461
"KY","Small Town",31.9767441860465,55,172,1474,648461
"KY","Rural",50,86,172,1474,648461
"KY Clean","Small Town",100,2,2,24,12473
"LA","Urban",14.2857142857143,10,70,1280,626430
"LA","Suburban",25.7142857142857,18,70,1280,626430
"LA","Small Town",24.2857142857143,17,70,1280,626430
"LA","Rural",35.7142857142857,25,70,1280,626430
"LA Clean","Urban",11.3636363636364,5,44,861,437562
"LA Clean","Suburban",29.5454545454545,13,44,861,437562
"LA Clean","Small Town",27.2727272727273,12,44,861,437562
"LA Clean","Rural",31.8181818181818,14,44,861,437562
"MA","Urban",3.38983050847458,10,295,1693,862175
"MA","Suburban",66.1016949152542,195,295,1693,862175
"MA","Small Town",6.44067796610169,19,295,1693,862175
"MA","Rural",24.0677966101695,71,295,1693,862175
"MA Clean","Urban",3.5,7,200,1213,617270
"MA Clean","Suburban",63,126,200,1213,617270
"MA Clean","Small Town",6,12,200,1213,617270
"MA Clean","Rural",27.5,55,200,1213,617270
"MD","Urban",12.5,3,24,1432,834120
"MD","Suburban",45.8333333333333,11,24,1432,834120
"MD","Small Town",16.6666666666667,4,24,1432,834120
"MD","Rural",25,6,24,1432,834120
"MD Clean","Urban",11.7647058823529,2,17,866,512748
"MD Clean","Suburban",35.2941176470588,6,17,866,512748
"MD Clean","Small Town",17.6470588235294,3,17,866,512748
"MD Clean","Rural",35.2941176470588,6,17,866,512748
"ME","Urban",2.76243093922652,5,181,598,171433
"ME","Suburban",9.94475138121547,18,181,598,171433
"ME","Small Town",9.39226519337017,17,181,598,171433
"ME","Rural",77.9005524861878,141,181,598,171433
"ME Clean","Small Town",33.3333333333333,1,3,8,2222
"ME Clean","Rural",66.6666666666667,2,3,8,2222
"MI","Urban",6.45756457564576,35,542,3025,1355383
"MI","Suburban",27.1217712177122,147,542,3025,1355383
"MI","Small Town",17.3431734317343,94,542,3025,1355383
"MI","Rural",49.0774907749078,266,542,3025,1355383
"MI Clean","Urban",8.33333333333333,3,36,259,112484
"MI Clean","Suburban",11.1111111111111,4,36,259,112484
"MI Clean","Small Town",30.5555555555556,11,36,259,112484
"MI Clean","Rural",50,18,36,259,112484
"MN","Urban",2.72727272727273,9,330,1858,781817
"MN","Suburban",12.1212121212121,40,330,1858,781817
"MN","Small Town",25.4545454545455,84,330,1858,781817
"MN","Rural",59.6969696969697,197,330,1858,781817
"MN Clean","Urban",7.31707317073171,3,41,259,118993
"MN Clean","Suburban",24.390243902439,10,41,259,118993
"MN Clean","Small Town",21.9512195121951,9,41,259,118993
"MN Clean","Rural",46.3414634146341,19,41,259,118993
"MO","Urban",2.50481695568401,13,519,2186,866168
"MO","Suburban",9.44123314065511,49,519,2186,866168
"MO","Small Town",18.3044315992293,95,519,2186,866168
"MO","Rural",69.7495183044316,362,519,2186,866168
"MO Clean","Urban",6.01503759398496,8,133,834,376717
"MO Clean","Suburban",18.796992481203,25,133,834,376717
"MO Clean","Small Town",21.8045112781955,29,133,834,376717
"MO Clean","Rural",53.3834586466165,71,133,834,376717
"MS","Urban",3.3112582781457,5,151,1050,488196
"MS","Suburban",6.62251655629139,10,151,1050,488196
"MS","Small Town",34.4370860927152,52,151,1050,488196
"MS","Rural",55.6291390728477,84,151,1050,488196
"MS Clean","Urban",7.14285714285714,2,28,247,114193
"MS Clean","Suburban",3.57142857142857,1,28,247,114193
"MS Clean","Small Town",35.7142857142857,10,28,247,114193
"MS Clean","Rural",53.5714285714286,15,28,247,114193
"MT","Urban",1.2987012987013,4,308,819,142675
"MT","Suburban",1.62337662337662,5,308,819,142675
"MT","Small Town",10.0649350649351,31,308,819,142675
"MT","Rural",87.012987012987,268,308,819,142675
"MT Clean","Urban",1.63934426229508,3,183,575,101640
"MT Clean","Suburban",2.18579234972678,4,183,575,101640
"MT Clean","Small Town",11.4754098360656,21,183,575,101640
