BE Name,esh_id,c1_discount_rate_max,c1_discount_rate_min,num_schools
ABBEVILLE COUNTY SCHOOL DIST,962217,80,80,9
ABBOTSFORD SCHOOL DISTRICT,983671,80,80,2
ABBOTT INDEP SCHOOL DISTRICT,968964,60,60,2
A B C UNIFIED SCHOOL DISTRICT,882496,80,80,31
ABERDEEN SCHOOL DISTRICT,926550,90,90,5
ABERDEEN SCHOOL DISTRICT 5,982945,90,80,10
ABERDEEN SCHOOL DISTRICT 58,895365,80,80,3
ABERDEEN SCHOOL DISTRICT 6-1,965841,60,60,10
ABERNATHY INDEP SCHOOL DIST,968965,80,80,4
ABILENE INDEP SCHOOL DISTRICT,968966,80,80,35
ABILENE UNIF SCH DISTRICT 435,903408,80,80,5
ABINGTON HEIGHTS SCHOOL DIST,953601,40,40,6
ABINGTON SCHOOL DISTRICT,953602,50,50,9
ABSAROKEE SCHOOL DIST 52-52 C,928763,50,50,3
ABSECON PUBLIC SCHOOL DISTRICT,941009,60,60,2
ACADEMY INDEP SCHOOL DISTRICT,968967,70,70,5
ACADEMY OF CHARTER SCHOOLS,895085,60,50,
ACADEMY SCHOOL DISTRICT 20,881717,40,40,28
ACADIA PARISH SCHOOL DISTRICT,909629,90,90,26
ACALANES UNION HS DIST,882500,40,40,5
ACCOMACK COUNTY SCHOOL DIST,975443,80,80,13
A-C COMM UNIT SCHOOL DIST 262,900674,70,70,3
ACHIEVEMENT SCHOOL DISTRICT,967058,90,90,3
ACHILLE INDEP SCHOOL DIST 3,951063,90,90,2
ACKLEY-GENEVA WELLSBURG STEAMBOAT ROCK SCHOOL DISTRICT,894155,70,70,3
ACTON-AGUA DULCE UN SCH DIST,881433,70,70,4
ACTON-BOXBOROUGH SCHOOL DISTRICT,911002,40,40,2
ACTON SCHOOL DEPARTMENT,917336,80,80,1
ACUSHNET SCHOOL DISTRICT,911003,50,50,2
ADA-BORUP SCHOOL DISTRICT 2854,922294,70,70,3
ADA INDEP SCHOOL DISTRICT I 19,951065,80,80,6
ADAIR-CASEY COMM SCHOOL DIST,894156,70,70,2
ADAIR CO SCHOOL DISTRICT R 1,924443,80,80,2
ADAIR CO SCHOOL DISTRICT R 2,924111,80,80,2
ADAIR COUNTY SCHOOL DISTRICT,904366,90,90,6
ADAIR INDEP SCHOOL DISTRICT 2,951066,80,80,3
ADAMS 12 FIVE STAR SCHOOL DISTRICT,882641,60,60,48
ADAMS CENTRAL COMMUNITY SCHOOLS,901849,60,60,3
ADAMS CENTRAL HIGH SCHOOL DIST,936013,50,50,6
ADAMS-CHESHIRE SCHOOL DISTRICT,911004,60,60,3
ADAMS COUNTY/OHIO VALLEY SCHOOL DISTRICT,950348,80,80,7
ADAMS COUNTY SCHOOL DIST 14,881722,80,80,11
ADAMS COUNTY SCHOOL DISTRCIT 50,882683,90,90,17
ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT ADMINISTRATION BUILDING,983698,80,80,5
ADAMS-FRIENDSHIP SCHOOL DIST,983698,80,80,5
ADAMS TOWNSHIP SCHOOL DIST,919473,80,80,2
ADA SCHOOL DISTRICT,949748,60,60,2
ADDISON CENTRAL SCHOOL DIST,946184,80,80,3
ADDISON CENTRAL S U 03,980653,70,70,9
ADDISON COMM SCHOOL DISTRICT,919474,80,70,4
ADDISON NORTHEAST S U 01,980648,70,70,6
ADDISON NORTHWEST S U 02,980651,70,70,4
