esh_id,id,MEMBER,TOTET
909733,39079,2482,2482
909712,38627,2237,2237
909743,39296,2121,2121
909656,38480,1973,1973
909733,39072,1944,1944
909713,38730,1901,1901
909713,38693,1893,1893
909656,38475,1837,1837
909761,39600,1778,1778
909712,38669,1774,1774
909760,39552,1737,1737
909731,38984,1718,1718
909656,38468,1710,1710
909711,38588,1696,1696
909733,39063,1690,1690
909760,39530,1650,1650
909726,38932,1644,1644
909760,39559,1637,1637
909750,39401,1634,1634
909760,39543,1516,1516
909751,39415,1507,1507
909737,39166,1494,1494
909635,38371,1475,1475
909731,38976,1474,1474
909760,39568,1464,1464
909731,39002,1460,1460
909751,39414,1448,1448
909734,39129,1430,1430
909720,38842,1370,1370
909720,38801,1362,1362
909741,39243,1362,1362
909756,39443,1357,1357
909746,39351,1346,1346
909761,39587,1340,1340
909727,38947,1300,1300
909720,38859,1290,1290
909720,38829,1289,1289
909712,38660,1286,1286
909734,39107,1284,1284
909712,38629,1263,1263
909712,38635,1262,1262
909659,38502,1257,1257
909635,38369,1245,1245
909713,38738,1244,1244
909733,39071,1232,1232
909712,38679,1232,1232
909743,39284,1225,1225
909734,39126,1222,1222
909746,39328,1209,1209
909737,39175,1206,1206
909731,39006,1200,1200
909761,39610,1196,1196
909712,38638,1192,1192
909713,38708,1190,1190
909712,38681,1182,1182
909731,39028,1163,1163
909736,39153,1149,1149
909727,38950,1148,1148
909711,38602,1148,1148
909712,38675,1146,1146
909720,38807,1128,1128
909711,38599,1115,1115
909726,38931,1098,1098
909731,38983,1098,1098
909712,38643,1096,1096
909740,39229,1094,1094
909737,39188,1093,1093
909713,38716,1082,1082
909712,38674,1076,1076
909737,39182,1073,1073
909744,39310,1072,1072
909763,39650,1068,1068
909743,39307,1067,1067
909733,39064,1056,1056
909763,39638,1053,1053
909763,39633,1052,1052
909746,39334,1049,1049
909720,38855,1047,1047
909763,39624,1045,1045
909711,38607,1035,1035
909720,38848,1031,1031
909658,38491,1030,1030
909743,39285,1028,1028
909731,38981,1027,1027
909720,38867,1027,1027
909733,39095,1022,1022
909754,39433,1006,1006
909760,39566,1005,1005
909713,38713,998,998
909712,38685,995,995
909763,39651,986,986
909712,38667,985,985
909713,38715,980,980
909713,38719,979,979
909756,39444,972,972
909659,38505,972,972
909746,39331,968,968
909760,39577,966,966
909684,38532,962,962
909656,38482,962,962
909713,38720,959,959
909760,39557,958,958
909713,38737,957,957
909739,39219,951,951
909712,38651,951,951
909720,38835,949,949
909763,39631,942,942
909659,38503,939,939
909763,39644,939,939
909760,39531,937,937
909766,39694,928,928
909720,38802,926,926
909720,38847,921,921
909711,38597,915,915
909746,39364,908,908
909656,38485,899,899
909733,39082,896,896
909769,39722,893,893
909731,38971,891,891
909733,39087,888,888
909731,39010,888,888
909729,38961,886,886
909731,39024,882,882
909737,39167,881,881
909733,39099,880,880
909711,38620,873,873
909758,39490,872,872
909767,39709,870,870
909731,39019,869,869
909711,38592,861,861
909760,39581,858,858
909684,38533,857,857
909742,39264,855,855
909713,38728,854,854
909757,39484,852,852
909760,39534,848,848
909737,39196,848,848
909723,38898,848,848
909656,38473,846,846
909760,39529,845,845
909711,38591,844,844
909744,39311,842,842
909723,38891,841,841
909745,39318,841,841
909766,39702,836,836
909746,39329,836,836
909733,39092,836,836
909761,39611,834,834
909733,39080,831,831
909761,39585,824,824
909723,38895,823,823
909733,39100,822,822
909763,39620,821,821
909751,39418,820,820
909766,39692,817,817
909712,38659,816,816
909765,39680,814,814
909656,38478,812,812
909635,38372,811,811
909733,39066,804,804
909731,39013,802,802
909743,39275,800,800
909731,38996,799,799
909766,39685,798,798
909713,38746,798,798
909707,38559,798,798
909712,38680,797,797
909757,39466,790,790
909757,39465,790,790
909720,38813,788,788
909731,39038,787,787
909747,39375,786,786
909734,39105,786,786
909731,39046,780,780
909720,38872,778,778
909711,38598,778,778
909760,39553,777,777
909731,39032,776,776
909761,39606,775,775
909760,39537,775,775
909715,38755,774,774
909760,39548,774,774
909711,38618,769,769
909656,38483,769,769
909743,39303,768,768
909712,38664,768,768
909656,38467,766,766
909720,38820,766,766
909742,39265,766,766
909760,39538,764,764
909733,39096,762,762
909711,38616,762,762
909760,39528,762,762
909684,38531,761,761
909656,38488,761,761
909758,39494,761,761
909711,38613,759,759
909720,38845,759,759
909745,39320,759,759
909758,39499,758,758
909760,39580,757,757
909744,39312,757,757
909757,39470,755,755
909733,39065,755,755
909724,38906,753,753
909711,38617,752,752
909656,38489,752,752
909746,39369,751,751
909761,39599,751,751
909731,39030,748,748
909726,38933,746,746
909711,38589,745,745
909731,38970,745,745
909763,39627,744,744
909707,38565,741,741
909758,39493,740,740
909763,39641,736,736
909733,39085,735,735
909712,38670,735,735
909720,38828,735,735
909751,39425,733,733
909737,39161,732,732
909760,39527,729,729
909760,39533,727,727
909758,39489,727,727
909656,38477,727,727
909712,38684,725,725
909760,39554,724,724
909733,39102,723,723
909723,38893,722,722
909763,39646,722,722
909712,38663,721,721
909761,39596,721,721
909733,39081,721,721
909759,39516,720,720
909731,38999,719,719
909757,39472,717,717
909731,38989,713,713
909725,38913,711,711
909761,39594,709,709
909720,38865,709,709
909733,39067,708,708
909719,38793,707,707
909684,38530,707,707
909760,39560,705,705
909746,39344,705,705
909737,39173,702,702
909712,38641,702,702
909731,38987,700,700
909720,38853,700,700
909629,38342,699,699
909746,39335,698,698
909731,39045,698,698
909733,39101,697,697
909728,38953,695,695
909733,39088,692,692
909765,39674,691,691
909760,39561,691,691
909760,39564,689,689
909731,38993,688,688
909746,39352,687,687
909737,39168,687,687
909737,39191,686,686
909742,39271,684,684
909659,38504,684,684
909767,39707,684,684
909761,39601,680,680
909712,38639,679,679
909707,38560,678,678
909763,39625,676,676
909713,38742,675,675
909760,39574,675,675
909737,39198,673,673
909759,39522,673,673
909629,38355,671,671
909731,39001,670,670
909713,38721,670,670
909713,38705,669,669
909720,38816,669,669
909760,39573,669,669
909754,39436,666,666
909731,38975,663,663
909750,39409,661,661
909743,39297,661,661
