recipient_id,recipient_name,postal_cd,line_item_id,consortium_shared,shared_service,quantity_of_lines_received_by_district,bandwidth_in_mbps,connect_type,connect_category,purpose,wan,line_item_district_monthly_cost,line_item_total_monthly_cost,cat.1_allocations_to_district,line_item_total_num_lines,line_item_total_cost,line_item_recurring_elig_cost,line_item_one-time_cost,orig_r_months_of_service,applicant_id,applicant_name,isp_conditions_met,internet_conditions_met,ia_conditions_met,wan_conditions_met,upstream_conditions_met,broadband,service_provider_name,exclude,open_flags,dqs_excluded,district_monthly_ia_cost_per_mbps,district_total_ia_rounded_to_nearest_mbps,ia_bandwidth_per_student,num_students,num_students_and_staff,num_schools,latitude,longitude,locale,district_size,exclude_from_analysis,consortium_member,recipient_districts,recipient_postal_cd,dirty_status,reporting_name
881421,MARSHALL COUNTY,AL,329943,TRUE,Backbone,Shared Circuit,10000,Lit Fiber Service,Fiber,Transport,Y,32.56802659,4247.62,4,4,50971.44,4247.62,0,12,1005870,ALABAMA SUPERCOMPUTER AUTHORITY,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Computer Sciences Corporation,TRUE,"funded, previously_assumed_wan, backbone, consortium_shared_manual, entities_to_lines, likely_fiber, likely_wan_qty, consortium_shared",FALSE,3.474166667,800,142.91,5598,6037,16,34.305013,-86.286718,Rural,Large,FALSE,TRUE,n/a,n/a,include clean,Computer Sciences
881422,CHEYENNE COUNTY SCHOOL DISTRICT NO. RE-5,CO,217602,FALSE,District-dedicated,1,100,Lit Fiber Service,Fiber,Internet,N,81.41176471,1384,1,17,16608,1384,0,12,881543,EAST CENTRAL BOCES,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"Affiniti, LLC",TRUE,"funded, not_ia, cost_per_qty",FALSE,12.3075,13,75.14,173,218,3,38.824805,-102.353136,Rural,Small,TRUE,TRUE,n/a,n/a,exclude dirty,Affiniti
881423,DEWITT SCHOOL DISTRICT,AR,332797,FALSE,District-dedicated,4,6,Digital Subscriber Line (DSL),Cable / DSL,Internet,N,239.8,359.7,4,6,4316.4,359.7,0,12,881423,DEWITT PUBLIC SCHOOL DISTRICT,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"CenturyLink CenturyTel of Arkansas, Inc.",TRUE,"funded, possible_neca, not_ia",FALSE,38.62,150,115.83,1295,1493,4,34.29481,-91.339451,Rural,Small,TRUE,TRUE,n/a,n/a,exclude dirty,CenturyLink
881424,CAVE CREEK UNIFIED DISTRICT,AZ,260837,FALSE,District-dedicated,1,200,Lit Fiber Service,Fiber,Transport,Y,700,700,1,1,8400,700,0,12,881424,CAVE CREEK UN SCHOOL DIST 93,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Cox Arizona Telcom, LLC",FALSE,"funded, entities_to_lines",FALSE,9.025833333,1300,431.18,3015,3623,4,33.791509,-111.952075,Urban,Small,FALSE,FALSE,n/a,n/a,include clean,Cox
881424,CAVE CREEK UNIFIED DISTRICT,AZ,260839,FALSE,District-dedicated,4,100,Lit Fiber Service,Fiber,Transport,Y,2500,2500,4,4,30000,2500,0,12,881424,CAVE CREEK UN SCHOOL DIST 93,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Cox Arizona Telcom, LLC",FALSE,funded,FALSE,9.025833333,1300,431.18,3015,3623,4,33.791509,-111.952075,Urban,Small,FALSE,FALSE,n/a,n/a,include clean,Cox
881424,CAVE CREEK UNIFIED DISTRICT,AZ,310319,FALSE,District-dedicated,1,100,Lit Fiber Service,Fiber,Transport,Y,769.1038462,9998.35,1,13,119980.2,9998.35,0,12,883078,CASA GRANDE ELEM SCHOOL DIST 4,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,CenturyLink Qwest Corporation,FALSE,"possible_neca, funded",FALSE,9.025833333,1300,431.18,3015,3623,4,33.791509,-111.952075,Urban,Small,FALSE,FALSE,n/a,n/a,include clean,CenturyLink
881424,CAVE CREEK UNIFIED DISTRICT,AZ,310322,FALSE,District-dedicated,1,100,Lit Fiber Service,Fiber,Internet,N,1733.1,1733.1,1,1,20797.2,1733.1,0,12,883078,CASA GRANDE ELEM SCHOOL DIST 4,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,CenturyLink Qwest Corporation,FALSE,"funded, possible_neca",FALSE,9.025833333,1300,431.18,3015,3623,4,33.791509,-111.952075,Urban,Small,FALSE,FALSE,n/a,n/a,include clean,CenturyLink
881427,HOOVER CITY,AL,329943,TRUE,Backbone,Shared Circuit,10000,Lit Fiber Service,Fiber,Transport,Y,79.68636303,4247.62,4,4,50971.44,4247.62,0,12,1005870,ALABAMA SUPERCOMPUTER AUTHORITY,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Computer Sciences Corporation,TRUE,"funded, previously_assumed_wan, backbone, consortium_shared_manual, entities_to_lines, likely_fiber, likely_wan_qty, consortium_shared",FALSE,1.305,3000,219.03,13697,14743,17,33.40715,-86.766011,Urban,Large,FALSE,TRUE,n/a,n/a,include clean,Computer Sciences
881428,CHINO VALLEY UNIFIED DISTRICT,AZ,268476,FALSE,District-dedicated,1,2,Ethernet,Other / Uncategorized,Transport,Y,679.0235119,19012.65833,1,28,228151.9,22815.19,0,12,1005055,YAVAPAI COUNTY EDUCATIONAL TECHNOLOGY CONSORTIUM,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"TW Telecom Holdings, Inc.",FALSE,"funded, ethernet_copper, likely_wan_qty",FALSE,6.835,1000,440.72,2269,2488,4,34.74637,-112.453791,Small Town,Small,FALSE,TRUE,n/a,n/a,include clean,TW Telecom Holdings
881428,CHINO VALLEY UNIFIED DISTRICT,AZ,268503,TRUE,Shared IA,Shared Circuit,40,Lit Fiber Service,Fiber,Internet,N,152.378973,1452.133333,1,1,17425.6,1742.56,0,12,1005055,YAVAPAI COUNTY EDUCATIONAL TECHNOLOGY CONSORTIUM,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"TW Telecom Holdings, Inc.",TRUE,"funded, consortium_shared",FALSE,6.835,1000,440.72,2269,2488,4,34.74637,-112.453791,Small Town,Small,FALSE,TRUE,n/a,n/a,include clean,TW Telecom Holdings
