"postal_cd","district_size","percent","n_districts_size","n_districts","n_schools","n_students"
"AK","Mega",1.88679245283019,1,53,494,122104
"AK","Large",9.43396226415094,5,53,494,122104
"AK","Medium",33.9622641509434,18,53,494,122104
"AK","Small",41.5094339622642,22,53,494,122104
"AK","Tiny",13.2075471698113,7,53,494,122104
"AK Clean","Mega",2.32558139534884,1,43,408,109675
"AK Clean","Large",9.30232558139535,4,43,408,109675
"AK Clean","Medium",32.5581395348837,14,43,408,109675
"AK Clean","Small",41.8604651162791,18,43,408,109675
"AK Clean","Tiny",13.953488372093,6,43,408,109675
"AL","Mega",3.03030303030303,4,132,1587,731631
"AL","Large",15.9090909090909,21,132,1587,731631
"AL","Medium",50,66,132,1587,731631
"AL","Small",31.0606060606061,41,132,1587,731631
"AL Clean","Mega",0.826446280991736,1,121,1268,571365
"AL Clean","Large",16.5289256198347,20,121,1268,571365
"AL Clean","Medium",50.4132231404959,61,121,1268,571365
"AL Clean","Small",32.2314049586777,39,121,1268,571365
"AR","Large",3.78151260504202,9,238,1053,458149
"AR","Medium",13.0252100840336,31,238,1053,458149
"AR","Small",83.1932773109244,198,238,1053,458149
"AR Clean","Large",3.57142857142857,7,196,854,378102
"AR Clean","Medium",13.265306122449,26,196,854,378102
"AR Clean","Small",83.1632653061225,163,196,854,378102
"AZ","Mega",0.961538461538462,2,208,1501,923653
"AZ","Large",9.61538461538461,20,208,1501,923653
"AZ","Medium",24.0384615384615,50,208,1501,923653
"AZ","Small",37.0192307692308,77,208,1501,923653
"AZ","Tiny",28.3653846153846,59,208,1501,923653
"AZ Clean","Mega",1.13636363636364,2,176,1420,897565
"AZ Clean","Large",11.3636363636364,20,176,1420,897565
"AZ Clean","Medium",26.1363636363636,46,176,1420,897565
"AZ Clean","Small",37.5,66,176,1420,897565
"AZ Clean","Tiny",23.8636363636364,42,176,1420,897565
"CA","Mega",1.69491525423729,16,944,8987,5697216
"CA","Large",13.8771186440678,131,944,8987,5697216
"CA","Medium",29.2372881355932,276,944,8987,5697216
"CA","Small",29.4491525423729,278,944,8987,5697216
"CA","Tiny",25.7415254237288,243,944,8987,5697216
"CA Clean","Mega",1.75438596491228,9,513,5315,3378287
"CA Clean","Large",15.009746588694,77,513,5315,3378287
"CA Clean","Medium",29.2397660818713,150,513,5315,3378287
"CA Clean","Small",29.2397660818713,150,513,5315,3378287
"CA Clean","Tiny",24.7563352826511,127,513,5315,3378287
"CO","Mega",3.37078651685393,6,178,1607,743855
"CO","Large",10.1123595505618,18,178,1607,743855
"CO","Medium",10.6741573033708,19,178,1607,743855
"CO","Small",74.7191011235955,133,178,1607,743855
"CO","Tiny",1.12359550561798,2,178,1607,743855
"CO Clean","Mega",3.7593984962406,5,133,1128,535101
"CO Clean","Large",8.27067669172932,11,133,1128,535101
"CO Clean","Medium",13.5338345864662,18,133,1128,535101
"CO Clean","Small",72.9323308270677,97,133,1128,535101
"CO Clean","Tiny",1.50375939849624,2,133,1128,535101
"CT","Large",6.50887573964497,11,169,1027,506685
"CT","Medium",27.810650887574,47,169,1027,506685
"CT","Small",43.7869822485207,74,169,1027,506685
"CT","Tiny",21.8934911242604,37,169,1027,506685
"CT Clean","Large",6.91823899371069,11,159,947,462127
"CT Clean","Medium",25.7861635220126,41,159,947,462127
"CT Clean","Small",44.0251572327044,70,159,947,462127
"CT Clean","Tiny",23.2704402515723,37,159,947,462127
"DC","Mega",100,1,1,131,38609
"DC Clean","Mega",100,1,1,131,38609
"DE","Large",25,4,16,196,109540
"DE","Medium",62.5,10,16,196,109540
"DE","Small",12.5,2,16,196,109540
"DE Clean","Large",20,3,15,166,94374
"DE Clean","Medium",66.6666666666667,10,15,166,94374
"DE Clean","Small",13.3333333333333,2,15,166,94374
"FL","Mega",28.5714285714286,20,70,3648,2427792
"FL","Large",32.8571428571429,23,70,3648,2427792
"FL","Medium",32.8571428571429,23,70,3648,2427792
"FL","Small",1.42857142857143,1,70,3648,2427792
"FL","Tiny",4.28571428571429,3,70,3648,2427792
"FL Clean","Mega",25.8620689655172,15,58,2769,1843575
"FL Clean","Large",36.2068965517241,21,58,2769,1843575
"FL Clean","Medium",36.2068965517241,21,58,2769,1843575
"FL Clean","Small",1.72413793103448,1,58,2769,1843575
"GA","Mega",5,9,180,2288,1593612
"GA","Large",13.8888888888889,25,180,2288,1593612
"GA","Medium",31.1111111111111,56,180,2288,1593612
"GA","Small",47.7777777777778,86,180,2288,1593612
"GA","Tiny",2.22222222222222,4,180,2288,1593612
"GA Clean","Mega",4.81927710843374,8,166,2151,1494831
"GA Clean","Large",14.4578313253012,24,166,2151,1494831
"GA Clean","Medium",32.5301204819277,54,166,2151,1494831
"GA Clean","Small",46.3855421686747,77,166,2151,1494831
"GA Clean","Tiny",1.80722891566265,3,166,2151,1494831
"HI","Mega",100,1,1,256,173658
"HI Clean","Mega",100,1,1,256,173658
"IA","Mega",0.288184438040346,1,347,1402,471289
"IA","Large",2.01729106628242,7,347,1402,471289
"IA","Medium",10.9510086455331,38,347,1402,471289
"IA","Small",82.7089337175793,287,347,1402,471289
"IA","Tiny",4.03458213256484,14,347,1402,471289
"IA Clean","Mega",0.335570469798658,1,298,1174,386105
"IA Clean","Large",1.67785234899329,5,298,1174,386105
"IA Clean","Medium",9.73154362416107,29,298,1174,386105
"IA Clean","Small",85.5704697986577,255,298,1174,386105
"IA Clean","Tiny",2.68456375838926,8,298,1174,386105
"ID","Mega",1.75438596491228,2,114,725,261977
"ID","Large",5.26315789473684,6,114,725,261977
"ID","Medium",25.4385964912281,29,114,725,261977
"ID","Small",53.5087719298246,61,114,725,261977
"ID","Tiny",14.0350877192982,16,114,725,261977
"ID Clean","Mega",2.22222222222222,2,90,635,240347
"ID Clean","Large",6.66666666666667,6,90,635,240347
"ID Clean","Medium",25.5555555555556,23,90,635,240347
"ID Clean","Small",56.6666666666667,51,90,635,240347
"ID Clean","Tiny",8.88888888888889,8,90,635,240347
"IL","Mega",0.232558139534884,2,860,3946,1909616
"IL","Large",2.7906976744186,24,860,3946,1909616
"IL","Medium",13.4883720930233,116,860,3946,1909616
"IL","Small",58.8372093023256,506,860,3946,1909616
"IL","Tiny",24.6511627906977,212,860,3946,1909616
"IL Clean","Mega",0.315457413249211,2,634,3097,1489293
"IL Clean","Large",2.8391167192429,18,634,3097,1489293
"IL Clean","Medium",13.5646687697161,86,634,3097,1489293
"IL Clean","Small",59.9369085173502,380,634,3097,1489293
"IL Clean","Tiny",23.3438485804416,148,634,3097,1489293
"IN","Mega",0.342465753424658,1,292,1830,994489
"IN","Large",6.50684931506849,19,292,1830,994489
"IN","Medium",27.3972602739726,80,292,1830,994489
"IN","Small",64.7260273972603,189,292,1830,994489
"IN","Tiny",1.02739726027397,3,292,1830,994489
"IN Clean","Mega",0.359712230215827,1,278,1767,968374
"IN Clean","Large",6.83453237410072,19,278,1767,968374
"IN Clean","Medium",28.0575539568345,78,278,1767,968374
"IN Clean","Small",64.0287769784173,178,278,1767,968374
"IN Clean","Tiny",0.719424460431655,2,278,1767,968374
"KS","Mega",0.350877192982456,1,285,1336,454386
"KS","Large",2.80701754385965,8,285,1336,454386
"KS","Medium",13.6842105263158,39,285,1336,454386
"KS","Small",81.0526315789474,231,285,1336,454386
"KS","Tiny",2.10526315789474,6,285,1336,454386
"KS Clean","Mega",0.40650406504065,1,246,1124,372279
"KS Clean","Large",2.84552845528455,7,246,1124,372279
"KS Clean","Medium",12.1951219512195,30,246,1124,372279
"KS Clean","Small",82.1138211382114,202,246,1124,372279
"KS Clean","Tiny",2.4390243902439,6,246,1124,372279
"KY","Mega",1.14942528735632,2,174,1534,658256
"KY","Large",8.62068965517241,15,174,1534,658256
"KY","Medium",43.1034482758621,75,174,1534,658256
"KY","Small",40.2298850574713,70,174,1534,658256
"KY","Tiny",6.89655172413793,12,174,1534,658256
"KY Clean","Mega",1.20481927710843,2,166,1512,650633
"KY Clean","Large",9.03614457831325,15,166,1512,650633
"KY Clean","Medium",44.578313253012,74,166,1512,650633
"KY Clean","Small",40.3614457831325,67,166,1512,650633
"KY Clean","Tiny",4.81927710843374,8,166,1512,650633
"LA","Mega",7.2463768115942,5,69,1267,616348
"LA","Large",28.9855072463768,20,69,1267,616348
"LA","Medium",47.8260869565217,33,69,1267,616348
"LA","Small",15.9420289855072,11,69,1267,616348
"LA Clean","Mega",8.19672131147541,5,61,1162,573838
"LA Clean","Large",27.8688524590164,17,61,1162,573838
"LA Clean","Medium",50.8196721311475,31,61,1162,573838
"LA Clean","Small",13.1147540983607,8,61,1162,573838
"MA","Mega",0.677966101694915,2,295,1702,864451
"MA","Large",3.38983050847458,10,295,1702,864451
"MA","Medium",32.2033898305085,95,295,1702,864451
"MA","Small",44.0677966101695,130,295,1702,864451
"MA","Tiny",19.6610169491525,58,295,1702,864451
"MA Clean","Mega",0.790513833992095,2,253,1516,772808
"MA Clean","Large",3.95256916996047,10,253,1516,772808
"MA Clean","Medium",31.2252964426877,79,253,1516,772808
"MA Clean","Small",45.0592885375494,114,253,1516,772808
"MA Clean","Tiny",18.9723320158103,48,253,1516,772808
"MD","Mega",33.3333333333333,8,24,1398,811173
"MD","Large",33.3333333333333,8,24,1398,811173
"MD","Medium",33.3333333333333,8,24,1398,811173
"MD Clean","Mega",34.7826086956522,8,23,1384,803670
"MD Clean","Large",34.7826086956522,8,23,1384,803670
"MD Clean","Medium",30.4347826086957,7,23,1384,803670
"ME","Large",0.571428571428571,1,175,607,174242
"ME","Medium",24,42,175,607,174242
"ME","Small",34.8571428571429,61,175,607,174242
"ME","Tiny",40.5714285714286,71,175,607,174242
"ME Clean","Medium",21.3114754098361,26,122,382,106553
"ME Clean","Small",36.0655737704918,44,122,382,106553
"ME Clean","Tiny",42.6229508196721,52,122,382,106553
"MI","Mega",0.366300366300366,2,546,3157,1373257
"MI","Large",4.21245421245421,23,546,3157,1373257
"MI","Medium",29.3040293040293,160,546,3157,1373257
"MI","Small",55.1282051282051,301,546,3157,1373257
