esh_id,nces_cd,name,postal_cd,latitude,longitude,fips_cd,senatorial_id,house_rep_id
915444,2400060,ANNE ARUNDEL COUNTY PUBLIC SCHOOLS,MD,38.975436,-76.558399,24,24030,2430A
983741,5500960,BEAVER DAM UNIFIED SCHOOL DISTRICT,WI,43.465275,-88.821554,55,55013,55039
953661,4204050,BRANDYWINE HEIGHTS AREA SD,PA,40.499497,-75.703152,42,42011,42134
983801,5502460,CEDARBURG SCHOOL DISTRICT,WI,43.298197,-87.994718,55,55020,55060
983813,5502670,CLINTONVILLE SCHOOL DISTRICT,WI,44.62519,-88.769151,55,55014,55006
889056,1800127,CSUSA DONNAN,FL,26.20509,-80.109141,18,18034,18093
889055,1800126,CSUSA HOWE,FL,26.20509,-80.109141,18,18034,18093
889054,1800112,CSUSA MANUAL,FL,26.20509,-80.109141,18,18034,18093
983844,5503180,DE FOREST AREA SCHOOL DISTRICT,WI,43.24796,-89.335231,55,55013,55037
983974,5507260,DODGELAND SCHOOL DISTRICT,WI,43.40191,-88.716521,55,55013,55039
983890,5504350,ELMWOOD SCHOOL DISTRICT,WI,44.778303,-92.152953,55,55031,55093
983897,5504530,FALL RIVER SCHOOL DISTRICT,WI,43.386573,-89.046277,55,55014,55042
953814,4210860,GOVERNOR MIFFLIN SD,PA,40.305441,-75.962322,42,42011,42128
983942,5506090,HARTFORD J1 SCHOOL DISTRICT,WI,43.32445,-88.369261,55,55020,55059
983943,5506120,HARTFORD UHS SCHOOL DISTRICT,WI,43.30664,-88.388441,55,55020,55059
882691,200480,KODIAK ISLAND BOROUGH SCHOOL DISTRICT,AK,57.793264,-152.398142,2,0200S,2035
983999,5508190,LODI SCHOOL DISTRICT,WI,43.31891,-89.524561,55,55014,55042
984006,5508550,MANAWA SCHOOL DISTRICT,WI,44.45811,-88.908411,55,55014,55040
953899,4214580,MANHEIM TOWNSHIP SD,PA,40.084287,-76.332473,42,42013,42097
984041,5509510,MIDDLETON-CROSS PLAINS AREA SCHOOL DISTRICT,WI,43.093435,-89.50366,55,55027,55079
984067,5510380,NEKOOSA SCHOOL DISTRICT,WI,44.32004,-89.904101,55,55024,55070
984076,5510590,NEW LONDON SCHOOL DISTRICT,WI,44.386739,-88.7493,55,55014,55040
949691,3904460,OREGON CITY,OH,41.65434,-83.410071,39,39002,39009
984104,5511370,PARDEEVILLE AREA SCHOOL DISTRICT,WI,43.53354,-89.292341,55,55014,55042
929065,3020100,PARK H S,MT,45.6611,-110.558101,30,30030,30060
949695,3904465,PORT CLINTON CITY,OH,41.503939,-82.938989,39,39002,39089
984127,5512120,POYNETTE SCHOOL DISTRICT,WI,43.39089,-89.396631,55,55014,55042
882760,200670,PRIBILOF SCHOOL DISTRICT,AK,57.124438,-170.283257,2,0200S,2037
984156,5512990,RIO COMMUNITY SCHOOL DISTRICT,WI,43.44315,-89.231051,55,55014,55042
937762,5000024,RIVENDELL INTERSTATE SCHOOL DISTRICT,NH,43.901689,-72.139165,50,50002,0
911272,2510200,ROCKPORT,MA,42.652218,-70.610555,25,25020,0
984185,5513680,SHEBOYGAN FALLS SCHOOL DISTRICT,WI,43.72043,-87.811401,55,55009,55026
950050,3904822,SPRINGFIELD LOCAL,OH,41.61769,-83.705061,39,39002,39046
984209,5514430,STANLEY-BOYD AREA SCHOOL DISTRICT,WI,44.959231,-90.925848,55,55023,55068
984219,5514820,THORP SCHOOL DISTRICT,WI,44.954565,-90.795791,55,55023,55068
984226,5514910,TOMAH AREA SCHOOL DISTRICT,WI,43.97198,-90.505771,55,55024,55070
882787,200720,UNALASKA CITY SCHOOL DISTRICT,AK,53.873176,-166.52497,2,0200S,2037
984286,5516500,WEYAUWEGA-FREMONT SCHOOL DISTRICT,WI,44.32589,-88.925031,55,55014,55040
929203,3820340,YELLOWSTONE 14,MT,47.855384,-104.046154,38,38039,38039
882041,102010,LAUDERDALE COUNTY,AL,34.832601,-87.621279,1,1001,1002
881806,100840,COLBERT COUNTY,AL,34.716223,-87.687912,1,1006,1003
881936,101530,FLORENCE CITY,AL,34.794232,-87.680056,1,1006,1003
882146,102520,MUSCLE SHOALS CITY,AL,34.73363,-87.635238,1,1006,1003
882258,103000,SHEFFIELD CITY,AL,34.763958,-87.701803,1,1006,1003
882341,103420,TUSCUMBIA CITY,AL,34.737924,-87.700204,1,1006,1003
882134,102480,MORGAN COUNTY,AL,34.561465,-86.969525,1,1003,1004
881588,100120,ATHENS CITY,AL,34.802255,-86.967463,1,1001,1005
882062,102100,LIMESTONE COUNTY,AL,34.801245,-86.972319,1,1001,1005
882050,102040,LAWRENCE COUNTY,AL,34.47517,-87.296531,1,1004,1007
881871,101170,DECATUR CITY,AL,34.60599,-86.981941,1,1003,1008
881981,101730,HARTSELLE CITY,AL,34.44704,-86.931451,1,1003,1009
881431,100008,MADISON CITY,AL,34.687317,-86.744908,1,1002,1010
881842,100990,CULLMAN CITY,AL,34.178624,-86.840996,1,1004,1012
881847,101020,CULLMAN COUNTY,AL,34.18091,-86.841052,1,1004,1012
882020,101890,JASPER CITY,AL,33.8348,-87.279669,1,1005,1013
882355,103450,WALKER COUNTY,AL,33.834632,-87.27467,1,1005,1013
881931,101470,FAYETTE COUNTY,AL,33.68577,-87.831221,1,1005,1016
881976,101720,HALEYVILLE CITY,AL,34.226369,-87.616199,1,1004,1017
882376,103580,WINSTON COUNTY,AL,34.148032,-87.402534,1,1005,1017
882092,102310,MARION COUNTY,AL,34.11601,-87.996001,1,1006,1017
882370,103540,WINFIELD CITY,AL,33.932309,-87.812355,1,1006,1017
882031,101950,LAMAR COUNTY,AL,33.752837,-88.118612,1,1021,1017
881946,101590,FRANKLIN COUNTY,AL,34.50766,-87.727564,1,1006,1018
882241,102910,RUSSELLVILLE CITY,AL,34.527045,-87.737343,1,1006,1018
882000,101800,HUNTSVILLE CITY,AL,34.734537,-86.577391,1,1007,1021
882084,102220,MADISON COUNTY,AL,34.784888,-86.519994,1,1007,1021
882011,101830,JACKSON COUNTY,AL,34.675754,-86.061705,1,1008,1023
882247,102940,SCOTTSBORO CITY,AL,34.671124,-86.031242,1,1008,1023
881865,101140,DEKALB COUNTY,AL,34.438462,-85.726385,1,1008,1024
881941,101560,FORT PAYNE CITY,AL,34.484591,-85.672796,1,1008,1024
881443,100012,BOAZ CITY,AL,34.21285,-86.161149,1,1009,1026
881966,101690,GUNTERSVILLE CITY,AL,34.357166,-86.296162,1,1009,1026
882387,100005,ALBERTVILLE CITY,AL,34.267964,-86.208985,1,1009,1026
881584,100100,ARAB CITY,AL,34.327848,-86.488295,1,1009,1027
881623,100180,ATTALLA CITY,AL,33.99564,-86.111111,1,1010,1028
881951,101620,GADSDEN CITY,AL,34.01387,-86.018011,1,1010,1028
881907,101380,ETOWAH COUNTY,AL,34.02078,-86.055581,1,1010,1029
882269,103062,ST CLAIR COUNTY,AL,33.81979,-86.269721,1,1017,1030
882307,103240,TALLASSEE CITY,AL,32.53721,-85.893131,1,1025,1031
881892,101290,ELMORE COUNTY,AL,32.550271,-86.219496,1,1030,1031
881578,100090,ANNISTON CITY,AL,33.707096,-85.821662,1,1012,1032
881743,100540,CALHOUN COUNTY,AL,33.699505,-85.823863,1,1012,1032
882169,102635,OXFORD CITY,AL,33.613526,-85.829845,1,1012,1032
882281,103120,SYLACAUGA CITY,AL,33.17645,-86.267721,1,1011,1033
881824,100900,COOSA COUNTY,AL,32.8877,-86.2219,1,1030,1033
881421,100006,MARSHALL COUNTY,AL,34.305013,-86.286718,1,1009,1034
881720,100420,BLOUNT COUNTY,AL,33.945634,-86.476512,1,1017,1034
882152,102550,ONEONTA CITY,AL,33.933277,-86.495958,1,1017,1034
882287,103150,TALLADEGA CITY,AL,33.43188,-86.109601,1,1011,1035
882293,103180,TALLADEGA COUNTY,AL,33.432846,-86.101558,1,1011,1035
881787,100750,CLAY COUNTY,AL,33.274494,-85.835245,1,1013,1035
882178,102650,PELL CITY,AL,33.576656,-86.276168,1,1011,1036
881750,100600,CHAMBERS COUNTY,AL,32.890534,-85.38142,1,1013,1037
882036,101980,LANETT CITY,AL,32.868124,-85.191325,1,1013,1037
882213,102820,RANDOLPH COUNTY,AL,33.309396,-85.485191,1,1013,1037
882230,102850,ROANOKE CITY,AL,33.150762,-85.368771,1,1013,1037
881759,100630,CHEROKEE COUNTY,AL,34.151754,-85.678418,1,1010,1039
882199,102760,PIEDMONT CITY,AL,33.926853,-85.615796,1,1012,1039
881792,100780,CLEBURNE COUNTY,AL,33.645771,-85.575282,1,1013,1039
882015,101860,JACKSONVILLE CITY,AL,33.815402,-85.761476,1,1012,1040
882263,103030,SHELBY COUNTY,AL,33.179836,-86.601784,1,1011,1041
881763,100660,CHILTON COUNTY,AL,32.869825,-86.621871,1,1014,1042
881471,100013,TRUSSVILLE CITY,AL,33.62074,-86.607971,1,1017,1044
881439,100011,LEEDS CITY,AL,33.54302,-86.541451,1,1015,1045
