postal_cd,district_size,percent,n_districts_size,n_districts,n_schools,n_students
AK,Mega,1.886792453,1,53,494,122104
AK,Large,9.433962264,5,53,494,122104
AK,Medium,33.96226415,18,53,494,122104
AK,Small,41.50943396,22,53,494,122104
AK,Tiny,13.20754717,7,53,494,122104
AK Clean,Mega,2.325581395,1,43,408,109675
AK Clean,Large,9.302325581,4,43,408,109675
AK Clean,Medium,32.55813953,14,43,408,109675
AK Clean,Small,41.86046512,18,43,408,109675
AK Clean,Tiny,13.95348837,6,43,408,109675
AL,Mega,3.03030303,4,132,1587,731631
AL,Large,15.90909091,21,132,1587,731631
AL,Medium,50,66,132,1587,731631
AL,Small,31.06060606,41,132,1587,731631
AL Clean,Mega,0.826446281,1,121,1268,571365
AL Clean,Large,16.52892562,20,121,1268,571365
AL Clean,Medium,50.41322314,61,121,1268,571365
AL Clean,Small,32.23140496,39,121,1268,571365
AR,Large,3.781512605,9,238,1053,458149
AR,Medium,13.02521008,31,238,1053,458149
AR,Small,83.19327731,198,238,1053,458149
AR Clean,Large,3.571428571,7,196,854,378102
AR Clean,Medium,13.26530612,26,196,854,378102
AR Clean,Small,83.16326531,163,196,854,378102
AZ,Mega,0.961538462,2,208,1501,923653
AZ,Large,9.615384615,20,208,1501,923653
AZ,Medium,24.03846154,50,208,1501,923653
AZ,Small,37.01923077,77,208,1501,923653
AZ,Tiny,28.36538462,59,208,1501,923653
AZ Clean,Mega,1.063829787,2,188,1460,914374
AZ Clean,Large,10.63829787,20,188,1460,914374
AZ Clean,Medium,26.06382979,49,188,1460,914374
AZ Clean,Small,36.70212766,69,188,1460,914374
AZ Clean,Tiny,25.53191489,48,188,1460,914374
CA,Mega,1.694915254,16,944,8987,5697216
CA,Large,13.87711864,131,944,8987,5697216
CA,Medium,29.23728814,276,944,8987,5697216
CA,Small,29.44915254,278,944,8987,5697216
CA,Tiny,25.74152542,243,944,8987,5697216
CA Clean,Mega,1.7578125,9,512,5317,3379371
CA Clean,Large,15.0390625,77,512,5317,3379371
CA Clean,Medium,29.4921875,151,512,5317,3379371
CA Clean,Small,28.90625,148,512,5317,3379371
CA Clean,Tiny,24.8046875,127,512,5317,3379371
CO,Mega,3.370786517,6,178,1607,743855
CO,Large,10.11235955,18,178,1607,743855
CO,Medium,10.6741573,19,178,1607,743855
CO,Small,74.71910112,133,178,1607,743855
CO,Tiny,1.123595506,2,178,1607,743855
CO Clean,Mega,3.731343284,5,134,1117,527829
CO Clean,Large,8.208955224,11,134,1117,527829
CO Clean,Medium,12.68656716,17,134,1117,527829
CO Clean,Small,73.88059701,99,134,1117,527829
CO Clean,Tiny,1.492537313,2,134,1117,527829
CT,Large,6.50887574,11,169,1027,506685
CT,Medium,27.81065089,47,169,1027,506685
CT,Small,43.78698225,74,169,1027,506685
CT,Tiny,21.89349112,37,169,1027,506685
CT Clean,Large,6.329113924,10,158,930,451690
CT Clean,Medium,25.94936709,41,158,930,451690
CT Clean,Small,44.30379747,70,158,930,451690
CT Clean,Tiny,23.41772152,37,158,930,451690
DC,Mega,100,1,1,131,38609
DC Clean,Mega,100,1,1,131,38609
DE,Large,25,4,16,196,109540
DE,Medium,62.5,10,16,196,109540
DE,Small,12.5,2,16,196,109540
DE Clean,Large,20,3,15,166,94374
DE Clean,Medium,66.66666667,10,15,166,94374
DE Clean,Small,13.33333333,2,15,166,94374
FL,Mega,28.57142857,20,70,3648,2427792
FL,Large,32.85714286,23,70,3648,2427792
FL,Medium,32.85714286,23,70,3648,2427792
FL,Small,1.428571429,1,70,3648,2427792
FL,Tiny,4.285714286,3,70,3648,2427792
FL Clean,Mega,25.86206897,15,58,2769,1843575
FL Clean,Large,36.20689655,21,58,2769,1843575
FL Clean,Medium,36.20689655,21,58,2769,1843575
FL Clean,Small,1.724137931,1,58,2769,1843575
GA,Mega,5,9,180,2288,1593612
GA,Large,13.88888889,25,180,2288,1593612
GA,Medium,31.11111111,56,180,2288,1593612
GA,Small,47.77777778,86,180,2288,1593612
GA,Tiny,2.222222222,4,180,2288,1593612
GA Clean,Mega,4.819277108,8,166,2151,1494831
GA Clean,Large,14.45783133,24,166,2151,1494831
GA Clean,Medium,32.53012048,54,166,2151,1494831
GA Clean,Small,46.38554217,77,166,2151,1494831
GA Clean,Tiny,1.807228916,3,166,2151,1494831
HI,Mega,100,1,1,256,173658
HI Clean,Mega,100,1,1,256,173658
