"","names1","names2","distances_d1"
"122",120111002079,120111002339,0.175478214986344
"170",120111002079,120111001185,0.175478214986344
"233",120111002206,120111001192,0.173796542425674
"290",120111002207,120111001193,0.0417629443770574
"338",120111002339,120111001185,0
"1053",120111003727,120111006856,0.155063961607252
"1096",120111004369,120111007657,0.227274051090439
"1100",120111004369,120111008021,0.227274051090439
"1101",120111004369,120111008023,0.227274051090439
"1338",120111007657,120111008021,0
"1339",120111007657,120111008023,0
"1428",120111007831,120111000788,0.149722803296107
"1453",120111008021,120111008023,0
"1578",120111001163,120111001164,0.146524242011325
"1678",120111001170,120111001171,0.119445431936455
"34",120114000799,120114001197,0.160115243303407
"80",120114001199,120114002835,0.209857009686424
"88",120114001201,120114001202,0.0985125722959284
"135",120114003079,120114007114,0.0772828317493362
"151",120114007590,120114007817,0
"152",120114007590,120114008221,0
"153",120114007817,120114008221,0
"13",120117001205,120117003607,0.0511051012731469
"30",120117003423,120117004171,0
"43",120117003730,120117007187,0
"44",120117003730,120117007739,0
"45",120117003730,120117007958,0.067051914434398
"53",120117007187,120117007739,0
"54",120117007187,120117007958,0.067051914434398
"55",120117007739,120117007958,0.067051914434398
"47",120120003001,120120003608,0.237500265022376
"68",120120003609,120120007997,0
"77",120120007720,120120007754,0.0328623788233843
"78",120120007720,120120007821,0.00913170292030534
"8010",120120007720,120120008247,0.133570363591981
"82",120120007754,120120007821,0.0248297981107203
"84",120120007754,120120008247,0.154851513968471
"87",120120007821,120120008247,0.141516485012469
"322",120123001220,120123001224,0.11084324212474
"369",120123001220,120123004373,0.11084324212474
"667",120123001224,120123004373,0
"1368",120123001234,120123008256,0.221018499284403
"1693",120123001241,120123003610,0.15969857917163
"1727",120123001242,120123001244,0.209773631482327
"2252",120123002585,120123003428,0.101583911359959
"2289",120123002615,120123002838,0.176806566506368
"2397",120123002757,120123004380,0.0140865179008211
"2519",120123002842,120123004377,0.0368478553908114
"2589",120123003198,120123004111,0.231213380504218
"2676",120123003200,120123007193,0
"2826",120123003871,120123004110,0.112195296607134
"2859",120123004110,120123004205,0.180784566578682
"2929",120123004204,120123007312,0.11790893873514
"3267",120123007507,120123007528,0
"3296",120123007747,120123008027,0
"3319",120123008179,120123008208,0.186149261894683
"451",120126001260,120126001272,0.109901271003692
"1289",120126001278,120126003431,0.0419395850496429
"1291",120126001278,120126003436,0.0419395850496429
"1300",120126001278,120126007050,0.0419395850496429
"1303",120126001278,120126007738,0.0419395850496429
"1473",120126001878,120126002442,0.242775823275732
"1913",120126003006,120126003084,0.0917284095774679
"1934",120126003006,120126008314,0.168737861122314
"1979",120126003084,120126008314,0.124527840928988
"2023",120126003431,120126003436,0
"2032",120126003431,120126007050,0
"2035",120126003431,120126007738,0
"2067",120126003436,120126007050,0
"2070",120126003436,120126007738,0
"2123",120126004385,120126004985,0.193925826321691
"2173",120126005612,120126008216,0.0622536329820862
"2178",120126007050,120126007738,0
"58",120156001660,120156001665,0.166234200824702
"282",120156000984,120156002883,0.18787033618413
"1261",120156001597,120156001664,0.0762662678575986
"1275",120156001597,120156001681,0.222867408746002
"1381",120156001598,120156001599,0.209733445725997
"2931",120156001610,120156002392,0
"3297",120156001614,120156007192,0.0489426869643163
"3363",120156001615,120156001658,0.0140370086124915
"4135",120156001620,120156001667,0.232088743259782
"4810",120156001624,120156007123,0.21434374636818
"4817",120156001624,120156007562,0.22657954940602
"4818",120156001624,120156007568,0.22657954940602
"5240",120156001631,120156004134,0.0989186610859349
"5488",120156001633,120156002526,0.0419517071088809
"6985",120156001647,120156002527,0.0733713844420067
"7004",120156001647,120156003253,0.165315466170209
"9728",120156001678,120156002791,0.172926758284477
"9906",120156001680,120156001681,0.216598635118535
"11407",120156001698,120156002582,0.116374395219412
"12669",120156002527,120156003253,0.204335926888794
"12986",120156002788,120156007124,0.0421827903184156
"13366",120156002889,120156002891,0.0061122723097754
"13378",120156002889,120156003480,0.0061122723097754
"13402",120156002889,120156007524,0.146877591436338
"13415",120156002889,120156007941,0.146877591436338
"13418",120156002889,120156007951,0.146877591436338
"13443",120156002891,120156003480,0
"13467",120156002891,120156007524,0.151756645386196
"13480",120156002891,120156007941,0.151756645386196
"13483",120156002891,120156007951,0.151756645386196
"13625",120156003014,120156003109,0.0782837681492718
"14169",120156003480,120156007524,0.151756645386196
"14182",120156003480,120156007941,0.151756645386196
"14185",120156003480,120156007951,0.151756645386196
"14480",120156003917,120156007943,0.0280953195178007
"14535",120156003919,120156008224,0
"14653",120156004035,120156007889,0.0896522749290694
"14721",120156004133,120156007123,0.174651444351708
"14728",120156004133,120156007562,0.173359538392157
"14729",120156004133,120156007568,0.173359538392157
"14939",120156007075,120156008144,0.104271603734707
"14953",120156007123,120156007562,0.012241829073942
"14954",120156007123,120156007568,0.012241829073942
"15058",120156007471,120156007765,0.00923602692785473
"15154",120156007524,120156007941,0
"15157",120156007524,120156007951,0
"15171",120156007562,120156007568,0
"15255",120156007639,120156007852,0
"15275",120156007639,120156002890,0
"15280",120156007678,120156007889,0.220173166948116
"15365",120156007852,120156002890,0
"15443",120156007941,120156007951,0
"15483",120156007946,120156008267,0.137218707442441
"4710",120129001281,120129002214,0.0941028588237941
"57",120129001281,120129003614,0.0941028588237941
"5811",120129001281,120129003615,0.0941028588237941
"66",120129001281,120129005620,0.0941028588237941
"102",120129001282,120129007085,0
"279",120129001289,120129003086,0.0478660812918227
"292",120129001289,120129007137,0.0452982424862317
"352",120129001291,120129008085,0
"362",120129002214,120129003614,0
"363",120129002214,120129003615,0
"371",120129002214,120129005620,0
"377",120129002214,120129007886,0.24548171620995
"406",120129002619,120129002848,0.190543775336069
"446",120129002655,120129007156,0
"545",120129003086,120129007137,0.00691707033122069
"568",120129003614,120129003615,0
"576",120129003614,120129005620,0
"582",120129003614,120129007886,0.24548171620995
"591",120129003615,120129005620,0
"597",120129003615,120129007886,0.24548171620995
"599",120129003617,120129003874,0
"665",120129004390,120129007652,0
"681",120129005620,120129007886,0.24548171620995
"874",120132001295,120132007933,0.195306108964047
"116",120132001298,120132003440,0.0433680580311453
"126",120132001298,120132007933,0.220889530466248
"208",120132001305,120132007960,0.121542655839898
"219",120132003440,120132007933,0.211966565453013
"274",120132007521,120132007723,0.0188732043521069
"275",120132007521,120132007839,0.0188732043521069
"2791",120132007521,120132008298,0
"286",120132007723,120132007839,0
"2902",120132007723,120132008298,0.0188732043521069
"294",120132007839,120132008298,0.0188732043521069
"5",120138007622,120138001325,0.0301135819842148
"12",120138007622,120138001334,0.0834942466690315
"4711",120138007622,120138005628,0
"7710",120138001320,120138001351,0.125271895861996
"262",120138001325,120138001334,0.0792637171564897
"297",120138001325,120138005628,0.0301135819842148
"308",120138001327,120138001333,0.166969362659596
"605",120138001334,120138005628,0.0834942466690315
"1150",120138002443,120138007031,0.0431813238489793
"1280",120138003445,120138003447,0.23008452067516
"1281",120138003445,120138003621,0.240171858756463
"1287",120138003445,120138003881,0.0138341406628814
"1296",120138003446,120138003447,0.145406096939099
"1297",120138003446,120138003621,0.142156122863823
"1312",120138003447,120138003621,0.098769065927514
"1318",120138003447,120138003881,0.221610657867784
"1332",120138003621,120138003881,0.236963215854541
"1391",120138003880,120138007168,0.00691707033100069
"1210",120135001307,120135002851,0.23317336156292
"789",120135001313,120135001317,0.241212564296704
"185",120135003620,120135007019,0
"190",120135004113,120135004995,0.211763050796915
"205",120135007668,120135007722,0
"206",120135007668,120135008028,0
"207",120135007668,120135008277,0
"2081",120135007722,120135008028,0
"209",120135007722,120135008277,0
"210",120135008028,120135008277,0
"535",120141001357,120141002218,0.178352141948061
"9",120141001357,120141003090,0.186740060860305
"14",120141001357,120141007741,0.186740060860305
"33",120141001359,120141003089,0.171845937442547
"5714",120141002217,120141003624,0.145388533914107
"64",120141002218,120141003090,0.0553365626510855
"69",120141002218,120141007741,0.0553365626510855
"95",120141003090,120141007741,0
"50",120147003754,120147005802,0.00609038673640995
"56",120147003754,120147007537,0.00691707033144069
"63",120147003754,120147008034,0.00691707033144069
"236",120147000952,120147003634,0.160008549691367
"255",120147000952,120147007018,0
"256",120147000952,120147007148,0.173786646211207
"305",120147001468,120147003752,0.202562247020031
"415",120147001470,120147002575,0.197094293712788
"656",120147001474,120147001475,0.194647247279985
"1469",120147003097,120147004398,0.191912593426702
"1690",120147003632,120147007498,0.15370167132336
"1763",120147003634,120147007018,0.160008549691367
"1764",120147003634,120147007148,0.0140077764652741
"1823",120147003750,120147003890,0.124931020957651
"2281",120147005802,120147007537,0.00921621980130381
"2288",120147005802,120147008034,0.00921621980130381
"2296",120147007018,120147007148,0.173786646211207
"2387",120147007537,120147008034,0
"196",120153001563,120153007166,0
"222",120153001564,120153001565,0.159339344607207
"486",120153001566,120153003778,0
"515",120153001566,120153007070,0
"519",120153001566,120153007129,0
"757",120153001569,120153001570,0.152957047578762
"827",120153001569,120153007055,0
"930",120153001570,120153007055,0.152957047578762
"1363",120153001575,120153008219,0.0448372102041665
"1627",120153001578,120153007107,0
"1657",120153001579,120153001580,0.123908897899754
"1703",120153001579,120153004426,0.194537602399108
"1939",120153001582,120153001583,0.1803104931794
"2008",120153001582,120153007223,0.1803104931794
"2042",120153001583,120153002391,0.1099951057648
"2099",120153001583,120153007223,0
"2365",120153001586,120153007198,0
"2593",120153001589,120153004132,0.164632078279866
"2648",120153001590,120153002239,0.160784288843896
"2653",120153001590,120153002452,0.243678854654228
"2696",120153001590,120153007044,0.243678854654228
"2698",120153001590,120153007057,0.243678854654228
"2699",120153001590,120153007061,0
"2818",120153002239,120153002452,0.1782959091176
"2861",120153002239,120153007044,0.1782959091176
"2863",120153002239,120153007057,0.1782959091176
"2864",120153002239,120153007061,0.160784288843896
"3113",120153002391,120153007223,0.1099951057648
"3256",120153002452,120153007044,0
"3258",120153002452,120153007057,0
"3259",120153002452,120153007061,0.243678854654228
"3306",120153002580,120153003776,0.138603470469435
"3755",120153002882,120153005308,0.109189390336464
"3774",120153002882,120153007128,0.109189390336464
"4001",120153003106,120153008033,0.128184216667143
"4002",120153003106,120153008035,0.128184216667143
"4235",120153003650,120153007108,0
"4334",120153003775,120153004421,0.0560388076333839
"4475",120153003778,120153007070,0
"4479",120153003778,120153007129,0
"4956",120153004423,120153007026,0
"4987",120153004423,120153008033,0.17598224433737
"4988",120153004423,120153008035,0.17598224433737
"5154",120153005308,120153007128,0
"5617",120153007026,120153008033,0.17598224433737
"5618",120153007026,120153008035,0.17598224433737
"5623",120153007044,120153007057,0
"5624",120153007044,120153007061,0.243678854654228
"5689",120153007057,120153007061,0.243678854654228
"5755",120153007070,120153007129,0
"6009",120153007326,120153007383,0.243695392211898
"6028",120153007331,120153007383,0.0351184789999671
"6035",120153007331,120153007660,0.0560699667597377
"6036",120153007331,120153007680,0.0560699667597377
"6070",120153007383,120153007660,0.0432287974604859
"6071",120153007383,120153007680,0.0432287974604859
"6127",120153007593,120153007618,0
"6162",120153007660,120153007680,0
"6181",120153007707,120153007713,0
"6207",120153008033,120153008035,0
"921",120159001709,120159002402,0.163961109019073
"1116",120159001710,120159004180,0.197844056492173
"1144",120159001710,120159007607,0.171719051570417
"1152",120159001710,120159007993,0.197844056492173
"1169",120159001710,120159007686,0.197844056492173
"2879",120159001724,120159007586,0.16586754734743
"3204",120159001726,120159008217,0.0253870452463592
"3211",120159001727,120159001728,0.240675391182091
"4595",120159001736,120159003112,0.159115054967031
"4631",120159001736,120159007029,0.199877545654346
"4806",120159001739,120159001740,0.22473170631264
"5274",120159001745,120159002456,0.170502906619417
"5892",120159001753,120159001756,0.155756777942324
"5893",120159001753,120159001757,0.143319021607578
"6090",120159001754,120159003925,0
"6280",120159001756,120159001757,0.0799215954636601
"7145",120159001763,120159008197,0.196663795221763
"7504",120159001766,120159008191,0
"7515",120159001767,120159001768,0.0432585811084493
"9279",120159001782,120159008317,0.232593701020191
"9399",120159001784,120159001989,0.182489831546688
"9433",120159001784,120159004186,0.184617056309588
"9708",120159001787,120159002947,0
"10069",120159001790,120159005350,0.193055976235594
"10246",120159001792,120159008181,0.139790256026177
"10371",120159001794,120159003256,0.144793630570628
"10523",120159001795,120159008212,0.136428411222463
"10890",120159002401,120159002945,0.030526958547608
"11203",120159002405,120159008181,0.22268704025079
"11850",120159002949,120159003929,0.209787803592731
"11891",120159002949,120159007994,0.209787803592731
"11894",120159002949,120159008173,0.225372937018644
"11923",120159003015,120159004137,0.079124100176596
"12038",120159003016,120159008174,0.00691707033122069
"12086",120159003112,120159007029,0.167794035412059
"12411",120159003655,120159005337,0.199145223565863
"12588",120159003789,120159004137,0.219920600383313
"12923",120159003929,120159007994,0
"12926",120159003929,120159008173,0.0515462667855484
"13132",120159004180,120159007607,0.0427390526701368
"13140",120159004180,120159007993,0
"13157",120159004180,120159007686,0
"13205",120159004186,120159008246,0.0950459652454956
"13215",120159004188,120159004441,0.0832286413561751
"13241",120159004188,120159007906,0.0276682813255428
"13526",120159004441,120159007906,0.110841071555751
"14092",120159007310,120159008209,0.123009529446643
"14218",120159007607,120159007993,0.0427390526701368
"14235",120159007607,120159007686,0.0427390526701368
"14323",120159007835,120159004185,0.0688270996726301
"14367",120159007992,120159007996,0
"14399",120159007993,120159007686,0
"14402",120159007994,120159008173,0.0515462667855484
"4718",120162001797,120162008194,0.0691310983681467
"5715",120162001799,120162001811,0.156914193932455
"91",120162001802,120162001803,0.193771269329181
"235",120162001812,120162002530,0
"2925",120162007838,120162008000,0
"186",120165001819,120165001820,0.129554973877903
"187",120165001819,120165001821,0.24256955117362
"220",120165001820,120165001821,0.118770565150581
"316",120165001823,120165001824,0.108603890287966
"492",120165001833,120165003505,0.153219128672203
"510",120165001834,120165002670,0.178847339921203
"521",120165001834,120165005375,0.138854978985304
"572",120165002257,120165002408,0
"586",120165002257,120165007684,0.0654594736381744
"589",120165002257,120165008065,0
"623",120165002408,120165007684,0.0654594736381744
"626",120165002408,120165008065,0
"638",120165002670,120165005375,0.101416607611167
"647",120165002959,120165003504,0.209933533480681
"730",120165003664,120165005376,0.142920836078978
"749",120165003666,120165007727,0.0350938227836946
"750",120165003666,120165007740,0.233538540972375
"773",120165007684,120165008065,0.0654594736381744
"775",120165007727,120165007740,0.206623915681306
"160",120168001835,120168004198,0.111231748233739
"325",120168001838,120168003508,0.177018519926623
"993",120168001855,120168001861,0.249317857744114
"1002",120168001855,120168003123,0.226453117713407
"1019",120168001855,120168007003,0.208283821085718
"1063",120168001856,120168007714,0
"1067",120168001856,120168008044,0
"1080",120168001857,120168002583,0.156581682024927
"1183",120168001860,120168008043,0.198666697269064
"1214",120168001861,120168007003,0.121642423560996
"1346",120168002462,120168004202,0.0690806827892049
"1837",120168007410,120168007469,0.246246571132551
"1859",120168007714,120168008044,0
"40",120171001179,120171002410,0.146394733762705
"835",120171001874,120171001875,0.121588492153103
"1474",120171001888,120171001890,0.248059231459802
"2006",120171001899,120171003268,0.0446873018986885
"2188",120171002261,120171002534,0.246131319789322
"2262",120171002464,120171002964,0.199886934827835
"2434",120171002905,120171005390,0.145763628706422
"2499",120171002964,120171008303,0.123110682534789
"2542",120171003126,120171005736,0.242863829368928
"2602",120171003270,120171003803,0.212347351433063
"2659",120171003668,120171008121,0.0370383819506038
"2723",120171003804,120171007695,0.00606392764579421
"2724",120171003804,120171007703,0.00606392764579421
"2823",120171007695,120171007703,0
"2845",120171008025,120171008113,0
"159",120174001909,120174003498,0.0599652419215011
"2754",120174001916,120174001919,0.246180356646071
"2945",120174001916,120174004194,0.246180356646071
"375",120174001919,120174004194,0
"388",120174001919,120174007505,0.211712874459942
"390",120174001919,120174007626,0.211712874459942
"553",120174002897,120174003120,0.245886555886749
"601",120174002898,120174005725,0.155677458560815
"722",120174003017,120174004443,0
"821",120174003498,120174007833,0.200103732445317
"903",120174003931,120174004195,0
"918",120174003931,120174007733,0
"958",120174004194,120174007505,0.211712874459942
"960",120174004194,120174007626,0.211712874459942
"981",120174004195,120174007733,0
"1095",120174007189,120174008088,0.00915407707720117
"1142",120174007505,120174007626,0
"6",120177001079,120177001926,0.192106022532306
"38",120177001079,120177004149,0.031466838213626
"323",120177001926,120177004149,0.211019375721926
"985",120177002957,120177003932,0.20272613089472
"997",120177002957,120177007766,0
"998",120177002957,120177007973,0
"999",120177002957,120177007988,0
"1117",120177003502,120177003503,0.194395298982049
"1202",120177003932,120177007766,0.20272613089472
"1203",120177003932,120177007973,0.20272613089472
"1204",120177003932,120177007988,0.20272613089472
"1317",120177007766,120177007973,0
"13181",120177007766,120177007988,0
"1321",120177007973,120177007988,0
"6612",120180002413,120180004453,0.0331211693228687
"89",120180007769,120180007964,0.0364178733529918
"90",120180007769,120180008309,0.108331060435347
"912",120180007964,120180008309,0.0975968918700413
"1",120183001943,120183001944,0.146738099106931
"8",120183001943,120183005396,0.217436018686129
"1410",120183001944,120183001945,0.212481640673306
"15",120183001944,120183001946,0.172126771142788
"26",120183001945,120183001946,0.227925651376547
"8210",120183007751,120183007777,0
"83",120183007751,120183007849,0
"8412",120183007751,120183008171,0
"85",120183007751,120183008180,0
"86",120183007777,120183007849,0
"8717",120183007777,120183008171,0
"8821",120183007777,120183008180,0
"8912",120183007849,120183008171,0
"9010",120183007849,120183008180,0
"913",120183008171,120183008180,0
"4",120186001949,120186001955,0.128050646250076
"7",120186001949,120186007683,0.0555961752349343
"857",120186001949,120186007844,0.0555961752349343
"910",120186001949,120186007995,0.0555961752349343
"3312",120186001955,120186007683,0.138797013207229
"3410",120186001955,120186007844,0.138797013207229
"35",120186001955,120186007995,0.138797013207229
"4310",120186007683,120186007844,0
"4412",120186007683,120186007995,0
"454",120186007844,120186007995,0
"1108",120189001956,120189001957,0.152293367549812
"4100",120189001956,120189003807,0.218489393610977
"563",120189001956,120189007113,0.172194779234536
"637",120189001956,120189007804,0.0419260863072892
"736",120189001956,120189008029,0.218489393610977
"10",120189001957,120189003807,0.0718810704367244
"11",120189001957,120189007113,0.0602911545860502
"1212",120189001957,120189007804,0.159540728378322
"1329",120189001957,120189008029,0.0718810704367244
"23",120189003807,120189007113,0.0602999034054963
"24",120189003807,120189007804,0.230240831359409
"25",120189003807,120189008029,0
"2610",120189007113,120189007804,0.192180055623415
"27",120189007113,120189008029,0.0602999034054963
"28",120189007804,120189008029,0.230240831359409
"295",120192001963,120192002007,0.163033754350528
"3137",120192002420,120192005749,0.138867313200159
"3151",120192002420,120192008075,0.160120199439657
"3446",120192002796,120192002797,0.227953338077424
"3528",120192002968,120192003136,0.0969522950854418
"4095",120192005749,120192008075,0.0366299617876142
"4159",120192007653,120192007775,0
"4162",120192007653,120192008036,0
"4168",120192007775,120192008036,0
"1333",120195002015,120195007715,0.0479015062973707
"1413",120195002015,120195008187,0.0479015062973707
"5510",120195002657,120195004457,0.159092617621816
"71",120195003280,120195003810,0.0453415477185355
"73",120195003280,120195007035,0.0274443613771826
"75",120195003280,120195007545,0.0226707594875162
"8612",120195003810,120195007035,0.019246490041692
"8839",120195003810,120195007545,0.0226707882310926
"97",120195007035,120195007545,0.00691707033144069
"105",120195007715,120195008187,0
"103",120198002025,120198002644,0.122078366362938
"112",120198002025,120198007690,0.0276682813257628
"157",120198002644,120198007690,0.11890136686222
"198",120198003527,120198008030,0.00912115046484547
"228",120198004458,120198007730,0.139493022561621
"229",120198004458,120198007734,0.139493022561621
"230",120198004458,120198007907,0.139493022561621
"244",120198007730,120198007734,0
"245",120198007730,120198007907,0
"248",120198007734,120198007907,0
"3",120201002027,120201002031,0.136881283989588
"17",120201002028,120201008010,0.212104151447242
"20",120201002029,120201002587,0.215191532024803
"42",120201007130,120201008010,0.148755493349021
"4311",120201007647,120201007667,0.0629448119281901
"2",120201303021,120201308056,0.109621855508948
"490",120201502912,120201507968,0.127944720882105
"1109",120201601212,120201601246,0.0183076455046992
"2101",120201601212,120201601247,0.191857378547779
"3103",120201601212,120201601248,0.214912912882293
"4102",120201601212,120201601257,0.136361129813364
"5101",120201601212,120201601265,0.186376164541585
"858",120201601246,120201601247,0.180397703865156
"914",120201601246,120201601248,0.198096458945965
"1010",120201601246,120201601257,0.121693584697367
"1110",120201601246,120201601265,0.173871098503221
