"","district_num_students","district_district_size","district_locale","id","district_demo_esh_id","connect_category","bandwidth_in_mbps","rec_elig_cost","district_postal_cd","num_lines"
"1","4079","Medium","Suburban",66,883656,"Fiber",100,"212.0","CA",1
"2","10571","Large","Urban",184,942902,"Fiber",250,"4000.0","NM",1
"3","949","Medium","Rural",197,943393,"Fiber",250,"13583.33","NV",1
"4","3918","Medium","Small Town",198,915455,"Fiber",400,"1064.0","MD",1
"5","37108","Mega","Suburban",422,915456,"Fiber",1000,"10160.0","MD",1
"6","3154","Medium","Rural",81764,881946,"Fiber",10,"500.0","AL",1
"7","3155","Medium","Small Town",81864,881737,"Fiber",1000,"800.0","AL",1
"8","7570","Large","Rural",81953,882293,"Fiber",1000,"13000.0","AL",1
"9","2993","Medium","Rural",81990,882830,"Fiber",310,"2758.0","AR",2
"10","815","Small","Rural",82000,882210,"Fiber",100,"1005.95","AR",1
"11","1685","Small","Suburban",82001,881942,"Fiber",200,"2350.0","AR",1
"12","1024","Small","Rural",82016,881626,"Fiber",100,"1500.0","AR",1
"13","1159","Small","Rural",82024,882459,"Fiber",100,"2430.0","AR",1
"14","14049","Large","Urban",82025,882229,"Fiber",1000,"11995.0","AR",5
"15","14452","Large","Urban",82026,882699,"Fiber",2000,"6585.6","AR",1
"16","3959","Small","Small Town",82026,882735,"Fiber",2000,"6585.6","AR",1
"17","14049","Large","Urban",82027,882229,"Fiber",300,"3500.0","AR",1
"18","1321","Small","Small Town",82030,881977,"Fiber",250,"4636.0","AR",1
"19","1084","Small","Small Town",82033,882685,"Fiber",500,"6250.0","AR",1
"20","9969","Large","Suburban",82034,882010,"Fiber",2000,"9500.0","AR",1
"21","2725","Small","Small Town",82118,881616,"Fiber",100,"1199.99","AR",1
"22","635","Medium","Rural",82148,881760,"Fiber",100,"3400.0","AR",2
"23","666","Small","Rural",82159,882053,"Fiber",100,"3037.0","AR",1
"24","944","Small","Small Town",82162,882624,"Fiber",120,"1728.0","AR",1
"25","398","Small","Rural",82163,882719,"Fiber",100,"2659.0","AR",1
"26","2725","Small","Small Town",82164,881616,"Fiber",100,"1199.99","AR",1
"27","1159","Small","Rural",82173,882459,"Fiber",20,"184.95","AR",1
"28","1159","Small","Rural",82174,882459,"Fiber",10,"119.9","AR",2
"29","1624","Small","Rural",82194,882670,"Fiber",150,"6860.0","AR",1
"30","963","Small","Rural",82208,882259,"Fiber",100,"2708.0","AR",1
"31","868","Small","Small Town",82226,882408,"Fiber",100,"3499.0","AR",1
"32","704","Small","Rural",82228,881708,"Cable / DSL",12,"40.0","AR",1
"33","635","Medium","Rural",82247,881760,"Fiber",100,"995.95","AR",1
"34","1362","Small","Rural",82252,882038,"Fiber",1000,"2310.0","AR",1
"35","704","Small","Rural",82265,881708,"Fiber",40,"1080.78","AR",1
"36","704","Small","Rural",82275,881708,"Fiber",100,"1685.65","AR",1
"37","503","Small","Rural",82291,881476,"Fiber",50,"2732.81","AR",2
"38","1376","Small","Small Town",82293,881539,"Fiber",150,"2250.0","AR",1
"39","603","Small","Rural",82309,882361,"Fiber",30,"2549.0","AR",1
"40","2773","Medium","Small Town",82353,882339,"Fiber",200,"2425.5","AR",1
"41","603","Small","Rural",82355,882361,"Cable / DSL",10,"65.43","AR",1
"42","440","Small","Rural",82362,882826,"Fiber",45,"6880.0","AR",1
"43","3296","Medium","Small Town",82363,882277,"Fiber",400,"3564.93","AR",1
"44","880","Small","Rural",82365,882494,"Fiber",100,"2200.0","AR",1
"45","634","Small","Rural",82367,882823,"Fiber",100,"2834.0","AR",1
"46","366","Small","Rural",82369,881744,"Cable / DSL",2,"283.22","AR",2
"47","496","Small","Rural",82371,881964,"Fiber",80,"3243.26","AR",1
"48","1607","Small","Rural",82374,881532,"Fixed Wireless",250,"2650.0","AR",1
